,DenMISEMeanLog,target_sum_log_mean,SqrtESSClassic,ReturnMax,URet,IWMax,ReturnAbsMax,IWNorm2,LQGmu01,ReturnStepMax,Bound,LQGmu1,ReturnLastEpisode,IWMin,TimeElapsed,IWLastEpisode,Iteration,DenMISELogFirst,MISE,IWMean,ReturnMin,LQGsigma,ReturnMean,IWFirstEpisode,IWNorm1,TimestepsSoFar,DenMISELogLast
0,13.511501,-633.4356700000001,1.0,15.807039999999999,17.497854397219367,,15.807039999999999,1e-10,0.058,0.99233466,1.5886673,0.524,15.807039999999999,,0.46482253074646,,1,13.511501,,,,0.11,15.807039999999999,,1e-10,20,13.511501
1,1.4574337,-342.25034,1.4142135,15.807039999999999,9.467825341079903,1.3297648000000001e-18,15.807039999999999,1.4142136e-10,0.058,0.99233466,1.1233575,0.524,8.629977,,13.278153896331787,1.3297648000000001e-18,2,12.818355,5.737919999999999e-18,6.648824000000001e-19,,0.11,12.218509,,2e-10,40,-9.903487
2,5.331033000000001,-232.61182000000002,1.0,15.807039999999999,9.380979328601766,1.556891,15.807039999999999,1.556891,0.062,0.99233466,6.0210365999999995,0.551,8.540809,,13.517717599868774,1.556891,3,12.4128895,4.4323690000000004,0.51896363,,0.11,10.992608,,1.556891,60,13.889163
3,7.831347,-179.3706,1.4094697,15.807039999999999,9.367139853099497,1.6067747,15.807039999999999,2.1069615,0.067,0.99233466,7.463856699999999,0.588,8.530382000000001,,13.956887483596802,1.6067747,4,12.125207000000001,6.336718599999999,0.7424246,,0.11,10.377052,,2.9696984,80,15.777307
4,8.129239,-152.30185,1.6741688000000001,15.807039999999999,9.33273356359242,2.2714715,15.807039999999999,2.9912484,0.077,0.99233466,9.481662,0.647,8.50046,,14.505829095840454,2.2714715,5,11.902063,8.532733,1.0015709000000002,,0.11,10.001733999999999,,5.007855,100,9.582485
5,9.793056,-127.245476,1.9612063000000002,15.807039999999999,9.366631698529938,1.9799075000000002,15.807039999999999,3.0551195,0.081,0.99233466,9.319339999999999,0.67,8.5243435,,15.046417713165285,1.4458233999999999,6,11.719742,8.509294,0.9986200000000001,,0.11,9.755502,,5.9917197,120,18.16601
6,10.163361,-109.468216,2.207563,15.807039999999999,9.346445187821717,1.7936973999999999,15.807039999999999,3.2724900000000003,0.084,0.99233466,9.511894,0.688,8.512062,,15.462485551834106,1.6073157,7,11.565591,8.792247,1.0320325000000001,,0.11,9.5778675,,7.2242274,140,12.4217615
7,10.763796000000001,-94.94966,2.4238453,15.807039999999999,9.377453199756902,1.6555008999999998,15.807039999999999,3.3017979,0.086,0.99233466,9.181134,0.698,8.539255,,15.934559106826782,1.1475383,8,11.43206,8.5257015,1.0003809000000001,,0.11,9.448041,,8.003047,160,14.965226999999999
8,10.946896,-83.82678,2.6260537999999998,15.807039999999999,9.349942585406314,1.5609586000000002,15.807039999999999,3.4732347000000003,0.088,0.99233466,9.241131,0.707,8.516226,,16.901326417922974,1.3999108999999998,9,11.314277,8.636168,1.0134334999999999,,0.11,9.344505999999999,,9.120901,180,12.43003
9,11.364416,-74.35444,2.7313962000000003,15.807039999999999,9.45977807264824,1.4848803999999998,15.807039999999999,3.3897087999999997,0.089,0.99233466,8.475445,0.711,8.612919,,17.916096448898315,0.4083616,10,11.208917,7.893812700000001,0.92586374,,0.11,9.271347,,9.258637,200,15.124717
10,12.221860000000001,-65.845215,2.9144223,15.807039999999999,9.388264238755378,1.4253547,15.807039999999999,3.4692276,0.089,0.99233466,8.384232,0.713,8.547819,,18.711596250534054,1.0439231,11,11.113605999999999,7.839125999999999,0.9191630999999999,,0.11,9.205572,,10.110794,220,20.876514
11,12.521892,-59.07941999999999,3.0878139,15.807039999999999,9.381422459161131,1.3776777,15.807039999999999,3.5689879999999996,0.089,0.99233466,8.348183,0.714,8.540429,,19.66927719116211,1.0639758,12,11.026595,7.833686999999999,0.9183642,,0.11,9.150144000000001,,11.0203705,240,15.90654
12,13.023839,-53.115505000000006,3.2515209,15.807039999999999,9.36275758369706,1.3402653999999998,15.807039999999999,3.7196059999999997,0.089,0.99233466,8.424277,0.715,8.525894000000001,,20.556246757507324,1.2021006,13,10.946552,7.935685,0.93033665,,0.11,9.102122999999999,,12.094377,260,19.130865
13,13.238710000000001,-48.456238,3.394133,15.807039999999999,9.303091479706104,1.4675893999999998,15.807039999999999,3.960613,0.091,0.99233466,8.652605,0.72,8.472172,,21.483452558517453,1.4675893999999998,14,10.872444,8.184543,0.96020335,,0.11,9.057127000000001,,13.442847,280,16.103745
14,12.780178999999999,-45.032043,3.5426629999999997,15.807039999999999,9.358238949445678,1.4355573999999998,15.807039999999999,4.0802197,0.091,0.99233466,8.662761,0.725,8.525671,,22.88113880157471,1.144315,15,10.803452,8.214322,0.96365625,,0.11,9.021697,,14.454843499999999,300,6.404314
15,13.011072,-41.350964000000005,3.6844354,15.807039999999999,9.378979877370849,1.4060738000000002,15.807039999999999,4.1770124,0.092,0.99233466,8.631668,0.728,8.542187,,24.374699354171753,1.0597296999999999,16,10.738913,8.200484,0.9618708,,0.11,8.991728,,15.389933,320,16.514072
16,13.168275,-38.1097,3.8209496,15.807039999999999,9.378237169168733,1.3793408,15.807039999999999,4.2746580000000005,0.093,0.99233466,8.608032000000001,0.73,8.540078999999999,,25.390469551086426,1.0561612,17,10.6782875,8.192254,0.96077967,,0.11,8.965159,,16.333254,340,15.724148999999999
