,Iteration,LQGmu01,TimestepsSoFar,Bound,ReturnLastEpisode,TimeElapsed,DenMISELogLast,LQGsigma,IWMax,IWFirstEpisode,SqrtESSClassic,LQGmu1,ReturnMax,IWNorm2,MISE,IWMin,DenMISELogFirst,ReturnMean,IWMean,URet,ReturnMin,IWNorm1,DenMISEMeanLog,ReturnStepMax,IWLastEpisode,target_sum_log_mean,ReturnAbsMax
0,1,1.0,20,1.5886673,15.807039999999999,0.10602521896362303,13.511501,0.11,,,1.0,1.0,15.807039999999999,1e-10,,,13.511501,15.807039999999999,,17.497854397219367,,1e-10,13.511501,0.99233466,,-1081.5807,15.807039999999999
1,2,1.0,40,1.1233575,8.608342,3.3668057918548584,-9.903487,0.11,1.7086695e-19,,1.4142135,1.0,15.807039999999999,1.4142136e-10,7.3544059999999995e-19,,12.818355,12.207691,8.5433475e-20,9.444017119258,,2e-10,1.4574337,0.99233466,1.7086695e-19,-567.3488,15.807039999999999
2,3,1.0,60,5.8483944,8.519454,3.4561493396759038,13.889163,0.11,1.5,,1.0,1.0,15.807039999999999,1.5,4.259727,,12.4128895,10.978278999999999,0.5,9.357533310929476,,1.5,5.331033000000001,0.99233466,1.5,-373.46765,15.807039999999999
3,4,1.0,80,6.801234200000001,8.514177,3.54524827003479,15.842417999999999,0.11,1.333334,,1.4142135,1.0,15.807039999999999,1.885618,5.677877,,12.125207000000001,10.362252999999999,0.6666666,9.349345311296524,,2.6666665000000003,7.844484,0.99233466,1.333334,-276.0682,15.807039999999999
4,5,1.0,100,7.298050999999999,8.4897,3.626556396484375,9.997811,0.11,1.25,,1.7320508000000001,1.0,15.807039999999999,2.1650636000000003,6.380833,,11.902063,9.987743,0.75,9.320908297065099,,3.75,8.211707,0.99233466,1.25,-218.81037999999998,15.807039999999999
5,6,1.0,120,7.602832,8.519156,3.717149257659912,18.250675,0.11,1.2,,2.0,1.0,15.807039999999999,2.4,6.8084983999999995,,11.719742,9.742977999999999,0.8,9.360986810277963,,4.8,9.844505999999999,0.99233466,1.2,-179.26981999999998,15.807039999999999
6,7,1.0,140,7.8023050000000005,8.508499,3.840412616729736,12.730482,0.11,1.166667,,2.236068,1.0,15.807039999999999,2.6087463,7.091831699999999,,11.565591,9.566625,0.83333343,9.342529711258434,,5.833334,10.228843,0.99233466,1.166667,-151.81918000000002,15.807039999999999
7,8,1.0,160,7.946799,8.5366,4.016829013824463,14.974279999999998,0.11,1.1428573,,2.4494898,1.0,15.807039999999999,2.7994173,7.2982283,,11.43206,9.437872,0.857143,9.374537785161252,,6.857144,10.801525999999999,0.99233466,1.1428573,-130.9533,15.807039999999999
8,9,1.0,180,8.050647,8.513926,4.1258602142333975,12.651157000000001,0.11,1.1250006000000001,,2.6457512000000003,1.0,15.807039999999999,2.9764692999999998,7.4501867,,11.314277,9.33521,0.87499976,9.347410026813852,,7.8749975999999995,10.991367,0.99233466,1.1249995000000002,-114.98416999999999,15.807039999999999
9,10,1.0,200,8.140854,8.611085000000001,4.2598936557769775,14.138475,0.11,1.1111116,,2.828427,1.0,15.807039999999999,3.1426957000000004,7.579175,,11.208917,9.262797,0.88888854,9.457765322130069,,8.888885499999999,11.293700999999999,0.99233466,1.1111106000000002,-102.06138,15.807039999999999
10,11,1.0,220,8.205414999999999,8.545993,4.439215183258057,20.825745,0.11,1.1,,3.0,1.0,15.807039999999999,3.3,7.675859,,11.113605999999999,9.197633999999999,0.9,9.38625892358411,,9.9,12.150229,0.99233466,1.1,-90.88115,15.807039999999999
