,ReturnMin,TimestepsSoFar,IWNorm1,TimeElapsed,ReturnMax,ReturnStepMax,URet,DenMISELogFirst,IWFirstEpisode,IWMax,IWMin,LQGmu01,ReturnLastEpisode,IWMean,LQGsigma,target_sum_log_mean,ReturnAbsMax,MISE,IWLastEpisode,SqrtESSClassic,Iteration,ReturnMean,Bound,DenMISELogLast,DenMISEMeanLog,LQGmu1,IWNorm2
0,,20,1e-10,0.2377665042877197,15.644507999999998,0.99262077,17.332240856619553,17.102016,,,,0.995,15.644507999999998,,0.11,-1110.9623,15.644507999999998,,,1.0,1,15.644507999999998,31.289016999999998,17.102016,17.102016,1.0,1e-10
1,,40,2e-10,8.561405181884767,15.644507999999998,0.99262077,9.507751597648364,16.408869,,3.2822884e-31,,0.995,8.668443,1.6411442e-31,0.11,-595.5287,15.644507999999998,1.4226164999999999e-30,3.2822884e-31,1.4142135,2,12.156475,22.124676,-9.903487,3.2526908,1.0,1.4142136e-10
2,,60,1.5,8.741094589233397,15.644507999999998,0.99262077,9.422409868982331,16.003404999999997,,1.5,,0.995,8.578567999999999,0.5,0.11,-393.47278,15.644507999999998,4.289283999999999,1.5,1.0,3,10.96384,35.5783,10.233627,5.30936,1.0,1.5
3,,80,2.6666653,8.957132101058962,15.644507999999998,0.99262077,9.39539435135737,15.715722,,1.3333327,,0.995,8.554674,0.6666663,0.11,-290.95867999999996,15.644507999999998,5.711077700000001,1.3333327,1.4142135,4,10.361547999999999,27.835753999999998,16.295956,7.941613,1.0,1.8856171000000002
4,,100,3.7499976000000004,9.181422948837278,15.644507999999998,0.99262077,9.38565713922478,15.4925785,,1.25,,0.995,8.543934,0.7499995,0.11,-228.7293,15.644507999999998,6.41929,1.2499988000000002,1.7320508000000001,5,9.998026,24.484013,19.965117000000003,10.282872,1.0,2.1650622000000004
5,,120,4.8,9.451305627822878,15.644507999999998,0.99262077,9.368423600919428,15.310257,,1.2,,0.995,8.530333,0.8,0.11,-187.69008,15.644507999999998,6.8415027,1.2,2.0,6,9.75341,22.486012,17.323593,11.415962,1.0,2.4
6,,140,5.833332,9.663553953170775,15.644507999999998,0.99262077,9.292158092186963,15.156106,,1.166667,,0.995,8.460329,0.83333313,0.11,-158.87105,15.644507999999998,7.1113043000000005,1.166667,2.2360682,7,9.568685,21.104176000000002,13.889041,11.741313,1.0,2.608745
7,,160,6.857144,9.992897033691406,15.644507999999998,0.99262077,9.416776407126124,15.022575,,1.1428573,,0.995,8.575863,0.857143,0.11,-137.09386,15.644507999999998,7.320530000000001,1.1428573,2.4494898,8,9.444582,20.094217,15.21299,12.154778,1.0,2.7994173
8,,180,7.8749975999999995,10.391891717910768,15.644507999999998,0.99262077,9.41093806981763,14.904792,,1.1250006000000001,,0.995,8.568379,0.87499976,0.11,-119.58221999999999,15.644507999999998,7.476508,1.1249995000000002,2.6457512000000003,9,9.347225,19.302647,20.393068,13.054469000000001,1.0,2.9764692999999998
9,,200,8.888885499999999,10.803977727890015,15.644507999999998,0.99262077,9.365008787086587,14.799432000000001,,1.1111116,,0.995,8.526228999999999,0.88888854,0.11,-106.67966499999999,15.644507999999998,7.5931425,1.1111106000000002,2.828427,10,9.265125999999999,18.655479999999997,9.337937,12.670439,1.0,3.1426957000000004
10,,220,9.9,11.2099928855896,15.644507999999998,0.99262077,9.369556973885944,14.704122,,1.1,,0.995,8.529800999999999,0.9,0.11,-95.52005,15.644507999999998,7.6868114,1.1,3.0,11,9.198278,18.116484,15.980732000000001,12.961355000000001,1.0,3.3
11,,240,10.909089999999999,11.65938687324524,15.644507999999998,0.99262077,9.372613162150424,14.61711,,1.090909,,0.995,8.533317,0.9090908000000001,0.11,-86.35074,15.644507999999998,7.763765299999999,1.090909,3.1622777,12,9.142864,17.658222,14.424725,13.075025,1.0,3.449757
12,,260,11.916666000000001,11.921640872955322,15.644507999999998,0.99262077,9.399888412199688,14.537067,,1.0833343999999998,,0.995,8.558255,0.9166665999999999,0.11,-78.738976,15.644507999999998,7.829973,1.0833335,3.3166246,13,9.097895,17.263966,12.522103999999999,13.025538000000001,1.0,3.5930101999999997
13,,280,12.923079,12.275578737258911,15.644507999999998,0.99262077,9.32272670762826,14.462959,,1.0769233,,0.995,8.487219,0.92307705,0.11,-71.99718,15.644507999999998,7.8805323000000005,1.0769233,3.4641016000000002,14,9.054275,16.912893,15.572153,13.201514999999999,1.0,3.7305714999999995
14,,300,13.928567999999999,12.642049551010132,15.644507999999998,0.99262077,9.39803445243334,14.393967000000002,,1.0714283000000002,,0.995,8.553907,0.92857116,0.11,-66.32481999999999,15.644507999999998,7.928627499999999,1.0714283000000002,3.6055512000000003,15,9.020916999999999,16.60664,13.019141000000001,13.18425,1.0,3.8630898
15,,320,14.933335999999999,12.86850118637085,15.644507999999998,0.99262077,9.347572604324338,14.329428,,1.0666671,,0.995,8.513098,0.9333334999999999,0.11,-61.362465,15.644507999999998,7.967594999999999,1.0666671,3.7416577000000006,16,8.989179,16.329935,13.008314,13.168806,1.0,3.9911017
16,,340,15.937504,13.095958709716795,15.644507999999998,0.99262077,9.364636960574991,14.268804000000001,,1.0625004999999998,,0.995,8.523164999999999,0.93750024,0.11,-56.901814,15.644507999999998,8.002319,1.0625004999999998,3.8729835,17,8.961766,16.081108,14.407951999999998,13.237786999999999,1.0,4.1150455
17,,360,16.941172,13.503974676132202,15.644507999999998,0.99262077,9.354285692891224,14.211645,,1.0588236,,0.995,8.516451,0.9411761999999999,0.11,-52.7651,15.644507999999998,8.032558,1.0588226,4.0,18,8.937026,15.854813,17.501844000000002,13.471217999999999,1.0,4.235293
18,,380,17.944448,14.063242197036743,15.644507999999998,0.99262077,9.350870392330243,14.157577499999999,,1.0555558999999999,,0.995,8.514043,0.94444466,0.11,-49.15278,15.644507999999998,8.059311,1.0555558999999999,4.123106,19,8.914764,15.648012,15.814913,13.591482000000001,1.0,4.3521676
19,,400,18.947363,14.654866456985474,15.644507999999998,0.99262077,9.370902328206594,14.106284,,1.0526316,,0.995,8.532336,0.94736814,0.11,-45.924095,15.644507999999998,8.084204,1.0526316,4.242641000000001,20,8.895643,15.459095000000001,15.369588,13.677615,1.0,4.465936
20,,420,19.949997,15.132113695144653,15.644507999999998,0.99262077,9.400272217347553,14.057494,,1.0499998,,0.995,8.56066,0.94999987,0.11,-43.328278000000005,15.644507999999998,8.1080265,1.0499998,4.3588986,21,8.879691000000001,15.286220000000002,8.539377,13.430437,1.0,4.5768433
21,,440,20.952385,15.523161172866821,15.644507999999998,0.99262077,9.389018771829967,14.010974,,1.0476192,,0.995,8.549387,0.95238113,0.11,-40.621340000000004,15.644507999999998,8.129046,1.0476192,4.4721364999999995,22,8.864677,15.125483,16.177736,13.553045000000001,1.0,4.6850953
22,,460,21.954544,15.977818250656128,15.644507999999998,0.99262077,9.400169405550967,13.966522,,1.0454555,,0.995,8.559844,0.9545454,0.11,-38.144172999999995,15.644507999999998,8.148626,1.0454555,4.582576,23,8.851424,14.976448999999999,16.309067000000002,13.670805999999999,1.0,4.790874
23,,480,22.956516,16.495488166809082,15.644507999999998,0.99262077,9.399493943036985,13.923963,,1.0434793,,0.995,8.559237,0.9565215,0.11,-35.899677000000004,15.644507999999998,8.166477,1.0434783,4.690416,24,8.83925,14.837318,15.681204000000001,13.752682,1.0,4.8943458
24,,500,23.958332000000002,16.825138807296753,15.644507999999998,0.99262077,9.379596084069828,13.883141,,1.0416676999999999,,0.995,8.538298,0.95833325,0.11,-33.77882,15.644507999999998,8.181972,1.0416676999999999,4.7958317,25,8.827211,14.7061825,17.080896,13.884072,1.0,4.9956574
25,,520,24.960003,17.30838918685913,15.644507999999998,0.99262077,9.342287291211194,13.84392,,1.0400001,,0.995,8.502951,0.9600001,0.11,-32.024586,15.644507999999998,8.194811,1.0400001,4.8989797,26,8.814739,14.581655,11.792084,13.802011499999999,1.0,5.094939
26,,540,25.961546,18.09471821784973,15.644507999999998,0.99262077,9.366514013103517,13.80618,,1.0384619000000002,,0.995,8.530049,0.96153873,0.11,-30.252396,15.644507999999998,8.207707000000001,1.0384619000000002,5.0000005,27,8.804195,14.46551,15.786781,13.874042000000001,1.0,5.192309
27,,560,26.96296,18.586947917938236,15.644507999999998,0.99262077,9.389942981617496,13.769812,,1.0370378,,0.995,8.548941000000001,0.9629628,0.11,-28.764979999999998,15.644507999999998,8.220342,1.0370368,5.0990195,28,8.795079,14.356623,11.358913000000001,13.782844,1.0,5.287871400000001
28,,580,27.964289,19.14763832092285,15.644507999999998,0.99262077,9.298554221030132,13.734720000000001,,1.0357144,,0.995,8.466183000000001,0.9642858,0.11,-27.327887,15.644507999999998,8.229124,1.0357144,5.196152,29,8.783738,14.250698000000002,12.875562,13.750282,1.0,5.38173
29,,600,28.965511,19.67838740348816,15.644507999999998,0.99262077,9.407010375731627,13.700819000000001,,1.0344834,,0.995,8.566061,0.96551704,0.11,-25.869104,15.644507999999998,8.240739999999999,1.0344824000000001,5.2915025,30,8.776483,14.153808999999999,16.401728,13.837475,1.0,5.473967
30,,620,29.966663,20.130550384521484,15.644507999999998,0.99262077,9.420514933092676,13.668029,,1.0333347,,0.995,8.579703,0.9666665999999999,0.11,-24.500536,15.644507999999998,8.252039,1.0333326999999999,5.385164700000001,31,8.770133999999999,14.0622635,16.523670000000003,13.923015,1.0,5.564669599999999
31,,640,30.967743,20.767714500427246,15.644507999999998,0.99262077,9.41149832962167,13.636281,,1.0322591,,0.995,8.567407000000001,0.96774197,0.11,-23.26961,15.644507999999998,8.262215,1.0322582,5.477226,32,8.7638,13.974781,14.857377,13.951172,1.0,5.65391
32,,660,31.968746000000003,21.110126495361328,15.644507999999998,0.99262077,9.416464103429817,13.605509,,1.0312506,,0.995,8.573996000000001,0.9687498999999999,0.11,-22.112339000000002,15.644507999999998,8.271956,1.0312496,5.5677642999999994,33,8.758047,13.89163,14.889564000000002,13.978632000000001,1.0,5.741756400000001
33,,680,32.969696,21.531694889068604,15.644507999999998,0.99262077,9.357920914318159,13.575656,,1.030304,,0.995,8.520453,0.96969694,0.11,-20.875553,15.644507999999998,8.279487,1.0303019,5.656854,34,8.75106,13.810656,19.90854,14.1521225,1.0,5.8282739999999995
34,,700,33.970596,21.903913259506226,15.644507999999998,0.99262077,9.384941724160468,13.546667999999999,,1.0294121999999999,,0.995,8.543241,0.97058845,0.11,-19.879255,15.644507999999998,8.287246000000001,1.0294121999999999,5.744562999999999,35,8.745122,13.733964000000002,13.965882999999998,14.145937,1.0,5.913521299999999
35,,720,34.971428,22.478591203689575,15.644507999999998,0.99262077,9.330042537246682,13.518497,,1.0285720999999999,,0.995,8.4959955,0.9714286,0.11,-18.880644,15.644507999999998,8.293209,1.0285720999999999,5.8309517,36,8.738201,13.659231,16.04259,14.197803500000001,1.0,5.9975505
36,,740,35.972225,23.035254716873172,15.644507999999998,0.99262077,9.332697439616656,13.491098000000001,,1.0277779,,0.995,8.493946000000001,0.9722223,0.11,-18.054807999999998,15.644507999999998,8.298785,1.0277779,5.91608,37,8.731601,13.587594000000001,11.647925,14.128117999999999,1.0,6.0804157
37,,760,36.972977,23.532215118408203,15.644507999999998,0.99262077,9.385134914605377,13.464429999999998,,1.0270274,,0.995,8.545019,0.97297305,0.11,-17.039814,15.644507999999998,8.305441,1.0270274,6.0,38,8.726689,13.520276999999998,20.4883,14.29476,1.0,6.162163
38,,780,37.973686,24.19321703910828,15.644507999999998,0.99262077,9.386715584375505,13.438455,,1.0263165,,0.995,8.54696,0.97368425,0.11,-16.197860000000002,15.644507999999998,8.311796000000001,1.0263156,6.0827622,39,8.722081,13.455679,15.770413000000001,14.3319025,1.0,6.2428360000000005
39,,800,38.974365,24.823654890060425,15.644507999999998,0.99262077,9.367586511844381,13.413136999999999,,1.0256413,,0.995,8.529395,0.97435915,0.11,-15.338773000000002,15.644507999999998,8.317376,1.0256413,6.1644144,40,8.717264,13.393125,18.140304999999998,14.426457999999998,1.0,6.3224764
40,,820,39.975,25.295482873916626,15.644507999999998,0.99262077,9.38411125574194,13.388444,,1.0250009,,0.995,8.546608,0.97499996,0.11,-14.522434,15.644507999999998,8.323106,1.025,6.244998000000001,41,8.713102000000001,13.333359,18.106453,14.51559,1.0,6.4011226
