,Bound,IWLastEpisode,ReturnAbsMax,IWMax,TimestepsSoFar,target_sum_log_mean,ReturnMean,IWNorm1,ReturnLastEpisode,Iteration,DenMISEMeanLog,ReturnMax,URet,IWNorm2,IWFirstEpisode,IWMean,TimeElapsed,DenMISELogLast,SqrtESSClassic,MISE,ReturnMin,DenMISELogFirst,ReturnStepMax,LQGsigma,LQGmu01,IWMin,LQGmu1
0,63.38965,1.2095755,15.058442000000001,1.2095755,20,18.79245,15.058442000000001,1.2095755,15.058442000000001,1,18.60218,15.058442000000001,16.687925283112616,1.2095755,1.2095755,1.2095755,0.8127543926239014,18.60218,1.0,18.214323,,18.60218,0.9625284,0.11,-0.01,,-0.105
1,51.32394,1.1552223,15.865079000000001,1.1552223,40,20.074652,15.4617605,2.2845583,15.865079000000001,2,19.941689999999998,15.865079000000001,17.565936350579985,1.6155303,1.1293358999999998,1.1422791,19.153907775878906,21.181547,1.4141229,17.666866,,18.701833999999998,0.9965108,0.11,-0.011,,-0.106
2,27.590944,,15.929637,,60,-584.9839,15.617719000000001,3e-10,15.929637,3,20.441086,15.929637,17.639493460089874,1.7320508999999999e-10,,,19.907212495803837,21.347223,1.7320506999999998,,,18.744041,0.99750483,0.11,0.046,,0.43
3,23.894454999999997,2.4130939e-21,15.929637,2.4130939e-21,80,-453.25543,13.898912,4e-10,8.74249,4,12.465894,15.929637,9.59028310626341,2e-10,,6.0327346e-22,20.299984693527218,-10.596635000000001,2.0,5.274111999999999e-21,,18.45636,0.99750483,0.11,0.046,,0.43
4,50.008595,1.2945825,15.929637,1.2945825,100,-332.41943,12.833722999999999,1.2945825,8.572969,5,12.370737,15.929637,9.414771256099462,1.2945825,,0.2589165,20.70520281791687,12.882676,1.0,2.2196832000000004,,18.233217,0.99750483,0.11,0.042,,0.393
5,53.706233999999995,6.8919897,15.929637,6.8919897,120,-269.2606,12.137784,7.839813,8.65809,6,12.770539,15.929637,9.509730050457394,6.956859,,1.3066355,21.540988445281982,15.450911499999998,1.1269186000000002,11.299521,,18.050895999999998,0.99750483,0.11,0.041,,0.385
6,45.413315000000004,2.2495837000000005,15.929637,5.9095254,140,-222.64182000000002,11.634547,8.783396,8.615126,7,13.547089000000001,15.929637,9.461883762208108,6.3539634000000005,,1.2547708999999998,22.42675876617432,18.219772,1.3823491,10.842519,,17.896744,0.99750483,0.11,0.039,,0.376
7,42.834385,4.209101,15.929637,6.1029663,160,-186.89241,11.260052,12.311008000000001,8.638583,8,13.472431,15.929637,9.490887432235944,7.608150500000001,,1.5388760000000001,23.79029631614685,12.908401,1.6181341,13.301043,,17.763212,0.99750483,0.11,0.038,,0.363
8,40.95603,1.1887463,15.929637,6.3387136,180,-156.6926,10.966652,12.261049,8.619449000000001,9,14.167418,15.929637,9.467263656767225,7.4864497000000005,,1.3623388,25.18364882469177,19.450151,1.6377655,11.776698,,17.645429999999998,0.99750483,0.11,0.036,,0.347
9,27.638192999999998,1.1843615,15.929637,1.8756331999999998,200,-152.52243,10.736097000000001,8.768675,8.661108,10,14.025301999999998,15.929637,9.511050431946137,3.6829684,,0.8768674999999999,26.510372877120968,12.582730999999999,2.3808715,7.5661697,,17.54007,0.99750483,0.11,0.04,,0.379
