,ReturnAbsMax,MISE,Iteration,LQGmu01,SqrtESSClassic,target_sum_log_mean,TimeElapsed,TimestepsSoFar,LQGsigma,ReturnMean,LQGmu1,ReturnStepMax,IWNorm2,IWNorm1,ReturnMin,IWMax,ReturnLastEpisode,IWFirstEpisode,DenMISELogFirst,IWLastEpisode,DenMISELogLast,DenMISEMeanLog,Bound,IWMin,IWMean,ReturnMax,URet
0,15.807039999999999,,1,0.058,1.0,-633.4356700000001,0.4914677143096924,20,0.11,15.807039999999999,0.524,0.99233466,1e-10,1e-10,,,15.807039999999999,,13.511501,,13.511501,13.511501,31.614079999999998,,,15.807039999999999,17.497854397219367
1,15.807039999999999,5.737919999999999e-18,2,0.058,1.4142135,-342.25034,14.157416343688965,40,0.11,12.218509,0.524,0.99233466,1.4142136e-10,2e-10,,1.3297648000000001e-18,8.629977,,12.818355,1.3297648000000001e-18,-9.903487,1.4574337,22.35453,,6.648824000000001e-19,15.807039999999999,9.467825341079903
2,15.807039999999999,4.4323690000000004,3,0.062,1.0,-232.61182000000002,14.491291999816895,60,0.11,10.992608,0.551,0.99233466,1.556891,1.556891,,1.556891,8.540809,,12.4128895,1.556891,13.889163,5.331033000000001,36.046448,,0.51896363,15.807039999999999,9.380979328601766
3,15.807039999999999,6.3580513,4,0.068,1.4087973,-180.6171,15.155891418457033,80,0.11,10.377052,0.593,0.99233466,2.115071,2.9797062999999997,,1.6206219,8.530382000000001,,12.125207000000001,1.6206219,15.777307,7.831347,28.798527000000004,,0.7449266,15.807039999999999,9.367139853099497
4,15.807039999999999,8.703928,5,0.08,1.6626863,-155.8981,15.999110221862793,100,0.11,10.001609,0.667,0.99233466,3.0726037,5.108776,,2.3810108,8.499839,,11.902063,2.3810108,9.550458,8.123183000000001,27.717785,,1.0217551999999999,15.807039999999999,9.332046693629053
5,15.807039999999999,8.592091,6,0.085,1.9571737,-130.29578999999998,16.678472518920902,120,0.11,9.755206,0.691,0.99233466,3.0914384999999998,6.0504823,,2.0218654,8.523186,,11.719742,1.472075,18.154957,9.788419000000001,24.745016,,1.0084137,15.807039999999999,9.365360344739427
6,15.807039999999999,8.837172500000001,7,0.088,2.2064218999999996,-111.8039,17.535211563110348,140,0.11,9.577477,0.708,0.99233466,3.2911587,7.2616844,,1.8038046000000003,8.5111065,,11.565591,1.6239297,12.406886,10.158323,23.165384,,1.0373834000000002,15.807039999999999,9.345394314661243
7,15.807039999999999,8.551681,8,0.09,2.4236652999999997,-96.92596999999999,18.449817419052124,160,0.11,9.447614,0.717,0.99233466,3.3123412000000005,8.028007,,1.6567566000000002,8.538568,,11.43206,1.1538395000000001,14.961134,10.759418499999999,21.595594000000002,,1.0035008,15.807039999999999,9.376699612916779
8,15.807039999999999,8.649202,9,0.092,2.6264212000000002,-85.46762,19.337005138397213,180,0.11,9.34406,0.725,0.99233466,3.4782271000000002,9.135289,,1.5563595,8.515633,,11.314277,1.4013481,12.429316,10.94322,20.686146,,1.0150322,15.807039999999999,9.349289303814023
9,15.807039999999999,7.898425,10,0.093,2.7297217999999996,-75.99268000000001,20.342700958251953,200,0.11,9.2709,0.731,0.99233466,3.3940349999999997,9.264771000000001,,1.482369,8.61246,,11.208917,0.39977783,15.144307000000001,11.363208,19.479855,,0.92647713,15.807039999999999,9.459274622317267
10,15.807039999999999,7.844867,11,0.094,2.912457,-67.47629,21.303194522857662,220,0.11,9.205119999999999,0.735,0.99233466,3.4743824,10.118989,,1.4247798,8.547316,,11.113605999999999,1.046439,20.873526000000002,12.220535,18.699648,,0.9199081,15.807039999999999,9.387710653352412
11,15.807039999999999,7.839582000000001,12,0.094,3.085525,-60.698517,22.07142400741577,240,0.11,9.149683999999999,0.737,0.99233466,3.574604,11.029531,,1.3788975,8.539896,,11.026595,1.0661962,15.903611999999999,12.520485,18.085514,,0.9191275,15.807039999999999,9.38083735371664
12,15.807039999999999,7.9416556,13,0.095,3.2491705,-54.68942,23.03849744796753,260,0.11,9.101656,0.739,0.99233466,3.7253906999999997,12.104429,,1.3422455,8.525321,,10.946552,1.2050873,19.128626,13.022416,17.671549,,0.93110996,15.807039999999999,9.362126915484163
13,15.807039999999999,8.18392,14,0.096,3.3931224,-49.907993,24.04906535148621,280,0.11,9.056648,0.745,0.99233466,3.9617739999999997,13.442784,,1.4602962,8.471554,,10.872444,1.4602962,16.105268,13.237544,17.501026,,0.9601989,15.807039999999999,9.302410292188592
14,15.807039999999999,8.211999,15,0.097,3.5422849999999997,-46.372334,25.04640603065491,300,0.11,9.021214,0.749,0.99233466,4.0797753,14.451726999999998,,1.4251032,8.525124,,10.803452,1.1462246999999999,6.403555,12.779039,17.136768,,0.96344846,15.807039999999999,9.35763508059077
15,15.807039999999999,8.198141,16,0.097,3.6844208,-42.60263,26.18988156318665,320,0.11,8.991242999999999,0.752,0.99233466,4.1761045,15.386526000000002,,1.3941766000000002,8.54168,,10.738913,1.062235,16.512753,13.009910000000001,16.778616,,0.9616579,15.807039999999999,9.378421943241909
16,15.807039999999999,8.190532000000001,17,0.098,3.8211184,-39.28921,27.46682620048523,340,0.11,8.964675,0.754,0.99233466,4.273838,16.330841,,1.3669605,8.539595,,10.6782875,1.0585268,15.722207999999998,13.167054,16.464046,,0.9606377,15.807039999999999,9.37770515333214
