,DenMISEMeanLog,SqrtESSClassic,TimestepsSoFar,MISE,target_sum_log_mean,ReturnAbsMax,ReturnMean,ReturnMin,LQGmu1,IWNorm1,IWLastEpisode,LQGsigma,DenMISELogLast,Iteration,Bound,DenMISELogFirst,IWFirstEpisode,ReturnMax,IWMean,IWMin,URet,IWMax,TimeElapsed,ReturnLastEpisode,IWNorm2,ReturnStepMax,LQGmu01
0,13.511501,1.0,20,18.586864000000002,13.673501000000002,15.807039999999999,15.807039999999999,,-0.094,1.1758598999999998,1.1758598999999998,0.11,13.511501,1,66.00798,13.511501,1.1758598999999998,15.807039999999999,1.1758598999999998,,17.497854397219367,1.1758598999999998,0.13640308380126953,15.807039999999999,1.1758598999999998,0.99233466,-0.009
1,16.563692,1.371725,40,22.511201999999997,16.900760000000002,15.807039999999999,15.606457,,-0.092,2.8941875,1.8100479,0.11,19.531605,2,57.081635,13.595778,1.0841396,15.807039999999999,1.4470937,,17.065959785496393,1.8100479,4.4363322257995605,15.405872,2.109889,0.99233466,-0.009
2,15.845134,1.6709983,60,20.829207999999998,16.109312,15.807039999999999,15.472851,,-0.09,4.043872,1.140672,0.11,14.141329999999998,3,49.208121999999996,13.623439000000001,1.0385957000000001,15.807039999999999,1.3479573,,16.842618451755552,1.8646041000000002,4.6924684047698975,15.205641,2.4200334999999997,0.99233466,-0.009
3,15.974108,1.8705326,80,20.029863,16.171146,15.807039999999999,15.536717000000001,,-0.087,5.1685867,0.9933711,0.11,16.121168,4,45.38153,13.633041,0.96574277,15.807039999999999,1.2921467,,17.422157303486266,2.1363687999999996,4.92095947265625,15.728316,2.763163,0.99233466,-0.009
4,14.762423499999999,2.0369656000000003,100,20.726805,14.968468,15.807039999999999,15.438998000000002,,-0.084,6.7374964,1.6640041,0.11,9.704578999999999,5,44.00708,13.626166,0.84474117,15.807039999999999,1.3474993,,16.64498107360619,2.4078188,5.349905252456665,15.048119,3.3076142999999996,0.99233466,-0.008
5,15.325915,2.152704,120,22.667915,15.584489000000001,15.807039999999999,15.257022000000001,,-0.081,9.030369,2.7730162,0.11,17.883955,6,44.69655,13.599948999999999,0.7344889,15.807039999999999,1.5050615,,15.94672176748791,2.7730162,5.781733512878418,14.347145000000001,4.1948957,0.99233466,-0.008
6,14.979335,1.9433005,140,16.943583,14.632249,15.807039999999999,15.261207,,-0.07,7.9132123,0.78627706,0.11,12.516501,7,41.345946999999995,13.561281,0.24928196,15.807039999999999,1.130459,,16.924722910617753,2.8601465,6.058558464050293,15.286310999999998,4.0720477,0.99233466,-0.007
7,14.955847,1.016865,160,2.2410272000000002e-06,-5.0457325,15.807039999999999,15.249146,,-0.01,1.1649935e-06,1.025962e-08,0.11,14.732810999999998,8,46.634632,13.462742,6.328751400000001e-10,15.807039999999999,1.4552417e-07,,16.79258987877215,1.145513e-06,6.411228656768799,15.164727,1.1456717e-06,0.99233466,-0.001
8,13.428629999999998,1.0000001,180,10.686179,-4.996008,15.807039999999999,14.814426000000001,,-0.008,8.483589,8.483588000000001,0.11,2.1531582,9,58.107296,13.344957999999998,2.5574612e-10,15.807039999999999,0.9426209999999999,,12.443316191494384,8.483588000000001,6.796875238418579,11.336666000000001,8.483588000000001,0.99233466,-0.001
9,13.358091,1.4086131000000002,200,13.181435,-2.2389930000000002,15.807039999999999,14.53416,,-0.01,11.262003,6.1336346,0.11,13.007455,10,46.84655,13.239598,6.894722599999999e-10,15.807039999999999,1.1262003,,13.326081595523055,6.1336346,7.007296323776245,12.011759,7.9951,0.99233466,-0.001
10,13.921092999999999,1.6904081999999998,220,14.846789999999999,0.34920165,15.807039999999999,14.261419,,-0.011,13.970406,4.1015525,0.11,19.611889,11,42.89985,13.144288000000001,1.3231398e-09,15.807039999999999,1.2700368,,12.764228058006005,6.1139126,7.274093151092528,11.534006,8.264516,0.99233466,-0.001
11,14.007156,1.9062085,240,15.228916,2.0945427,15.807039999999999,13.934710999999998,,-0.012,15.989272,3.3790355000000005,0.11,14.858423000000002,12,40.10611,13.057277000000001,2.5199699999999995e-09,15.807039999999999,1.3324393,,11.394512479111242,6.1777334,7.661396741867065,10.340931,8.387998,0.99233466,-0.001
12,14.356226999999999,2.0532699,260,15.291935999999998,3.8297632000000004,15.807039999999999,13.801375,,-0.013,17.173251999999998,2.4376933999999997,0.11,18.367455,13,38.387352,12.977234,4.888701000000001e-09,15.807039999999999,1.3210194,,13.469458892876663,6.366965,8.210447311401367,12.201342,8.363855000000001,0.99233466,-0.001
13,14.510423999999999,2.0764308000000002,280,13.759882000000001,5.0716367,15.807039999999999,13.627187,,-0.014,16.625076,0.8755474,0.11,16.324986,14,36.597687,12.903126,9.228257e-09,15.807039999999999,1.1875055,,12.544096300136545,6.4357714999999995,8.724693059921265,11.362731,8.006564,0.99233466,-0.001
14,13.926919,2.1879199000000003,300,14.331907000000001,5.4998455,15.807039999999999,13.602445000000001,,-0.015,18.102638,2.8582199,0.11,5.669876599999999,15,36.005974,12.834133,1.7842297999999998e-08,15.807039999999999,1.2068424999999998,,14.618914498323289,6.5978103,9.458598613739014,13.2560625,8.273904,0.99233466,-0.002
15,14.038816,2.2895307999999996,320,15.022070999999999,6.509816000000001,15.807039999999999,13.548351,,-0.017,19.96273,3.237705,0.11,15.604144,16,35.734226,12.769594,3.5511476e-08,15.807039999999999,1.2476707,,14.100061555448036,6.808377,9.93537664413452,12.736939,8.719136,0.99233466,-0.002
