,TimestepsSoFar,IWNorm2,IWMax,LQGmu1,ReturnMean,IWMin,ReturnAbsMax,ReturnMax,IWNorm1,IWLastEpisode,DenMISEMeanLog,LQGmu01,Bound,URet,ReturnMin,MISE,Iteration,DenMISELogFirst,SqrtESSClassic,DenMISELogLast,IWFirstEpisode,ReturnLastEpisode,ReturnStepMax,LQGsigma,target_sum_log_mean,IWMean,TimeElapsed
0,20,1e-10,,0.345,15.644507999999998,,15.644507999999998,15.644507999999998,1e-10,,17.102016,0.036,31.289016999999998,17.332240856619553,,,1,17.102016,1.0,17.102016,,15.644507999999998,0.99262077,0.11,-455.81515999999993,,0.3455522060394287
1,40,1.4142136e-10,9.681677599999999e-26,0.345,12.213182000000002,,15.644507999999998,15.644507999999998,2e-10,9.681677599999999e-26,3.2526908,0.036,22.124676,9.632500173261798,,4.251155e-25,2,16.408869,1.4142135,-9.903487,,8.781857,0.99262077,0.11,-261.6578,4.8408387999999994e-26,11.960954427719116
2,60,1.8483107,1.8483107,0.342,11.037992,,15.644507999999998,15.644507999999998,1.8483107,1.8483107,5.3093605,0.036,36.641487,9.542150275722868,,5.352469,3,16.003404999999997,1.0,10.233628,,8.687613,0.99262077,0.11,-169.44691,0.6161036,12.087483406066895
3,80,2.405002,1.8314819,0.339,10.445818,,15.644507999999998,15.644507999999998,3.3902345,1.5587525,7.947611,0.035,29.552273,9.521357226236738,,7.356122500000001,4,15.715722,1.4096596000000001,16.245392000000002,,8.669294,0.99262077,0.11,-121.92403,0.8475585999999999,12.901654958724976
4,100,2.8161623,1.8980466,0.336,10.089165,,15.644507999999998,15.644507999999998,4.838245400000001,1.4162209,10.29674,0.035,26.606049,9.515796921482957,,8.393880000000001,5,15.4925785,1.7180278000000002,19.87977,,8.662556,0.99262077,0.11,-92.62175,0.9676491,13.720784902572632
5,120,3.1385214,2.0377035,0.333,9.84983,,15.644507999999998,15.644507999999998,6.155078400000001,1.2154798999999998,11.455173,0.035,24.849273999999998,9.503426861434864,,8.894767,6,15.310257,1.9611396,17.321707,,8.653153,0.99262077,0.11,-73.407196,1.0258464,14.551308870315552
6,140,3.2082374,2.1787791000000003,0.329,9.670494999999999,,15.644507999999998,15.644507999999998,6.5729966,0.40166992,11.892476,0.034,23.409927,9.439554429816877,,8.137958,7,15.156106,2.0487874,14.531275,,8.594486999999999,0.99262077,0.11,-60.21399,0.93899953,15.01257586479187
7,160,3.9621627,2.4380188,0.327,9.549191,,15.644507999999998,15.644507999999998,8.765473,2.4380188,12.232445,0.034,23.650007000000002,9.553538528165047,,9.506768,8,15.022575,2.212295,14.698513,,8.700066,0.99262077,0.11,-50.32992,1.0956841999999998,15.880200386047365
8,180,4.4906797,2.4286689999999997,0.324,9.454436999999999,,15.644507999999998,15.644507999999998,10.765829,2.2337043,13.081475,0.034,23.435978,9.551566345283408,,10.384594,9,14.904792,2.3973717999999997,19.825966,,8.696399000000001,0.99262077,0.11,-42.0918,1.1962032,16.660701036453247
9,200,4.70456,2.4940052,0.322,9.375084,,15.644507999999998,15.644507999999998,11.9943,1.3174936000000002,12.700917,0.033,22.683601,9.512953586630386,,10.411017,10,14.799432000000001,2.5495052000000005,9.136402,,8.660903999999999,0.99262077,0.11,-36.560825,1.19943,17.64970326423645
10,220,4.9602,2.6198412999999996,0.318,9.310763,,15.644507999999998,15.644507999999998,13.274045000000001,1.3399944,12.998402,0.033,22.166227,9.520776257371312,,10.474255,11,14.704122,2.676111,15.824635999999998,,8.6675625,0.99262077,0.11,-31.371332000000002,1.2067313,18.762449026107788
11,240,5.2790627,2.8052595,0.314,9.257695,,15.644507999999998,15.644507999999998,14.665208999999999,1.53811,13.103003999999999,0.033,21.87173,9.527075319067349,,10.608564999999999,12,14.61711,2.7779949,14.094547,,8.673952,0.99262077,0.11,-27.112787,1.2221007,19.657936811447144
12,260,6.063199,3.160343,0.311,9.214777,,15.644507999999998,15.644507999999998,17.242805,3.160343,13.006592,0.032,22.521708,9.555301670839091,,11.519347999999999,13,14.537067,2.843846,11.674646000000001,,8.699743,0.99262077,0.11,-23.71743,1.3263696000000003,20.926486253738407
