,IWMean,DenMISELogFirst,IWLastEpisode,DenMISELogLast,TimestepsSoFar,IWFirstEpisode,MISE,DenMISEMeanLog,IWMin,IWMax,target_sum_log_mean,LQGmu1,ReturnMean,URet,ReturnMin,TimeElapsed,ReturnStepMax,SqrtESSClassic,IWNorm1,IWNorm2,Bound,LQGsigma,Iteration,ReturnLastEpisode,LQGmu01,ReturnMax,ReturnAbsMax
0,,18.60218,,18.60218,20,,,18.60218,,,-223.75853999999998,-0.491,15.058442000000001,16.687925283112616,,0.6851744651794434,0.9625284,1.0,1e-10,1e-10,30.116884000000002,0.11,1,15.058442000000001,-0.054,15.058442000000001,15.058442000000001
1,1.0436379999999998,17.909032999999997,2.0872759999999997,5.222658,40,,17.678387,11.5658455,,2.0872759999999997,-101.39065,-0.472,15.998817,18.714676519129387,,13.921007871627808,0.99998707,1.0,2.0872759999999997,2.0872759999999997,51.556774,0.11,2,16.939194,-0.051,16.939194,16.939194
2,1.5850843000000001,17.503569,3.8229651,20.531693,60,,27.159822,14.522395999999999,,3.8229651,-43.715458,-0.408,16.393304999999998,18.963917998334274,,14.589874505996704,0.99998707,1.2084507,4.755253,3.9349997,55.5967,0.11,3,17.182281,-0.043,17.182281,17.182281
3,1.2326291,17.215887,1.5956868,18.443102,80,,21.095646,15.559883,,2.0885246,-32.06886,-0.428,16.585539999999998,18.942778552668322,,15.420338869094849,0.99998707,1.6950034,4.9305162000000005,2.9088533,41.369682,0.11,4,17.162243,-0.046,17.182281,17.182281
4,1.1733658000000002,16.992743,1.5120833,13.359411999999999,100,,20.057713,15.146683,,1.5512131,-24.577606,-0.439,16.68259,18.848048946936785,,16.628658294677734,0.99998707,1.9960041000000002,5.866829,2.9392869999999998,37.274390000000004,0.11,5,17.070797,-0.047,17.182281,17.182281
5,0.7469127,16.810420999999998,3.2144306,17.068468,120,,12.749799000000001,15.486463,,3.2144306,-32.873287,-0.551,16.750296,18.868444557175007,,17.364100456237793,0.9999923000000001,1.353608,4.4814763,3.3107637999999997,38.13718,0.11,6,17.088821,-0.062,17.182281,17.182281
6,1.324561,16.656271,8.104154,17.185625,140,,22.63148,15.687356,,8.104154,-35.0913,-0.63,16.798433,18.8674238610833,,18.271384716033932,0.9999923000000001,1.1346192,9.271927,8.17184,52.91879,0.11,7,17.087257,-0.074,17.182281,17.182281
7,1.148326,16.52274,3.0669383999999997,13.235074,160,,19.643528,15.379685999999998,,3.9422355000000002,-25.314615,-0.597,16.843134,18.935691333155997,,19.395443677902218,0.9999923000000001,1.7338631000000002,9.186608,5.298347,39.46318,0.11,8,17.156042000000003,-0.069,17.182281,17.182281
8,1.1736312,16.404957,3.0659852,18.928501,180,,20.074676999999998,15.777735999999999,,3.0659852,-20.44013,-0.598,16.872185,18.883865355113333,,20.6536328792572,0.9999923000000001,2.0297213,10.56268,5.2040052,37.005356,0.11,9,17.104588,-0.069,17.182281,17.182281
9,1.177458,16.299595,2.399983,13.05118,200,,20.171383,15.513675,,2.42781,-16.133748999999998,-0.588,16.90929,19.025814810503302,,21.714666604995728,0.9999923000000001,2.3429947,11.774581,5.0254407,34.890366,0.11,10,17.243248,-0.067,17.243248,17.243248
10,1.1629459999999998,16.204285000000002,1.9540064,16.584505,220,,19.911505,15.621423000000002,,2.1229947,-12.209945,-0.577,16.925621,18.86794092160707,,22.908546447753906,0.9999923000000001,2.629664,12.792406,4.864654499999999,33.025917,0.11,11,17.088919,-0.066,17.243248,17.243248
11,1.1473318000000001,16.117273,1.6631014,18.023107999999997,240,,19.644445,15.831416,,1.9257755,-8.292162,-0.557,16.946405,18.956392869098014,,24.11226749420166,0.9999923000000001,2.9440901000000004,13.7679825,4.6764812000000004,31.35825,0.11,12,17.175022,-0.063,17.243248,17.243248
12,1.1736778,16.037231,2.004515,10.535352,260,,20.102806,15.433051,,2.004515,-6.5368010000000005,-0.553,16.964415,18.96041356522204,,25.34622073173523,0.9999923000000001,3.1378963,15.257812,4.8624334000000005,31.09313,0.11,13,17.18052,-0.062,17.243248,17.243248
13,1.1178255,15.963123000000001,1.3920721999999999,17.392422,280,,19.152344,15.583414999999999,,1.810041,-5.7336235,-0.569,16.978945,18.948125653624338,,26.381184339523315,0.9999923000000001,3.224784,15.649557000000001,4.852901,29.846546000000004,0.11,14,17.167854000000002,-0.064,17.243248,17.243248
14,1.0825022,15.894131,2.1730685000000003,18.014879999999998,300,,18.549643,15.751914000000001,,2.1730685000000003,-5.8092346,-0.598,16.988829,18.907384250301096,,27.48887610435486,0.9999923000000001,3.1515953999999997,16.237534,5.152163,29.492195000000002,0.11,15,17.127197,-0.069,17.243248,17.243248
15,1.0671758999999998,15.829592000000002,2.5306745,15.857220000000002,320,,18.282104,15.762226,,2.5306745,-5.689394,-0.621,16.995905,18.881330346099613,,28.44773554801941,0.9999923000000001,3.0516674999999998,17.074814,5.5952405999999995,29.582973,0.11,16,17.102062,-0.072,17.243248,17.243248
16,1.0815818000000001,15.768968,2.3049880000000003,17.20652,340,,18.536266,15.849589000000002,,2.404824,-4.538355,-0.625,17.007103,18.96668792337504,,29.404295206069946,0.9999923000000001,3.1867745,18.38689,5.7697496,29.35802,0.11,17,17.186273999999997,-0.073,17.243248,17.243248
17,1.0861216999999999,15.711808999999999,3.5233383000000003,17.288141,360,,18.606287,15.932645999999998,,3.5233383000000003,-4.578332,-0.649,17.012214999999998,18.879162614078744,,30.38410711288452,0.9999923000000001,3.0169914,19.55019,6.480028599999999,30.037045000000003,0.11,18,17.099107999999998,-0.077,17.243248,17.243248
