,TimestepsSoFar,IWNorm1,ReturnAbsMax,TimeElapsed,DenMISELogFirst,LQGmu01,ReturnMean,ReturnMax,ReturnLastEpisode,DenMISEMeanLog,IWNorm2,Iteration,target_sum_log_mean,IWMin,LQGmu1,URet,SqrtESSClassic,ReturnStepMax,DenMISELogLast,MISE,IWMean,ReturnMin,IWFirstEpisode,IWLastEpisode,Bound,IWMax,LQGsigma
0,20,5.2735527e-09,15.058442000000001,0.4817509651184082,18.60218,-0.019,15.058442000000001,15.058442000000001,15.058442000000001,18.60218,5.2735527e-09,1,-0.47752619999999996,,-0.186,16.687925283112616,1.0,0.9625284,18.60218,7.7905646e-08,5.1735527e-09,,5.1735527e-09,5.1735527e-09,30.116884000000002,5.1735527e-09,0.11
1,40,0.05925513,16.51008,13.199305057525635,17.909032999999997,-0.024,15.784262,16.51008,16.51008,17.728148,0.05925513,2,-5.290718,,-0.231,18.26199694522161,1.0,0.999936,17.547262,0.48915347,0.029627565,,1.7113571e-19,0.05925513,33.509315,0.05925513,0.11
2,60,4.756901999999999,16.819221,13.984234809875488,17.503569,-0.019,16.129248,16.819221,16.819221,18.635166,3.363783,3,12.281775999999999,,-0.192,18.586788680556168,1.4141526000000002,0.999936,21.230938000000002,26.426313,1.5856341,,9.326584e-10,2.4005275,50.21331,2.4005275,0.11
3,80,4.5009947,16.868114000000002,14.756035566329956,17.215887,-0.018,16.313965,16.868114000000002,16.868114000000002,18.577858,2.8951325,4,15.010063,,-0.18,18.63718042148457,1.5546765,0.999936,18.101421,18.743692000000003,1.1252487,,2.8013676e-07,0.6733252,40.443527,2.462879,0.11
4,100,5.9723754,16.868114000000002,15.457383632659912,16.992743,-0.019,16.345152,16.868114000000002,16.4699,17.563684,3.0093753,5,14.185061,,-0.188,18.212675959477533,1.9845897000000001,0.999936,13.470639000000002,19.888935,1.194475,,9.595833e-09,1.6506421999999998,36.88803,1.6506421999999998,0.11
5,120,6.4308453000000005,16.868114000000002,16.207791805267338,16.810420999999998,-0.022,16.391008,16.868114000000002,16.620287,17.496387,3.7022629,6,11.538841,,-0.219,18.378164513667194,1.7370039000000002,0.999936,17.027998,17.927,1.0718075,,9.883761e-16,2.7865362,37.34908,2.7865362,0.11
6,140,7.8975615999999995,16.868114000000002,16.873290300369266,16.656271,-0.022,16.430134,16.868114000000002,16.664888,17.481722,3.8031547,7,12.63752,,-0.217,18.427123262019514,2.0765816999999998,0.999936,17.397913,18.85056,1.1282231000000003,,2.4555475000000003e-15,2.1743537999999996,35.096596000000005,2.212018,0.11
7,160,9.362848,16.868114000000002,17.534833908081055,16.52274,-0.021,16.45528,16.868114000000002,16.631307999999997,17.023301999999997,3.7130792,8,13.697547,,-0.208,18.385551415854398,2.521586,0.999936,13.745251000000001,19.525195999999998,1.170356,,5.8598536e-13,1.6359204999999999,32.904167,1.6870182,0.11
8,180,10.603693,16.868114000000002,18.597002744674683,16.404957,-0.021,16.471169,16.868114000000002,16.598272,17.326206,3.8299693999999995,9,14.608189000000001,,-0.205,18.353923928809714,2.7686105,0.999936,19.616932000000002,19.632635,1.1781881,,3.1004982000000005e-12,1.5775206,31.817891999999997,1.5775206,0.11
9,200,11.2162075,16.98101,19.727065086364746,16.299595,-0.022,16.522152,16.98101,16.98101,16.979519,3.9554169999999997,10,14.033942999999999,,-0.213,18.755186039321092,2.8356574,0.999936,13.71141,18.751328,1.1216208,,4.9730199999999995e-14,1.5906516000000002,30.7281,1.6399207999999998,0.11
10,220,12.333474,16.98101,20.357336282730106,16.204285000000002,-0.021,16.526049,16.98101,16.565016,16.986921,3.938996,11,14.866012,,-0.203,18.320219577497735,3.1311212000000004,0.9999543,16.963774,18.691572,1.1212249,,1.0095536e-11,1.351999,29.538173999999998,1.4376028,0.11
11,240,13.419308,16.98101,21.766038417816162,16.117273,-0.021,16.546022,16.98101,16.765735999999997,17.08145,4.077558,12,15.165454,,-0.203,18.531282774668103,3.2910156,0.9999543,18.016714,18.652212,1.1182756,,1.2752731e-11,1.3420919,28.971828000000002,1.3867455,0.11
12,260,14.348397,16.98101,22.55823016166687,16.037231,-0.021,16.56604,16.98101,16.806252999999998,16.62904,4.213119,13,14.633337,,-0.208,18.570831154043237,3.4056472999999996,0.9999543,11.096346,18.43979,1.1037228000000001,,8.246618399999999e-13,1.3612507999999999,28.412056,1.3765234,0.11
13,280,15.392654,16.98101,23.580263376235962,15.963123000000001,-0.021,16.584554999999998,16.98101,16.825235,16.664202,4.34699,14,14.777601,,-0.209,18.59257634163669,3.5409913,0.9999543,17.030334,18.382416,1.0994753000000002,,5.133252000000001e-13,1.3258388,27.973521999999996,1.3701712,0.11
14,300,16.274406,16.98101,24.414021968841553,15.894131,-0.022,16.592299,16.98101,16.700708,16.764122,4.6093707,15,14.684320000000001,,-0.216,18.45850867652545,3.530722,0.9999543,18.074920000000002,18.156624,1.0849605,,1.1516303999999999e-14,1.7346671999999999,27.775625,1.7346671999999999,0.11
15,320,17.392895000000003,16.98101,25.083248615264893,15.829592000000002,-0.022,16.59816,16.98101,16.686094,16.733723,4.6265225,16,14.935335,,-0.213,18.44892338129973,3.7593882000000005,0.9999937,16.20533,18.178982,1.0870559,,6.512246e-14,1.234423,27.212903999999998,1.4718336,0.11
16,340,18.437119,16.98101,25.65633487701416,15.768968,-0.022,16.612438,16.98101,16.840857999999997,16.7942,4.820817,17,14.984157999999999,,-0.216,18.606347951950198,3.8244800000000003,0.9999937,17.684513,18.153473,1.0845364,,1.2900699000000001e-14,1.5156059,27.033640000000002,1.6149582,0.11
17,360,19.54287,16.98101,26.40462446212769,15.711808999999999,-0.022,16.620376999999998,16.98101,16.755361999999998,16.855658,4.9963994000000005,18,15.079346,,-0.218,18.52251864176466,3.9113905,0.9999937,17.825819,18.177889999999998,1.0857149,,4.7309894e-15,1.5285919,26.860740000000003,1.6671984,0.11
18,380,19.96667,16.98101,27.35775923728943,15.657742,-0.024,16.629848000000003,16.98101,16.800354000000002,16.8906,5.871002,19,14.468097,,-0.232,18.566814483436524,3.4008962999999994,0.9999937,17.443779,17.626822,1.0508773,,1.1398753999999998e-18,3.3958209999999998,27.613018,3.3958209999999998,0.11
19,400,21.58964,16.98101,28.648579835891727,15.606448,-0.023,16.646463,16.98101,16.962108999999998,16.857212,5.793966999999999,20,14.732854999999999,,-0.229,18.73678291648492,3.7262277999999998,0.9999937,16.190914000000003,18.11855,1.079482,,5.209563e-18,1.8619386999999998,27.232865999999998,2.778819,0.11
20,420,22.878689,16.98101,29.896409749984738,15.557657999999998,-0.024,16.658306,16.98101,16.89519,16.82728,6.1755023,21,14.628698000000002,,-0.233,18.665364823462795,3.7047492999999996,0.9999937,16.16452,18.304062,1.0894613000000002,,5.8217354e-19,2.4751465,27.471220000000002,2.9140332000000004,0.11
21,440,23.727465,16.98101,31.011619329452515,15.511138,-0.023,16.662466000000002,16.98101,16.74981,16.697907999999998,5.8143616,22,14.853347,,-0.228,18.509996041058148,4.0808377,0.9999937,13.909266,18.105895999999998,1.0785211000000001,,1.1881580000000002e-17,0.8835841,26.428210999999997,2.2469895,0.11
22,460,24.951939000000003,16.98101,32.17240858078003,15.466686,-0.023,16.667616,16.98101,16.780910000000002,16.319641,5.6608987,23,14.764211999999999,,-0.224,18.543584470883925,4.4077697,0.9999937,7.9304934000000005,18.19991,1.0848669,,1.7849509999999996e-16,1.179411,25.904945,1.7448578000000001,0.11
23,480,25.895578,16.98101,33.35625529289245,15.424126999999999,-0.023,16.676401000000002,16.98101,16.878483,16.361501999999998,5.993934599999999,24,14.670634,,-0.229,18.646868438699585,4.3202972,0.9999937,17.247442000000003,18.119522,1.0789825000000002,,9.601939999999999e-18,1.9256616999999998,25.98056,2.109,0.11
24,500,27.120891999999998,16.98101,34.314509391784675,15.383304999999998,-0.023,16.678486,16.98101,16.728533,16.43528,6.174461,25,14.770622,,-0.23,18.491086437525816,4.392431,0.9999937,18.136620999999998,18.21485,1.0848356000000001,,4.502623e-18,1.8033592,25.946793,2.1245562999999996,0.11
25,520,28.351967,16.98101,35.304092168807976,15.344084,-0.024,16.68176,16.98101,16.763579999999997,16.434832,6.345685,26,14.797439,,-0.231,18.530032756828913,4.4679127,0.9999937,16.34855,18.308725,1.0904603000000002,,2.2319206e-18,1.8166609,25.910042,2.1282267999999998,0.11
26,540,29.382221,16.98101,36.37277102470397,15.306344000000001,-0.023,16.688646,16.98101,16.867683,16.58151,6.2553,27,15.104671,,-0.229,18.637568231057696,4.697172,0.9999937,20.314589,18.26963,1.0882303999999998,,8.882476999999999e-18,1.20446,25.499943,1.8819221999999998,0.11
27,560,30.55691,16.98101,38.00513482093811,15.269976000000002,-0.024,16.69608,16.98101,16.89676,16.548265,6.4986324,28,15.037042000000001,,-0.231,18.666268077623013,4.702052,0.9999937,15.570255,18.33237,1.0913182,,2.0090017e-18,1.8692226000000003,25.55518,2.0008519000000002,0.11
28,580,31.7998,16.98101,39.17793035507202,15.234885,-0.024,16.698828,16.98101,16.775814,16.618242000000002,6.715432000000001,29,15.098431,,-0.233,18.54365668939255,4.735332,0.99999875,18.494864,18.421124,1.0965448999999998,,6.736735699999999e-19,1.9063442,25.59317,2.0548356,0.11
29,600,32.470929999999996,16.98101,40.345730543136604,15.200982999999999,-0.023,16.704784,16.98101,16.877544,16.442678,6.553094000000001,30,15.064370000000002,,-0.231,18.64290315982216,4.9550529999999995,0.99999875,11.263764,18.180103,1.0823643,,3.1138232000000003e-18,0.83838475,25.03412,1.8291220000000001,0.11
30,620,33.465103000000006,16.98101,42.03172159194946,15.168194,-0.023,16.7082,16.98101,16.810669,16.257864,6.478688200000001,31,15.009146,,-0.228,18.57735899452495,5.1654134,0.99999875,10.637858,18.12819,1.0795195,,1.2903534e-17,1.0943341,24.70308,1.6339948,0.11
31,640,34.598618,16.98101,43.46845555305481,15.136445000000002,-0.023,16.711678,16.98101,16.8194,16.210511999999998,6.603549,32,14.983217000000002,,-0.229,18.585633918641555,5.2393975,0.99999875,14.668567999999999,18.158602,1.0812068000000001,,8.2933194e-18,1.484055,24.640648000000002,1.6521211,0.11
32,660,35.661606,16.98101,44.64055752754211,15.105673000000001,-0.023,16.710812,16.98101,16.683120000000002,16.246101,6.588652000000001,33,15.117412,,-0.227,18.44370324325161,5.41258,0.99999875,17.309166,18.141724,1.0806547,,2.5209211e-17,1.1751413,24.416368,1.5079446,0.11
