,LQGmu01,ReturnLastEpisode,IWNorm1,MISE,DenMISEMeanLog,Bound,TimeElapsed,IWMin,ReturnMean,ReturnMax,LQGmu1,IWMax,Iteration,target_sum_log_mean,TimestepsSoFar,DenMISELogLast,IWMean,SqrtESSClassic,ReturnMin,URet,IWFirstEpisode,IWNorm2,ReturnStepMax,IWLastEpisode,ReturnAbsMax,DenMISELogFirst,LQGsigma
0,-1.0,15.058442000000001,1e-10,,18.60218,30.116884000000002,0.12008428573608397,,15.058442000000001,15.058442000000001,-1.0,,1,-503.26215,20,18.60218,,1.0,,16.687925283112616,,1e-10,0.9625284,,15.058442000000001,18.60218,0.11
1,-1.0,16.432243,1.9999981,16.432228,10.876511,49.296715,3.1377272605896,,15.745342,16.432243,-1.0,1.9999981,2,-249.3625,40,3.8439879999999995,0.99999905,1.0,,18.144616846529182,,1.9999981,0.9725072,1.9999981,16.432243,17.909032999999997,0.11
2,-1.0,16.693579999999997,3.0012142999999996,16.569670000000002,14.1328,40.177956,3.1891093254089355,,16.061422,16.693579999999997,-1.0,1.501215,3,-159.1852,60,20.76316,1.0004046999999998,1.4142135,,18.410639791196687,,2.122179,0.9994924999999999,1.501215,16.693579999999997,17.503569,0.11
3,-1.0,16.632611999999998,4.001746,16.593429999999998,15.202739000000001,35.869514,3.4118192195892334,,16.20422,16.693579999999997,-1.0,1.3348721000000001,4,-114.70068,80,18.464403,1.0004365,1.7320508000000001,,18.349048814013802,,2.3104093,0.9994924999999999,1.3335412,16.693579999999997,17.215887,0.11
4,-1.0,16.549856,5.002171499999999,16.584314000000003,14.871493,33.277896999999996,3.6995639801025386,,16.273348000000002,16.693579999999997,-1.0,1.2517166000000002,5,-89.00062,100,13.575710999999998,1.0004343,1.9999997999999999,,18.262410798953265,,2.501086,0.9994924999999999,1.2502205,16.693579999999997,16.992743,0.11
5,-1.0,16.455510999999998,6.002202,16.558882,15.171645000000002,31.490078000000004,4.011312246322632,,16.303709,16.693579999999997,-1.0,1.2017912,6,-71.35488000000001,120,16.69109,1.000367,2.2360675,,18.15381625396903,,2.6842667999999996,0.9994924999999999,1.1999358999999998,16.693579999999997,16.810420999999998,0.11
6,-1.0,16.470182,7.0099506,16.562506,15.708329999999998,30.192787,4.316044092178346,,16.32749,16.693579999999997,-1.0,1.1733898,7,-58.43238,140,18.941435000000002,1.0014216,2.4494842999999995,,18.176032754169988,,2.8618066000000004,0.9994924999999999,1.1733898,16.693579999999997,16.656271,0.11
7,-1.0,16.58791,8.0120945,16.570988,15.482285999999998,29.190186999999998,4.7406933307647705,,16.360043,16.693579999999997,-1.0,1.1510368999999998,8,-49.372665000000005,160,13.908570999999998,1.0015118,2.6457431000000002,,18.29661265407884,,3.0282965,0.9994924999999999,1.1428508,16.693579999999997,16.52274,0.11
8,-1.0,16.597186999999998,9.015053,16.580051,15.974522,28.384240000000002,5.019159317016602,,16.38639,16.693579999999997,-1.0,1.1344222,9,-41.660088,180,19.91863,1.0016725,2.8284168,,18.31656528227868,,3.1873139999999998,0.9994924999999999,1.126118,16.693579999999997,16.404957,0.11
9,-1.0,16.63342,10.01675,16.5891,15.755948000000002,27.7182,5.331969022750855,,16.411095,16.693579999999997,-1.0,1.1215051,10,-36.1039,200,13.793284,1.001675,2.9999871,,18.343542833778912,,3.3389309999999996,0.9994924999999999,1.111277,16.693579999999997,16.299595,0.11
