,ReturnAbsMax,URet,LQGsigma,DenMISEMeanLog,LQGmu1,IWMean,target_sum_log_mean,ReturnMean,Bound,TimeElapsed,Iteration,ReturnMax,SqrtESSClassic,DenMISELogLast,DenMISELogFirst,ReturnStepMax,IWNorm2,ReturnLastEpisode,ReturnMin,IWLastEpisode,IWNorm1,IWMax,IWFirstEpisode,MISE,TimestepsSoFar,LQGmu01,IWMin
0,15.058442000000001,16.687925283112616,0.11,18.60218,-0.099,0.9650348,18.566589999999998,15.058442000000001,16.045351,0.8188605308532715,1,15.058442000000001,1.0,18.60218,18.60218,0.9625284,0.9650348,15.058442000000001,,0.9650348,0.9650348,0.9650348,0.9650348,14.531920000000001,20,-0.01,
1,15.791472,17.485525404344575,0.11,19.955425,-0.121,0.6492374,19.521809,15.424957000000001,11.124873,19.36726474761963,2,15.791472,1.4118772,21.326307,18.584543,0.99517673,0.9196796999999999,15.791472,,0.61187214,1.2984748,0.6866026999999999,0.6866026999999999,10.000765,40,-0.012,
2,16.078894000000002,17.801928844517914,0.11,20.467281,-0.113,1.1195271,20.572392999999998,15.642937,18.395139999999998,20.316405057907104,3,16.078894000000002,1.7188831999999998,21.739872000000002,18.474209,0.9989215,1.9539323,16.078894000000002,,0.94851977,3.3585812999999995,1.2885864,1.2885864,17.455,60,-0.011,
3,16.3204,18.058790053571318,0.11,19.975254,-0.107,1.1753408,20.12806,15.812303,19.351725,21.599290609359738,4,16.3204,1.9840508999999997,18.412546,18.543870000000002,0.9999796999999999,2.3695779999999997,16.3204,,0.9317771999999999,4.701363,1.3326893999999998,1.3326893999999998,18.525002,80,-0.011,
4,16.3204,17.22026331320277,0.11,18.757309,-0.121,0.8669554,18.51446,15.760470000000002,14.602563,22.416905879974365,5,16.3204,1.9845011000000001,13.749351,18.60829,0.9999796999999999,2.1843157000000004,15.553148,,0.68241113,4.334777,1.7618868000000003,0.6815441999999999,13.776027,100,-0.012,
5,16.3204,17.739133617959205,0.11,18.32394,-0.168,0.43931457,11.336165,15.803954000000001,8.643647,23.50917100906372,6,16.3204,1.0237839,16.282967000000003,18.553753,0.9999796999999999,2.574652,16.021368,,2.5739121,2.6358874,2.5739121,8.767467e-06,7.0414906,120,-0.017,
6,16.322044,18.06555941199932,0.11,17.772306,-0.153,1.6221438999999997,14.952428,15.877967000000002,27.354259999999996,24.56406831741333,7,16.322044,1.4747696000000001,15.020166,18.399603,0.9999796999999999,7.6995130000000005,16.322044,,5.4362555,11.355007,5.4362555,0.0016578415,26.241932000000002,140,-0.015,
7,16.322044,17.942111121183736,0.11,17.153645,-0.111,1.0321203,16.681023,15.919756,16.94821,25.947972297668453,8,16.322044,2.385242,12.541299,18.26631,0.99999195,3.4616876000000003,16.212273,,0.20656703,8.256963,1.6870568,1.6870568,16.26047,160,-0.011,
8,16.322044,17.421210571853454,0.11,17.381155,-0.152,1.3969707,15.016759,15.898723,23.523761999999998,27.36748313903809,9,16.322044,1.8071814,19.194536,18.339874,0.99999195,6.957097500000001,15.730467,,0.02963046,12.572737,4.324227,0.0022409,22.616035,180,-0.015,
9,16.704420000000002,18.467150474698716,0.11,17.071888,-0.163,1.1611614,13.456919000000001,15.979292000000001,19.883305,28.729812145233154,10,16.704420000000002,1.9412294999999997,14.071893,18.234764000000002,0.99999195,5.981577400000001,16.704420000000002,,3.7552161,11.611614,3.7552161,7.862574400000001e-05,19.018463,200,-0.016,
10,16.704420000000002,17.939651339481586,0.11,16.991529999999997,-0.134,1.0199451,16.596254000000002,15.999932999999999,17.128557,30.372829914093018,11,16.704420000000002,2.55575,16.127169,18.139461999999998,0.99999195,4.389865,16.206336999999998,,2.1637874,11.219397,2.4587672,0.19389212,16.471663,220,-0.013,
11,16.704420000000002,18.13307742774586,0.11,17.028612,-0.154,1.2246562,15.237994,16.03228,20.638248,31.56463074684143,12,16.704420000000002,2.5057673,17.444744,18.069923,0.99999195,5.8648205,16.3881,,1.6974369999999999,14.695875,2.6368107999999997,0.0016613931,19.96825,240,-0.016,
12,16.704420000000002,18.277023374877075,0.11,16.550710000000002,-0.16,1.1282526000000002,14.271044,16.070189000000003,19.118576,32.71274399757385,13,16.704420000000002,2.5938895,10.657182,17.990019,0.99999195,5.6545525,16.525095,,2.6945236,14.667284,2.6945236,0.00027942957000000004,18.471339999999998,260,-0.016,
13,16.704420000000002,18.34887142703499,0.11,16.54566,-0.159,1.1428664,14.554298000000001,16.107536,19.335243,34.016854524612434,14,16.704420000000002,2.814361,16.399815,17.915932,0.99999195,5.685173000000001,16.593045999999998,,2.3142917,16.00013,2.370803,0.00036876017,18.73871,280,-0.016,
14,16.704420000000002,18.125378625255934,0.11,16.616792999999998,-0.304,1.5931457e-08,-26.845102,16.126335,1.4598898,35.494285583496094,15,16.704420000000002,1.1499894,17.510673999999998,17.846966000000002,0.99999195,2.0910792e-07,16.389513,,6.2053274e-09,2.4047188e-07,2.0815257e-07,,2.6576018e-07,300,-0.031,
15,16.784126,18.553779317458254,0.11,15.931868,-0.29,1.412439,-19.137493,16.167445999999998,25.393423000000002,37.00944018363953,16,16.784126,1.0000001,6.626047,17.782427,0.99999195,22.59902,16.784126,,22.59902,22.599024,22.59902,4.8094356999999995e-37,23.706554,320,-0.03,
16,17.025204000000002,18.798521191726312,0.11,15.9286785,-0.281,1.0323244,-13.999853,16.217903,18.673752,38.440495729446404,17,17.025204000000002,1.3600361,15.967031500000001,17.721802,0.99999195,12.903711999999999,17.025204000000002,,6.273391200000001,17.549515,11.276096,3.0784954999999997e-34,17.415625,340,-0.029,
