,ReturnAbsMax,DenMISELogFirst,IWNorm2,ReturnMax,target_sum_log_mean,IWMean,IWNorm1,MISE,TimestepsSoFar,Iteration,URet,SqrtESSClassic,TimeElapsed,IWMin,ReturnMin,DenMISELogLast,ReturnLastEpisode,IWMax,LQGmu01,LQGsigma,Bound,DenMISEMeanLog,ReturnMean,ReturnStepMax,LQGmu1,IWLastEpisode,IWFirstEpisode
0,15.807039999999999,13.511501,1.1503477,15.807039999999999,13.651566,1.1503477,1.1503477,18.183592,20,1,17.497854397219367,1.0,0.19002556800842285,,,13.511501,15.807039999999999,1.1503477,-0.009,0.11,65.60471,13.511501,15.807039999999999,0.99233466,-0.09,1.1503477,1.1503477
1,15.807039999999999,13.583982999999998,2.9674227,15.807039999999999,16.99541,1.8872215,3.774443,29.154861,40,2,16.976300885580272,1.27196,5.17987585067749,,,19.406055,15.324566,2.8043876,-0.009,0.11,66.43678,16.49502,15.565804,0.99233466,-0.086,2.8043876,0.97005534
2,15.807039999999999,13.573951999999998,3.5471269999999997,15.807039999999999,16.128204,1.7273232,5.1819695999999995,26.464098,60,3,16.660644112415277,1.4608921000000001,5.481602907180786,,,13.909031,15.040384,3.2505229,-0.008,0.11,58.924484,15.786651999999998,15.390663,0.99233466,-0.08,1.2404665000000001,0.6909801999999999
3,15.807039999999999,13.493549,2.4219146,15.807039999999999,14.6002,0.71879333,2.8751732999999997,11.027205,80,4,17.198670489321543,1.1871489,5.818104028701782,,,15.960763,15.523897,2.3999417000000003,-0.006,0.11,50.972590000000004,15.936267,15.423971,0.99233466,-0.06,0.29475325,0.05292548
4,15.807039999999999,13.28355,5.537071,15.807039999999999,12.126997,1.260817,6.3040853,17.986635,100,5,15.59032212869425,1.1385235,6.09279465675354,,,7.481744,14.106473000000001,5.4889493,-0.005,0.11,59.638059999999996,14.183972,15.160472,0.99233466,-0.051,5.4889493,0.007720115600000001
5,15.807039999999999,13.102772,6.3725877,15.807039999999999,12.591301,1.4525952,8.715571,19.50131,120,6,14.465452052362366,1.367666,6.695162057876588,,,17.502083,13.009306,5.8921704,-0.005,0.11,54.17434,14.734093,14.801944,0.99233466,-0.047,5.8921704,0.0028523828000000004
6,15.807039999999999,12.949097,3.8115056000000003,15.807039999999999,13.639342000000001,1.1015338,7.7107368,15.6232605,140,7,15.42666134778404,2.023016,7.283080339431763,,,11.521896,13.937045000000001,2.721698,-0.006,0.11,39.064064,14.298697,14.678388,0.99233466,-0.057,1.5480093000000001,0.040894054
7,15.807039999999999,12.82139,0.020784846000000003,15.807039999999999,3.404352,0.0033351071000000004,0.026680857000000002,0.045767657,160,8,16.117398016367236,1.2836688,7.863892316818237,,,14.2946,14.550197,0.019785125,-0.002,0.11,36.987633,14.30354,14.662363000000001,0.99233466,-0.016,9.553155500000001e-05,2.0226843999999996e-08
8,15.807039999999999,12.703608000000001,8.593573,15.807039999999999,2.8638394,0.9561809000000001,8.605628,11.211594,180,9,12.89050836562359,1.0014029,8.465730905532839,,,5.267139,11.722547,8.593567,-0.001,0.11,58.566283999999996,13.195170000000001,14.335717,0.99233466,-0.013,8.593567,6.9396497e-09
9,15.807039999999999,12.598247,7.793048,15.807039999999999,11.944684,1.6968915,16.968916,22.78761,200,10,13.805485495651755,2.1774428,9.061957120895388,,,16.104029999999998,12.436499000000001,4.818212,-0.005,0.11,44.565964,13.458397,14.145795000000001,0.99233466,-0.048,4.818212,0.006932044399999999
10,15.807039999999999,12.503630000000001,10.159527,15.807039999999999,11.726355,1.4316167,15.747782999999998,18.495579,220,11,15.662788745523427,1.5500508999999998,9.512818813323976,,,19.903816,14.111555,9.628822,-0.004,0.11,49.088844,14.089974,14.142684,0.99233466,-0.037,1.0645696000000002,0.00023225496
11,15.807039999999999,12.416639,3.4641017999999997e-10,15.807039999999999,-1033.7847,,1.2e-09,,240,12,14.174235247587747,3.4641013,10.13007116317749,,,13.854265,12.800542,,0.534,0.11,13.6893,14.086093,14.030838000000001,0.99233466,1.0,,
12,15.807039999999999,12.336596499999999,8.026588e-10,15.807039999999999,-956.7989,4.8004523999999997e-11,1.9240589999999998e-09,4.136926e-10,260,13,9.455091705291547,2.397107,10.417914152145388,,,-11.77529,8.617784,6.240588e-10,0.534,0.11,19.782646,12.022871,13.6144495,0.99233466,1.0,6.240588e-10,
13,15.807039999999999,12.262488000000001,7.000002,15.807039999999999,-887.2792400000001,0.5000001000000001,7.000002,4.2351747,280,14,9.301084130393486,1.0,10.65209436416626,,,14.530616,8.470346000000001,7.000002,0.534,0.11,51.656296000000005,12.13318,13.247014000000002,0.99233466,1.0,7.000002,
14,15.807039999999999,12.193496000000001,7.0710679999999995,15.807039999999999,-827.69116,0.6666667,10.0,5.664808,300,15,9.356480528754362,1.4142135,11.010595798492432,,,4.9327345000000005,8.524075999999999,5.0,0.534,0.11,39.196606,11.615788,12.932151,0.99233466,1.0,5.0,
15,15.807039999999999,12.128957000000002,6.928203,15.807039999999999,-774.92444,0.75,12.0,6.3837852,320,16,9.37736215181045,1.7320508999999997,11.321027755737305,,,15.189054,8.540718,4.0,0.534,0.11,33.762383,11.814572,12.657686,0.99233466,1.0,4.0,
16,15.807039999999999,12.068333,6.800002,15.807039999999999,-728.4125,0.80000025,13.600004,6.814767999999999,340,17,9.376705631716883,2.0,11.644567966461182,,,14.556060999999998,8.538686,3.4000015,0.534,0.11,30.525328000000002,11.958157,12.415391,0.99233466,1.0,3.4000015,
