,Iteration,ReturnStepMax,ReturnMax,IWNorm2,IWLastEpisode,IWNorm1,IWMin,DenMISELogLast,TimeElapsed,MISE,ReturnLastEpisode,LQGmu01,DenMISELogFirst,ReturnMin,SqrtESSClassic,ReturnAbsMax,DenMISEMeanLog,IWFirstEpisode,LQGmu1,ReturnMean,Bound,IWMean,URet,LQGsigma,TimestepsSoFar,IWMax,target_sum_log_mean
0,1,0.99233466,15.807039999999999,1.11030574e-10,1.1030571000000001e-11,1.11030574e-10,,13.511501,0.5631444454193115,1.7436069e-10,15.807039999999999,-0.02,13.511501,,1.0,15.807039999999999,13.511501,1.1030571000000001e-11,-0.193,15.807039999999999,31.614079999999998,1.1030571000000001e-11,17.497854397219367,0.11,20,1.1030571000000001e-11,-11.718849
1,2,0.9993563,16.416224,1.7377006000000002,1.7377006000000002,1.7377006000000002,,16.1693,19.414620876312252,14.263241,16.416224,-0.019,12.818355,,1.0,16.416224,14.493828,7.4676243e-10,-0.185,16.111631,47.095688,0.8688503000000001,18.164637770939965,0.11,40,1.7377006000000002,4.262471
2,3,0.99962646,16.52276,3.3364606,1.53104,4.4954767,,13.65722,20.341631650924683,24.653955,16.52276,-0.018,12.4128895,,1.347379,16.52276,14.153089000000001,1.5852418e-08,-0.179,16.248673999999998,49.179737,1.4984921999999998,18.268973735693315,0.11,60,2.9644369999999998,8.670653
3,4,0.9998855,16.659565,4.166923000000001,0.9938146000000001,6.025173000000001,,15.993191,21.35195088386536,24.818794,16.659565,-0.017,12.125207000000001,,1.4459525,16.659565,14.672236999999999,2.7800178e-07,-0.172,16.351398,47.861824,1.5062933,18.42037882515556,0.11,80,3.8791852,11.271097
4,5,0.9998855,16.659565,5.0989213,1.5030401000000002,7.7035800000000005,,9.5092125,22.29534363746643,25.345245000000002,16.428778,-0.017,11.902063,,1.5108253999999999,16.659565,13.691710999999998,6.487923e-06,-0.165,16.366873000000002,47.39884,1.5407159,18.159583835842945,0.11,100,4.764786,11.562593
5,6,0.9998855,16.659565,6.912737,5.2956886,11.689269,,17.605162,23.48684811592102,31.589783,15.93625,-0.016,11.719743,,1.6909755000000002,16.659565,14.392085,5.6013225e-05,-0.159,16.295103,51.29387,1.9482116000000003,17.659551887899404,0.11,120,5.2956886,13.07431
6,7,0.9998855,16.659565,7.232589999999999,0.74235845,11.753469,,12.49573,24.76844429969788,27.19643,16.488781,-0.015,11.565602,,1.6250706,16.659565,14.2038555,0.0019956395999999998,-0.148,16.322771,47.69962,1.6790669999999999,18.231603073277306,0.11,140,5.6207185,13.176254
7,8,0.9998855,16.659565,4.330092400000001,1.5129979,9.675357,,14.802609,26.203701257705692,19.726315,16.460155,-0.016,11.432356,,2.2344458,16.659565,14.325988,0.00032961107000000004,-0.154,16.339945,34.6379,1.2094196000000002,18.20266796378106,0.11,160,2.7534417999999996,13.401113
8,9,0.9998855,16.659565,4.0390697,0.3386386,6.9516919999999995,,12.941614999999999,27.46476936340332,12.523094,16.462742000000002,-0.014,11.314613,,1.7211123,16.659565,14.188107500000001,0.07576396,-0.135,16.35359,31.882164000000003,0.7724101999999999,18.197019431307442,0.11,180,2.9882343,12.815717
9,10,0.9998855,16.659565,3.162278e-10,,1e-09,,15.695444,28.72194314002991,,16.315388000000002,0.021,11.217636,,3.1622772,16.659565,14.312864000000001,,0.211,16.349768,10.536436,,18.060821472741306,0.11,200,,-263.98553
10,11,0.9998855,16.659565,3.3166656000000003e-10,1.34830425e-14,1.1000134e-09,,-11.608235,30.047078132629395,1.1049528e-14,9.014643,0.021,11.122326,,3.3166244,16.659565,11.869755,,0.211,15.682939000000001,10.046097,1.2257310999999999e-15,9.885503281441265,0.11,220,1.34830425e-14,-243.94554
11,12,0.9998855,16.659565,6.151642,6.151642,6.151642,,14.177906,30.87921690940857,4.526758,8.830341,0.021,11.035314999999999,,1.0,16.659565,11.982342,,0.203,15.111889000000001,37.845886,0.51263684,9.69952249101432,0.11,240,6.151642,-214.24292000000003
12,13,0.9998855,16.659565,4.460386799999999,3.179964,6.3077235,,17.798624,32.2699453830719,4.2854176,8.833825,0.022,10.955272,,1.4141651000000002,16.659565,12.387697,,0.217,14.628960999999999,27.846407,0.4852095,9.701532107348177,0.11,260,3.179964,-209.23276
13,14,0.9998855,16.659565,16.668837,16.447615,20.275226999999997,,14.054369,33.66352415084839,12.72225,8.773651,0.022,10.881164,,1.2163552,16.659565,12.468959,,0.221,14.210723999999999,40.11485,1.4482305,9.634722794803592,0.11,280,16.447615,-196.70613
