,LQGmu1,Iteration,MISE,ReturnMin,DenMISELogLast,DenMISELogFirst,ReturnMean,URet,IWMax,SqrtESSClassic,IWLastEpisode,IWFirstEpisode,DenMISEMeanLog,ReturnLastEpisode,IWMean,ReturnAbsMax,ReturnMax,LQGsigma,target_sum_log_mean,TimestepsSoFar,IWNorm1,IWNorm2,LQGmu01,IWMin,TimeElapsed,ReturnStepMax,Bound
0,-0.112,1,17.748564000000002,,18.60218,18.60218,15.058442000000001,16.687925283112616,1.1786454,1.0,1.1786454,1.1786454,18.60218,15.058442000000001,1.1786454,15.058442000000001,15.058442000000001,0.11,18.766545999999998,20,1.1786454,1.1786454,-0.011,,1.1698729991912842,0.9625284,47.865448
1,-0.107,2,17.334770000000002,,20.90369,18.687737,15.509829500000002,17.670702562657326,1.1505451,1.413637,1.0866416,1.1505451,19.795713,15.961217000000001,1.1185933000000001,15.961217000000001,15.961217000000001,0.11,19.907377,40,2.2371867,1.5825751000000001,-0.011,,29.4515917301178,0.99792725,39.916542
2,0.598,3,,,21.119751,18.7367,15.660366,17.673065773123213,,1.7320506999999998,,,20.26287,15.96144,,15.96144,15.96144,0.11,-754.9499,60,3e-10,1.7320508999999999e-10,0.069,,30.91854476928711,0.99792725,18.430685
3,0.598,4,3.74099e-23,,-10.596635000000001,18.449018,13.920104,9.542695122105016,1.7201305e-23,2.0,1.7201305e-23,,12.332233,8.699317,4.3003260000000004e-24,15.96144,15.96144,0.11,-581.9658,80,4e-10,2e-10,0.069,,31.674561262130734,0.99792725,15.96144
4,0.857,5,4.593446299999999,,12.882676,18.225873999999997,12.841411,9.363833161522734,2.6935859,1.0,2.6935859,,12.263807,8.526638,0.53871715,15.96144,15.96144,0.11,-584.3838,100,2.6935859,2.6935859,0.128,,32.525874376297004,0.99792725,36.516327000000004
5,0.9,6,4.8147926,,16.565575,18.043552,12.132373,9.431707181993195,2.1009803,1.3740464,1.2780049999999998,,12.900658,8.587177,0.56316423,15.96144,15.96144,0.11,-499.6908,120,3.3789854,2.4591494,0.146,,34.438754081726074,0.99792725,28.047544
6,0.893,7,5.8782926,,18.528126,17.889402,11.618317,9.372691722778534,1.8154138,1.7087293999999997,1.7703993000000002,,13.642928,8.533984,0.6879380999999999,15.96144,15.96144,0.11,-423.3138,140,4.8155665,2.8182150000000004,0.143,,36.281268119812005,0.99792725,24.560523999999997
7,0.516,8,9.996186999999999,,13.685948000000002,17.75587,11.235052,9.396225250984523,4.7390904,1.6947662000000001,2.2805313999999997,,13.608704000000001,8.552201,1.1671556,15.96144,15.96144,0.11,-252.79881,160,9.337245,5.509459,0.057,,38.189044713974,0.99792725,28.832341999999997
8,0.433,9,8.84491,,19.610653,17.638088,10.935886,9.382923434614787,7.060187299999999,1.2898816,0.47533008,,14.280507,8.542569,1.0312134,15.96144,15.96144,0.11,-192.14456,180,9.280921000000001,7.195173,0.046,,40.14193153381348,0.99792725,33.5936
9,0.393,10,10.766821,,12.37261,17.532726,10.702536,9.446486833256547,8.673518,1.3469796,8.673518,,14.076379999999999,8.602373,1.2525295,15.96144,15.96144,0.11,-157.81075,200,12.525295,9.2988,0.042,,42.17645525932311,0.99792725,34.466423
