,Bound,target_sum_log_mean,SqrtESSClassic,ReturnStepMax,ReturnAbsMax,LQGmu1,ReturnMin,LQGsigma,MISE,ReturnMean,Iteration,LQGmu01,DenMISEMeanLog,DenMISELogFirst,URet,ReturnLastEpisode,DenMISELogLast,IWLastEpisode,IWMax,TimeElapsed,IWFirstEpisode,TimestepsSoFar,IWNorm1,IWNorm2,IWMean,ReturnMax,IWMin
0,7.673575,16.160389000000002,1.0,0.99262077,15.644507999999998,-0.082,,0.11,6.101242500000001,15.644507999999998,1,-0.008,17.102016,17.102016,17.332240856619553,15.644507999999998,17.102016,0.38999259999999997,0.38999259999999997,0.7052004337310791,0.38999259999999997,20,0.38999259999999997,0.38999259999999997,0.38999259999999997,15.644507999999998,
1,13.357059,12.387022,1.1310774,0.99262077,15.644507999999998,-0.074,,0.11,11.96694,15.354626999999999,2,-0.007,13.036287,16.738167,16.706675541527947,15.064745000000002,9.334407,1.3839288,1.3839288,19.940011024475094,0.19721594,40,1.5811447,1.3979101999999999,0.79057235,15.644507999999998,
2,17.283392000000003,12.674309,1.6880096999999998,0.99262077,15.644507999999998,-0.083,,0.11,16.351921,15.374239999999999,3,-0.008,12.633952,16.426745999999998,17.078055177070848,15.4134655,12.020274,0.94058204,1.4104048999999999,20.72064781188965,0.8508252000000001,60,3.2018123,1.8967973000000002,1.0672708,15.644507999999998,
3,23.674223,13.983292,1.9205561999999998,0.99262077,15.644507999999998,-0.093,,0.11,22.855536999999998,15.327392999999999,4,-0.009,13.644842,16.388739,16.834796682876398,15.18685,16.632818,1.6399395,1.7806911,21.39554834365845,1.7806911,80,5.945589,3.0957642000000005,1.4863973,15.644507999999998,
4,21.419863,15.177623,2.1672747,0.99479264,15.644507999999998,-0.094,,0.11,20.694374,15.31492,5,-0.009,14.923262,16.533825,16.927017237236754,15.265035000000001,19.678816,1.3876821000000001,1.6207472,21.973269939422607,1.6207472,100,6.738957400000001,3.1094152999999998,1.3477914,15.644507999999998,
5,19.893812,15.485909,2.3365831000000004,0.99510664,15.644507999999998,-0.098,,0.11,19.220892000000003,15.360451000000001,6,-0.01,15.342673999999999,16.632273,17.265453081693952,15.588107,17.165627999999998,1.5462681999999999,1.594406,22.833067417144772,1.594406,120,7.48004,3.201273,1.2466733,15.644507999999998,
6,0.5942857,-62.204519999999995,2.6457512000000003,0.99510664,15.644507999999998,-0.264,,0.11,2.154457e-26,15.270744,7,-0.027,15.393020000000002,16.713776,16.33493081927054,14.732501999999998,15.496495999999999,,9.513263999999999e-27,23.88383173942566,9.513263999999999e-27,140,7.000000000000001e-10,2.6457514e-10,1.3772432999999999e-27,15.644507999999998,
7,24.912024,-66.34561,1.0,0.9996655000000001,16.810986,-0.287,,0.11,23.222456,15.463275,8,-0.029,15.281795,16.580244,18.579582520464555,16.810986,15.437939000000002,11.051086,11.051086,24.820125341415405,1.1854371000000001e-32,160,11.051086,11.051086,1.3813858,16.810986,
8,29.882475,-70.50133000000001,1.2874508,0.9999853999999999,16.998756,-0.31,,0.11,28.555481,15.633884,9,-0.032,15.633996,16.462460999999998,18.773953858322304,16.998756,18.526188,11.028682,11.028682,25.887543201446533,,180,15.164398,11.778624,1.6849332,16.998756,
9,1.6362246,-12.87974,1.0816008,0.9999984000000001,16.998756,-0.203,,0.11,0.056677736,15.769823,10,-0.021,14.7998,16.3571,18.76478503693732,16.993269,7.062233999999999,0.0001221774,0.031041352,27.03490352630615,3.8352845e-12,200,0.03368521,0.03114385,0.0033685206,16.998756,
10,20.749119,-18.104181,1.0314235999999999,0.9999984000000001,16.998756,-0.224,,0.11,19.09273,15.867142999999999,11,-0.023,14.266046,16.261789999999998,18.607110077700085,16.84036,9.87824,12.086686,12.086686,28.25981712341309,1.0529192599999999e-16,220,12.471333999999999,12.091380000000001,1.1337576999999999,16.998756,
11,17.69202,-18.330270000000002,1.5135447,0.9999984000000001,16.998756,-0.233,,0.11,16.563253,15.918029999999998,12,-0.024,14.108185999999998,16.174778,18.23238360955113,16.477781,12.552984,5.4775863,5.615677,29.525984287261963,1.3766735e-18,240,11.920374,7.875799000000001,0.9933645000000001,16.998756,
12,8.488764999999999,-6.0288005,1.4821813,0.9999984000000001,16.998756,-0.199,,0.11,7.336113,15.993910999999999,13,-0.02,13.920320000000002,16.094735999999997,18.67394073817898,16.904482,11.799265,0.25080929999999996,2.7534575,30.883061170578003,3.2076817e-11,260,5.7214975,3.8601872999999998,0.44011518,16.998756,
13,20.694879999999998,1.4777557,1.0222596,0.9999984000000001,16.998756,-0.169,,0.11,19.023642000000002,16.02794,14,-0.017,13.939269,16.020628,18.218259831749386,16.47032,14.747656,15.812357999999998,15.812357999999998,31.80954122543335,6.846616e-06,280,16.16631,15.814289000000002,1.1547364,16.998756,
14,4.549556,4.752951599999999,1.3473926,0.9999984000000001,16.998756,-0.133,,0.11,3.2815962,16.057728,15,-0.013,13.699159,15.951635000000001,18.220827394435187,16.474757999999998,10.522532,2.1456366,2.1456366,33.52115750312805,0.11717879,300,3.003349,2.2290082,0.20022327,16.998756,
15,22.693073000000002,4.989964,1.3653336999999999,0.9999984000000001,16.998756,-0.142,,0.11,21.441776,16.068835999999997,16,-0.014,13.313333499999999,15.894878,17.949203670931393,16.235441,8.30395,14.582581,14.582581,35.015931844711304,0.018105,320,21.038164000000002,15.408807999999999,1.3148853,16.998756,
