,MISE,IWFirstEpisode,ReturnStepMax,IWMax,LQGsigma,ReturnAbsMax,ReturnMax,ReturnMean,IWMin,DenMISEMeanLog,target_sum_log_mean,LQGmu1,DenMISELogLast,IWNorm1,LQGmu01,SqrtESSClassic,TimestepsSoFar,Bound,IWNorm2,IWMean,DenMISELogFirst,IWLastEpisode,ReturnLastEpisode,ReturnMin,URet,Iteration,TimeElapsed
0,,,0.99233466,,0.11,15.807039999999999,15.807039999999999,15.807039999999999,,13.511501,-1081.5807,1.0,13.511501,1e-10,1.0,1.0,20,1.5886673,1e-10,,13.511501,,15.807039999999999,,17.497854397219367,1,0.2593729496002197
1,7.3544059999999995e-19,,0.99233466,1.7086695e-19,0.11,15.807039999999999,15.807039999999999,12.207691,,1.4574337,-567.3488,1.0,-9.903487,2e-10,1.0,1.4142135,40,1.1233575,1.4142136e-10,8.5433475e-20,12.818355,1.7086695e-19,8.608342,,9.444017119258,2,7.401887655258179
2,4.259727,,0.99233466,1.5,0.11,15.807039999999999,15.807039999999999,10.978278999999999,,5.331033000000001,-373.46765,1.0,13.889163,1.5,1.0,1.0,60,5.8483944,1.5,0.5,12.4128895,1.5,8.519454,,9.357533310929476,3,7.538050413131714
3,5.677877,,0.99233466,1.333334,0.11,15.807039999999999,15.807039999999999,10.362252999999999,,7.844484,-276.0682,1.0,15.842417999999999,2.6666665000000003,1.0,1.4142135,80,6.801234200000001,1.885618,0.6666666,12.125207000000001,1.333334,8.514177,,9.349345311296524,4,7.729960680007935
4,6.380833,,0.99233466,1.25,0.11,15.807039999999999,15.807039999999999,9.987743,,8.211707,-218.81037999999998,1.0,9.997811,3.75,1.0,1.7320508000000001,100,7.298050999999999,2.1650636000000003,0.75,11.902063,1.25,8.4897,,9.320908297065099,5,7.9237005710601816
5,6.8084983999999995,,0.99233466,1.2,0.11,15.807039999999999,15.807039999999999,9.742977999999999,,9.844505999999999,-179.26981999999998,1.0,18.250675,4.8,1.0,2.0,120,7.602832,2.4,0.8,11.719742,1.2,8.519156,,9.360986810277963,6,8.150566101074219
6,7.091831699999999,,0.99233466,1.166667,0.11,15.807039999999999,15.807039999999999,9.566625,,10.228843,-151.81918000000002,1.0,12.730482,5.833334,1.0,2.236068,140,7.8023050000000005,2.6087463,0.83333343,11.565591,1.166667,8.508499,,9.342529711258434,7,8.35468053817749
7,7.2982283,,0.99233466,1.1428573,0.11,15.807039999999999,15.807039999999999,9.437872,,10.801525999999999,-130.9533,1.0,14.974279999999998,6.857144,1.0,2.4494898,160,7.946799,2.7994173,0.857143,11.43206,1.1428573,8.5366,,9.374537785161252,8,8.542464256286621
8,7.4501867,,0.99233466,1.1250006000000001,0.11,15.807039999999999,15.807039999999999,9.33521,,10.991367,-114.98416999999999,1.0,12.651157000000001,7.8749975999999995,1.0,2.6457512000000003,180,8.050647,2.9764692999999998,0.87499976,11.314277,1.1249995000000002,8.513926,,9.347410026813852,9,8.755831718444824
9,7.579175,,0.99233466,1.1111116,0.11,15.807039999999999,15.807039999999999,9.262797,,11.293700999999999,-102.06138,1.0,14.138475,8.888885499999999,1.0,2.828427,200,8.140854,3.1426957000000004,0.88888854,11.208917,1.1111106000000002,8.611085000000001,,9.457765322130069,10,8.964108228683473
