,IWMin,IWMax,ReturnLastEpisode,LQGmu1,ReturnMin,Iteration,DenMISELogLast,SqrtESSClassic,TimestepsSoFar,LQGmu01,target_sum_log_mean,IWFirstEpisode,IWNorm2,LQGsigma,ReturnStepMax,ReturnAbsMax,ReturnMax,DenMISELogFirst,IWNorm1,TimeElapsed,Bound,DenMISEMeanLog,URet,MISE,IWLastEpisode,ReturnMean,IWMean
0,,0.21957535,15.644507999999998,-0.077,,1,17.102016,1.0,20,-0.008,15.585957,0.21957535,0.21957535,0.11,0.99262077,15.644507999999998,15.644507999999998,17.102016,0.21957535,0.4876835346221924,50.368675,17.102016,17.332240856619553,3.4351482000000004,0.21957535,15.644507999999998,0.21957535
1,,1.5188906,14.951025,-0.104,,2,8.98286,1.0538538,40,-0.01,11.767177,1.5188906,1.5212259,0.11,0.99262077,15.644507999999998,15.644507999999998,16.607372,1.6031497,14.202664136886597,57.04617,12.795116,16.581620409309036,12.511028,0.08425905,15.297767000000002,0.8015748
2,,2.1270335,15.882831,-0.106,,3,8.853589999999999,1.4003385,60,-0.011,10.917328999999999,1.2275483999999999,2.4573642999999996,0.11,0.99544746,15.882831,15.882831,16.766904999999998,3.4411417999999996,15.246093034744264,52.120365,11.413052,17.593354777080084,18.093956,2.1270335,15.492787,1.1470473
3,,1.9238334,15.734066,-0.108,,4,16.146162,1.7120848000000002,80,-0.011,12.286605999999999,1.0741231000000002,2.8443593999999996,0.11,0.9969742,15.882831,15.882831,16.822232999999997,4.8697844,16.62363362312317,47.01895,12.60741,17.42879133183562,19.188269000000002,1.7972023000000001,15.553107999999998,1.2174461
4,,1.9773996999999999,15.624512,-0.11,,5,19.910683,1.9378943,100,-0.011,13.760083999999999,0.9057245999999999,3.0846772000000002,0.11,0.99833316,15.882831,15.882831,16.836948,5.977778400000001,17.914705514907837,43.406364,14.093573000000001,17.315730304575204,18.8186,1.2614834,15.567389000000002,1.1955556999999999
5,,2.1386477999999998,15.892694,-0.115,,6,17.195526,2.1087592,120,-0.012,14.207514999999999,0.6681185000000001,3.4508145,0.11,0.99855614,15.892694,15.892694,16.821112,7.276936500000001,19.137524366378784,41.75461,14.631879000000001,17.596211946082303,19.145063,1.5647638000000001,15.621606,1.2128228
6,,2.2531738,15.1764,-0.123,,7,15.234356,1.9451870999999998,140,-0.012,13.321172,0.27299893,3.1123416,0.11,0.99855614,15.892694,15.892694,16.77254,6.0540867,20.313162803649906,38.178143,14.739241,16.821391622656698,13.667345000000001,0.042346842999999995,15.558005,0.86486953
7,,5.85816,16.274435,-0.124,,8,14.268529999999998,1.7541105,160,-0.012,13.581614499999999,0.27189884,6.4893456,0.11,0.99855614,16.274435,16.274435,16.677267,11.383028999999999,21.37255358695984,50.662228000000006,14.661106,18.005303941763014,22.828571,5.85816,15.647557999999998,1.4228786
8,,4.387588500000001,16.212307,-0.125,,9,19.425749,2.1127262000000004,180,-0.013,14.272444,0.25593027,5.991403599999999,0.11,0.99855614,16.274435,16.274435,16.592905,12.6581955,22.450928211212158,45.70746,15.21761,17.939443337345764,22.59831,3.1777205000000004,15.710308,1.4064661
9,,3.9205425000000003,15.951951000000001,-0.126,,10,8.615271,2.3453228,200,-0.013,13.6893215,0.22695455,5.8547735,0.11,0.99855614,16.274435,16.274435,16.515585,13.731335000000001,23.345661878585812,42.851257000000004,14.585431,17.642719643512613,22.033953,2.2777038,15.734472,1.3731334
10,,3.8315754,16.18267,-0.128,,11,15.612173,2.500375,220,-0.013,13.791806,0.18833396,5.831405,0.11,0.9987028,16.274435,16.274435,16.442717000000002,14.5807,24.510325193405148,40.82569,14.703885000000001,17.912256158136362,21.299297,1.6958449,15.775219,1.3255181
11,,3.9478676,15.690732999999998,-0.13,,12,13.913972,2.615686,240,-0.013,13.700420999999999,0.14460324,6.000812000000001,0.11,0.9999473,16.274435,16.274435,16.372683,15.696239000000002,25.40398001670837,39.640390000000004,14.658707000000001,17.39479672236805,20.974806,1.8091073,15.768178,1.3080200000000002
12,,4.004412,16.369831,-0.132,,13,11.721053,2.723236,260,-0.013,13.477754999999998,0.10952659,6.5333657,0.11,0.9999473,16.369831,16.369831,16.304617,17.791897,26.844948053359985,40.067757,14.451111,18.110581658270206,22.03425,2.949235,15.814459,1.3686074
13,,4.16306,15.718185,-0.134,,14,16.310318,2.6830225,280,-0.013,13.428456,0.07633314,6.4651190000000005,0.11,0.9999473,16.369831,16.369831,16.2389,17.34606,28.125735521316532,38.25955,14.604970999999999,17.413898559637403,19.955755,0.35126609999999997,15.807582,1.2390043
14,,4.434480000000001,16.095444,-0.137,,15,12.708509,2.6931655,300,-0.014,13.145512,0.046658665,6.605627,0.11,0.9999473,16.369831,16.369831,16.175344,17.790047,29.510934114456177,37.359047,14.490509,17.820314149489164,19.124185999999998,1.3410313,15.826773000000001,1.1860031
15,,4.772189,16.186453,-0.14,,16,12.404043,2.6943276000000003,320,-0.014,12.808775,0.023819441,7.0226307,0.11,0.9999473,16.369831,16.369831,16.11391,18.921267999999998,31.02417540550232,37.330383000000005,14.368398999999998,17.899642241751444,19.103385999999997,2.3818919999999997,15.849253,1.1825793
16,,5.1329727,15.972033999999999,-0.145,,17,14.605564000000001,2.5400088,340,-0.015,12.399611,0.009091021,6.9568520000000005,0.11,0.9999473,16.369831,16.369831,16.054773,17.670465,32.086135625839226,36.145664000000004,14.389873999999999,17.68217004880063,16.811285,0.60516596,15.856476,1.0394392
17,,5.3887877,16.051044,-0.151,,18,17.10647,2.3221743,360,-0.015,11.849826,0.0019520998000000002,6.698546400000001,0.11,0.9999473,16.369831,16.369831,15.998151000000002,15.555193,33.29134106636048,35.14662,14.540493,17.778732069832174,13.998557,0.9620795,15.867285999999998,0.8641774
