,LQGmu1,ReturnMax,IWNorm1,DenMISELogFirst,ReturnMean,ReturnStepMax,SqrtESSClassic,ReturnAbsMax,LQGmu01,TimestepsSoFar,IWFirstEpisode,ReturnLastEpisode,IWLastEpisode,URet,target_sum_log_mean,DenMISEMeanLog,IWMin,IWNorm2,ReturnMin,LQGsigma,IWMax,TimeElapsed,DenMISELogLast,MISE,Bound,Iteration,IWMean
0,-1.0,15.058442000000001,1e-10,18.60218,15.058442000000001,0.9625284,1.0,15.058442000000001,-0.709,20,,15.058442000000001,,16.687925283112616,-503.26215,18.60218,,1e-10,,0.11,,0.19297075271606445,18.60218,,45.175327,1,
1,-1.0,16.446407,2.0500188,17.909032999999997,15.752424,0.97976863,1.0,16.446407,-0.699,40,,16.446407,2.0500188,18.161249230141106,-249.35016000000002,10.876511,,2.0500188,,0.11,2.0500188,5.738247632980348,3.8439891000000004,16.857720999999998,66.196945,2,1.0250094
2,-1.0,16.77448,3.0009985,17.503569,16.093110999999997,0.9999518000000001,1.4142133999999997,16.77448,-0.704,60,,16.77448,1.4996896,18.49619460249339,-159.17297,14.145064999999999,,2.1220267,,0.11,1.5013087999999999,6.167038917541504,20.787533,16.615883,52.199932000000004,3,1.0003328000000002
3,-1.0,16.77448,4.1617403,17.215887,16.233723,0.9999518000000001,1.7295669999999999,16.77448,-0.717,80,,16.655563,1.4607084,18.37577434006958,-114.66322,15.211895000000002,,2.4062324,,0.11,1.4607084,6.569651126861572,18.464275,17.303911,46.399887,4,1.0404351
4,-1.0,16.77448,4.994771,16.992743,16.323587,0.9999518000000001,1.9954252000000001,16.77448,-0.718,100,,16.683044,1.1276817,18.409308750273432,-88.971275,14.903882999999999,,2.5031111,,0.11,1.3429292,6.8571834564208975,13.671481,16.624762,41.84417,5,0.9989541999999999
5,-1.0,16.77448,5.9904013,16.810420999999998,16.363283,0.9999518000000001,2.2356517000000005,16.77448,-0.712,120,,16.561756,1.1863883999999998,18.273337584554685,-71.32267,15.205647,,2.6794877,,0.11,1.2296573999999998,7.421123743057251,16.734701,16.598366,39.107883,6,0.9984002000000001
6,-1.0,16.77448,7.0111227,16.656271,16.39712,0.9999518000000001,2.4493616,16.77448,-0.712,140,,16.600145,1.1785127,18.318650577691745,-58.405,15.735619,,2.8624287,,0.11,1.1833171,7.951261043548584,18.930103,16.646917000000002,37.19245,7,1.0015889999999998
7,-1.0,16.77448,8.75612,16.52274,16.431229000000002,0.9999518000000001,2.5413678,16.77448,-0.733,160,,16.669998,2.0508866,18.39419052392289,-49.306885,15.502066000000001,,3.445436,,0.11,2.0508866,8.444683790206911,13.875658999999999,18.20768,38.009396,8,1.094515
8,-1.0,16.77448,9.80072,16.404957,16.455803,0.9999518000000001,2.3053203,16.77448,-0.762,180,,16.652384,0.34905142,18.37811338187804,-41.70482,16.048822,,4.2513485,,0.11,3.306261,8.949615955352783,20.35341,18.12603,39.955290000000005,9,1.0889688999999998
9,-1.0,16.77448,17.866138,16.299595,16.481405,0.9999518000000001,1.8831145,16.77448,-0.81,200,,16.711845,7.652951700000001,18.429192015346814,-36.415417,15.726713,,9.487548,,0.11,7.652951700000001,9.305424451828005,12.781992,29.801640000000003,56.525158,10,1.7866137999999998
10,-1.0,16.77448,15.976363000000001,16.204285000000002,16.489769,0.9999518000000001,2.0127006,16.77448,-0.832,220,,16.573395,0.91410536,18.289065017193735,-31.75605,15.907877,,7.9377747,,0.11,6.2993984,9.634198427200316,17.206663,24.218279000000003,49.221222,11,1.4523966
11,-1.0,16.77448,17.911238,16.117273,16.508125,0.9999518000000001,2.302189,16.77448,-0.844,240,,16.710037,4.502569,18.431457123682264,-27.707987,16.00766,,7.7800899999999995,,0.11,4.8532660000000005,10.133149147033693,16.810532000000002,24.898836,46.75779,12,1.4926032
