,TimestepsSoFar,ReturnLastEpisode,DenMISELogFirst,URet,Bound,IWMin,DenMISELogLast,LQGmu1,ReturnMax,ReturnAbsMax,IWNorm1,IWLastEpisode,ReturnStepMax,IWMean,ReturnMean,IWMax,LQGmu01,SqrtESSClassic,MISE,ReturnMin,target_sum_log_mean,Iteration,IWNorm2,LQGsigma,TimeElapsed,IWFirstEpisode,DenMISEMeanLog
0,20,15.644507999999998,17.102016,17.332240856619553,56.48581,,17.102016,-0.112,15.644507999999998,15.644507999999998,0.6105839,0.6105839,0.99262077,0.6105839,15.644507999999998,0.6105839,-0.011,1.0,9.552285000000001,,16.608677,1,0.6105839,0.11,0.7431948184967041,0.6105839,17.102016
1,40,15.624429999999998,16.885466,17.317801493530848,49.071853999999995,,10.833663,-0.095,15.644507999999998,15.644507999999998,1.9532218999999997,0.7878593,0.9989526,0.97661096,15.634469000000001,1.1653626,-0.01,1.388518,15.270689,,13.816862,2,1.4066955,0.11,16.422452926635742,1.1653626,13.859564
2,60,15.888498,16.939121,17.59406914827186,46.792427,,12.012554,-0.108,15.888498,15.888498,3.6007394999999995,1.4533882,0.9989526,1.2002465,15.719145999999999,1.4533882,-0.011,1.7081404999999998,18.887524,,13.40562,3,2.1079879,0.11,17.08991289138794,0.9602792,13.237332
3,80,15.72151,16.929142000000002,17.416548661061853,47.306778,,16.538826,-0.118,15.888498,15.888498,5.0669394,1.7785119999999999,0.9989526,1.2667348,15.719736,2.1366255,-0.012,1.7441723000000002,19.978344,,14.137616,4,2.9050682,0.11,17.755874156951908,0.42126614,14.098482
4,100,15.774726000000001,16.80613,17.47873212349485,40.148228,,19.698904000000002,-0.058,15.888498,15.888498,0.007675116,0.00010648283999999999,0.9993386999999999,0.0015350231,15.730734,0.0063574593999999995,-0.006,1.1879483,0.024014847000000002,,6.927017,5,0.0064608159999999994,0.11,18.55890893936157,0.0063574593999999995,15.252792000000001
5,120,14.855692000000001,16.625078,16.450029857206047,65.99594,,12.202739,-0.063,15.888498,15.888498,7.4776936,7.4481883,0.9993386999999999,1.2462822,15.584893,7.4481883,-0.006,1.0039561,18.518269,,9.312177,6,7.4482274,0.11,19.23812770843506,0.023568107,14.592770999999999
6,140,13.206199,16.474848,14.644512689523664,52.403156,,13.202748999999999,-0.067,15.888498,15.888498,5.0592194,0.57732344,0.9993386999999999,0.7227456,15.245079999999998,4.397655,-0.007,1.1405195,10.610364,,10.594808,7,4.4358900000000006,0.11,19.962864637374878,0.06477068,14.378067000000001
7,160,15.211882000000001,16.350527,16.847265784961163,41.490120000000005,,16.815279999999998,-0.074,15.888498,15.888498,4.1846065999999995,0.9804413000000001,0.9993386999999999,0.5230758,15.240931,2.771665,-0.007,1.4165967,7.842223,,12.133688000000001,8,2.953986,0.11,20.82289695739746,0.26939827,14.638221
8,180,15.230131,16.265864999999998,16.870721895109543,42.699318,,19.886946,-0.061,15.888498,15.888498,6.0786430000000005,0.23485842,0.9993386999999999,0.6754048,15.239730999999999,3.7529642999999995,-0.006,1.4297513000000002,9.361006,,11.04386,9,4.2515388,0.11,21.927228212356567,0.019352589,15.168551999999998
9,200,14.218785,16.162653,15.720498814053496,41.997368,,9.257686999999999,-0.058,15.888498,15.888498,8.375602,1.8431779,0.9993386999999999,0.8375601999999999,15.137635999999999,4.786232,-0.006,1.5652363999999999,11.544782000000001,,10.510302000000001,10,5.3510137,0.11,22.92457747459412,0.0122309495,14.541179000000001
10,220,14.701369,16.068563,16.297000039958903,41.482647,,15.185967000000002,-0.056,15.888498,15.888498,10.290509,2.0546963,0.9993386999999999,0.93550086,15.097976000000001,5.5033374,-0.006,1.6714971,12.965997999999999,,10.564276,11,6.1564627,0.11,24.241249084472656,0.007296249,14.578996
11,240,13.604115,15.982216000000001,15.108696003583455,40.71483,,13.797254,-0.054,15.888498,15.888498,11.586214,1.8700801999999999,0.9993386999999999,0.9655178,14.973488,6.029518,-0.005,1.7351536,13.24435,,10.388897,12,6.6773424,0.11,25.4698338508606,0.0038555749,14.501785
12,260,14.904736999999999,15.902494,16.5181059973212,39.839040000000004,,12.556080999999999,-0.051,15.888498,15.888498,10.958454,0.667565,0.9993386999999999,0.84295803,14.968198999999998,6.0728803,-0.005,1.6856520000000002,11.561852,,9.995821000000001,13,6.501018,0.11,26.36500906944275,0.0019033076000000001,14.343144
13,280,13.052629,15.828532999999998,14.47297170555682,43.160576,,14.128292000000002,-0.049,15.888498,15.888498,16.852234,7.592975599999999,0.9993386999999999,1.2037309999999999,14.831373000000001,7.592975599999999,-0.005,1.7625128,16.116518,,9.960103,14,9.561481,0.11,27.312731504440308,0.0010196838,14.312135999999999
14,300,13.975242999999999,15.759613,15.513847557306333,41.431003999999994,,12.540001,-0.046,15.888498,15.888498,16.48078,1.4190464,0.9993386999999999,1.0987186000000002,14.774297,7.4566526,-0.005,1.7826403000000002,14.692297,,9.525186,15,9.2451515,0.11,28.923655033111572,0.00040569174,14.197919
15,320,13.628014000000002,15.695101999999999,15.058067557720733,40.60893,,11.623232000000002,-0.038,15.888498,15.888498,15.187783999999999,2.7496185,0.9993386999999999,0.9492364999999999,14.702654,7.540845,-0.004,1.7016997,12.598409,,7.7242804000000005,16,8.925067,0.11,30.298316717147827,2.2319993e-05,14.035857
16,340,12.53352,15.634479,13.887855773083727,11.560580999999999,,12.393963000000001,0.333,15.888498,15.888498,1.6999999e-09,,0.9993386999999999,,14.575057000000001,,0.035,4.1231055,,,-528.3474,17,4.1231057e-10,0.11,31.68364429473877,,13.930748000000001
