,LQGmu1,IWNorm2,ReturnAbsMax,DenMISEMeanLog,ReturnMin,URet,IWMin,MISE,ReturnMax,IWMax,TimestepsSoFar,ReturnLastEpisode,Bound,TimeElapsed,SqrtESSClassic,IWFirstEpisode,IWLastEpisode,DenMISELogFirst,ReturnStepMax,ReturnMean,Iteration,LQGmu01,IWNorm1,LQGsigma,target_sum_log_mean,DenMISELogLast,IWMean
0,0.997,1e-10,15.807039999999999,13.511501,,17.497854397219367,,,15.807039999999999,,20,15.807039999999999,47.42112,0.5810103416442871,1.0,,,13.511501,0.99233466,15.807039999999999,1,0.32,1e-10,0.11,-1068.516,13.511501,
1,0.997,1.4142136e-10,15.807039999999999,1.4574337,,9.444017119258,,7.3544059999999995e-19,15.807039999999999,1.7086695e-19,40,8.608342,33.5318,13.442533731460571,1.4142135,,1.7086695e-19,12.818355,0.99233466,12.207691,2,0.32,2e-10,0.11,-560.81647,-9.903487,8.5433475e-20
2,0.997,1.5,15.807039999999999,5.331033000000001,,9.357533310929476,,4.259727,15.807039999999999,1.5,60,8.519454,51.680847,13.754465818405151,1.0,,1.5,12.4128895,0.99233466,10.978278999999999,3,0.32,1.5,0.11,-369.11276000000004,13.889163,0.5
3,0.997,1.885618,15.807039999999999,7.844484,,9.349345311296524,,5.677877,15.807039999999999,1.333334,80,8.514177,39.209675,14.086236953735352,1.4142135,,1.333334,12.125207000000001,0.99233466,10.362252999999999,4,0.32,2.6666665000000003,0.11,-272.80203,15.842417999999999,0.6666666
4,0.997,2.1650636000000003,15.807039999999999,8.211707,,9.320908297065099,,6.380833,15.807039999999999,1.25,100,8.4897,33.75943,14.522713899612427,1.7320508000000001,,1.25,11.902063,0.99233466,9.987743,5,0.32,3.75,0.11,-216.19742999999997,9.997811,0.75
5,0.997,2.4,15.807039999999999,9.844505999999999,,9.360986810277963,,6.8084983999999995,15.807039999999999,1.2,120,8.519156,30.519058,14.880682706832886,2.0,,1.2,11.719742,0.99233466,9.742977999999999,6,0.32,4.8,0.11,-177.09236,18.250675,0.8
6,0.997,2.6087463,15.807039999999999,10.228843,,9.342529711258434,,7.091831699999999,15.807039999999999,1.166667,140,8.508499,28.2992,15.342855215072632,2.236068,,1.166667,11.565591,0.99233466,9.566625,7,0.32,5.833334,0.11,-149.95279,12.730482,0.83333343
7,0.997,2.7994173,15.807039999999999,10.801525999999999,,9.374537785161252,,7.2982283,15.807039999999999,1.1428573,160,8.5366,26.657818,15.77329397201538,2.4494898,,1.1428573,11.43206,0.99233466,9.437872,8,0.32,6.857144,0.11,-129.3202,14.974279999999998,0.857143
8,0.997,2.9764692999999998,15.807039999999999,10.991367,,9.347410026813852,,7.4501867,15.807039999999999,1.1250006000000001,180,8.513926,25.373688,16.067108154296875,2.6457512000000003,,1.1249995000000002,11.314277,0.99233466,9.33521,9,0.32,7.8749975999999995,0.11,-113.53254,12.651157000000001,0.87499976
9,0.997,3.1426957000000004,15.807039999999999,11.293700999999999,,9.457765322130069,,7.579175,15.807039999999999,1.1111116,200,8.611085000000001,24.345074,16.43153405189514,2.828427,,1.1111106000000002,11.208917,0.99233466,9.262797,10,0.32,8.888885499999999,0.11,-100.7549,14.138475,0.88888854
