,LQGsigma,IWMean,Iteration,URet,ReturnMax,SqrtESSClassic,MISE,IWFirstEpisode,ReturnMin,IWLastEpisode,ReturnAbsMax,DenMISELogFirst,TimeElapsed,LQGmu1,target_sum_log_mean,DenMISELogLast,Bound,DenMISEMeanLog,ReturnMean,ReturnStepMax,ReturnLastEpisode,IWNorm1,IWNorm2,LQGmu01,IWMin,TimestepsSoFar,IWMax
0,0.11,1.0009885,1,17.332240856619553,15.644507999999998,1.0,15.659973,1.0009885,,1.0009885,15.644507999999998,17.102016,1.06630539894104,-0.099,17.103004000000002,17.102016,46.94899,17.102016,15.644507999999998,0.99262077,15.644507999999998,1.0009885,1.0009885,-0.01,,20,1.0009885
1,0.11,1.0126127,2,17.090341186850054,15.644507999999998,1.4140866,15.724207,0.9990449,,1.0261805,15.644507999999998,17.102510000000002,27.09546446800232,-0.099,13.808279,10.48916,37.85087,13.7958355,15.529888,0.9973267,15.415267000000002,2.0252254,1.4321792,-0.01,,40,1.0261805
2,0.11,1.3035535,3,17.59934870685582,15.891483,1.4072794,20.567636,0.74494207,,2.621211,15.891483,17.102192000000002,28.88078999519348,-0.109,12.79734,10.730665,43.152325,12.776900999999999,15.65042,0.9973267,15.891483,3.9106605000000005,2.7788801,-0.011,,60,2.621211
3,0.11,1.4655843000000002,4,17.457364149253475,15.891483,1.510204,23.174677,0.2698732,,2.5013009999999998,15.891483,17.036304,30.68959069252014,-0.121,13.346382,16.190695,44.220158000000005,13.668718,15.677695000000002,0.99754506,15.759523000000002,5.862337,3.881818,-0.012,,80,2.9529781
4,0.11,0.7454421999999999,5,17.523871626339464,15.891483,1.7114019,11.798639,0.038372576,,0.91643417,15.891483,16.87845,32.572514533996575,-0.134,13.451553,19.476902,30.369944,14.879407,15.705472,0.9995101000000001,15.816574,3.727211,2.17787,-0.014,,100,1.5947375
5,0.11,9.887962599999999e-20,6,17.91723235414018,16.189875,2.4494896,1.5354473e-18,2.928436e-19,,9.929891399999999e-26,16.189875,16.703773,34.286161422729485,0.014,-35.410114,16.553843,13.218978,15.117332999999999,15.786204000000001,0.99975574,16.189875,6e-10,2.4494897999999997e-10,0.001,,120,3.0039377000000004e-19
6,0.11,1.9561167000000002,7,10.246804549981457,16.189875,1.0,18.272234,9.1085195e-21,,13.692817000000002,16.189875,16.549623,35.799594402313225,0.019,-32.13355,7.671319500000001,50.651984999999996,13.921488,14.865472,0.99975574,9.341076,13.692817000000002,13.692817000000002,0.002,,140,13.692817000000002
7,0.11,0.5228970000000001,8,10.311081652357556,16.189875,1.0170270000000001,4.8848867,5.2704124e-24,,0.070640996,16.189875,16.416092000000003,37.85856294631958,0.028,-32.637558,14.122057999999999,36.722538,13.965204,14.181522,0.99975574,9.393877999999999,4.1831760000000004,4.1131415,0.003,,160,4.112535
8,0.11,0.9698200000000001,9,10.064108786317217,16.189875,1.0393059999999998,9.103453,5.477102999999999e-16,,0.24881810000000001,16.189875,16.29831,39.970144271850586,0.004,-14.020741000000001,19.998047,40.258614,14.577889,13.623773000000002,0.99975574,9.161774000000001,8.72838,8.398277,0.0,,180,8.394156
9,0.11,4.2859475000000003e-07,10,10.599677319020454,16.189875,1.2939878999999999,4.6905525e-06,2.7023964000000003e-07,,3.2287255e-06,16.189875,16.192947,42.032649517059326,-0.029,-7.871442,5.9473195,25.023229999999998,13.689570000000002,13.226770000000002,0.99975574,9.653733,4.286947e-06,3.312973e-06,-0.003,,200,3.2287255e-06
10,0.11,1.0429576999999999,11,14.147529331981726,16.189875,1.000003,13.309662,7.919046400000001e-08,,11.4725,16.189875,16.097637,43.63737106323242,-0.027,-5.326691599999999,14.959748999999999,45.689316,13.718395999999998,13.184469,0.99975574,12.761469,11.472534,11.4725,-0.003,,220,11.4725
11,0.11,1.3148924,12,13.494936062067568,16.189875,2.1279964,20.898239999999998,0.6925727,,1.4299676e-28,16.189875,16.010626000000002,45.76363730430603,-0.122,-65.20373000000001,12.734492999999999,36.114309999999996,13.616178,13.100489999999999,0.99975574,12.176706,15.778709,7.4148197,-0.012,,240,3.8850274
12,0.11,1.2335943,13,17.700388426045052,16.189875,2.3856282,19.61449,0.74242854,,2.7600276000000004,16.189875,15.986694,47.52324485778809,-0.121,-58.93018000000001,10.572003,33.187332,13.397022,13.321845000000001,0.99975574,15.978122,16.036726,6.7222238,-0.012,,260,3.1709093999999998
13,0.11,1.3289947e-16,14,17.22843100206383,16.189875,3.7416572999999995,2.1516246e-15,2.0029794e-33,,2.3883357999999995e-32,16.189875,15.968125,49.57255625724793,-0.29,-248.91801,15.757959,8.6538515,13.576645999999998,13.480801999999999,0.99975574,15.547228,1.4000019e-09,3.7416625e-10,-0.03,,280,1.8605295e-15
14,0.11,1.546786,15,18.484393830671006,16.72073,1.0,25.863392,8.986912e-32,,23.20179,16.72073,15.899132,51.12854433059693,-0.285,-225.81139,3.9380387999999997,59.30485,12.869678500000001,13.696795999999999,0.9999669,16.72073,23.20179,23.20179,-0.029,,300,23.20179
15,0.11,1.4853433,16,18.72540588855411,16.955692000000003,1.2673385,24.924114000000003,2.7155159999999996e-29,,5.998495,16.955692000000003,15.834594000000001,53.26891326904297,-0.275,-202.0311,10.89074,51.682068,12.743917,13.900476999999999,0.9999669,16.955692000000003,23.765493,18.752285,-0.028,,320,17.766998
