,ReturnMean,MISE,LQGsigma,ReturnLastEpisode,Iteration,IWMax,IWNorm1,ReturnMin,IWMin,DenMISELogLast,ReturnStepMax,DenMISEMeanLog,IWLastEpisode,LQGmu1,SqrtESSClassic,DenMISELogFirst,target_sum_log_mean,ReturnMax,IWNorm2,TimestepsSoFar,IWMean,IWFirstEpisode,URet,LQGmu01,TimeElapsed,Bound,ReturnAbsMax
0,15.807039999999999,,0.11,15.807039999999999,1,,1e-10,,,13.511501,0.99233466,13.511501,,0.236,1.0,13.511501,-281.2969,15.807039999999999,1e-10,20,,,17.497854397219367,0.024,0.3121144771575928,31.614079999999998,15.807039999999999
1,12.334241,7.808407e-08,0.11,8.861442,2,1.7623334e-08,1.7823334e-08,,,-9.903487,0.99233466,1.4574337,1.7623334e-08,0.231,1.0056261999999998,12.818355,-150.5393,15.807039999999999,1.7723616e-08,40,8.811667e-09,,9.723060964444807,0.023,14.804470300674438,31.437208000000002,15.807039999999999
2,11.150486,8.087401e-06,0.11,8.782975,3,2.7624127999999994e-06,2.762713e-06,,,13.995835999999999,0.99233466,5.3665910000000006,2.7624127999999994e-06,0.321,1.0000725000000001,12.4128895,-145.62396,15.807039999999999,2.7625128e-06,60,9.2080427e-07,,9.646887955387236,0.033,15.883252143859865,31.611796999999996,15.807039999999999
3,10.528538000000001,0.0066422669999999994,0.11,8.662692,4,0.0030670683,0.0030670685,,,14.698143,0.99233466,7.483718,0.0030670683,0.482,1.0000001,12.125207000000001,-170.65901000000002,15.807039999999999,0.0030670683,80,0.0007667671,,9.512014767821649,0.052,16.71854543685913,31.620718,15.807039999999999
4,10.128557,16.269157,0.11,8.528635000000001,5,9.537872,9.53796,,,6.846391000000001,0.99233466,7.177891000000001,9.537872,0.602,1.0000091999999998,11.902063,-163.1859,15.807039999999999,9.537872,100,1.9075919999999997,,9.363304308242643,0.069,17.42588782310486,47.88295,15.807039999999999
5,9.86205,11.261387,0.11,8.529519,6,3.9976203000000003,7.9221163,,,17.474648000000002,0.99233466,8.919971,3.9244177000000002,0.619,1.4141671999999998,11.719742,-135.81973,15.807039999999999,5.601966,120,1.3203527,,9.372175203688307,0.072,18.22904896736145,33.61665,15.807039999999999
6,9.6697,10.768809,0.11,8.5155945,7,3.2204322999999997,8.843289,,,11.746075999999999,0.99233466,9.336406,3.2204322999999997,0.641,1.7283441000000002,11.565591,-117.56703999999999,15.807039999999999,5.1166253,140,1.263327,,9.35033240946114,0.076,18.68609642982483,29.060352,15.807039999999999
7,9.528719,9.852894000000001,0.11,8.541856,8,2.5569086,9.242609,,,14.362186,0.99233466,9.979507,2.0889447,0.65,1.994864,11.43206,-102.04842,15.807039999999999,4.6332026,160,1.1553261000000001,,9.380308996364317,0.077,19.266657352447513,25.70063,15.807039999999999
8,9.416484,9.7291975,0.11,8.518606,9,2.2087002,10.269779,,,11.98601,0.99233466,10.210469,2.1827536,0.659,2.2316132,11.314277,-90.28219,15.807039999999999,4.601953,180,1.1410866000000002,,9.352564100391039,0.079,20.125797033309933,23.895668,15.807039999999999
9,9.336321,8.250998,0.11,8.614854,10,1.9886408,9.67338,,,15.225092000000002,0.99233466,10.719854,0.35755122,0.667,2.3097284,11.208917,-80.52901999999999,15.807039999999999,4.1881027,200,0.96733797,,9.461902243709488,0.08,21.39428734779358,21.938354,15.807039999999999
10,9.264801,8.189944,0.11,8.549599,11,1.8323450000000001,10.557911,,,20.484838,0.99233466,11.601772,1.5388451,0.67,2.5239625,11.113605999999999,-71.62199,15.807039999999999,4.1830697,220,0.9598101000000001,,9.390217631548886,0.081,22.56562900543213,20.715519,15.807039999999999
11,9.204574000000001,8.188027,0.11,8.542074000000001,12,1.7163979999999999,11.512949,,,15.561060999999999,0.99233466,11.926467,1.4990733,0.672,2.7223582000000004,11.026595,-64.44373,15.807039999999999,4.229035400000001,240,0.9594123999999999,,9.383227409742632,0.081,24.24367618560791,19.800783,15.807039999999999
12,9.152491,8.286475,0.11,8.527505,13,1.6298378999999998,12.623219,,,18.858456,0.99233466,12.455219,1.5796343000000002,0.674,2.9058580000000003,10.946552,-58.128254000000005,15.807039999999999,4.344059,260,0.9710168,,9.364528509181266,0.082,25.478461742401123,19.165905,15.807039999999999
13,9.1040125,8.504678,0.11,8.473794999999999,14,1.7771284999999999,13.964542000000002,,,15.928667,0.99233466,12.700165,1.7771284999999999,0.682,3.0682929,10.872444,-53.309338000000004,15.807039999999999,4.551242,280,0.99746734,,9.304876095903225,0.083,26.339230060577393,18.808155,15.807039999999999
14,9.065546000000001,8.530902000000001,0.11,8.527000000000001,15,1.7237189,15.007828,,,6.163394,0.99233466,12.263198,1.4491351000000001,0.688,3.2299304,10.803452,-49.691578,15.807039999999999,4.646486299999999,300,1.0005219,,9.359705838138694,0.084,27.226755619049072,18.318754000000002,15.807039999999999
15,9.032909,8.510114999999999,0.11,8.543357,16,1.6715988999999998,15.966429000000002,,,16.276165,0.99233466,12.513219,1.3386457,0.692,3.3841705,10.738913,-45.801759999999994,15.807039999999999,4.717974,320,0.9979018,,9.380268407538226,0.085,28.56154203414917,17.851868,15.807039999999999
16,9.003983,8.493294,0.11,8.541153999999999,17,1.6232872,16.928486,,,15.505903,0.99233466,12.688483999999999,1.312108,0.696,3.5319862,10.6782875,-42.352226,15.807039999999999,4.792908000000001,340,0.9957933000000001,,9.379419260076633,0.086,30.160539627075195,17.444088,15.807039999999999
