,ReturnMax,URet,ReturnStepMax,IWMin,IWNorm2,TimeElapsed,IWFirstEpisode,Bound,DenMISELogLast,MISE,DenMISELogFirst,IWMax,IWLastEpisode,target_sum_log_mean,SqrtESSClassic,ReturnAbsMax,LQGmu01,IWMean,LQGsigma,IWNorm1,ReturnMean,ReturnMin,LQGmu1,TimestepsSoFar,Iteration,DenMISEMeanLog,ReturnLastEpisode
0,15.058442000000001,16.687925283112616,0.9625284,,1e-10,0.559633731842041,,45.175327,18.60218,,18.60218,,,-398.22217,1.0,15.058442000000001,-0.097,,0.11,1e-10,15.058442000000001,,-0.751,20,1,18.60218,15.058442000000001
1,16.964197,18.74100649188138,0.99985987,,2.0847397,14.82271432876587,,68.57556,3.8870945,17.682968,17.909032999999997,2.0847397,2.0847397,-202.0479,1.0,16.964197,-0.102,1.0423698000000001,0.11,2.0847397,16.01132,,-0.77,40,2,10.898064,16.964197
2,17.223675,19.006998965375665,0.9999794,,3.4223788,15.494972467422485,,68.382385,20.95225,21.727370999999998,17.503569,3.4000532999999997,3.4000532999999997,-104.339134,1.1075128,17.223675,-0.078,1.2634428,0.11,3.7903282999999997,16.415438,,-0.653,60,3,14.217185999999998,17.223675
3,17.223675,18.976848314667134,0.9999794,,2.659488,16.304217338562008,,50.2863,18.690448999999997,18.625492,17.215887,2.0837379,1.4322727,-78.151115,1.6320183000000001,17.223675,-0.083,1.0850832000000001,0.11,4.340333,16.610407000000002,,-0.683,80,4,15.339739000000002,17.195314
4,17.223675,18.9195645815522,0.9999794,,2.9259652999999997,17.077926635742188,,46.011990000000004,13.238598000000001,19.718813,16.992743,1.6923842,1.6923842,-60.984997,1.9651875,17.223675,-0.085,1.1500142,0.11,5.7500706,16.716217,,-0.693,100,5,14.923549,17.139457999999998
5,17.223675,18.905465422943927,0.99997985,,4.519664,17.711840152740482,,54.411476,17.431522,18.570282000000002,16.810420999999998,4.2628330000000005,4.2628330000000005,-60.137085,1.4416658000000002,17.223675,-0.114,1.0859741000000003,0.11,6.515845,16.784346,,-0.817,120,6,15.357472,17.124979999999997
6,17.223675,18.8858144560004,0.99997985,,6.7358036,18.654179096221927,,61.30455,17.685217,21.219568,16.656271,6.445931,6.445931,-54.476116000000005,1.289037,17.223675,-0.136,1.2403858,0.11,8.6827,16.830215,,-0.878,140,7,15.684254999999999,17.105444
7,17.223675,18.944165940987066,0.99997985,,5.57726,19.7317054271698,,50.111990000000006,12.93452,21.750534,16.52274,3.7453485,3.4051642,-44.379135,1.8218749,17.223675,-0.129,1.2701337,0.11,10.16107,16.871975,,-0.861,160,8,15.341101,17.164299
8,17.223675,18.87725705990052,0.99997985,,6.1841349999999995,20.72887635231018,,50.682666999999995,18.86741,19.455969,16.404957,5.4181504,5.4181504,-40.56212,1.6547066000000004,17.223675,-0.147,1.1369921,0.11,10.232928999999999,16.897253,,-0.902,180,9,15.748057000000001,17.09946
9,17.233692,19.014790034413863,0.99997985,,4.5935,21.688476085662842,,42.432972,14.316046,14.619525,16.299595,3.769414,0.5775955,-35.334522,1.8588517,17.233692,-0.149,0.85386354,0.11,8.538635000000001,16.930897,,-0.905,200,10,15.605891,17.233692
10,17.233692,18.879059763321873,0.99998295,,5.2823459999999995,22.60581636428833,,41.246426,16.250435,20.658014,16.204285000000002,2.3705882999999996,2.354425,-28.511314000000002,2.5111735,17.233692,-0.135,1.2058988000000002,0.11,13.264887,16.946259,,-0.877,220,11,15.647454999999999,17.099884
11,17.233692,18.964480180441875,0.99998295,,5.1822867,23.586236000061035,,39.188286,19.078732000000002,20.711052,16.117273,2.6676330000000004,1.168336,-22.88884,2.7980959999999997,17.233692,-0.124,1.2083780000000002,0.11,14.500535999999999,16.965985999999997,,-0.846,240,12,15.945629,17.18299
12,17.233692,18.964957437436592,0.99998295,,6.035835700000001,24.402791500091553,,40.913115999999995,11.097609,23.08735,16.037231,3.4172008000000003,3.4172008000000003,-17.462831,2.9003565,17.233692,-0.104,1.3466212,0.11,17.506075,16.982838,,-0.781,260,13,15.585323,17.185062
13,17.233692,18.938571634899407,0.99998295,,5.4974739999999995,25.16603255271912,,37.478120000000004,18.22701,20.490051,15.963123000000001,2.9139028,0.42957485,-14.936573999999998,3.043376,17.233692,-0.104,1.1950629,0.11,16.73088,16.995478,,-0.78,280,14,15.79454,17.159775
14,17.233692,18.913266062888876,0.99998295,,5.590155,25.91940879821777,,36.831646,17.57715,21.384941,15.894131,2.36944,2.340045,-13.359125,3.347062,17.233692,-0.11,1.2473731000000001,0.11,18.710596,17.004654000000002,,-0.8,300,15,15.9239855,17.133136999999998
15,17.233692,18.881069947916643,0.9999971,,5.5775695,27.07927680015564,,35.767403,16.482145000000003,21.18789,15.829592000000002,2.1699498,1.7002983,-12.355667,3.5461449999999997,17.233692,-0.117,1.2361794,0.11,19.77887,17.010775,,-0.827,320,16,15.972317000000002,17.102583
16,17.233692,18.952125366065694,0.9999971,,6.0628977,28.37732291221619,,36.001633,17.601974,20.830362,15.768968,2.300521,2.2518592,-11.714329,3.4078279,17.233692,-0.128,1.2153713,0.11,20.661312,17.020346,,-0.858,340,17,16.080494,17.17351
17,17.233692,18.87511581480103,0.9999971,,6.105451,29.39405107498169,,35.079884,17.694271,20.219473,15.711808999999999,2.2098675,1.8838255000000002,-10.350767,3.4791144999999997,17.233692,-0.131,1.1800868999999998,0.11,21.241564,17.024513,,-0.866,360,18,16.180398999999998,17.095304000000002
18,17.233692,18.93161799825533,0.9999971,,6.2439537000000005,30.572606563568115,,34.492126,17.327955,19.75949,15.657742,2.2059130000000002,2.2059130000000002,-9.234102,3.5092879999999997,17.233692,-0.134,1.1532544,0.11,21.911832999999998,17.031202,,-0.874,380,19,16.248854,17.151604000000003
19,17.233692,18.986278626791087,0.9999971,,6.0099273,31.73862910270691,,33.070515,17.126194,19.210962,15.606448,1.9791976999999998,0.98937756,-7.6981936,3.730357,17.233692,-0.132,1.1209586999999999,0.11,22.419173999999998,17.039886,,-0.869,400,20,16.299124,17.204908
20,17.233692,18.949658687533734,0.9999971,,6.0947886,32.9759464263916,,32.710037,16.31711,19.561003,15.557657999999998,1.8971707999999998,1.8971707999999998,-6.3869514,3.9319300000000004,17.233692,-0.131,1.1411563,0.11,23.964283,17.04605,,-0.865,420,21,16.30486,17.16933
21,17.233692,18.926086285233488,0.9999971,,5.975506299999999,34.074918031692505,,31.874979999999997,13.518638000000001,19.579376,15.511138,1.7217622,1.2371337,-5.131286599999999,4.204842,17.233692,-0.127,1.1420937,0.11,25.12606,17.050604,,-0.855,440,22,16.183857,17.146233
22,17.233692,18.94705359523164,0.9999971,,6.209233,35.333413362503045,,32.079353000000005,7.94422,20.274454000000002,15.466686,1.9073843999999998,1.8590846999999997,-3.8196623,4.3796287000000005,17.233692,-0.117,1.1823536000000001,0.11,27.194134000000002,17.055687,,-0.827,460,23,15.831214000000001,17.1675
23,17.233692,18.95739371165979,0.9999971,,6.9020033,36.53144431114197,,32.932148,17.09169,20.480516,15.424126999999999,2.5443182,2.4735088,-2.3951689999999997,4.152153,17.233692,-0.109,1.1940905000000002,0.11,28.658172999999998,17.060804,,-0.798,480,24,15.890758499999999,17.178509
24,17.233692,18.865579290446988,0.9999971,,6.954174000000001,37.95757269859314,,32.553490000000004,18.000166,20.558157,15.383304999999998,2.3873043,2.012138,-1.5581261999999998,4.310099,17.233692,-0.109,1.1989273,0.11,29.97318,17.061836,,-0.798,500,25,15.982139000000002,17.086628
