,Iteration,IWMean,IWMax,TimestepsSoFar,DenMISELogLast,SqrtESSClassic,LQGmu01,ReturnMax,ReturnStepMax,TimeElapsed,LQGmu1,IWFirstEpisode,DenMISELogFirst,DenMISEMeanLog,LQGsigma,ReturnLastEpisode,URet,IWMin,IWNorm2,Bound,ReturnAbsMax,target_sum_log_mean,ReturnMin,MISE,IWNorm1,ReturnMean,IWLastEpisode
0,1,1.4384975e-05,1.4384975e-05,20,13.511501,1.0,-0.003,15.807039999999999,0.99233466,0.3519003391265869,-0.032,1.4384975e-05,13.511501,13.511501,0.11,15.807039999999999,17.497854397219367,,1.4385074999999999e-05,47.42135,15.807039999999999,2.3621755,,0.00022738387999999998,1.4385074999999999e-05,15.807039999999999,1.4384975e-05
1,2,,,40,17.591042,1.4142135,0.016,15.807039999999999,0.99233466,14.305729627609253,0.154,,12.818369,15.204704999999999,0.11,13.140432999999998,14.532148242364535,,1.4142136e-10,33.5318,15.807039999999999,-174.99033,,,2e-10,14.473737,
2,3,0.35907817,1.0772344999999999,60,-10.068871000000001,1.0,0.014,15.807039999999999,0.99233466,14.67522120475769,0.141,,12.412904,6.509869999999999,0.11,8.986966,9.864757837096231,,1.0772344999999999,50.648144,15.807039999999999,-106.42075,,3.2270234,1.0772344999999999,12.644814,1.0772344999999999
3,4,0.0066657327,0.02254315,80,15.132535,1.1634816000000001,0.018,15.807039999999999,0.99233466,15.959072589874268,0.174,,12.125221,8.526475999999999,0.11,8.938094,9.816059526839636,,0.022916505,40.817574,15.807039999999999,-105.56483,,0.059629284000000005,0.02666293,11.718134,0.02254315
4,5,1.4278445e-13,7.139222499999999e-13,100,7.042626400000001,2.2360587000000005,0.03,15.807039999999999,0.99233466,17.32762885093689,0.287,,11.902078,8.052522,0.11,8.864844,9.734128258843947,,2.2392699e-10,21.207457,15.807039999999999,-194.00968999999998,,1.2657619e-12,5.007139e-10,11.147476,7.139222499999999e-13
5,6,0.8354357,5.0126143,120,18.825115,1.0,0.03,15.807039999999999,0.99233466,18.551207065582272,0.296,,11.719756,9.696017999999999,0.11,8.712875,9.571791328422773,,5.0126143,54.700165000000005,15.807039999999999,-165.32777,,7.279047,5.0126143,10.741710000000001,5.0126143
6,7,0.66331226,4.1901774,140,11.349482,1.1016923,0.034,15.807039999999999,0.99233466,19.38041090965271,0.326,,11.565605,9.886853,0.11,8.680083,9.531408642961527,,4.214594,48.803616,15.807039999999999,-161.4937,,5.7597275,4.6431856,10.447191,4.1901774
7,8,1.0657148,4.480715,160,13.518431,1.5116585,0.033,15.807039999999999,0.99233466,20.068263292312626,0.322,,11.432075,10.29044,0.11,8.670832,9.52200992683951,,5.6399764999999995,40.6184,15.807039999999999,-136.94589,,9.24814,8.525719,10.225146,4.480715
8,9,0.22244883,1.5816709,180,11.555305,1.2395047,0.04,15.807039999999999,0.99233466,20.744760990142826,0.378,,11.314291,10.423805,0.11,8.653167,9.500866772674591,,1.6151931000000002,40.183956,15.807039999999999,-149.37468,,1.9258342000000002,2.0020394,10.050481,1.5816709
9,10,0.010259958000000001,0.09285885,200,17.256367,1.1007943999999998,0.047,15.807039999999999,0.99233466,21.759290933609012,0.435,,11.208931,11.033033,0.11,8.693861,9.548447602283373,,0.093205035,43.167792999999996,15.807039999999999,-155.94853,,0.08880041,0.10259958,9.914819999999999,0.00022295582999999999
