,DenMISEMeanLog,DenMISELogLast,ReturnLastEpisode,ReturnMin,MISE,ReturnMean,URet,ReturnMax,LQGsigma,Bound,LQGmu1,IWMin,TimeElapsed,IWLastEpisode,IWNorm2,IWFirstEpisode,IWNorm1,IWMax,LQGmu01,DenMISELogFirst,SqrtESSClassic,IWMean,ReturnStepMax,TimestepsSoFar,target_sum_log_mean,ReturnAbsMax,Iteration
0,13.511501,13.511501,15.807039999999999,,16.798817,15.807039999999999,17.497854397219367,15.807039999999999,0.11,48.412895,-0.098,,0.22146129608154294,1.0627427,1.0627427,1.0627427,1.0627427,1.0627427,-0.01,13.511501,1.0,1.0627427,0.99233466,20,13.572354,15.807039999999999,1
1,16.656948,19.771503,15.499260000000001,,17.771439,15.653151000000001,17.16876062923554,15.807039999999999,0.11,40.18866,-0.098,,9.853727340698242,1.2213128999999998,1.6112843000000001,1.0510146999999999,2.2723273999999996,1.2213128999999998,-0.01,13.542391,1.4102584999999999,1.1361636999999998,0.99233466,40,16.781788,15.807039999999999,2
2,15.886192000000001,14.256644,15.347134,,17.477663,15.551145000000002,16.997822932226544,15.807039999999999,0.11,35.820023,-0.097,,10.471795082092283,1.0319992,1.9564433999999997,1.0587671,3.3720396,1.2812731000000002,-0.01,13.559253,1.7235558999999998,1.1240132,0.99233466,60,15.998344,15.807039999999999,3
3,15.974794000000001,16.150095,15.850477,,17.507526000000002,15.625978,17.554947492150593,15.850477,0.11,33.52947,-0.096,,11.027374744415283,0.9795777,2.2667222000000002,1.0718809999999999,4.484928,1.4019926,-0.01,13.573837,1.9785963,1.121232,0.99233466,80,16.079212,15.850477,4
4,14.810251999999998,10.058291,15.279216,,17.895807,15.556625,16.901349102487327,15.850477,0.11,32.28275,-0.095,,11.571331024169922,1.1733607,2.6125636,1.0782181,5.756662400000001,1.5232860000000001,-0.009,13.588110999999998,2.2034535,1.1513325,0.99233466,100,14.937601999999998,15.850477,5
5,15.398864999999999,18.219944,14.666554000000001,,18.641397,15.408279,16.2954956325257,15.850477,0.11,31.840021000000004,-0.094,,12.110620737075806,1.4895694,3.0311809,1.0748363,7.280405,1.5881566999999999,-0.009,13.601064000000001,2.4018377999999996,1.2134008,0.9931903,120,15.57298,15.850477,6
6,15.059346,12.8454075,15.588789000000002,,18.488394,15.434067,17.257040311579665,15.850477,0.11,30.816961,-0.092,,12.620678663253784,0.9884778000000001,3.2720556,1.067015,8.413571000000001,1.7085035,-0.009,13.611697,2.5713413,1.2019387,0.9931903,140,15.216191,15.850477,7
7,15.101574,15.227015,15.682964000000002,,18.016312,15.465179000000001,17.363106141113967,15.850477,0.11,29.851540000000004,-0.09,,13.478482007980347,0.78456175,3.4954688999999997,1.0421635,9.362701,1.9308436999999998,-0.009,13.62004,2.6785252,1.1703377000000001,0.9931903,160,15.208097,15.850477,8
8,14.839966,12.604401,15.501341,,17.21803,15.469197,17.146543653917426,15.850477,0.11,29.164927000000002,-0.086,,14.635710000991821,0.8260089,3.7986684,0.9424604999999999,10.079724,2.4078784,-0.009,13.624714,2.6534888999999997,1.1199694,0.9931903,180,14.841902,15.850477,9
9,14.92695,15.617142999999999,15.6588125,,11.288742,15.488159,17.363214504409914,15.850477,0.11,26.972038,-0.077,,15.744944334030151,0.026742455,3.6441904999999997,0.50385934,7.366073599999999,3.046585,-0.008,13.618943,2.0213196,0.7366074,0.9979082,200,13.990381,15.850477,10
10,15.421301999999999,20.638376,15.409270999999999,,14.098370000000001,15.480988,17.079323269145153,15.850477,0.11,25.574776,-0.082,,16.57315707206726,1.3155059999999998,3.6535296,0.80119336,10.092042,2.2675562,-0.008,13.57279,2.7622720000000003,0.91745836,0.9979082,220,15.082004000000001,15.850477,11
11,15.447019000000001,15.819799,14.924832,,15.290137,15.43464,16.541344467904224,15.850477,0.11,25.042185,-0.099,,17.161871194839478,0.6004244000000001,3.639159,1.0120280000000001,11.829803,1.7984334,-0.01,13.556085000000001,3.2506971,0.98581696,0.9979082,240,15.359263,15.850477,12
12,15.714433999999999,18.941172,15.967604000000001,,16.665820999999998,15.475636999999999,17.6745634608752,15.967604000000001,0.11,25.671452,-0.09,,18.02969527244568,1.0216856,3.9575741,1.1122386,14.034104999999998,1.3089534999999999,-0.009,13.557008999999999,3.5461383,1.0795466,0.9979082,260,15.768695999999998,15.967604000000001,13
13,15.741465,16.020515,15.580591,,15.732757000000001,15.483134,17.256742945351604,15.967604000000001,0.11,24.39426,-0.095,,19.70033621788025,0.6919812,3.851314,1.0907582,14.1999035,1.1789141,-0.01,13.564994,3.6870282,1.0142788,0.9979082,280,15.738569,15.967604000000001,14
14,15.152256,6.8909720000000005,16.249979999999997,,10.015296000000001,15.534258,17.965931511043895,16.249979999999997,0.11,22.773933,-0.073,,20.98635816574097,0.018281767,3.8380957,0.3620679,9.776747,2.3921542000000002,-0.007,13.571026999999999,2.547291,0.6517831000000001,0.9979082,300,13.929042,16.249979999999997,15
15,15.146257,15.402721,15.639497,,11.446814,15.540835000000001,17.32264908773798,16.249979999999997,0.11,22.478544,-0.076,,22.454479932785034,0.49740204,4.043226,0.52662987,11.91152,2.2584057,-0.008,13.530339000000001,2.9460437,0.74447,0.9979082,320,14.326092000000001,16.249979999999997,16
16,15.166635999999999,15.747987,14.916279000000001,,13.127482,15.504097,16.51397011856039,16.249979999999997,0.11,22.766703,-0.079,,23.48321557044983,1.2830486,4.313233,0.67952836,14.542660999999999,2.0457628,-0.008,13.502099,3.371638,0.85545063,0.9979082,340,14.661657,16.249979999999997,17
