,IWMax,ReturnLastEpisode,IWLastEpisode,ReturnMin,LQGmu1,TimeElapsed,Bound,IWNorm1,TimestepsSoFar,ReturnMax,IWMin,IWFirstEpisode,IWNorm2,URet,DenMISELogFirst,DenMISELogLast,target_sum_log_mean,Iteration,LQGmu01,LQGsigma,MISE,ReturnAbsMax,IWMean,ReturnStepMax,ReturnMean,SqrtESSClassic,DenMISEMeanLog
0,0.9818458000000001,15.807039999999999,0.9818458000000001,,-0.085,0.49922060966491705,47.134155,0.9818458000000001,20,15.807039999999999,,0.9818458000000001,0.9818458000000001,17.497854397219367,13.511501,13.511501,13.493179999999999,1,-0.008,0.11,15.520076000000001,15.807039999999999,0.9818458000000001,0.99233466,15.807039999999999,1.0,13.511501
1,2.8701470000000002,15.215347,2.8701470000000002,,-0.082,20.964045763015747,53.949913,3.70824,40,15.807039999999999,,0.838093,2.9900074,16.85564728966543,13.502382999999998,19.320435,16.850277,2,-0.008,0.11,28.459026,15.807039999999999,1.85412,0.99233466,15.511194,1.240211,16.41141
2,3.1999266,14.900298999999999,1.3624821000000003,,-0.076,21.567182540893555,47.667183,5.1117989999999995,60,15.807039999999999,,0.5493901,3.5210392,16.50649311565923,13.446903,13.844064999999999,15.989802,3,-0.008,0.11,25.891205,15.807039999999999,1.7039328999999999,0.99233466,15.307563,1.4517868999999999,15.698639000000002
3,1.1243002,15.422801000000002,0.08439677,,-0.049,22.23309874534607,33.53717,1.2366148000000001,80,15.807039999999999,,0.0044003394,1.1277173999999999,17.08813763786011,13.327384,15.905493,12.968933,4,-0.005,0.11,4.707057,15.807039999999999,0.30915370000000003,0.99233466,15.336372,1.0965645,15.851719000000001
4,6.244141,13.543904000000001,6.244141,,-0.044,23.414530754089355,47.77617,6.756125999999999,100,15.807039999999999,,0.0011094793,6.2622647,14.95614151017838,13.10534,6.862759,11.055693,5,-0.004,0.11,18.473026,15.807039999999999,1.3512251,0.99233466,14.977878,1.078863,13.930520999999999
5,4.839137,12.562821000000001,4.839137,,-0.039,24.122376918792725,39.83175,8.094693,120,15.807039999999999,,0.00033281266000000006,5.7055097,13.966889682530564,12.923241,17.443941,11.568123,6,-0.004,0.11,17.548702,15.807039999999999,1.3491155000000001,0.99233466,14.575368,1.4187503000000001,14.515579999999998
6,2.7513313,13.490215,2.7147326,,-0.043,25.170847415924072,33.545227000000004,8.577092,140,15.807039999999999,,0.001134408,4.6744423,14.926394413531645,12.769145,11.566606,12.237828,7,-0.004,0.11,16.315825,15.807039999999999,1.2252988999999999,0.99233466,14.420347,1.834891,14.110451999999999
7,2.7576122000000005,13.908845999999999,1.3851303,,-0.038,26.253133296966553,30.459296999999996,8.682205,160,15.807039999999999,,0.0002550829,4.3907523,15.401187170003489,12.6357765,14.417366000000001,11.859191000000001,8,-0.004,0.11,14.471472,15.807039999999999,1.0852757,0.99233466,14.356409,1.9773843999999998,14.162776999999998
8,2.3704212000000005,13.267988,2.3704212000000005,,-0.036,27.27573871612549,28.485484999999997,9.524185000000001,180,15.807039999999999,,0.00017217898999999996,4.336558999999999,14.653211763713546,12.518025,11.388828,11.664773,9,-0.004,0.11,14.090938000000001,15.807039999999999,1.0582428,0.99233466,14.235473999999998,2.196254,13.856428
9,1.7702354999999999,14.038243,0.028014842,,-0.032,28.75936794281006,23.424156,6.3684,200,15.807039999999999,,3.6999256e-05,3.0143104,15.59244813446181,12.4126835,16.31579,10.9918,10,-0.003,0.11,8.460485,15.807039999999999,0.63684,0.99233466,14.21575,2.1127222000000003,14.10329
10,,13.507349,,,-0.962,29.96200180053711,9.532003999999999,1.1e-09,220,15.807039999999999,,,3.3166248e-10,14.9789660462044,12.317377,20.386776,-610.08795,11,-0.195,0.11,,15.807039999999999,,0.99233466,14.151351000000002,3.3166248999999994,14.64202
11,17.741954999999997,16.68522,17.741954999999997,,-0.955,31.444586277008057,58.039480000000005,17.741954999999997,240,16.68522,,,17.741954999999997,18.447071596839823,12.230366,-4.1434765,-557.83563,12,-0.187,0.11,24.669037,16.68522,1.4784962,0.99999136,14.362507,1.0,12.996802
12,4.470924,17.139454,0.061353482,,-0.907,32.40398955345154,39.63728,4.5322776,260,17.139454,,,4.4713449999999995,18.9124446425456,12.150323,17.562445,-503.79285,13,-0.15,0.11,5.8192244,17.139454,0.34863675,0.99999136,14.576117499999999,1.0136273999999998,13.343938
13,,17.144747,,,-1.0,33.56570863723755,9.164252000000001,1.4000000000000001e-09,280,17.144747,,,3.7416575e-10,18.924509685026003,12.076215,14.033223999999999,-551.3357,14,-0.998,0.11,,17.144747,,0.99999136,14.759591,3.7416572999999995,13.345809
14,18.570518,16.668215,18.570518,,-1.0,34.79014253616333,54.92531999999999,18.570518,300,17.144747,,,18.570518,18.385532814724268,12.007222,3.8344467000000004,-512.1605,15,-0.995,0.11,20.635826,17.144747,1.2380346000000002,0.99999136,14.886832,1.0,12.647325
15,13.360445,16.661185999999997,13.360445,,-1.0,36.43962812423706,48.200497,13.361464000000002,320,17.144747,,,13.360445,18.37726471815867,11.942683,14.495510000000001,-461.199,16,-0.827,0.11,13.913615,17.144747,0.8350915000000001,0.99999136,14.997729999999999,1.0000761999999999,12.752682
16,7.831422,16.607756,0.016022315,,-1.0,37.782599925994866,37.2337,12.477875,340,17.144747,,,9.097928999999999,18.32547324353191,11.882059,12.951169,-451.9344,17,-0.998,0.11,12.232377,17.144747,0.73399264,0.99999136,15.092438000000001,1.3715072,12.743011
