,TimestepsSoFar,ReturnStepMax,LQGsigma,Bound,ReturnAbsMax,IWNorm1,ReturnMin,DenMISELogLast,ReturnMax,TimeElapsed,LQGmu1,DenMISEMeanLog,URet,IWMax,LQGmu01,ReturnLastEpisode,IWMean,IWFirstEpisode,IWNorm2,ReturnMean,SqrtESSClassic,IWLastEpisode,IWMin,DenMISELogFirst,target_sum_log_mean,Iteration,MISE
0,20,0.99262077,0.11,46.933525,15.644507999999998,1e-10,,17.102016,15.644507999999998,0.12342119216918945,-0.34,17.102016,17.332240856619553,,-0.035,15.644507999999998,,,1e-10,15.644507999999998,1.0,,,17.102016,-92.01430500000001,1,
1,40,0.9996768,0.11,70.87311,16.710129000000002,2.4826523999999996,,3.5230322,16.710129000000002,3.477838516235352,-0.335,9.96595,18.474866750887244,2.4826523999999996,-0.035,16.710129000000002,1.2413261999999998,,2.4826523999999996,16.177319,1.0,2.4826523999999996,,16.408869,-42.14775,2,20.742722
2,60,0.9999804,0.11,57.63465,17.044477,3.3407921999999997,,10.354933,17.044477,3.75829029083252,-0.327,10.094324,18.821180082790328,2.3350816,-0.034,17.044477,1.1135973999999997,,2.5424516,16.466372,1.3140041999999998,1.0057106,,16.003404999999997,-22.663057000000002,3,18.720442000000002
3,80,0.9999804,0.11,51.12931,17.044477,3.9942007000000004,,16.373856,17.044477,4.046807050704956,-0.317,11.664646000000001,18.783326287338358,2.4396853,-0.033,17.008636,0.9985502,,2.6809642000000005,16.601938,1.4898374,0.8939748,,15.715722,-11.396382000000001,4,16.807829
4,100,0.9999804,0.11,48.84192,17.044477,5.4465275,,19.720308,17.044477,4.348280906677246,-0.307,13.26341,18.72749987726668,2.5548368,-0.032,16.953945,1.0893055,6.796607e-38,3.2470605,16.672338,1.6773717000000001,1.8607884999999997,,15.4925785,-3.8148136,5,18.357657999999997
5,120,0.9999804,0.11,45.962322,17.044477,5.4142694,,17.396463,17.044477,4.617501497268677,-0.291,13.954483999999999,18.79630849098432,2.7485752,-0.03,17.021303,0.90237826,2.3690164e-33,3.2573697999999998,16.7305,1.6621598999999998,0.6026629,,15.310257,1.0903063,6,15.199079000000001
6,140,0.9999804,0.11,55.384919999999994,17.044477,10.178157,,12.814467,17.044477,4.982848644256592,-0.288,13.771591,18.526379968031424,5.5069075,-0.03,16.762793,1.4540224,2.2944057e-32,6.161442,16.735113000000002,1.6519115000000002,5.5069075,,15.156106,3.2260823,7,24.43082
7,160,0.9999804,0.11,48.293983000000004,17.052303,8.757921000000001,,16.736185,17.052303,5.316199064254762,-0.283,14.173036999999999,18.828144188105334,4.4876895,-0.029,17.052303,1.0947402,4.193725e-31,5.117814,16.774760999999998,1.7112621,0.16213462,,15.022575,4.9543743,8,18.399729
8,180,0.99998575,0.11,44.648163000000004,17.052303,8.430031,,20.917107,17.052303,5.623458862304688,-0.278,14.921864499999998,18.785547924814548,4.187441000000001,-0.029,17.010149,0.93667006,1.263796e-29,4.761995,16.800917000000002,1.770273,0.54337126,,14.904792,6.8743175999999995,9,15.75041
9,200,0.99998873,0.11,42.386864,17.052303,8.369009,,9.630853,17.052303,5.963706970214844,-0.272,14.380429000000001,18.716314068210398,4.1229177,-0.028,16.947907999999998,0.8369009,6.759975999999999e-28,4.6317463,16.815617,1.8068799,0.7140485,,14.799432000000001,7.281405,10,14.074573000000001
