,ReturnStepMax,IWNorm1,DenMISEMeanLog,IWLastEpisode,ReturnMax,URet,Iteration,LQGmu1,ReturnLastEpisode,IWNorm2,MISE,ReturnMean,LQGsigma,IWMax,ReturnMin,IWMean,ReturnAbsMax,IWMin,LQGmu01,SqrtESSClassic,target_sum_log_mean,TimeElapsed,IWFirstEpisode,TimestepsSoFar,DenMISELogFirst,DenMISELogLast,Bound
0,0.99233466,1e-10,13.511501,,15.807039999999999,17.497854397219367,1,1.0,15.807039999999999,1e-10,,15.807039999999999,0.11,,,,15.807039999999999,,1.0,1.0,-1081.5807,0.204725980758667,,20,13.511501,13.511501,1.5886673
1,0.99233466,2e-10,1.4574337,1.7086695e-19,15.807039999999999,9.444017119258,2,1.0,8.608342,1.4142136e-10,7.3544059999999995e-19,12.207691,0.11,1.7086695e-19,,8.5433475e-20,15.807039999999999,,1.0,1.4142135,-567.3488,6.704989433288574,,40,12.818355,-9.903487,1.1233575
2,0.99233466,1.5,5.331033000000001,1.5,15.807039999999999,9.357533310929476,3,1.0,8.519454,1.5,4.259727,10.978278999999999,0.11,1.5,,0.5,15.807039999999999,,1.0,1.0,-373.46765,6.81684947013855,,60,12.4128895,13.889163,5.8483944
3,0.99233466,2.6666665000000003,7.844484,1.333334,15.807039999999999,9.349345311296524,4,1.0,8.514177,1.885618,5.677877,10.362252999999999,0.11,1.333334,,0.6666666,15.807039999999999,,1.0,1.4142135,-276.0682,6.902409315109253,,80,12.125207000000001,15.842417999999999,6.801234200000001
4,0.99233466,3.75,8.211707,1.25,15.807039999999999,9.320908297065099,5,1.0,8.4897,2.1650636000000003,6.380833,9.987743,0.11,1.25,,0.75,15.807039999999999,,1.0,1.7320508000000001,-218.81037999999998,6.9743194580078125,,100,11.902063,9.997811,7.298050999999999
5,0.99233466,4.8,9.844505999999999,1.2,15.807039999999999,9.360986810277963,6,1.0,8.519156,2.4,6.8084983999999995,9.742977999999999,0.11,1.2,,0.8,15.807039999999999,,1.0,2.0,-179.26981999999998,7.125422954559326,,120,11.719742,18.250675,7.602832
6,0.99233466,5.833334,10.228843,1.166667,15.807039999999999,9.342529711258434,7,1.0,8.508499,2.6087463,7.091831699999999,9.566625,0.11,1.166667,,0.83333343,15.807039999999999,,1.0,2.236068,-151.81918000000002,7.371654033660889,,140,11.565591,12.730482,7.8023050000000005
7,0.99233466,6.857144,10.801525999999999,1.1428573,15.807039999999999,9.374537785161252,8,1.0,8.5366,2.7994173,7.2982283,9.437872,0.11,1.1428573,,0.857143,15.807039999999999,,1.0,2.4494898,-130.9533,7.6057562828063965,,160,11.43206,14.974279999999998,7.946799
8,0.99233466,7.8749975999999995,10.991367,1.1249995000000002,15.807039999999999,9.347410026813852,9,1.0,8.513926,2.9764692999999998,7.4501867,9.33521,0.11,1.1250006000000001,,0.87499976,15.807039999999999,,1.0,2.6457512000000003,-114.98416999999999,7.829822778701782,,180,11.314277,12.651157000000001,8.050647
9,0.99233466,8.888885499999999,11.293700999999999,1.1111106000000002,15.807039999999999,9.457765322130069,10,1.0,8.611085000000001,3.1426957000000004,7.579175,9.262797,0.11,1.1111116,,0.88888854,15.807039999999999,,1.0,2.828427,-102.06138,7.973670244216919,,200,11.208917,14.138475,8.140854
10,0.99233466,9.9,12.150229,1.1,15.807039999999999,9.38625892358411,11,1.0,8.545993,3.3,7.675859,9.197633999999999,0.11,1.1,,0.9,15.807039999999999,,1.0,3.0,-90.88115,8.158349752426147,,220,11.113605999999999,20.825745,8.205414999999999
11,0.99233466,10.909089999999999,12.452988000000001,1.090909,15.807039999999999,9.379479220727518,12,1.0,8.538658,3.449757,7.754295,9.142719,0.11,1.090909,,0.9090908000000001,15.807039999999999,,1.0,3.1622777,-81.97691,8.435336828231813,,240,11.026595,15.882651999999998,8.256675999999999
12,0.99233466,11.916664,12.967692,1.0833324,15.807039999999999,9.360806005529788,13,1.0,8.524119,3.5930092000000005,7.8184457,9.095135,0.11,1.0833335,,0.91666645,15.807039999999999,,1.0,3.3166248999999994,-74.18526,8.610430240631104,,260,10.946552,19.234545,8.297447
13,0.99233466,12.923079,13.207106,1.0769233,15.807039999999999,9.301084130393486,14,1.0,8.470346000000001,3.7305714999999995,7.8685946,9.050507000000001,0.11,1.0769233,,0.92307705,15.807039999999999,,1.0,3.4641016000000002,-67.70942,8.812666654586794,,280,10.872444,16.402418,8.327204
14,0.99233466,13.928567999999999,12.753071,1.0714288,15.807039999999999,9.356480528754362,15,1.0,8.524075999999999,3.8630898,7.915412,9.015411,0.11,1.0714288,,0.92857116,15.807039999999999,,1.0,3.6055512000000003,-62.759319999999995,8.980573177337646,,300,10.803452,6.4731793,8.356029
15,0.99233466,14.933338000000001,12.98348,1.0666671,15.807039999999999,9.37736215181045,16,1.0,8.540718,3.9911022000000003,7.957103,8.985743,0.11,1.0666671,,0.93333364,15.807039999999999,,1.0,3.7416577000000006,-57.8009,9.340456724166868,,320,10.738913,16.510809,8.381692
16,0.99233466,15.937505999999999,13.140497,1.0625004999999998,15.807039999999999,9.376705631716883,17,1.0,8.538686,4.1150459999999995,7.993453,8.959446,0.11,1.0625004999999998,,0.93750036,15.807039999999999,,1.0,3.8729837,-53.472626,9.735262632369997,,340,10.6782875,15.719211999999999,8.4036455
17,0.99233466,16.941177,13.391994,1.0588226,15.807039999999999,9.384558070745626,18,1.0,8.542669,4.235294000000001,8.025757,8.936291,0.11,1.0588245,,0.94117653,15.807039999999999,,1.0,4.0000005,-49.51376,10.140851736068727,,360,10.62113,17.729765,8.422924
