,IWMax,TimeElapsed,ReturnMin,IWMin,SqrtESSClassic,LQGsigma,LQGmu01,IWFirstEpisode,TimestepsSoFar,target_sum_log_mean,Iteration,ReturnAbsMax,DenMISELogFirst,ReturnLastEpisode,DenMISEMeanLog,IWNorm2,Bound,LQGmu1,DenMISELogLast,IWLastEpisode,MISE,IWMean,URet,ReturnStepMax,IWNorm1,ReturnMax,ReturnMean
0,,0.1730494499206543,,,1.0,0.11,0.28,,20,-1085.7476,1,15.644507999999998,17.102016,15.644507999999998,17.102016,1e-10,31.289016999999998,0.994,17.102016,,,,17.332240856619553,0.99262077,1e-10,15.644507999999998,15.644507999999998
1,3.2822884e-31,3.513826847076416,,,1.4142135,0.11,0.28,,40,-582.9213,2,15.644507999999998,16.408869,8.668443,3.2526908,1.4142136e-10,22.124676,0.994,-9.903487,3.2822884e-31,1.4226164999999999e-30,1.6411442e-31,9.507751597648364,0.99262077,2e-10,15.644507999999998,12.156475
2,1.5,3.5752217769622803,,,1.0,0.11,0.28,,60,-385.06787,3,15.644507999999998,16.003404999999997,8.578567999999999,5.30936,1.5,35.5783,0.994,10.233627,1.5,4.289283999999999,0.5,9.422409868982331,0.99262077,1.5,15.644507999999998,10.96384
3,1.3333327,3.638205289840698,,,1.4142135,0.11,0.28,,80,-284.655,4,15.644507999999998,15.715722,8.554674,7.941613,1.8856171000000002,27.835753999999998,0.994,16.295956,1.3333327,5.711077700000001,0.6666663,9.39539435135737,0.99262077,2.6666653,15.644507999999998,10.361547999999999
4,1.25,3.7173993587493896,,,1.7320508000000001,0.11,0.28,,100,-223.68636,5,15.644507999999998,15.4925785,8.543934,10.282872,2.1650622000000004,24.484013,0.994,19.965117000000003,1.2499988000000002,6.41929,0.7499995,9.38565713922478,0.99262077,3.7499976000000004,15.644507999999998,9.998026
5,1.2,3.785656929016113,,,2.0,0.11,0.28,,120,-183.48763,6,15.644507999999998,15.310257,8.530333,11.415962,2.4,22.486012,0.994,17.323593,1.2,6.8415027,0.8,9.368423600919428,0.99262077,4.8,15.644507999999998,9.75341
6,1.166667,3.864992618560791,,,2.2360682,0.11,0.28,,140,-155.26894,7,15.644507999999998,15.156106,8.460329,11.741313,2.608745,21.104176000000002,0.994,13.889041,1.166667,7.1113043000000005,0.83333313,9.292158092186963,0.99262077,5.833332,15.644507999999998,9.568685
7,1.1428573,3.9558026790618896,,,2.4494898,0.11,0.28,,160,-133.94201999999999,8,15.644507999999998,15.022575,8.575863,12.154778,2.7994173,20.094217,0.994,15.21299,1.1428573,7.320530000000001,0.857143,9.416776407126124,0.99262077,6.857144,15.644507999999998,9.444582
8,1.1250006000000001,4.052095413208009,,,2.6457512000000003,0.11,0.28,,180,-116.78057,9,15.644507999999998,14.904792,8.568379,13.054469000000001,2.9764692999999998,19.302647,0.994,20.393068,1.1249995000000002,7.476508,0.87499976,9.41093806981763,0.99262077,7.8749975999999995,15.644507999999998,9.347225
9,1.1111116,4.179699659347533,,,2.828427,0.11,0.28,,200,-104.15819,10,15.644507999999998,14.799432000000001,8.526228999999999,12.670439,3.1426957000000004,18.655479999999997,0.994,9.337937,1.1111106000000002,7.5931425,0.88888854,9.365008787086587,0.99262077,8.888885499999999,15.644507999999998,9.265125999999999
