,DenMISELogFirst,IWLastEpisode,SqrtESSClassic,target_sum_log_mean,Bound,IWNorm1,IWFirstEpisode,LQGsigma,DenMISELogLast,IWMean,DenMISEMeanLog,LQGmu01,LQGmu1,IWMax,TimeElapsed,Iteration,MISE,IWNorm2,ReturnStepMax,TimestepsSoFar,IWMin,ReturnLastEpisode,ReturnMean,URet,ReturnMax,ReturnAbsMax,ReturnMin
0,18.60218,1.147175,1.0,18.739483,18.788097,1.147175,1.147175,0.11,18.60218,1.147175,18.60218,-0.01,-0.103,1.147175,1.0644378662109375,1,17.274668,1.147175,0.9625284,20,,15.058442000000001,15.058442000000001,16.687925283112616,15.058442000000001,15.058442000000001,
1,18.673187,1.1755448999999998,1.4141953,20.111069,19.198442,2.3392282000000004,1.1636833999999998,0.11,21.235626,1.1696141000000002,19.954407,-0.011,-0.109,1.1755448999999998,28.3298761844635,2,18.072643,1.6541054,0.9961013000000001,40,,15.841189000000002,15.449816,17.539857673397375,15.841189000000002,15.841189000000002,
2,18.72631,0.9114694999999999,1.2954402,19.205370000000002,7.6548424,1.2142954,0.11965163,0.11,21.510492000000003,0.40476513,20.509766,-0.008,-0.084,0.9114694999999999,30.120699882507324,3,6.4166665,0.9373611999999999,0.9978710999999999,60,,15.95943,15.619686999999999,17.672086686365823,15.95943,15.95943,
3,18.477737,1.063129,1.8567946,19.659746,13.979327,3.3168974,0.46468230000000005,0.11,18.702906,0.82922435,19.933208,-0.009,-0.091,1.2441735,31.815692901611328,4,13.115091,1.7863567,0.9978710999999999,80,,15.966656,15.7064295,17.67609591700611,15.966656,15.966656,
4,18.364498,1.4894187,2.141928,18.537256,17.017014,5.21997,0.6589921,0.11,13.125891000000001,1.0439941,18.542057,-0.009,-0.093,1.4894187,34.163975715637214,5,16.267823999999997,2.437043,0.9978710999999999,100,,15.088217000000002,15.582788,16.712218707547756,15.966656,15.966656,
5,18.305984,1.6968026000000003,2.3313444,18.542883,19.99196,7.430808,1.6038888,0.11,17.616415,1.2384680000000001,18.392754,-0.01,-0.104,1.6968026000000003,35.886767387390144,6,19.303639999999998,3.187349,0.9978710999999999,120,,15.573795,15.581288,17.252540551566454,15.966656,15.966656,
6,18.388735,0.17914894,1.6339643999999998,16.073513000000002,5.541587,2.0464253,0.20831089,0.11,18.335716,0.29234648,18.411991,-0.013,-0.132,1.153681,37.58193588256836,7,4.559491,1.2524296,0.9978710999999999,140,,15.606966,15.584956,17.292731059370663,15.966656,15.966656,
7,18.284527,3.087116,1.9349501,16.753191,15.288042,7.369144400000001,0.6481941,0.11,12.885558999999999,0.92114305,17.639065,-0.013,-0.124,3.087116,39.61157274246216,8,14.458714,3.8084415999999996,0.99992186,160,,15.848325,15.617878,17.557082709129876,15.966656,15.966656,
8,18.244654,2.1489724999999997,2.6530669999999996,17.832197,21.314377,11.888519,1.4952711,0.11,19.223175,1.3209466,17.802267,-0.012,-0.115,2.1489724999999997,41.539664268493645,9,20.709526,4.481047,0.99992186,180,,15.841524,15.642726999999999,17.5450647936635,15.966656,15.966656,
9,18.292994,0.26457843,2.9673445,17.340647,17.68746,10.942755,1.450854,0.11,13.084964999999999,1.0942755,17.356878,-0.01,-0.101,1.4731058000000001,43.16748905181885,10,17.126627,3.6877263,0.99992186,200,,16.55844,15.734298999999998,18.31025719263712,16.55844,16.55844,
10,18.333161999999998,,3.3166248999999994,-590.06525,0.50177085,1.1e-09,,0.11,17.353918,,17.363756,0.048,0.445,,45.45005989074707,11,,3.3166248e-10,0.99992186,220,,15.366831,15.700891500000001,17.030708684779157,16.55844,16.55844,
11,18.246151,9.11559e-18,3.4641017999999995,-545.13745,0.48040903,1.2000001e-09,,0.11,-11.695247,7.596325e-19,14.862411499999999,0.048,0.445,9.11559e-18,47.208595991134644,12,6.6162470000000004e-18,3.4641017999999997e-10,0.99992186,240,,8.7098,15.118301,9.554539094484301,16.55844,16.55844,
12,18.166107,14.028960000000001,1.0,-456.42142,10.9532385,14.028960000000001,,0.11,9.375347999999999,1.0791508,14.366445,0.042,0.399,14.028960000000001,48.26363587379456,13,9.289053,14.028960000000001,0.99992186,260,,8.607743,14.617489,9.454165902421556,16.55844,16.55844,
13,18.092001,11.860857000000001,1.3033453000000002,-378.63156000000004,11.553255,16.691952,,0.11,14.982939000000002,1.1922823,14.393949,0.037,0.354,11.860857000000001,50.263129711151116,14,10.276398,12.807006,0.99992186,280,,8.623723,14.1893635,9.473224634012727,16.55844,16.55844,
14,18.023006,8.25692,1.6233406000000001,-346.06607,10.998650999999999,17.3418,,0.11,16.131096,1.1561201,14.506039999999999,0.036,0.348,8.25692,52.17594075202942,15,9.97349,10.682786,0.99992186,300,,8.635785,13.819123999999999,9.482375832165458,16.55844,16.55844,
15,17.958470000000002,0.038003545,1.4183719,-466.7698,1.4911593,0.59035695,,0.11,14.741131,0.03689731,14.520321,0.059,0.528,0.39722398,54.40954780578613,16,0.31785226,0.41622156,0.99992186,320,,8.632995,13.494991,9.482893573570923,16.55844,16.55844,
16,17.897844,4.2498927,2.1149771,-356.06415,8.748607000000002,15.719798999999998,,0.11,16.692439999999998,0.92469406,14.593185,0.044,0.413,4.5192523,56.78438758850098,17,7.961749,7.432608999999999,0.99992186,340,,8.58044,13.2059,9.42278169452571,16.55844,16.55844,
17,17.840685,0.99744934,2.0931108,-295.18298,11.598865,22.548565,,0.11,16.527828,1.2526981000000001,14.693420000000001,0.038,0.36,6.1541122999999995,59.114181756973274,18,10.803787,10.772753,0.99992186,360,,8.589111,12.949411999999999,9.432329846726514,16.55844,16.55844,
18,17.786620000000003,7.0912414,2.073944,-265.28283999999996,10.066728,20.379957,,0.11,16.659243,1.0726293,14.803744,0.036,0.342,7.0912414,61.42167544364929,19,9.264302,9.826667,0.99992186,380,,8.654999,12.723391000000001,9.50509844485405,16.55844,16.55844,
19,17.735325,4.6370687,2.490645,-258.17685,11.17053,24.323559,,0.11,15.264687,1.2161779,14.826056,0.037,0.352,4.6738567,64.07034611701964,20,10.502355999999999,9.765967999999999,0.99992186,400,,8.651088,12.519775,9.500146706999882,16.55844,16.55844,
20,17.686535,4.4800949999999995,2.646199,-242.59161,11.068822,25.372278,,0.11,15.603978,1.2082037,14.869551000000001,0.036,0.348,4.4800949999999995,67.82957768440247,21,10.439925,9.588198,0.99992186,420,,8.662048,12.336074,9.51386878862414,16.55844,16.55844,
