,DenMISEMeanLog,TimestepsSoFar,IWNorm2,URet,LQGsigma,ReturnMean,IWMax,IWLastEpisode,ReturnMin,IWNorm1,ReturnAbsMax,IWMean,LQGmu01,Iteration,LQGmu1,IWFirstEpisode,DenMISELogLast,MISE,target_sum_log_mean,SqrtESSClassic,IWMin,Bound,TimeElapsed,ReturnMax,DenMISELogFirst,ReturnLastEpisode,ReturnStepMax
0,18.60218,20,1.147175,16.687925283112616,0.11,15.058442000000001,1.147175,1.147175,,1.147175,15.058442000000001,1.147175,-0.01,1,-0.103,1.147175,18.60218,17.274668,18.739483,1.0,,47.391552000000004,0.2591452598571777,15.058442000000001,18.60218,15.058442000000001,0.9625284
1,19.954407,40,1.6549677999999999,17.539857673397375,0.11,15.449816,1.1756389999999999,1.1756389999999999,,2.3404527,15.841189000000002,1.1702263000000002,-0.011,2,-0.109,1.1648138000000001,21.235626,18.081902,20.111593,1.4141983,,40.484970000000004,17.67535972595215,15.841189000000002,18.673187,15.841189000000002,0.9961013000000001
2,20.508734,60,1.0897404,17.670778816431106,0.11,15.619285999999999,0.82099915,0.25671643,,1.7467381999999998,15.958225,0.58224607,-0.012,3,-0.12,0.66902256,21.507011,9.058927,19.855751,1.6028938,,28.970695000000003,18.51725006103516,15.958225,18.726670000000002,15.958225,0.997859
3,19.821320999999998,80,1.3118752,18.079066509101683,0.11,15.798995000000001,1.3109174,1.3109174,,1.3750861,16.338123,0.34377152,-0.015,4,-0.144,0.012032166,18.096813,5.606361,16.621881,1.0481836,,36.780525,19.3257908821106,16.338123,18.640299,16.338123,0.99994504
4,18.102488,100,0.9964850000000001,17.76561197601226,0.11,15.849452,0.9744782,0.9744782,,1.1837292,16.338123,0.23674583,-0.017,5,-0.164,4.4697263e-05,11.820283,3.8119739999999998,12.250682000000001,1.1879046999999998,,31.319437,20.165179729461673,16.338123,18.42016,16.051281,0.99994504
5,17.547964,120,6.7456179999999994,18.193935861218094,0.11,15.948865,6.708521000000001,6.708521000000001,,7.553522,16.445929,1.2589203000000002,-0.017,6,-0.167,1.5613909e-05,15.467895,20.655943,12.441335,1.1197673000000001,,50.029778,20.992820501327515,16.445929,18.237845999999998,16.445929,0.99994504
6,17.589191,140,6.1953382,18.16295042741465,0.11,16.015627,5.3279676,3.145111,,8.854128,16.445929,1.2648754,-0.018,7,-0.174,1.2799308000000001e-06,17.876573999999998,20.769941,12.199286,1.4291598,,43.784763,21.753185510635376,16.445929,18.083698000000002,16.416206,0.99994504
7,17.066936,160,2.4841535,18.09230611812271,0.11,16.0578,2.4705336,0.06259449,,2.7854242,16.445929,0.34817803,-0.022,8,-0.214,5.6395754e-15,13.355414999999999,5.724439599999999,3.5595794,1.121277,,35.058723,22.471526622772217,16.445929,17.950169,16.353004000000002,0.99994504
8,17.092685999999997,180,4.818743,18.309869857161992,0.11,16.113037,2.7234766,1.697628,,10.1390915,16.554947,1.1265657,-0.017,9,-0.171,5.5067594000000005e-06,17.93297,18.487114000000002,13.533453,2.1040945,,34.22305,23.464637517929077,16.554947,17.832384,16.554947,0.99994504
9,16.57735,200,5.771196,18.692131151415502,0.11,16.193838,3.3066961999999998,2.4709765999999997,,12.542263,16.92105,1.2542263,-0.018,10,-0.182,6.709728e-08,11.882796,20.754917000000003,12.029785,2.173252,,36.327020000000005,24.58196187019348,16.92105,17.727024,16.92105,0.99994504
10,16.58184,220,6.8308716,18.111876594431802,0.11,16.209682,4.505052,0.365726,,12.99445,16.92105,1.1813136,-0.02,11,-0.199,2.4032582999999998e-11,16.4662,19.656633,9.814392999999999,1.902312,,37.446616999999996,25.919956922531128,16.92105,17.631714000000002,16.368114000000002,0.99994504
11,16.631582,240,6.266748000000001,18.475305812071024,0.11,16.251513,4.3796496,0.020598562,,11.33404,16.92105,0.9445033000000002,-0.013,12,-0.131,0.58202016,17.110373000000003,15.221587,14.70105,1.8086,,33.933353000000004,26.989018440246586,16.92105,17.544703,16.71164,0.9999475
12,16.071915,260,5.2231874000000005,18.279258987806767,0.11,16.27294,4.099128,1.088932,,10.873216000000001,16.92105,0.8364011999999998,-0.014,13,-0.14,0.09921767599999999,9.48321,13.579923999999998,14.670228,2.0817203999999996,,29.836717999999998,28.048964738845825,16.92105,17.512022,16.530073,0.9999475
13,16.05958,280,6.9980725999999995,18.18956609732923,0.11,16.28503,4.478737000000001,0.019090094,,14.862136999999999,16.92105,1.0615813,-0.021,14,-0.203,2.6507120999999997e-12,16.095514,17.688617999999998,9.761016999999999,2.1237470000000003,,33.623707,29.28562831878662,16.92105,17.445518,16.442201999999998,0.9999475
14,16.0501,300,6.706618300000001,18.32449115634849,0.11,16.304146,3.1662436,3.091264,,17.429482,16.92105,1.1619655,-0.02,15,-0.196,1.3663723e-10,15.928164,19.295647,11.3864765,2.598848,,32.317608,30.479023456573486,16.92105,17.376526000000002,16.57177,0.9999475
15,16.05068,320,6.6045327,18.37372070876296,0.11,16.323563,3.128234,2.2375612,,17.901438,16.92105,1.1188399,-0.02,16,-0.199,2.3699738e-11,15.954379000000001,18.591023999999997,11.237919,2.7104776000000004,,31.076683000000003,31.35466194152832,16.92105,17.311987,16.6148,0.9999475
16,16.111353,340,6.788653999999999,18.54700847579453,0.11,16.350642999999998,3.189507,3.0856915000000003,,18.755243,16.92105,1.1032495,-0.021,17,-0.204,1.8320366999999996e-12,17.01008,18.374283,10.952338000000001,2.7627337000000005,,30.62378,32.931851625442505,16.92105,17.251362,16.783935999999997,0.9999475
