,IWMin,Bound,IWFirstEpisode,LQGsigma,TimestepsSoFar,LQGmu01,DenMISELogFirst,IWNorm1,LQGmu1,ReturnMin,IWMean,ReturnAbsMax,DenMISEMeanLog,IWNorm2,IWLastEpisode,IWMax,ReturnLastEpisode,ReturnStepMax,ReturnMax,URet,SqrtESSClassic,TimeElapsed,DenMISELogLast,Iteration,target_sum_log_mean,ReturnMean,MISE
18,,22.34637,,0.11,380,0.161,14.157577499999999,18.119104,0.926,,0.95363706,16.208206,11.393139999999999,5.295142,1.5833294,1.5833325,8.514047999999999,0.9994574,16.208206,9.35087597916207,3.4218352,26.762042760849,15.409451999999998,19,-101.34304,9.373063,8.1362705
19,,21.80886,,0.11,400,0.161,14.106285,19.175964,0.926,,0.9587982,16.208206,11.570103,5.374606,1.538399,1.5384723999999999,8.532341,0.9994574,16.208206,9.370907785518863,3.5678828,27.913923025131226,14.99014,20,-95.50480999999999,9.331027,8.180436
20,,21.330654,,0.11,420,0.161,14.057494,20.219313,0.926,,0.9628244,16.208206,11.406547,5.4530187,1.4938513999999998,1.4999986,8.560665,0.9994574,16.208206,9.400277342128149,3.7079120000000003,29.079949140548703,8.186816,21,-90.54786999999999,9.294344,8.2169075
21,,20.90343,,0.11,440,0.161,14.010975,21.262757999999998,0.926,,0.9664889999999999,16.208206,11.606038,5.5334635,1.466115,1.4666646,8.549392,0.9994574,16.208206,9.38902412046618,3.8425767,30.155897617340088,15.841644,22,-85.694435,9.260482000000001,8.249262
22,,20.517288,,0.11,460,0.161,13.966522,22.29949,0.926,,0.96954304,16.208206,11.794925,5.6134944,1.4352124,1.4374986,8.559849,0.9994574,16.208206,9.400174703999788,3.9724793,31.3857843875885,15.992207,23,-81.25738,9.23002,8.276917
23,,20.166016,,0.11,480,0.161,13.923964000000002,23.332432,0.926,,0.97218466,16.208206,11.942739,5.693487999999999,1.4097043,1.4117641,8.559239999999999,0.9994574,16.208206,9.399499250305604,4.098091,32.78630423545837,15.380382999999998,24,-77.2163,9.202069999999999,8.300828
24,,19.844070000000002,,0.11,500,0.161,13.8831415,24.363953,0.926,,0.9745581,16.208206,12.135375999999999,5.773706400000001,1.388781,1.3888843000000002,8.538302999999999,0.9994574,16.208206,9.379601438483734,4.2198114,34.00559425354004,16.793291,25,-73.442566,9.175519,8.321133999999999
25,,19.546066,,0.11,520,0.161,13.843921,25.392534,0.926,,0.97663593,16.208206,12.110398,5.853524,1.3684174,1.3684174,8.502956,0.9994574,16.208206,9.342292893328109,4.337990799999999,35.11778664588928,11.517648,26,-70.16264,9.149652,8.3370495
26,,19.272064,,0.11,540,0.161,13.80618,26.418521999999996,0.926,,0.97846377,16.208206,12.235764999999999,5.9328456,1.3499801000000002,1.3499955,8.530054,0.9994574,16.208206,9.366519538777217,4.452925700000001,36.40604782104492,15.524432000000001,27,-66.977776,9.126704,8.352364999999999
27,,19.018504999999998,,0.11,560,0.161,13.769813000000001,27.441570000000002,0.926,,0.9800561,16.208206,12.194533,6.011463,1.3326665000000002,1.3333302,8.548946,0.9994574,16.208206,9.389948472138947,4.5648737,37.56325387954712,11.1081,28,-64.17859,9.106069999999999,8.366595
28,,18.778786,,0.11,580,0.161,13.734720999999999,28.463378999999996,0.926,,0.9814958,16.208206,12.208844000000001,6.0896506,1.3181835,1.3181835,8.466188,0.9994574,16.208206,9.298560036763568,4.6740580000000005,38.78213453292847,12.634405000000001,29,-61.52025,9.084005,8.375701
29,,18.558147,,0.11,600,0.161,13.700820000000002,29.479855,0.926,,0.98266184,16.208206,12.340205000000001,6.166453400000001,1.3007132,1.3043453999999999,8.566066000000001,0.9994574,16.208206,9.407015651828088,4.780682,40.114962100982666,16.172718,30,-58.92159,9.06674,8.387085
30,,18.347061,,0.11,620,0.161,13.668029999999998,30.477394,0.926,,0.9831416999999999,16.208206,12.467796,6.239078,1.2704417,1.2916633999999998,8.579708,0.9994574,16.208206,9.420520219889783,4.8849196,41.69396638870239,16.317097,31,-56.486675,9.051029,8.393035000000001
31,,18.1522,,0.11,640,0.161,13.636281,31.488663,0.926,,0.9840207000000001,16.208206,12.535272,6.314249,1.2729061000000002,1.280014,8.567411,0.9994574,16.208206,9.411503653729826,4.9869213,42.73884725570679,14.647813000000001,32,-54.256023,9.035917,8.401772
32,,17.967323,,0.11,660,0.161,13.60551,32.492965999999996,0.926,,0.98463535,16.208206,12.600044,6.387663400000001,1.2560358,1.2692318999999999,8.573999,0.9994574,16.208206,9.416469189613107,5.086831,44.00663495063782,14.692376999999999,33,-52.159584,9.021919,8.4084015
33,,17.79417,,0.11,680,0.161,13.575656,33.509796,0.926,,0.98558223,16.208206,12.808545,6.4631343,1.2592573,1.259261,8.520458,0.9994574,16.208206,9.357926392197935,5.1847596,45.28377866744995,19.707869,34,-50.038887,9.00717,8.415796
34,,17.631031,,0.11,700,0.161,13.546669,34.52535,0.926,,0.9864385,16.208206,12.835566,6.5378585,1.2498200000000002,1.2499976000000002,8.543244999999999,0.9994574,16.208206,9.384947069177016,5.2808347,46.82937574386597,13.7718725,35,-48.209179999999996,8.993916,8.42328
35,,17.474684,,0.11,720,0.161,13.518498000000001,35.540024,0.926,,0.9872228999999999,16.208206,12.918964,6.611903999999999,1.2413801000000002,1.2413801000000002,8.496001,0.9994574,16.208206,9.330048216617902,5.3751574,48.28206896781922,15.854541000000001,36,-46.42349,8.980083,8.428509
36,,17.32607,,0.11,740,0.161,13.491098999999998,36.55384,0.926,,0.9879416,16.208206,12.879263,6.685264,1.2333299,1.2333311000000002,8.493951,0.9994574,16.208206,9.332703028301893,5.467823,49.434603691101074,11.465608999999999,37,-44.853134000000004,8.966946,8.433205000000001
37,,17.18623,,0.11,760,0.161,13.464431,37.566643,0.926,,0.98859584,16.208206,13.074458,6.7579082999999995,1.2257211000000001,1.2258193000000002,8.545025,0.9994574,16.208206,9.385140362104746,5.5589156,51.43772768974304,20.311438,38,-43.13282,8.955843,8.439089
38,,17.052963000000002,,0.11,780,0.161,13.438456,38.578742999999996,0.926,,0.98919857,16.208206,13.138825,6.829891,1.2185857,1.2187507,8.546965,0.9994574,16.208206,9.386720788805423,5.648515,52.7236328125,15.598701,39,-41.62169,8.945358,8.444574000000001
39,,16.925203,,0.11,800,0.161,13.413136999999999,39.59028,0.926,,0.98975694,16.208206,13.259354,6.901239,1.2121114,1.2121195,8.5294,0.9994574,16.208206,9.367591958705054,5.7366915,54.45570659637451,17.97326,40,-40.126892,8.934959,8.44913
40,,16.803507,,0.11,820,0.161,13.388445,40.601006,0.926,,0.9902684000000002,16.208206,13.373308999999999,6.971908999999999,1.2057931,1.2058955,8.546614,0.9994574,16.208206,9.384116691954244,5.8235135,56.16427087783814,17.944004,41,-38.705864,8.9254875,8.453802
41,,16.685627,,0.11,840,0.161,13.364347,41.61141,0.926,,0.9907478000000001,16.208206,13.458526999999998,7.041989999999999,1.1999954,1.1999977,8.49738,0.9994574,16.208206,9.333543107065227,5.9090414,57.86221408843994,16.964418,42,-37.375941999999995,8.915295,8.456777
42,,16.573586,,0.11,860,0.161,13.3408165,42.617264,0.926,,0.9910992000000001,16.208206,13.217373,7.110777400000001,1.1905159,1.1944419,8.560402,0.9994574,16.208206,9.401568837603293,5.993334,59.16769528388977,3.1002357000000003,43,-36.430473,8.907042,8.460467999999999
43,,16.466335,,0.11,880,0.161,13.317827,43.62655,0.926,,0.9915125,16.208206,13.205651000000001,7.179622999999999,1.1890593,1.1891874,8.542937,0.9994574,16.208206,9.38406029910571,6.07644,60.146790742874146,12.712473,44,-35.30955,8.898766499999999,8.46418
44,,16.363165,,0.11,900,0.161,13.295354999999999,44.635436999999996,0.926,,0.9918985999999999,16.208206,13.172251999999999,7.2478833,1.1841716999999998,1.1842123,8.537980000000001,0.9994574,16.208206,9.374820312488602,6.15841,61.4809148311615,11.713080999999999,45,-34.26075,8.890748,8.467521000000001
45,,16.238363,,0.11,920,0.161,13.2733755,45.491768,0.926,,0.9889515,16.208206,13.138329,7.2925787,1.0272948,1.1794886999999998,8.590521,0.9994574,16.208206,9.436314606058986,6.238091000000001,62.84525394439697,11.621661,46,-33.262609999999995,8.884222,8.443572
