,LQGmu01,ReturnAbsMax,IWMin,IWNorm1,LQGmu1,DenMISELogLast,SqrtESSClassic,IWLastEpisode,ReturnMin,MISE,Iteration,TimestepsSoFar,IWNorm2,IWFirstEpisode,Bound,ReturnMax,IWMean,URet,target_sum_log_mean,DenMISELogFirst,ReturnLastEpisode,ReturnStepMax,TimeElapsed,IWMax,LQGsigma,DenMISEMeanLog,ReturnMean
0,-0.011,15.058442000000001,,1.2579875,-0.108,18.60218,1.0,1.2579875,,18.943333,1,20,1.2579875,1.2579875,64.11865999999999,15.058442000000001,1.2579875,16.687925283112616,18.831694,18.60218,15.058442000000001,0.9625284,0.7130155563354492,1.2579875,0.11,18.60218,15.058442000000001
1,0.223,15.906216,,2e-10,0.979,21.073656,1.4142135,,,,2,40,1.4142136e-10,,33.74218,15.906216,,17.610802265278497,-1120.4661,18.723507,15.906216,0.99716264,19.563767910003666,,0.11,19.898582,15.482328
2,0.223,15.906216,,3e-10,0.979,-10.308952,1.7320506999999998,2.7820945e-24,,8.037502599999999e-24,3,60,1.7320508999999999e-10,,27.550377,15.906216,9.273649e-25,9.508224857484754,-768.49335,18.318043,8.667034,0.99716264,20.306738138198853,2.7820945e-24,0.11,9.559092999999999,13.210564000000002
3,0.223,15.906216,,2.0000009999999997,0.979,18.05901,1.0,2.0000009999999997,,4.276621,4,80,2.0000009999999997,,51.99527,15.906216,0.50000024,9.394615873076395,-571.68195,18.03036,8.553238,0.99716264,20.565280199050907,2.0000009999999997,0.11,11.46831,12.046232
4,0.223,15.906216,,3.3333334999999997,0.979,13.288139000000001,1.4142135,1.6666659,,5.6902685,5,100,2.3570227999999998,,39.43245,15.906216,0.6666667,9.353861586626273,-454.58575,17.807217,8.517569,0.99716264,20.82822632789612,1.6666675,0.11,11.734855,11.3405
5,0.223,15.906216,,4.4999970000000005,0.979,16.46791,1.7320508000000001,1.4999986,,6.4143615,6,120,2.5980747,,33.964737,15.906216,0.7499995,9.431177276254576,-376.00925,17.624895000000002,8.586656,0.99716264,21.34181809425354,1.5,0.11,12.467658,10.881526
6,0.223,15.906216,,5.5999975,0.979,18.762281,2.0,1.399999,,6.838282,7,140,2.7999987999999996,,30.697605,15.906216,0.79999965,9.372668885330544,-319.56525,17.470745,8.533963,0.99716264,21.80626153945923,1.4000003,0.11,13.330392999999999,10.54616
7,0.223,15.906216,,6.666664599999999,0.979,13.754420999999999,2.236068,1.3333327,,7.1239314,8,160,2.9814230999999998,,28.46436,15.906216,0.8333331,9.396200283202582,-277.86432,17.337214000000003,8.552178,0.99716264,22.258427143096924,1.333334,0.11,13.3577175,10.296911
8,0.223,15.906216,,7.7142835000000005,0.979,19.785837,2.4494898,1.2857139,,7.3234305,9,180,3.149343,,26.804484999999996,15.906216,0.8571426,9.358479489850973,-244.76416,17.219429,8.520425,0.99716264,22.786559343338013,1.2857139,0.11,14.052895999999999,10.0995245
9,0.223,15.906216,,8.75,0.979,13.675618,2.6457512000000003,1.25,,7.476947,10,200,3.3071892,,25.512901,15.906216,0.875,9.390426991484944,-218.89787,17.114069,8.551549000000001,0.99716264,23.24067759513855,1.2500011999999998,0.11,14.000463,9.944727
10,0.223,15.906216,,9.777773,0.979,16.962135,2.828427,1.2222216000000001,,7.5936418,11,220,3.4569647000000003,,24.464731,15.906216,0.8888884,9.369244440726737,-197.4378,17.018759,8.527231,0.99716264,23.991811990737915,1.2222216000000001,0.11,14.258014000000001,9.815864
11,0.223,15.906216,,10.8,0.979,18.064073999999998,3.0,1.2,,7.6874537,12,240,3.6000001000000004,,23.59367,15.906216,0.90000004,9.370752930934687,-179.46413,16.931747,8.531724,0.99716264,24.765741109848022,1.2,0.11,14.565663,9.708852
