,target_sum_log_mean,DenMISELogFirst,LQGsigma,URet,DenMISELogLast,IWFirstEpisode,IWMin,MISE,LQGmu1,TimeElapsed,IWNorm1,SqrtESSClassic,Iteration,LQGmu01,IWNorm2,ReturnStepMax,DenMISEMeanLog,IWMean,Bound,ReturnMin,IWMax,IWLastEpisode,ReturnMean,ReturnLastEpisode,ReturnAbsMax,TimestepsSoFar,ReturnMax
0,13.6515465,13.511501,0.11,17.497854397219367,13.511501,1.1503258,,18.183247,-0.09,0.14989805221557614,1.1503258,1.0,1,-0.009,1.1503258,0.99233466,13.511501,1.1503258,19.771914000000002,,1.1503258,1.1503258,15.807039999999999,15.807039999999999,15.807039999999999,20,15.807039999999999
1,17.038220000000003,13.583974,0.11,16.976274135923074,19.406029999999998,0.92601115,,31.84171,-0.085,7.504540205001831,4.1264935,1.238535,2,-0.009,3.3317535000000005,0.99233466,16.495003,2.0632467,33.12441,,3.2004821,3.2004821,15.565791,15.324542000000001,15.807039999999999,40,15.807039999999999
2,15.956559,13.559002,0.11,16.62938344721279,13.829822,0.40653569,,28.56578,-0.074,7.7657248973846436,5.599518,1.2907963,3,-0.007,4.3380336999999995,0.99233466,15.781665,1.8665060000000002,29.796546999999997,,4.204243,0.9887389999999999,15.381248999999999,15.012166,15.807039999999999,60,15.807039999999999
3,-1073.9182,13.398403,0.11,17.06362024930784,15.768355,,,,1.0,8.1112060546875,4e-10,2.0,4,1.0,2e-10,0.99233466,15.884576999999998,,0.79433364,,,,15.386249,15.401247,15.807039999999999,80,15.807039999999999
4,-874.2062,13.17526,0.11,9.446612796723869,-10.819778,,,1.6130926999999998e-28,1.0,8.32366943359375,5e-10,2.2360678,5,1.0,2.2360681e-10,0.99233466,10.3651905,1.8725742999999998e-29,0.71047366,,9.362871999999999e-29,9.362871999999999e-29,14.03186,8.614305499999999,15.807039999999999,100,15.807039999999999
5,-725.4329,12.992938,0.11,9.360986810277963,17.334385,,,4.2595763,1.0,8.552273511886598,2.9999986,1.0,6,1.0,2.9999986,0.99233466,11.374789,0.49999976,5.8482437,,2.9999986,2.9999986,13.113075,8.519156,15.807039999999999,120,15.807039999999999
6,-619.9590000000001,12.838787,0.11,9.342529711258434,12.037335,,,5.675884,1.0,8.695717096328735,4.6666656,1.4142135,7,1.0,3.2998309999999997,0.99233466,11.395233000000001,0.6666665,6.799241,,2.3333328,2.3333328,12.455278,8.508499,15.807039999999999,140,15.807039999999999
7,-540.5757,12.7052555,0.11,9.374537785161252,14.414664000000002,,,6.391064599999999,1.0,8.829009771347048,6.000001,1.7320508000000001,8,1.0,3.4641023,0.99233466,11.727741,0.7500001000000001,7.308282000000001,,2.0000009999999997,2.0000009999999997,11.965444999999999,8.5366,15.807039999999999,160,15.807039999999999
8,-479.093,12.587473,0.11,9.347410026813852,12.181153,,,6.815634700000001,1.0,8.939739465713503,7.199998,1.9999999,9,1.0,3.5999991999999996,0.99233466,11.747807,0.7999998,7.609967999999999,,1.8,1.8,11.5819435,8.513926,15.807039999999999,180,15.807039999999999
9,-429.75928,12.482111999999999,0.11,9.457765322130069,13.73301,,,7.114877000000001,1.0,9.04621124267578,8.333333,2.236068,10,1.0,3.7267797,0.99233466,11.924431,0.8333333,7.8253508,,1.6666675,1.6666659,11.284857,8.611085000000001,15.807039999999999,200,15.807039999999999
10,-388.7883,12.386802000000001,0.11,9.38625892358411,20.469070000000002,,,7.3193220000000005,1.0,9.382227420806883,9.428571,2.4494898,11,1.0,3.8491979,0.99233466,12.68464,0.8571428,7.967892599999999,,1.5714289,1.5714275,11.03587,8.545993,15.807039999999999,220,15.807039999999999
11,-355.0585,12.29979,0.11,9.379479220727518,15.564198499999998,,,7.4717383,1.0,9.924883604049684,10.499997,2.6457512000000003,12,1.0,3.968626,0.99233466,12.911607,0.87499976,8.072198,,1.5,1.5,10.827769,8.538658,15.807039999999999,240,15.807039999999999
