,Iteration,DenMISEMeanLog,TimeElapsed,LQGsigma,ReturnAbsMax,IWFirstEpisode,DenMISELogFirst,IWNorm1,Bound,TimestepsSoFar,URet,IWMax,LQGmu1,DenMISELogLast,ReturnStepMax,ReturnMean,target_sum_log_mean,MISE,IWMin,LQGmu01,ReturnMax,ReturnLastEpisode,IWMean,IWNorm2,ReturnMin,IWLastEpisode,SqrtESSClassic
0,1,13.511501,0.15173864364624026,0.11,15.807039999999999,,13.511501,1e-10,47.42112,20,17.497854397219367,,1.0,13.511501,0.99233466,15.807039999999999,-1081.5807,,,1.0,15.807039999999999,15.807039999999999,,1e-10,,,1.0
1,2,1.4574337,4.916133165359497,0.11,15.807039999999999,,12.818355,2e-10,33.5318,40,9.444017119258,1.7086695e-19,1.0,-9.903487,0.99233466,12.207691,-567.3488,7.3544059999999995e-19,,1.0,15.807039999999999,8.608342,8.5433475e-20,1.4142136e-10,,1.7086695e-19,1.4142135
2,3,5.331033000000001,5.056143760681152,0.11,15.807039999999999,,12.4128895,1.5,51.680847,60,9.357533310929476,1.5,1.0,13.889163,0.99233466,10.978278999999999,-373.46765,4.259727,,1.0,15.807039999999999,8.519454,0.5,1.5,,1.5,1.0
3,4,7.844484,5.2421088218688965,0.11,15.807039999999999,,12.125207000000001,2.6666665000000003,39.209675,80,9.349345311296524,1.333334,1.0,15.842417999999999,0.99233466,10.362252999999999,-276.0682,5.677877,,1.0,15.807039999999999,8.514177,0.6666666,1.885618,,1.333334,1.4142135
4,5,8.211707,5.432099103927612,0.11,15.807039999999999,,11.902063,3.75,33.75943,100,9.320908297065099,1.25,1.0,9.997811,0.99233466,9.987743,-218.81037999999998,6.380833,,1.0,15.807039999999999,8.4897,0.75,2.1650636000000003,,1.25,1.7320508000000001
5,6,9.844505999999999,5.6321966648101816,0.11,15.807039999999999,,11.719742,4.8,30.519058,120,9.360986810277963,1.2,1.0,18.250675,0.99233466,9.742977999999999,-179.26981999999998,6.8084983999999995,,1.0,15.807039999999999,8.519156,0.8,2.4,,1.2,2.0
6,7,10.228843,5.8599393367767325,0.11,15.807039999999999,,11.565591,5.833334,28.2992,140,9.342529711258434,1.166667,1.0,12.730482,0.99233466,9.566625,-151.81918000000002,7.091831699999999,,1.0,15.807039999999999,8.508499,0.83333343,2.6087463,,1.166667,2.236068
7,8,10.801525999999999,6.077430963516235,0.11,15.807039999999999,,11.43206,6.857144,26.657818,160,9.374537785161252,1.1428573,1.0,14.974279999999998,0.99233466,9.437872,-130.9533,7.2982283,,1.0,15.807039999999999,8.5366,0.857143,2.7994173,,1.1428573,2.4494898
8,9,10.991367,6.2534730434417725,0.11,15.807039999999999,,11.314277,7.8749975999999995,25.373688,180,9.347410026813852,1.1250006000000001,1.0,12.651157000000001,0.99233466,9.33521,-114.98416999999999,7.4501867,,1.0,15.807039999999999,8.513926,0.87499976,2.9764692999999998,,1.1249995000000002,2.6457512000000003
9,10,11.293700999999999,6.5449607372283936,0.11,15.807039999999999,,11.208917,8.888885499999999,24.345074,200,9.457765322130069,1.1111116,1.0,14.138475,0.99233466,9.262797,-102.06138,7.579175,,1.0,15.807039999999999,8.611085000000001,0.88888854,3.1426957000000004,,1.1111106000000002,2.828427
10,11,12.150229,6.78814959526062,0.11,15.807039999999999,,11.113605999999999,9.9,23.482899,220,9.38625892358411,1.1,1.0,20.825745,0.99233466,9.197633999999999,-90.88115,7.675859,,1.0,15.807039999999999,8.545993,0.9,3.3,,1.1,3.0
11,12,12.452988000000001,7.053270101547241,0.11,15.807039999999999,,11.026595,10.909089999999999,22.75017,240,9.379479220727518,1.090909,1.0,15.882651999999998,0.99233466,9.142719,-81.97691,7.754295,,1.0,15.807039999999999,8.538658,0.9090908000000001,3.449757,,1.090909,3.1622777
12,13,12.967692,7.26643705368042,0.11,15.807039999999999,,10.946552,11.916664,22.116451,260,9.360806005529788,1.0833335,1.0,19.234545,0.99233466,9.095135,-74.18526,7.8184457,,1.0,15.807039999999999,8.524119,0.91666645,3.5930092000000005,,1.0833324,3.3166248999999994
13,14,13.207106,7.441944360733032,0.11,15.807039999999999,,10.872444,12.923079,21.557894,280,9.301084130393486,1.0769233,1.0,16.402418,0.99233466,9.050507000000001,-67.70942,7.8685946,,1.0,15.807039999999999,8.470346000000001,0.92307705,3.7305714999999995,,1.0769233,3.4641016000000002
14,15,12.753071,7.605789184570312,0.11,15.807039999999999,,10.803452,13.928567999999999,21.067664999999998,300,9.356480528754362,1.0714288,1.0,6.4731793,0.99233466,9.015411,-62.759319999999995,7.915412,,1.0,15.807039999999999,8.524075999999999,0.92857116,3.8630898,,1.0714288,3.6055512000000003
15,16,12.98348,7.825105667114258,0.11,15.807039999999999,,10.738913,14.933338000000001,20.63093,320,9.37736215181045,1.0666671,1.0,16.510809,0.99233466,8.985743,-57.8009,7.957103,,1.0,15.807039999999999,8.540718,0.93333364,3.9911022000000003,,1.0666671,3.7416577000000006
