,IWFirstEpisode,Iteration,LQGmu1,LQGmu01,IWMin,IWNorm2,ReturnAbsMax,ReturnLastEpisode,ReturnMin,TimeElapsed,DenMISELogLast,TimestepsSoFar,DenMISEMeanLog,DenMISELogFirst,MISE,IWMean,SqrtESSClassic,LQGsigma,ReturnMax,target_sum_log_mean,IWNorm1,IWLastEpisode,ReturnStepMax,IWMax,Bound,URet,ReturnMean
0,0.21957535,1,-0.077,-0.008,,0.21957535,15.644507999999998,15.644507999999998,,0.3918077945709229,17.102016,20,17.102016,17.102016,3.4351482000000004,0.21957535,1.0,0.11,15.644507999999998,15.585957,0.21957535,0.21957535,0.99262077,0.21957535,34.724167,17.332240856619553,15.644507999999998
1,0.0022645013,2,-0.054,-0.005,,0.21147716,15.644507999999998,14.951025,,11.027599811553957,8.98286,40,12.795116,16.607372,1.598523,0.106864765,1.0106506,0.11,15.644507999999998,8.973068,0.21372953,0.21146503,0.99262077,0.21146503,32.557804,16.581620409309036,15.297767000000002
2,0.008503117,3,-0.057,-0.006,,0.67535186,15.644507999999998,14.870809,,11.92608380317688,12.451827,60,12.444256,16.203039999999998,4.781924,0.32050464,1.4237229,0.11,15.644507999999998,10.359557,0.9615139000000001,0.44557673,0.99262077,0.507434,26.758823,16.477736100993752,15.155446
3,0.019689053,4,-0.059,-0.006,,2.144509,15.644507999999998,14.312621,,12.6788170337677,16.219208,80,13.246628,15.918187,12.389676,0.84921515,1.5839806,0.11,15.644507999999998,12.282442,3.3968606,1.8533994999999999,0.99262077,1.8533994999999999,32.143085,15.872022976537792,14.94474
4,0.042021543,5,-0.061,-0.006,,2.9252298,15.644507999999998,14.177067000000001,,13.629771947860718,19.64102,100,14.493848000000002,15.699953,16.618906,1.14552,1.9580000000000002,0.11,15.644507999999998,14.117098,5.7275996,1.7170234,0.99262077,1.8094575000000002,32.599000000000004,15.73164036266587,14.791204
5,0.087997854,6,-0.064,-0.006,,3.4422915,15.644507999999998,14.614657000000001,,14.221028566360474,17.129478,120,14.948421,15.526001,18.853415,1.2928393999999999,2.2534513,0.11,15.644507999999998,14.897107,7.757036,1.5880021999999998,0.99262077,1.7514464,32.738346,16.196763291385967,14.761781
6,0.21783294,7,-0.067,-0.007,,3.620799,15.644507999999998,13.277014999999999,,15.437583684921265,14.800609,140,14.959756,15.38641,17.401985,1.1895546000000001,2.2997360000000002,0.11,15.644507999999998,14.792188000000001,8.326882000000001,0.15017569,0.99262077,1.8804511000000002,31.007467,14.722758170996851,14.549672
7,0.5091743,8,-0.071,-0.007,,3.814347,15.644507999999998,15.232021,,16.596577167510983,16.241785,160,15.137397,15.283524,17.100277,1.156192,2.4249330000000002,0.11,15.644507999999998,14.899107,9.249536,1.0724281,0.99262077,2.1995165,30.003322999999998,16.869377528020994,14.634966
8,0.82514524,9,-0.074,-0.007,,4.402716000000001,15.644507999999998,15.171555499999998,,18.035962343215946,19.91529,180,15.681019000000001,15.227444,19.051954000000002,1.2759672,2.6083229,0.11,15.644507999999998,15.482365,11.4837055,2.234578,0.99262077,2.234578,31.047790000000003,16.805660228907556,14.694587
9,1.2615725,10,-0.076,-0.008,,5.029689,15.644507999999998,14.679274,,19.16514229774475,8.639126,200,14.999069,15.209804,20.651752,1.3806323999999999,2.7449658,0.11,15.644507999999998,14.78157,13.806323999999998,2.0609724999999997,0.99262077,2.4379213,32.050446,16.238319343822265,14.693054
10,1.9486376,11,-0.08,-0.008,,5.5375239999999994,15.644507999999998,15.264866,,20.126025915145874,15.67275,220,15.089007999999998,15.233305,21.312132000000002,1.4144593,2.8097491000000003,0.11,15.644507999999998,14.727563,15.559053,1.6671921000000003,0.99262077,2.6915727,32.448006,16.917662258984848,14.745038000000001
11,3.27271,12,-0.085,-0.009,,6.3346405,15.644507999999998,14.578222,,21.211474180221558,13.731876999999999,240,15.004664000000002,15.309388,21.305951999999998,1.4098221000000002,2.6706908,0.11,15.644507999999998,14.220201999999999,16.917866,1.9788806,0.99262077,3.5305767,33.021652,16.185406657112768,14.731137
12,4.02917,13,-0.091,-0.009,,7.249490299999999,15.733725,15.733725,,22.371480464935303,11.812914,260,14.784386999999999,15.470507000000001,21.38374,1.3956541999999998,2.5027285,0.11,15.733725,13.505019,18.143504999999998,3.9877508,0.9949277,4.02917,33.956996999999994,17.4269709109562,14.808257999999999
13,3.1286247000000005,14,-0.09,-0.009,,6.0913057,15.733725,14.772559,,23.44231081008911,16.028923000000002,280,14.8946905,15.666376999999999,18.308226,1.2003701999999998,2.7588804,0.11,15.733725,13.76549,16.805183,0.5469586,0.9949277,3.1286247000000005,29.714104,16.383388281191948,14.805709
14,3.6297355000000002,15,-0.102,-0.01,,5.840832700000001,15.733725,15.375620999999999,,24.563732385635376,12.239068,300,14.727661,15.799078,12.956999,0.83673286,2.1488361,0.11,15.733725,11.686835,12.550993,1.5719535,0.99923414,3.76301,27.600948,17.04732886036068,14.843703
15,2.5274667999999996,16,-0.091,-0.009,,6.1766915000000004,15.733725,15.590662,,25.826929569244385,12.47507,320,14.574518,15.951248000000001,18.503792,1.2097358999999999,3.1336798999999997,0.11,15.733725,13.551513,19.355774,2.520277,0.99923414,2.5274667999999996,28.545485,17.248861213882602,14.890388
16,0.86814415,17,-0.08,-0.008,,5.6465879999999995,15.733725,15.076532,,26.99429535865784,14.032670000000001,340,14.5527315,16.037289,18.646484,1.2429341,3.7420616,0.11,15.733725,14.387907,21.129879000000003,1.8010026999999997,0.99984926,1.9342311999999997,27.055605,16.708416331239636,14.901337
17,0.41632766,18,-0.074,-0.007,,5.467279,15.733725,14.869554500000001,,28.185630559921265,17.503042,360,14.728825,16.029938,17.242256,1.1589739,3.8157062999999996,0.11,15.733725,14.607014999999999,20.86153,1.7455002,0.99984926,1.7789428,25.489079,16.497037348005723,14.89957
18,1.0443673,19,-0.081,-0.008,,5.7141433,15.733725,14.995504,,29.740014791488647,15.227856,380,14.762567,15.998735,18.186932000000002,1.2102886,4.02431,0.11,15.733725,14.590656,22.995485000000002,1.0827396,0.99984926,1.8032765,26.006270999999998,16.61716646393722,14.904620000000001
19,2.3682022000000003,20,-0.09,-0.009,,6.0689445,15.733725,15.34975,,31.0428318977356,15.052335999999999,400,14.786692000000002,16.000951999999998,16.521616,1.0821021,3.5660307,0.11,15.733725,13.920479,21.642042,1.3171078999999999,0.99984926,2.4105551,25.345839,17.021753698951155,14.926877
20,2.7152142999999995,21,-0.103,-0.01,,7.886449000000001,15.8661585,15.8661585,,32.34163475036621,7.799195299999999,420,14.456959,16.06407,14.253939,0.9135380999999999,2.4325650000000003,0.11,15.8661585,11.796215,19.1843,5.609403599999999,0.99984926,5.609403599999999,27.298737,17.571243657402984,14.971604000000001
