,ReturnMax,IWMin,IWFirstEpisode,ReturnMean,ReturnMin,TimestepsSoFar,LQGsigma,Iteration,SqrtESSClassic,ReturnAbsMax,target_sum_log_mean,IWLastEpisode,DenMISELogFirst,DenMISELogLast,TimeElapsed,MISE,DenMISEMeanLog,IWNorm2,IWMean,ReturnStepMax,IWNorm1,Bound,LQGmu01,ReturnLastEpisode,URet,IWMax,LQGmu1
0,15.058442000000001,,1.1938178999999998,15.058442000000001,,20,0.11,1,1.0,15.058442000000001,18.779336999999998,1.1938178999999998,18.60218,18.60218,0.33887147903442383,17.977037,18.60218,1.1938178999999998,1.1938178999999998,0.9625284,1.1938178999999998,63.152367000000005,-0.01,15.058442000000001,16.687925283112616,1.1938178999999998,-0.104
1,15.858192,,0.8511904,15.458317000000001,,40,0.11,2,1.405869,15.858192,19.894674,1.0596974,18.694677,21.197807,10.402078628540039,14.811243,19.946243,1.3592217,0.95544386,0.9963950999999999,1.9108877,48.651222,-0.012,15.858192,17.55842083274458,1.0596974,-0.117
2,16.05136,,1.1411802,15.655998,,60,0.11,3,1.7196776000000003,16.05136,20.567774,0.8837736999999999,18.6438,21.679068,11.016594171524048,16.625567999999998,20.513460000000002,1.8561362000000001,1.0639851999999999,0.99864686,3.1919557999999997,44.627373,-0.011,16.05136,17.77158643896685,1.167002,-0.112
3,16.296907,,1.0948821000000002,15.816225,,80,0.11,4,1.9869471,16.296907,20.104623999999998,1.2490003,18.678488,18.514452,11.554970741271973,17.24846,20.025234,2.1945179,1.0900976999999998,0.9999735000000001,4.3603907,41.854409999999994,-0.011,16.296907,18.03386391285612,1.2490003,-0.112
4,16.296907,,1.1021233,15.777629000000001,,100,0.11,5,2.2108814999999997,16.296907,18.775043,0.99870193,18.697287,13.683095999999999,12.335974216461182,16.01481,18.77085,2.2996445,1.0168483,0.9999735000000001,5.084241400000001,38.12849,-0.011,15.623242999999999,17.297773920209323,1.2146595,-0.105
5,16.296907,,1.0202894,15.788518,,120,0.11,6,2.4115148,16.296907,18.628397,1.4647259,18.714163,17.249123,13.163683414459227,17.909067,18.519289,2.8194082000000003,1.1331741000000002,0.9999735000000001,6.799044,38.18293,-0.011,15.842958,17.54397657569272,1.4647259,-0.113
6,16.296907,,0.50483716,15.787756,,140,0.11,7,2.1903875,16.296907,18.420378,0.98663944,18.717057999999998,18.627582999999998,13.80391788482666,16.976627,18.550570999999998,3.4192907999999997,1.0699388,0.9999735000000001,7.4895716,39.29721,-0.012,15.783185000000001,17.483497377546332,2.6192968,-0.123
7,16.296907,,3.709657e-12,15.786142000000002,,160,0.11,8,1.0060110999999998,16.296907,-4.839000700000001,1.873767e-11,18.653164,13.844773000000002,14.8798565864563,1.0679988999999998e-06,17.96665,5.299203e-07,6.653822e-08,0.9999735000000001,5.331058e-07,48.598587,-0.003,15.774849,17.476929837311488,5.2981704e-07,-0.027
8,16.296907,,1.7640256e-11,15.432988,,180,0.11,9,1.0000002000000001,16.296907,-1.5087075,10.064192,18.535381,13.507102,15.637826681137085,14.098552999999999,17.366447,10.064192,1.1182437,0.9999735000000001,10.064194,62.989259999999994,-0.003,12.607763,13.94012561692424,10.064192,-0.029
9,16.296907,,1.0395486e-10,15.350886,,200,0.11,10,1.3998823,16.296907,1.1540872,7.3074856,18.430021,12.28775,16.36664652824402,17.579021,16.838812,9.130321,1.2781374,0.9999735000000001,12.781374000000001,52.503902000000004,-0.003,14.611963000000001,16.176861159586714,7.3074856,-0.032
10,16.296907,,5.9503969999999995e-09,15.039444,,220,0.11,11,1.5283977,16.296907,4.877121400000001,2.0426455000000003,18.334711,15.717376000000002,17.243931293487552,14.002920999999999,16.739775,7.3821435,1.0257138000000001,0.9999735000000001,11.282850999999999,45.991141999999996,-0.004,11.925016000000001,13.21109065095216,6.573717599999999,-0.038
11,16.296907,,5.1085947999999995e-11,14.948004999999998,,240,0.11,12,1.9905823,16.296907,3.3676502999999998,2.8902864,18.2477,16.680882,18.451680660247806,13.784195,16.72643,6.3096275,1.0466528,0.9999735000000001,12.559834,38.345207,-0.003,13.942166,15.467051858190734,3.4884927,-0.03
12,16.296907,,6.318981e-10,14.877035000000001,,260,0.11,13,2.2144513,16.296907,5.2399526,3.6440495999999998,18.167656,10.251202000000001,20.02116680145264,16.158170000000002,16.225904,7.000369999999999,1.19246,0.9999735000000001,15.501979,38.2362,-0.003,14.025413,15.554859895816504,3.6440495999999998,-0.034
13,16.296907,,9.394684000000001e-09,14.81069,,280,0.11,14,2.2924067999999997,16.296907,7.322045299999999,3.7194285000000002,18.093548000000002,16.175455,21.467587232589718,17.618425,16.229748,7.789186,1.2754275,0.9999735000000001,17.855984,38.94567,-0.004,13.948201000000001,15.461899642130394,4.545177,-0.038
14,16.296907,,0.00012171221999999999,14.690892999999999,,300,0.11,15,1.9077439999999999,16.296907,10.890102,0.36065876,18.024555,17.125315,22.634470701217648,3.2416327000000003,16.301273000000002,1.8182832999999998,0.23125460000000003,0.9999735000000001,3.4688190999999997,28.869139,-0.006,13.013748,14.386145838490624,1.5151088,-0.058
15,16.296907,,0.006853303000000001,14.663560999999998,,320,0.11,16,1.2596214,16.296907,11.135454,1.8449049,17.960026,13.443804,23.697787761688232,2.1147547,16.076195000000002,1.8623772,0.14661813,0.9999735000000001,2.3458900000000003,40.928577000000004,-0.007,14.253579,15.819330721059847,1.8449049,-0.069
