,Iteration,SqrtESSClassic,MISE,IWMin,Bound,TimestepsSoFar,IWFirstEpisode,IWNorm1,ReturnMin,DenMISELogLast,IWLastEpisode,DenMISELogFirst,target_sum_log_mean,ReturnLastEpisode,LQGsigma,ReturnStepMax,ReturnAbsMax,TimeElapsed,LQGmu1,IWMax,IWNorm2,URet,LQGmu01,DenMISEMeanLog,IWMean,ReturnMax,ReturnMean
0,1,1.0,18.943333,,20.456762,20,1.2579875,1.2579875,,18.60218,1.2579875,18.60218,18.831694,15.058442000000001,0.11,0.9625284,15.058442000000001,0.9890723228454591,-0.108,1.2579875,1.2579875,16.687925283112616,-0.011,18.60218,1.2579875,15.058442000000001,15.058442000000001
1,2,1.4120496999999999,8.413,,9.545138,40,0.57435906,1.0884379,,21.073654,0.51407886,18.723507,19.288641000000002,15.906216,0.11,0.99716264,15.906216,25.205469846725464,-0.095,0.57435906,0.7708213,17.610802459064146,-0.009,19.89858,0.54421896,15.906216,15.482328
2,3,1.7320506999999998,,,0.9229723,60,,3e-10,,20.535648000000002,,18.570496,-180.14885,15.776644000000001,0.11,0.99716264,15.906216,26.51689457893372,0.144,,1.7320508999999999e-10,17.472353529404586,0.014,20.001032000000002,,15.906216,15.580434
3,4,2.0,,,0.7993174,80,,4e-10,,-10.590436,,18.282814000000002,-427.51855,9.082268,0.11,0.99716264,15.906216,27.93261742591858,0.366,,2e-10,9.964537667146557,0.038,12.137402999999999,,15.906216,13.955893
4,5,1.0,4.3148127,,5.9134474,100,,2.498638,,9.0448265,2.498638,18.05967,-297.83453,8.63433,0.11,0.99716264,15.906216,28.83575534820557,0.323,2.498638,2.498638,9.480263417452349,0.033,11.340372,0.49972758,15.906216,12.891581
5,6,1.0834918,19.568375,,21.043820999999998,120,,13.483225,,15.309116,12.396711,17.877348,-237.51294,8.714322,0.11,0.99716264,15.906216,30.484214544296265,0.313,12.396711,12.444234,9.571576713591618,0.032,11.917442,2.247204,15.906216,12.19537
6,7,1.1770633,19.266153,,20.62431,140,,15.486801000000002,,17.731972,2.4074560000000003,17.723198,-187.17668,8.680141,0.11,0.99716264,15.906216,32.18819665908813,0.295,12.934207,13.157151,9.53335727916674,0.03,12.799796,2.2124002000000003,15.906216,11.693194
7,8,1.4017695,15.042316,,16.182756,160,,13.808368,,12.299763,8.460243,17.589666,-148.09467,8.716538,0.11,0.99716264,15.906216,33.73101711273193,0.272,8.460243,9.850669,9.576337754289067,0.028,12.790780999999999,1.726046,15.906216,11.321113
8,9,1.9263598000000002,13.426758,,14.256631,180,,13.870713,,18.505132999999997,4.0641108,17.471884,-138.75252,8.719526,0.11,0.99716264,15.906216,35.030538320541375,0.289,4.0965953,7.200479,9.57725333971497,0.03,13.459685999999998,1.5411903999999998,15.906216,11.032047
9,10,2.0148973000000003,11.981848,,12.775255,200,,13.743065,,12.446492,4.1488830000000005,17.366522,-114.89113600000002,8.724729,0.11,0.99716264,15.906216,36.985865831375115,0.272,4.1488830000000005,6.8207273,9.580912897136065,0.028,13.392667000000001,1.3743063999999998,15.906216,10.801314999999999
10,11,1.9998394,1.7593348999999998,,2.5587165,220,,2.2188253,,15.574178,0.78965783,17.271212,-92.48559,8.725327,0.11,0.99716264,15.906216,38.737151861190796,0.247,0.78965783,1.1095017,9.586294656354573,0.025,13.612066,0.2017114,15.906216,10.612589
11,12,2.4304973999999997,11.935933,,12.593672999999999,240,,16.408386,,15.961244,3.1951177000000004,17.1842,-90.8587,8.765543,0.11,0.99716264,15.906216,40.94953751564026,0.267,3.2990735,6.7510405,9.627763011511279,0.027,13.7444725,1.3673655,15.906216,10.458669
12,13,1.0003498,0.020481318000000002,,1.6185572,260,,0.030836975,,9.998600999999999,4.9443927e-17,17.104157999999998,-187.66298,8.762145,0.11,0.99716264,15.906216,43.22527027130127,0.537,0.03082619,0.030826192000000002,9.623639041922674,0.06,13.477101999999999,0.002372075,15.906216,10.328167
13,14,1.0881478999999998,12.839166,,14.3083,280,,20.929697,,15.557867000000002,19.152853,17.03005,-136.1901,8.583891,0.11,0.99716264,15.906216,45.81106066703797,0.419,19.152853,19.23424,9.42825523884974,0.045,13.557082999999999,1.4949783,15.906216,10.203576
14,15,1.486168,10.737124,,11.8128,300,,18.750854,,16.108376999999997,8.793419,16.961057999999998,-130.87278999999998,8.589916,0.11,0.99716264,15.906216,47.882119417190545,0.434,8.997023,12.616914,9.431904142697388,0.046,13.728219000000001,1.250057,15.906216,10.095998
15,16,1.8327955000000002,10.155436,,11.027674000000001,320,,18.924747,,14.900789000000001,5.8156767,16.896519,-120.20382,8.574377,0.11,0.99716264,15.906216,50.30003428459168,0.429,5.9862485,10.325619,9.41848186991913,0.046,13.803081500000001,1.1827967,15.906216,10.000897
16,17,1.9681041000000001,7.5527916,,8.365063000000001,340,,14.952703,,16.680017000000003,1.9979916000000002,16.835894,-121.4342,8.609306,0.11,0.99716264,15.906216,52.621650218963616,0.462,4.720691,7.597516499999999,9.455024294194779,0.05,13.974932999999998,0.8795708000000001,15.906216,9.919039
