,IWFirstEpisode,ReturnMean,DenMISEMeanLog,ReturnMin,TimeElapsed,LQGmu1,IWMin,target_sum_log_mean,LQGmu01,TimestepsSoFar,DenMISELogLast,ReturnMax,IWLastEpisode,IWNorm1,ReturnLastEpisode,DenMISELogFirst,Bound,ReturnAbsMax,SqrtESSClassic,Iteration,IWMax,IWMean,ReturnStepMax,URet,IWNorm2,LQGsigma,MISE
0,1.1310928,15.058442000000001,18.60218,,0.17370390892028809,-0.103,,18.725365,-0.01,20,18.60218,15.058442000000001,1.1310928,1.1310928,15.058442000000001,18.60218,47.14938,15.058442000000001,1.0,1,1.1310928,1.1310928,0.9625284,16.687925283112616,1.1310928,0.11,17.032495
1,1.1807199,15.447239000000001,19.956045,,6.132503747940064,-0.108,,20.116234,-0.011,40,21.246422,15.836035,1.1667883,2.3475082,15.836035,18.665668,40.52448,15.836035,1.4141887,2,1.1807199,1.1737541,0.99600995,17.534228213023294,1.6599681,0.11,18.128551
2,0.68920064,15.612004,20.498255,,6.59063196182251,-0.097,,20.352167,-0.01,60,21.470074,15.941537,1.2740573999999998,2.6979919999999997,15.941537,18.724163,33.301815000000005,15.941537,1.6611116999999997,3,1.2740573999999998,0.8993306999999999,0.99769694,17.652704086063604,1.6242087,0.11,14.107998
3,1.0389751,15.739332999999998,20.06958,,7.0253846645355225,-0.101,,20.101383,-0.01,80,18.866792999999998,16.121319,1.0250645,4.129323,16.121319,18.643278,32.368109999999994,16.121319,1.9999665,4,1.0389751,1.0323308,0.99934494,17.844792737324862,2.064696,0.11,16.246520999999998
4,0.9589175,15.667330999999999,18.78154,,7.339101314544678,-0.1,,18.786407,-0.01,100,13.603598000000002,16.121319,1.0584216999999998,5.0314627,15.379326,18.651042999999998,30.207863,16.121319,2.2328825,5,1.0841862,1.0062925999999999,0.99934494,17.03165300018154,2.2533486000000003,0.11,15.767947
5,1.1480702,15.67939,18.497429999999998,,7.648496389389037,-0.104,,18.579788,-0.01,120,17.071842,16.121319,1.3207178,6.565682400000001,15.739682,18.644173000000002,30.416991999999997,16.121319,2.4308803,6,1.3207178,1.0942804,0.99934494,17.43261619694817,2.7009485,0.11,17.153223
6,1.1697853999999999,15.673676,18.561878,,8.127715587615969,-0.11,,18.63634,-0.011,140,18.869385,16.121319,1.0649209,8.05852,15.639389999999999,18.665106,31.114996,16.121319,2.4675844,7,2.1266766,1.1512171999999998,0.99934494,17.326892996408787,3.2657528,0.11,18.048517
7,0.42846608,15.65978,18.001741,,8.582757711410522,-0.125,,17.216475,-0.013,160,13.959762,16.121319,0.48202917,6.326558,15.562510000000001,18.686106,31.247057,16.121319,1.7133732,8,3.4982808,0.79081976,0.99958044,17.248368978790893,3.6924577000000003,0.11,12.428833000000001
8,1.2297653,15.672048,18.13285,,8.977916479110716,-0.107,,18.253328,-0.011,180,19.418125,16.121319,1.2371714,10.198803,15.770192000000002,18.620497,28.545403000000004,16.121319,2.9875214,9,1.2371714,1.1332003000000002,0.99958044,17.470463170137755,3.4138007000000004,0.11,17.752964000000002
9,1.0748445,15.755343,17.621029,,9.312146425247194,-0.114,,17.710632,-0.011,200,12.896048,16.505016,1.8503866000000002,11.816606,16.505016,18.643213,29.84648,16.505016,2.9572580000000004,10,1.9214423999999999,1.1816605,0.99958044,18.252703920736835,3.9957979,0.11,18.684101000000002
