,URet,ReturnMax,IWNorm2,DenMISELogFirst,IWFirstEpisode,target_sum_log_mean,TimestepsSoFar,IWMean,TimeElapsed,DenMISEMeanLog,ReturnLastEpisode,LQGsigma,ReturnStepMax,Iteration,IWMin,MISE,LQGmu1,Bound,ReturnAbsMax,ReturnMean,LQGmu01,ReturnMin,IWNorm1,DenMISELogLast,IWLastEpisode,IWMax,SqrtESSClassic
0,17.332240856619553,15.644507999999998,0.38999259999999997,17.102016,0.38999259999999997,16.160389000000002,20,0.38999259999999997,0.5840420722961426,17.102016,15.644507999999998,0.11,0.99262077,1,,6.101242500000001,-0.082,53.034767,15.644507999999998,15.644507999999998,-0.008,,0.38999259999999997,17.102016,0.38999259999999997,0.38999259999999997,1.0
1,16.706675541527947,15.644507999999998,1.5386816,16.738167,1.3865683000000002,12.997264999999999,40,1.0268143,18.124228000640873,13.036287,15.064745000000002,0.11,0.99262077,2,,15.870636,-0.096,51.035587,15.644507999999998,15.354626999999999,-0.01,,2.0536287,9.334407,0.6670603,1.3865683000000002,1.3346677
2,17.488047169409484,15.786945000000001,2.4843626,16.859371,1.2427173999999999,11.955592999999999,60,1.2252306,19.07563424110413,12.0289,15.786945000000001,0.11,0.9934579,3,,19.210646,-0.102,51.22135,15.786945000000001,15.498733499999998,-0.01,,3.6756916,10.01056,2.1297312,2.1297312,1.479531
3,17.33484334139335,15.786945000000001,3.5129754999999996,16.918282,0.88211995,12.925419999999999,80,1.4434555,19.9154589176178,13.110278,15.646714999999999,0.11,0.99602264,4,,22.660582,-0.11,51.476409999999994,15.786945000000001,15.535728,-0.011,,5.773822,16.238129999999998,2.2451343999999995,2.552119,1.6435702
4,17.330793453706484,15.786945000000001,2.2360681e-10,16.894423,,-82.98700000000001,100,9.732397499999998e-33,20.917318820953373,14.484995000000001,15.637848000000002,0.11,0.99854046,5,,1.5364479999999997e-31,-0.33,21.180412,15.786945000000001,15.556151999999999,-0.034,,5e-10,19.714807999999998,1.2363815999999997e-37,4.8661586999999997e-32,2.2360678
5,18.60712091336891,16.836212,8.391475999999999,16.712101,,-55.890015000000005,120,1.3985792,21.4109320640564,13.682954,16.836212,0.11,0.9999800999999999,6,,23.546778,-0.308,74.05541,16.836212,15.769495999999998,-0.032,,8.391475999999999,10.584361999999999,8.391475999999999,8.391475999999999,1.0
6,18.57407847267812,16.836212,9.010645,16.557951,7.401301e-37,-42.932190000000006,140,1.7377985,22.40818476676941,13.525894000000001,16.808165,0.11,0.9999800999999999,7,,29.225966999999997,-0.302,66.6391,16.836212,15.917876999999999,-0.031,,12.164589,12.633559,7.9800699999999996,7.9800699999999996,1.3500242
7,18.851016615203168,17.074305,7.038568,16.42442,2.8440167e-34,-32.240883000000004,160,1.235399,23.63578701019287,13.749725,17.074305,0.11,0.9999800999999999,8,,20.794811,-0.293,57.274519999999995,17.074305,16.062431,-0.03,,9.883192,15.021842000000001,0.59669065,6.3847804,1.4041481000000002
8,18.80405934726766,17.074305,6.3108864,16.306637,6.486751600000001e-31,-22.481821,180,1.0039582,24.87288546562195,14.461572,17.02795,0.11,0.9999841999999999,9,,16.909113,-0.281,52.68551,17.074305,16.169710000000002,-0.029,,9.035624,20.130445,0.88185585,5.9082349999999995,1.4317518
9,18.726322581839646,17.074305,5.1917057,16.201276999999997,5.4937734e-26,-14.298983999999999,200,0.7001621,26.238356590271,13.932016,16.957481,0.11,0.99999106,10,,11.787573,-0.262,49.769394,17.074305,16.248486,-0.027,,7.0016212,9.288921,0.5859504,5.0438410000000005,1.3486167
10,18.71737708411072,17.074305,4.7366433,16.105967,0.28454155,0.15639357,220,0.70987916,27.900445461273193,13.951904,16.944763000000002,0.11,0.99999106,11,,11.155045,-0.127,42.22623,17.074305,16.311785,-0.013,,7.808671,14.506863000000001,1.8048109000000002e-08,3.8355238,1.6485664
11,17.71747953807602,17.074305,14.169666000000001,16.044493,0.17652714,1.402649,240,1.5885781,28.975697994232178,13.456357,15.999861,0.11,0.99999106,12,,25.29165,-0.131,63.366142,17.074305,16.285791,-0.013,,19.062936999999998,8.330357000000001,13.8067465,13.8067465,1.3453342
12,18.114954145435984,17.074305,13.036114999999999,15.979053500000001,0.078254744,2.7181096,260,1.6407288,30.565651416778564,13.269221,16.37387,0.11,0.99999106,13,,26.438957000000002,-0.135,57.745295999999996,17.074305,16.292566,-0.014,,21.329475,10.81184,8.862910000000001,9.363983000000001,1.6361835
13,17.463552164060502,17.074305,10.786442999999998,15.910947,0.014687276,4.063204,280,1.1908823,32.063514947891235,13.446588,15.763853,0.11,0.99999106,14,,19.227396,-0.143,52.366875,17.074305,16.2548,-0.014,,16.672352,15.425001000000002,0.33482838,7.6826406,1.5456766000000002
14,17.911055205085454,17.074305,7.6805735,15.843003,0.0012080692999999999,4.825982,300,0.85541606,33.67152905464173,13.339509,16.180526999999998,0.11,0.99999106,15,,13.841381,-0.153,44.502590000000005,17.074305,16.24985,-0.015,,12.831241,11.835785000000001,2.08195,5.411525,1.6706096999999998
15,18.06934150876723,17.074305,6.970213,15.778544,3.2940097e-05,5.120167299999999,320,0.7310169,35.21077990531921,13.225466,16.342253,0.11,0.99999106,16,,11.896986,-0.165,42.4225,17.074305,16.255625,-0.017,,11.69627,11.735314,5.933775,5.933775,1.6780362000000002
16,17.953324683150548,17.074305,7.1663619999999995,15.717922,0.00017308099999999998,5.837204,340,0.87393445,36.94155526161194,13.236587,16.224588,0.11,0.99999106,17,,14.199279,-0.16,38.907143,17.074305,16.2538,-0.016,,14.856886,13.732588,2.5626233,5.0192537,2.073142
