,LQGmu1,IWMin,IWFirstEpisode,URet,LQGmu01,LQGsigma,MISE,DenMISELogFirst,IWMax,IWMean,ReturnMax,Bound,DenMISELogLast,Iteration,ReturnLastEpisode,IWNorm2,target_sum_log_mean,IWNorm1,ReturnAbsMax,DenMISEMeanLog,ReturnStepMax,ReturnMin,IWLastEpisode,ReturnMean,TimeElapsed,TimestepsSoFar,SqrtESSClassic
0,-0.103,,0.9552683000000001,17.332240856619553,-0.01,0.11,14.944703,17.102016,0.9552683000000001,0.9552683000000001,15.644507999999998,61.878227,17.102016,1,15.644507999999998,0.9552683000000001,17.056252999999998,0.9552683000000001,15.644507999999998,17.102016,0.99262077,,0.9552683000000001,15.644507999999998,0.12931156158447266,20,1.0
1,-0.08,,0.302715,17.16873953732278,-0.008,0.11,4.9250727,17.079397,0.33022794,0.31647146,15.644507999999998,38.14342,10.657567,2,15.487233999999999,0.44798088,12.717014,0.6329429,15.644507999999998,13.868483,0.9980244,,0.33022794,15.565871,8.614370107650759,40,1.4128793
2,-0.084,,0.64550567,17.296628665825235,-0.008,0.11,8.688854,16.814873000000002,0.6915405,0.55791646,15.644507999999998,36.84559,12.806514,3,15.615816,1.0041289,12.7104,1.6737493000000003,15.644507999999998,13.342101999999999,0.9980244,,0.33670320000000004,15.58252,9.020001888275146,60,1.6668668999999998
3,-0.087,,0.92619574,16.890317666508857,-0.009,0.11,14.199829000000001,16.722075,1.1718533000000002,0.9179809000000001,15.644507999999998,38.24238,16.732979,4,15.238339999999999,1.8810095000000002,13.987667000000002,3.6719236000000004,15.644507999999998,14.101232999999999,0.9980244,,1.1718533000000002,15.496475,9.625174045562744,80,1.9521026999999997
4,-0.092,,1.2308495000000002,16.806065117206053,-0.009,0.11,18.920471,16.707203,1.3424247999999999,1.2272705,15.644507999999998,39.98921,19.854647,5,15.15497,2.7546449,15.438704999999999,6.1363525,15.644507999999998,15.237981,0.9980244,,1.2767332,15.428173999999999,10.045521020889284,100,2.2276382000000003
5,-0.283,,8.7583927e-32,17.191331159376357,-0.029,0.11,2.4983457e-28,16.744957,9.588563e-29,1.5998815999999998e-29,15.644507999999998,19.160532,17.401752,6,15.519682000000001,2.4494897999999997e-10,-62.87145,6e-10,15.644507999999998,15.629467000000002,0.9980244,,2.5219451e-36,15.443425,10.611623287200928,120,2.4494896
6,-0.282,,2.4008607e-31,18.18489692357096,-0.029,0.11,19.425373,16.590805,8.275495,1.1822135,16.431358,68.71945,-3.9716513,7,16.431358,8.275495,-53.379569999999994,8.275495,16.431358,12.697179,0.99992096,,8.275495,15.584558,11.048700332641602,140,1.0
7,-0.279,,1.2282111999999998e-30,18.81688940858334,-0.029,0.11,18.703722,16.457273,5.8125134,1.1235535,17.04148,56.377334999999995,13.967466,8,17.04148,6.623575,-43.58825,8.988428,17.04148,12.836667,0.99992096,,3.1759150000000003,15.766673,11.556230545043945,160,1.3570358
8,-0.277,,6.872136e-30,18.776930464567627,-0.028,0.11,18.126451,16.339489999999998,5.1599164,1.0848421,17.04148,50.11108,19.493225,9,17.001865,6.10832,-35.32986,9.763578,17.04148,13.569417000000001,0.9999866,,2.5139517999999996,15.903917000000002,12.03522276878357,180,1.5984063999999998
9,-0.274,,3.842808e-29,18.71139937651187,-0.028,0.11,17.50271,16.23413,4.9495059999999995,1.0464146,17.04148,46.319122,8.686152,10,16.943216,5.8981404,-29.828777000000002,10.464146000000001,17.04148,13.077097,0.99998736,,2.0368176,16.007847,12.518227577209473,200,1.7741432000000001
10,-0.272,,2.1413029999999996e-28,18.73322057847398,-0.028,0.11,17.546318,16.138820000000003,4.925041,1.0478135,17.04148,44.034225,15.22771,11,16.959845,5.9716697,-24.7346,11.5259495,17.04148,13.268488,0.99998736,,2.168119,16.094393,12.954823732376099,220,1.930105
11,-0.269,,1.2099142999999998e-27,18.440435275165935,-0.028,0.11,17.623207,16.05181,5.009506,1.0544761,17.04148,42.423522999999996,13.785307000000001,12,16.677114000000003,6.13828,-20.606125,12.653713,17.04148,13.30909,0.99998736,,2.0704422,16.142951999999998,13.57892394065857,240,2.0614429
12,-0.266,,6.665364e-27,18.76883173481539,-0.027,0.11,16.846968,15.971766,5.1191106,1.0074372999999999,17.04148,40.82537,12.183071,13,16.995758,6.142612000000001,-17.284203,13.096685,17.04148,13.221354999999999,0.99998736,,1.3048506000000002,16.208553,14.388177633285522,260,2.1321037
13,-0.264,,3.413166e-26,18.496189899249853,-0.027,0.11,18.555135999999997,15.897657999999998,5.194061799999999,1.110398,17.04148,41.127747,14.664261999999999,14,16.732405,6.8637257,-14.234134,15.545572,17.04148,13.320894000000001,0.99998736,,3.3091822,16.245972000000002,14.78046464920044,280,2.2648883
14,-0.261,,1.8351722e-25,18.621064639218066,-0.027,0.11,19.579763,15.828666,5.345999,1.1710591000000001,17.04148,40.984590000000004,12.178669000000001,15,16.855074,7.3545027,-11.742503999999998,17.565887,17.04148,13.247604999999998,0.99998736,,2.7168097,16.286579999999997,15.01109004020691,300,2.3884535
15,-0.258,,1.0561775e-24,18.66941170445979,-0.026,0.11,19.123414999999998,15.764126999999998,5.5645475,1.1437223,17.04148,40.103493,12.6376,16,16.902742,7.5096407,-9.550130000000001,18.299557,17.04148,13.215753,0.99998736,,1.3313264,16.325089000000002,15.43560004234314,320,2.4368086
16,-0.255,,6.0145469999999995e-24,18.53000310047548,-0.026,0.11,20.638189999999998,15.703503,5.754431200000001,1.2345341,17.04148,40.71954,13.387215,17,16.769245,8.24359,-7.529571499999999,20.98708,17.04148,13.230503,0.99998736,,3.370314,16.351213,15.990357875823975,340,2.5458665000000003
17,-0.252,,3.770621e-23,18.50160295170268,-0.026,0.11,21.172117,15.646344000000001,6.013717,1.2671242,17.04148,40.59234,16.794823,18,16.735464,8.663978,-5.5294766,22.808235,17.04148,13.437489499999998,0.99998736,,2.399557,16.372562,16.79270577430725,360,2.6325362
18,-0.249,,2.6067877000000005e-22,18.640504581546267,-0.025,0.11,21.944387,15.592277,6.3183355,1.3127337,17.04148,40.7659,14.897943,19,16.872304999999997,9.182400999999999,-3.8069574999999998,24.94194,17.04148,13.524541000000001,0.99999166,,2.7185669999999997,16.398865,17.395622253417972,380,2.7162766
19,-0.245,,2.1115655e-21,18.617308493626865,-0.025,0.11,21.895048000000003,15.540982999999999,6.701873,1.3098819,17.04148,40.458084,14.759241000000001,20,16.847372,9.512236,-2.24194,26.19764,17.04148,13.598104500000002,0.99999166,,1.8553201000000001,16.42129,17.896851062774655,400,2.7540991000000004
20,-0.242,,1.9372389999999998e-20,18.705418151382727,-0.025,0.11,20.50439,15.492192999999999,7.093253999999999,1.2272794,17.04148,39.61374,9.274343,21,16.936138,9.633412,-1.1400301000000002,25.77287,17.04148,13.403433999999999,0.99999166,,0.39201218,16.445807000000002,18.395281076431274,420,2.6753622999999997
21,-0.237,,2.1427266e-19,18.584907997635923,-0.024,0.11,19.566370000000003,15.445673000000001,7.5176305999999995,1.1717358999999998,17.04148,39.006535,15.941295000000002,22,16.821022,9.802205,0.22848558,25.77819,17.04148,13.526026000000002,0.99999166,,1.0572443999999999,16.462862,18.96679902076721,440,2.6298357999999995
22,-0.233,,2.6422642999999997e-18,18.76064796432904,-0.024,0.11,17.788527,15.401221,7.8448806,1.0659883999999997,17.04148,38.20295,17.307884,23,16.987768,9.790139,1.473077,24.517735000000002,17.04148,13.695153,0.99999166,,0.25915983,16.485682999999998,19.7873044013977,460,2.5043293999999996
23,-0.228,,3.8116466e-17,18.58975023375564,-0.023,0.11,16.1972,15.358661999999999,8.079415,0.9713332,17.04148,37.450835999999995,15.854394000000001,24,16.823488,9.691348,2.585267,23.311996,17.04148,13.785507,0.99999166,,0.7012980999999999,16.499758,20.62981557846069,480,2.4054441000000004
24,-0.222,,1.0139088000000002e-15,18.43668519167455,-0.023,0.11,16.577398000000002,15.317839999999999,8.476367,0.9953526,17.04148,38.022713,15.726494,25,16.678665,10.4380865,3.7332826,24.883816,17.04148,13.860016,0.99999166,,4.0096745,16.506916,21.403964757919308,500,2.3839443
25,-0.219,,4.885116e-15,18.429477131081512,-0.022,0.11,21.273854999999998,15.278620000000002,11.287689,1.2769907,17.04148,43.701958000000005,9.838215,26,16.66883,14.565488,4.299847,33.201756,17.04148,13.703029,0.99999166,,11.287689,16.513142000000002,21.80957317352295,520,2.2794812
26,-0.215,,3.1183704e-14,18.39260221621862,-0.022,0.11,18.924845,15.240879000000001,10.317341,1.1362976999999999,17.04148,41.064667,15.507736999999999,27,16.6368,13.286221,4.9817867,30.680038,17.04148,13.776064000000002,0.99999166,,1.1138808,16.517723,22.583313703536987,540,2.3091621
