,LQGmu1,IWNorm1,IWFirstEpisode,LQGmu01,IWMean,target_sum_log_mean,IWMax,ReturnLastEpisode,TimestepsSoFar,LQGsigma,ReturnStepMax,DenMISELogLast,Bound,SqrtESSClassic,Iteration,IWNorm2,IWLastEpisode,ReturnMin,DenMISEMeanLog,URet,TimeElapsed,ReturnMean,DenMISELogFirst,MISE,ReturnMax,IWMin,ReturnAbsMax
0,-0.042,2.1998775999999998e-05,2.1998676e-05,-0.004,2.1998676e-05,6.377488,2.1998676e-05,15.644507999999998,20,0.11,0.99262077,17.102016,46.93387,1.0,1,2.1998775999999998e-05,2.1998676e-05,,17.102016,17.332240856619553,0.7621815204620361,15.644507999999998,17.102016,0.00034415847,15.644507999999998,,15.644507999999998
1,-0.492,2e-10,,-0.054,,-327.83762,,13.646869,40,0.11,0.99262077,6.0769453,33.187016,1.4142135,2,1.4142136e-10,,,11.242918,15.132614266454006,17.252169847488403,14.645689,16.408892,,15.644507999999998,,15.644507999999998
2,-0.492,3.2019723e-06,,-0.054,1.067224e-06,-226.19951,3.2016721e-06,16.762943,60,0.11,0.99986637,-10.308950999999999,50.285709999999995,1.0000625,3,3.2017722000000004e-06,3.2016721e-06,,3.7886515,18.534814286059813,17.627557516098022,15.35144,16.003426,1.7889817e-05,16.762943,,16.762943
3,-0.541,2.868692,,-0.06,0.717173,-183.31646999999998,2.8686886,17.128501999999997,80,0.11,0.9999768,15.890628,63.669543999999995,1.0000011999999998,4,2.8686886,2.8686886,,6.598383999999999,18.908190232871632,18.073753356933594,15.795706,15.715744,12.284099000000001,17.128501999999997,,17.128501999999997
4,-0.534,3.520729,,-0.06,0.7041458,-140.75955,2.0725439999999997,17.117912,100,0.11,0.9999768,19.854668,48.959824,1.3924883999999997,5,2.5283723,1.4481803999999998,,9.179262,18.89808825746945,18.809906721115112,16.060146,15.4926,12.057895,17.128501999999997,,17.128501999999997
5,-0.579,4.768903,,-0.066,0.79481715,-124.736694,2.673843,17.166874,120,0.11,0.9999768,16.777742,47.238182,1.5323837,6,3.1120815,2.673843,,10.393931,18.94755834893011,19.59090518951416,16.2446,15.310279000000001,13.630006,17.166874,,17.166874
6,-0.58,4.716554,,-0.066,0.67379344,-105.1311,2.155027,17.042305,140,0.11,0.9999768,14.506992000000002,40.872890000000005,1.7560346999999998,7,2.6859117,0.5517701999999999,,10.947517999999999,18.81973583523827,20.673528909683228,16.35856,15.156128,11.5451,17.166874,,17.166874
7,-0.811,7.878267299999999,,-0.112,0.9847834000000001,-127.28653,7.877936,17.211937,160,0.11,0.9999768,14.154623,68.583664,1.0000421,8,7.877936,7.877936,,11.307895,18.993637610673712,21.417654752731323,16.465232999999998,15.022597,16.950026,17.211937,,17.211937
8,-0.857,11.712521,,-0.128,1.3013911,-118.28178,11.053469,17.179121,180,0.11,0.9999993,18.294493,71.17602,1.0577455,9,11.073099000000001,11.053469,,12.055657,18.960639288099536,22.21407127380371,16.544552,14.904814000000002,22.35916,17.211937,,17.211937
9,-0.882,14.381014000000002,,-0.138,1.4381013999999999,-109.56441000000001,9.788903999999999,17.15474,200,0.11,0.9999993,7.394072,63.30625,1.3368715,10,10.757214999999999,9.788903999999999,,11.581859,18.932874535667892,22.95282816886902,16.605572,14.799454,24.68189,17.211937,,17.211937
10,-0.923,16.509895,,-0.159,1.5008996000000001,-105.492805,13.006382,17.163729,220,0.11,0.9999993,14.093160000000001,67.29711,1.2431376,11,13.280826999999999,13.006382,,11.820288,18.942298996581307,24.17185211181641,16.656313,14.704144,25.76043,17.211937,,17.211937
11,-0.94,6.3993363,,-0.172,0.53327805,-99.36787,5.0540633,16.969566,240,0.11,0.9999993,14.28009,50.504653999999995,1.248565,12,5.1253533,0.27194628,,12.0349,18.744756505670853,25.489783763885498,16.682417,14.617132000000002,9.148530000000001,17.211937,,17.211937
12,-0.939,12.663153,,-0.171,0.97408867,-90.58156,7.237802499999999,17.107104999999997,260,0.11,0.9999993,10.627462,50.490093,1.5273517,13,8.290921,7.237802499999999,,11.888221000000001,18.878330230792425,26.54872035980225,16.715086,14.537089000000002,16.682682,17.211937,,17.211937
13,-0.936,14.748999,,-0.169,1.0534999,-82.41101,5.013776,17.04589,280,0.11,0.9999993,14.187245,44.51367,1.9489254,14,7.5677595,4.3060540000000005,,12.042136,18.818453587885152,27.098683834075928,16.738714,14.462981,18.019167000000003,17.211937,,17.211937
14,-0.924,18.212708,,-0.16,1.2141805,-73.91150999999999,3.9266415,17.127272,300,0.11,0.9999993,11.93865,41.76506,2.4601867000000004,15,7.4029774999999995,3.9266415,,12.032969999999999,18.905161799195096,28.25098872184753,16.764618,14.393989000000001,20.77649,17.211937,,17.211937
