,LQGmu1,DenMISELogFirst,DenMISELogLast,IWMin,ReturnMin,target_sum_log_mean,ReturnMean,ReturnStepMax,Bound,MISE,ReturnLastEpisode,Iteration,TimeElapsed,URet,DenMISEMeanLog,IWMean,TimestepsSoFar,IWMax,IWFirstEpisode,SqrtESSClassic,LQGsigma,IWLastEpisode,IWNorm2,LQGmu01,IWNorm1,ReturnAbsMax,ReturnMax
0,-0.098,17.102016,17.102016,,,17.09536,15.644507999999998,0.99262077,62.47424,15.540714000000001,15.644507999999998,1,1.1259267330169678,17.332240856619553,17.102016,0.99336547,20,0.99336547,0.99336547,1.0,0.11,0.99336547,0.99336547,-0.01,0.99336547,15.644507999999998,15.644507999999998
1,-0.099,17.098694000000002,10.424294999999999,,,13.756588,15.518020000000002,0.9970642,48.63243,15.443937,15.391531,2,30.55177617073059,17.064454941188142,13.761495000000002,0.9951494000000001,40,1.0045575,1.0045575,1.4141503999999998,0.11,0.98574126,1.4074167,-0.01,1.9902987,15.644507999999998,15.644507999999998
2,-0.109,17.100212,10.5539,,,12.719536,15.644157,0.9970642,53.982338,20.446856,15.896431,3,32.43471121788025,17.604950384442393,12.691215,1.2961354999999999,60,2.563205,0.78221285,1.4220548000000002,0.11,2.563205,2.7343577999999997,-0.011,3.8884065000000003,15.896431,15.896431
3,-0.12,17.044226000000002,16.200870000000002,,,13.355147,15.670831,0.99740416,55.262875,23.848688,15.750853,4,34.674041032791145,17.44781527365483,13.606770499999998,1.5083593000000002,80,3.0953999,0.3218745,1.5180813999999998,0.11,2.4674916000000002,3.974383,-0.012,6.0334373,15.896431,15.896431
4,-0.129,16.898478,19.534204000000003,,,13.923226999999999,15.69565,0.99942493,43.083504,15.388954,15.794926,5,36.05872583389282,17.500519156388258,14.84725,0.97277147,100,2.0996141,0.09460349400000001,1.7219738000000002,0.11,1.1282141,2.8245826000000003,-0.013,4.863857299999999,15.896431,15.896431
5,-0.228,16.7349,16.652437,,,-13.149231,15.769480999999999,0.9997046999999999,48.103320000000004,7.753133699999999e-07,16.138628,6,37.709709644317634,17.861954192220015,15.136657999999999,4.8044317e-08,120,2.8689738000000003e-07,9.720277e-18,1.0064977,0.11,2.8689738000000003e-07,2.87001e-07,-0.023,2.8886586e-07,16.138628,16.138628
6,-0.218,16.58075,7.100917,,,-6.3650293,15.849762,0.9997046999999999,63.869987,14.875689499999998,16.33145,7,39.77692222595215,18.07499477928013,13.856567000000002,0.91086155,140,6.3760242,2.1488866000000003e-15,1.0000011,0.11,6.3760242,6.3760242,-0.022,6.376030999999999,16.33145,16.33145
7,-0.213,16.447218,14.045092000000002,,,-2.1010572999999995,15.9809,0.99978995,59.884655,16.530037,16.898874,8,41.852890253067024,18.667757692696078,13.844235000000001,1.0065677,160,6.7649064,3.5746837e-14,1.1693476,0.11,1.2875999,6.886353999999999,-0.022,8.052541999999999,16.898874,16.898874
8,-0.207,16.329435,19.714333,,,1.822488,16.0753,0.9999909,56.584503000000005,17.102812,16.830498000000002,9,43.90932440757752,18.59737974390764,14.476445000000002,1.0391719000000001,180,7.0660005,6.265935000000001e-13,1.2840539,0.11,1.6476021,7.28361,-0.021,9.352547999999999,16.898874,16.898874
9,-0.201,16.224075,8.8671665,,,3.9130998,16.138662,0.9999909,54.593019999999996,16.879382999999997,16.708927,10,45.53745365142822,18.461751632087463,13.902313000000001,1.0258496,200,7.3949003,1.3741389999999999e-11,1.3442516000000002,0.11,1.5652188999999999,7.63138,-0.02,10.258495,16.898874,16.898874
