,ReturnMean,ReturnLastEpisode,IWMean,ReturnMin,target_sum_log_mean,ReturnAbsMax,ReturnMax,LQGmu01,DenMISEMeanLog,Iteration,LQGmu1,IWMax,IWMin,LQGsigma,SqrtESSClassic,TimeElapsed,DenMISELogLast,Bound,IWNorm2,IWLastEpisode,MISE,DenMISELogFirst,IWFirstEpisode,ReturnStepMax,URet,IWNorm1,TimestepsSoFar
0,15.644507999999998,15.644507999999998,0.9803347,,17.082155,15.644507999999998,15.644507999999998,-0.01,17.102016,1,-0.102,0.9803347,,0.11,1.0,0.5592799186706543,17.102016,46.62587,0.9803347,0.9803347,15.336854,17.102016,0.9803347,0.99262077,17.332240856619553,0.9803347,20
1,15.555016,15.465523000000001,1.0214165000000002,,13.872738,15.644507999999998,15.644507999999998,-0.01,13.85188,2,-0.097,1.0477742,,0.11,1.413743,18.8212673664093,10.611626,38.01783,1.4449819,1.0477742,15.885792000000002,17.092133999999998,0.99505883,0.9978294,17.14510254600088,2.0428330000000003,40
2,15.663982999999998,15.881920000000001,1.2517,,12.999442,15.881920000000001,15.881920000000001,-0.011,12.94281,3,-0.109,2.3232455,,0.11,1.4811667,19.68092012405395,11.110517999999999,41.171448,2.535231,2.3232455,19.726303,17.090487,0.76503205,0.9978294,17.588459565754327,3.7551,60
3,15.685545000000001,15.750229000000001,0.38017088,,10.766821,15.881920000000001,15.881920000000001,-0.014,13.808282,4,-0.143,0.94891334,,0.11,1.3769094,20.57241177558899,16.266415,29.087688,1.1044180000000001,0.56504583,6.0187473,17.02995,0.0046256133,0.9978294,17.447474176566168,1.5206834999999999,80
4,15.75786,16.047117,1.2367325,,13.087259,16.047117,16.047117,-0.014,14.559573,5,-0.139,3.7672865,,0.11,1.4935268,21.809678316116333,18.110623999999998,41.227608000000004,4.140308999999999,3.7672865,19.73872,16.80796,0.015570823999999999,0.9998877,17.772779483919408,6.1836624,100
5,15.846135,16.287516,1.3631357,,14.900528,16.287516,16.287516,-0.012,14.878051000000001,6,-0.12,2.5559187000000003,,0.11,2.026771,22.885501384735107,16.387823,37.711113,4.0353913,0.65300196,21.638735,16.628748,0.4743076,0.9998877,18.020537543530324,8.178814,120
6,15.779329999999998,15.378502,0.6826747,,11.183817999999999,16.287516,16.287516,-0.015,15.0715685,7,-0.153,3.1295109,,0.11,1.409879,23.89860510826111,15.976070000000002,34.155809999999995,3.3894559999999996,8.031678000000001e-05,11.050969,16.55068,0.00062744436,0.9998877,17.038548759089107,4.778723,140
7,15.869148999999998,16.497879,1.472705,,11.2614355,16.497879,16.497879,-0.016,15.081914000000001,8,-0.157,8.4967985,,0.11,1.3358793,24.914758682250977,15.499432999999998,48.871113,8.819389,8.4967985,24.171457,16.417238,0.00020879606,0.9998877,18.24572083812921,11.78164,160
8,15.941730499999998,16.52238,1.6386356,,11.457402,16.52238,16.52238,-0.016,15.547106,9,-0.163,7.4187965,,0.11,1.6027738999999999,26.462148427963253,19.11412,47.59697,9.201373,5.2045255,26.979736,16.29948,4.3408050000000005e-05,0.9998877,18.271649133718647,14.747720999999999,180
9,15.98674,16.391827,1.7300972,,9.973332000000001,16.52238,16.52238,-0.017,14.825026000000001,10,-0.17,7.588342699999999,,0.11,1.7650558999999997,28.26047515869141,7.995205,47.205956,9.80194,3.953327,28.484303000000004,16.194126,3.2495645e-06,0.9998877,18.12131224274599,17.300972,200
10,16.03869,16.558197,1.0450677,,5.3161044,16.558197,16.558197,-0.02,14.909954999999998,11,-0.197,6.8813830000000005,,0.11,1.5453107,29.62591314315796,15.326982500000002,38.671547,7.439114999999999,1.1231673999999998,17.241298999999998,16.098816,9.537960999999999e-11,0.999901,18.31219283639368,11.495745,220
11,16.061745000000002,16.31534,1.1073704,,5.3766427000000006,16.558197,16.558197,-0.02,14.703731,12,-0.2,5.459776000000001,,0.11,1.8295643,30.728312253952023,12.516618,36.287056,7.263174,5.459776000000001,18.186357,16.011805,2.6432010999999997e-11,0.999901,18.06175529231925,13.2884445,240
12,16.118628,16.801228,0.8508445,,-3.0795972000000003,16.801228,16.801228,-0.024,14.404435000000001,13,-0.235,10.176117,,0.11,1.0850058999999999,32.000195503234856,10.812575,45.236813,10.194395,10.176117,14.266976000000001,15.931761999999999,4.118948e-19,0.999901,18.566007313631147,11.060979,260
13,16.150676999999998,16.56731,0.29873112,,-6.262928,16.801228,16.801228,-0.026,14.36692,14,-0.25,3.7930553,,0.11,1.1001279,33.19789290428161,14.197478,35.554314,3.8015902,0.22139755,5.010180999999999,15.857654,8.534519000000001e-23,0.999901,18.323452900811624,4.1822357000000006,280
14,16.193995,16.800455,1.574567,,7.769359,16.801228,16.801228,-0.02,14.141129000000001,15,-0.195,4.692275,,0.11,2.6002452000000003,34.54327178001404,11.678556,38.959457,9.083183,2.1637998,26.036654000000002,15.788661,2.2484657000000003e-10,0.9999319999999999,18.564178592458774,23.618504,300
15,16.227142,16.724361,1.0474280999999999,,11.148161,16.801228,16.801228,-0.017,13.863857000000001,16,-0.166,3.3462709999999998,,0.11,2.6719577,35.64814662933349,9.255101,29.806690000000003,6.272124,0.26243162,17.230722,15.724122,2.3398160000000003e-05,0.9999319999999999,18.47750765421684,16.75885,320
16,16.232483,16.317911,1.3756491000000002,,5.9257455000000006,16.801228,16.801228,-0.021,13.850128,17,-0.209,5.203051599999999,,0.11,2.5135273999999996,36.82109427452088,13.622198999999998,36.269928,9.3040695,0.019073097,22.901281,15.663499,5.640054399999999e-13,0.99996006,18.050615195659073,23.386034,340
