,Iteration,LQGmu1,ReturnMax,IWNorm2,TimeElapsed,IWMean,LQGmu01,TimestepsSoFar,IWMin,ReturnStepMax,Bound,DenMISELogLast,IWLastEpisode,LQGsigma,IWMax,ReturnAbsMax,ReturnMin,DenMISEMeanLog,ReturnMean,URet,MISE,target_sum_log_mean,IWNorm1,IWFirstEpisode,DenMISELogFirst,ReturnLastEpisode,SqrtESSClassic
0,1,-1.0,15.058442000000001,1e-10,0.20052552223205566,,-1.0,20,,0.9625284,1.5134303999999998,18.60218,,0.11,,15.058442000000001,,18.60218,15.058442000000001,16.687925283112616,,-503.26215,1e-10,,18.60218,15.058442000000001,1.0
1,2,-1.0,16.432243,1.9999981,3.3341977596282963,0.99999905,-1.0,40,,0.9725072,18.08373,3.8439879999999995,1.9999981,0.11,1.9999981,16.432243,,10.876511,15.745342,18.144616846529182,16.432228,-249.3625,1.9999981,,17.909032999999997,16.432243,1.0
2,3,-1.0,16.615067,2.1223006,3.4363489151000977,1.0004620000000002,-1.0,60,,0.98573774,17.712112,20.76316,1.5013869,0.11,1.5013869,16.615067,,14.1328,16.03525,18.322765784150594,16.531332,-159.18515,3.0013862000000002,,17.503569,16.615067,1.4142135
3,4,-1.0,16.632465,2.310348,3.7487053871154794,1.0004098,-1.0,80,,0.98573774,17.531848999999998,18.464476,1.3333327,0.11,1.3349739999999999,16.632465,,15.202766,16.184555,18.348871629641422,16.566734,-114.70067,4.0016394,,17.215887,16.632465,1.7320504
4,5,-1.0,16.632465,2.5008638,4.038196086883545,1.0003453000000002,-1.0,100,,0.98573774,17.398945,13.575821,1.25,0.11,1.2517285,16.632465,,14.871533,16.257603,18.262353108788,16.563131,-89.000656,5.0017266,,16.992743,16.5498,1.9999996
5,6,-1.0,16.632465,2.6840718,4.2274184226989755,1.0002943000000002,-1.0,120,,0.98573774,17.289351999999997,16.691053,1.2,0.11,1.201766,16.632465,,15.171660000000001,16.29048,18.153056837450432,16.541779000000002,-71.35493000000001,6.001766,,16.810420999999998,16.454857,2.2360678
6,7,-1.0,16.632465,2.8593562,4.494905471801758,1.0005659,-1.0,140,,0.98573774,17.216207999999998,18.943518,1.1685299,0.11,1.1687661,16.632465,,15.708632999999999,16.314985,18.16663629735261,16.53377,-58.43281999999999,7.003961,,16.656271,16.462023000000002,2.4494889
7,8,-1.0,16.632465,3.0253756000000003,4.826860189437866,1.0005486,-1.0,160,,0.98573774,17.174372,13.908569,1.1428573,0.11,1.1451812,16.632465,,15.482458,16.349102,18.296611666168737,16.542557000000002,-49.373333,8.004389,,16.52274,16.58791,2.6457505
8,9,-1.0,16.632465,3.1836395,5.161763906478882,1.000521,-1.0,180,,0.98573774,17.141,19.919369,1.1249995000000002,0.11,1.1274828000000001,16.632465,,15.974664,16.376604,18.315921989485414,16.549992,-41.66097,9.004688,,16.404957,16.596622,2.828426
9,10,-1.0,16.63338,3.334973,5.445716619491577,1.0004915,-1.0,200,,0.98573774,17.116966,13.7934,1.1111106000000002,0.11,1.1137118000000001,16.63338,,15.755984,16.402279999999998,18.343495627495262,16.559727,-36.104927,10.004914999999999,,16.299595,16.63338,2.9999987999999997
