,IWNorm1,ReturnAbsMax,ReturnMin,LQGmu01,IWMean,DenMISELogFirst,Iteration,LQGmu1,ReturnLastEpisode,IWMax,TimeElapsed,Bound,MISE,DenMISEMeanLog,URet,IWFirstEpisode,LQGsigma,ReturnStepMax,ReturnMax,IWNorm2,SqrtESSClassic,TimestepsSoFar,IWLastEpisode,IWMin,ReturnMean,DenMISELogLast,target_sum_log_mean
0,0.32188034,15.807039999999999,,-0.011,0.32188034,13.511501,1,-0.114,15.807039999999999,0.32188034,1.240381956100464,36.702057,5.0879755,13.511501,17.497854397219367,0.32188034,0.11,0.99233466,15.807039999999999,0.32188034,1.0,20,0.32188034,,15.807039999999999,13.511501,12.377925999999999
1,1.7780797,15.807039999999999,,-0.011,0.8890399,13.097408999999999,2,-0.107,15.745648000000001,0.9495534,30.93656277656555,36.433914,14.027657000000001,16.864515,17.438968773091496,0.9495534,0.11,0.99233466,15.807039999999999,1.2602015,1.4109489,40,0.82852644,,15.776344,20.63162,16.74458
2,4.219448000000001,15.807039999999999,,-0.01,1.4064827,13.080451,3,-0.1,15.581492,1.7000549999999999,32.421798706054695,40.7636,22.121751999999997,15.883961,17.253072274993805,1.5113683,0.11,0.99233466,15.807039999999999,2.4880786,1.6958661,60,1.0080248,,15.711394,13.998667999999999,16.201183
3,5.236452,15.929610999999998,,-0.009,1.309113,13.200757000000001,4,-0.092,15.929610999999998,2.2322137000000004,34.21154928207397,38.44644,20.647785,16.026514000000002,17.639917000800082,1.6095015,0.11,0.99265176,15.929610999999998,2.925426,1.7899793000000002,80,0.77546644,,15.765947,16.170586,16.162868
4,6.674758,15.929610999999998,,-0.009,1.3349516000000001,13.315781,5,-0.089,15.214585999999999,2.2482154,36.061103343963616,36.83815,20.805626,14.683365,16.828458138659734,1.3838443,0.11,0.99265176,15.929610999999998,3.35894,1.9871621,100,2.2482154,,15.655676000000001,9.100592,14.807394
5,9.113703,15.929610999999998,,-0.008,1.5189504999999999,13.377791,6,-0.079,14.503542000000001,5.022855,37.72197437286378,41.958344,22.754381,15.211101999999999,16.11780518422188,0.8053884,0.11,0.99265176,15.929610999999998,5.493517400000001,1.6589923,120,5.022855,,15.463654,17.607960000000002,15.003007
6,9.891397,15.929610999999998,,-0.009,1.4130566999999998,13.349596,7,-0.087,15.269517,2.0822837,39.50308895111085,34.625633,21.628323,14.757501999999999,16.904956741105686,1.2873421,0.11,0.99265176,15.929610999999998,4.035302,2.451216,140,1.9885952,,15.435920000000001,11.730723,14.991023
7,8.169632,15.929610999999998,,-0.008,1.021204,13.384884,8,-0.076,15.5376835,2.835919,41.182712078094475,30.24672,15.451670000000002,14.824371,17.20582140074481,0.6070949000000001,0.11,0.99265176,15.929610999999998,3.793881,2.1533706,160,0.5017447,,15.44864,14.956754,14.38604
8,11.44512,15.929610999999998,,-0.008,1.27168,13.340245999999999,9,-0.082,15.151801999999998,2.1748307000000002,42.517120122909546,31.254257,19.398119,14.397984,16.75840985303753,1.0004026,0.11,0.99265176,15.929610999999998,4.2592034000000005,2.6871502,180,1.964839,,15.41566,11.003366999999999,14.459873000000002
9,9.214825,15.929610999999998,,-0.008,0.92148244,13.340285999999999,10,-0.077,15.529551500000002,2.1191937999999997,43.83232307434082,26.530790000000003,14.003988,14.614413,17.225257998358938,0.67785776,0.11,0.9967104999999999,15.929610999999998,3.6231983,2.5432847,200,0.05007066599999999,,15.427048000000001,16.3382,14.058136
10,0.0031344696999999998,15.929610999999998,,-0.017,0.0002849517,13.310564000000001,11,-0.165,15.391815,0.0028177337,45.03782272338867,28.749706,0.0044337926,15.152686,17.06102975181091,1.1406718000000001e-06,0.11,0.9967104999999999,15.929610999999998,0.0028281035,1.1083292,220,4.328944000000001e-09,,15.423844,20.626276,-1.7273834
11,14.975429,16.128035,,-0.016,1.2479523000000001,13.223552999999999,12,-0.156,16.128035,14.946102999999999,47.221645832061775,52.3186,20.125648,15.0492935,17.857300433269913,2.8694363e-05,0.11,0.9999145,16.128035,14.946125,1.0019605999999999,240,14.946102999999999,,15.482528,14.868793499999999,3.2502415
12,1.3e-09,16.652534,,0.061,,13.143512,13,0.543,16.652534,,49.744107246398926,9.2371645,,15.227144000000001,18.40885062150013,,0.11,0.9999145,16.652534,3.6055514e-10,3.6055512000000003,260,,,15.572527,17.510506,-697.28503
13,1.4000000000000001e-09,16.652534,,0.061,5.916018699999999e-38,13.069403999999999,14,0.543,8.648662,8.282425999999998e-37,51.067551851272576,8.901154,5.1165644e-37,13.224291000000001,9.48272704835546,,0.11,0.9999145,16.652534,3.7416575e-10,3.7416572999999995,280,8.282425999999998e-37,,15.077966,-11.849397999999999,-654.25977
14,1.5e-09,16.652534,,0.02,,13.000411,15,0.194,8.541319,,52.5593798160553,8.599332,,12.580096000000001,9.375512141390274,,0.11,0.9999145,16.652534,3.8729833e-10,3.8729835,300,,,14.64219,4.527269400000001,-234.49
15,15.938533999999999,16.652534,,0.02,0.99615836,12.935872999999999,16,0.202,8.849995,15.938533999999999,54.22657489776611,42.121063,8.815996,12.821166999999999,9.719341498375464,,0.11,0.9999145,16.652534,15.938533999999999,1.0,320,15.938533999999999,,14.280176999999998,17.40531,-226.96617
16,16.852285000000002,16.652534,,0.02,0.9913109,12.875248,17,0.194,8.846286,8.486085000000001,56.71128845214844,32.322105,8.771271,12.844775,9.715149716811359,,0.11,0.9999145,16.652534,11.916667,1.4141778,340,8.3662,,13.960536,13.501271,-204.69722
17,1.7999999e-09,16.652534,,0.004,4.9903384e-26,12.818089500000001,18,0.044,8.861692999999999,8.532556999999998e-25,59.80849623680115,7.850080499999999,7.857738999999999e-25,12.994941,9.734479800280127,3.922974e-26,0.11,0.9999145,16.652534,4.2426407000000003e-10,4.2426405,360,,,13.677267,15.714322,-132.00691
18,32.138775,16.652534,,0.005,1.6915145,12.764022,19,0.051,9.075891,32.138775,63.177823305130005,48.657066,15.351999,12.522961,9.969110511376883,1.0899306e-28,0.11,0.9999145,16.652534,32.138775,1.0,380,32.138775,,13.435089999999999,5.000522599999999,-122.46824
19,18.568295000000003,16.652534,,0.005,0.9284146999999999,12.712729,20,0.054,9.099647000000001,11.204928,66.86224389076233,32.483902,8.434937,12.567685,9.993211159494127,8.044523e-30,0.11,0.9999145,16.652534,13.407819,1.3848855,400,7.363366,,13.218318,13.401922,-114.85583500000001
20,7.481184e-05,16.652534,,0.015,3.5623683999999997e-06,12.663938499999999,21,0.145,9.0695095,7.354988e-05,70.60326266288756,32.74577,3.156781e-05,12.675899000000001,9.961738789730056,,0.11,0.9999145,16.652534,7.355543499999999e-05,1.017081,420,1.7366127999999998e-31,,13.020755,15.057689000000002,-140.40073999999998
21,32.219147,16.652534,,0.014,1.4645066,12.617419,22,0.135,8.953367,32.219147,76.45809149742126,46.417336,13.112266,12.457275,9.832023068874078,,0.11,0.9999145,16.652534,32.219147,1.0,440,32.219147,,12.835874,8.843094,-126.27873000000001
22,21.039537,16.652534,,0.014,0.9147625,12.572967,23,0.142,8.965014,12.322348,79.75470662117004,32.08808,8.194618,12.435628999999999,9.845586851431689,,0.11,0.9999145,16.652534,15.094021,1.3938988,460,8.717178,,12.667575999999999,12.035338000000001,-124.76227
23,3.8094367999999994,16.652534,,0.016,0.15872653,12.530408,24,0.161,8.939839,3.4469695,82.9778745174408,31.625147,1.4186717,12.617282000000001,9.817827291316368,,0.11,0.9999145,16.652534,3.4550195,1.1025804,480,3.4469695,,12.512253,17.023773000000002,-133.46684
24,28.255097999999997,16.652534,,0.017,1.130204,12.489586,25,0.165,8.890856,26.33962,85.9091682434082,41.140965,10.050445,12.481859,9.762295238852557,,0.11,0.9999145,16.652534,26.376337,1.0712291,500,26.33962,,12.367397,10.062204,-131.17231999999998
25,28.558621999999996,16.652534,,0.02,1.0984086000000002,12.450365,26,0.196,8.911764,9.161864999999999,89.6182541847229,28.076759999999997,9.725819,12.654719,9.789201798994226,,0.11,0.9999145,16.652534,15.73567,1.8148971999999999,520,0.023505997,,12.2344885,17.162032999999997,-152.53611999999998
