,IWMean,TimestepsSoFar,ReturnStepMax,URet,SqrtESSClassic,IWMin,DenMISELogFirst,IWLastEpisode,ReturnLastEpisode,Bound,LQGmu01,IWFirstEpisode,TimeElapsed,ReturnMean,LQGmu1,IWNorm1,ReturnMax,Iteration,target_sum_log_mean,IWMax,DenMISEMeanLog,ReturnAbsMax,MISE,DenMISELogLast,LQGsigma,IWNorm2,ReturnMin
0,1.2486429,20,0.9625284,16.687925283112616,1.0,,18.60218,1.2486429,15.058442000000001,48.919502,-0.011,1.2486429,0.20878052711486814,15.058442000000001,-0.106,1.2486429,15.058442000000001,1,18.824238,1.2486429,18.60218,15.058442000000001,18.802618,18.60218,0.11,1.2486429,
1,0.85996187,40,0.9969084999999999,17.592751311251504,1.4138331,,18.71936,0.84001184,15.889657999999999,35.776215,-0.01,0.8799119000000001,4.8596391677856445,15.4740505,-0.1,1.7199237,15.889657999999999,2,19.768158,0.8799119000000001,19.919296,15.889657999999999,13.298801000000001,21.119229999999998,0.11,1.216497,
2,0.8590164,60,0.9969084999999999,17.551505193299118,1.5451707000000001,,18.678507,0.26845625,15.849023999999998,33.934309999999996,-0.011,1.0047701999999998,5.40822958946228,15.599042,-0.114,2.5770492999999997,15.889657999999999,3,19.876648,1.303823,20.224982999999998,15.889657999999999,13.367448000000001,20.932016,0.11,1.6678088,
3,1.067328,80,0.99997896,18.003251844022213,1.9435685,,18.679699,1.2860056999999998,16.266829,33.573044,-0.011,1.1572182,5.6426658630371085,15.765988,-0.109,4.269312,16.266829,4,19.722929999999998,1.2860056999999998,19.695068,16.266829,16.833906,18.232903,0.11,2.1966357000000003,
4,1.056344,100,0.99997896,17.256427509521302,2.1922382999999996,,18.710659,1.1167163999999998,15.5861225,31.460657,-0.011,1.1163063999999998,5.922077178955077,15.730016,-0.11,5.28172,16.266829,5,18.557306,1.2450211000000002,18.528013,16.266829,16.620274,13.811716,0.11,2.409282,
5,1.2114194999999999,120,0.99997896,17.603800520697405,2.1158737999999997,,18.729858,2.5681696,15.897335,34.55465,-0.012,0.86416274,6.214140892028809,15.757901,-0.116,7.2685165,16.266829,6,18.221428,2.5681696,18.222391000000002,16.266829,19.17866,16.650724,0.11,3.4352313999999997,
6,1.1859686000000003,140,0.99997896,17.545331967452462,1.9248381999999997,,18.710262,1.2565342,15.840523000000001,35.744564000000004,-0.012,0.44153702,6.880117416381836,15.769706,-0.124,8.301781,16.266829,7,17.977186,3.7034159,18.290985,16.266829,18.84254,18.551666,0.11,4.312976,
7,0.5122998,160,0.99997896,17.50436549236303,1.3688253000000001,,18.637897,0.31288499999999997,15.800602,31.926693,-0.015,0.011121717,7.509812831878662,15.773567000000002,-0.145,4.098398,16.266829,8,15.241276000000001,2.9251482,17.735751999999998,16.266829,8.159118,13.747071,0.11,2.9940987,
8,1.2180332,180,0.99997896,17.755756997734352,2.5794914,,18.521503,2.277543,16.034885,31.976653999999996,-0.013,0.50755405,8.175709247589111,15.802601999999998,-0.125,10.962297999999999,16.266829,9,17.693981,2.330193,17.791937,16.266829,19.364223000000003,18.72847,0.11,4.2497907,
9,1.199651,200,0.99997896,18.4136419085712,2.1791515,,18.471004,3.6752896,16.656195,34.686756,-0.014,0.08592071,8.673354148864746,15.887960000000001,-0.136,11.99651,16.656195,10,16.495005,3.6752896,17.27325,16.656195,19.399893,12.433424,0.11,5.5051284,
