,DenMISELogFirst,IWNorm2,ReturnLastEpisode,IWMax,IWFirstEpisode,TimeElapsed,ReturnMean,ReturnMax,target_sum_log_mean,Iteration,IWMin,LQGsigma,ReturnMin,IWMean,LQGmu01,SqrtESSClassic,ReturnAbsMax,DenMISEMeanLog,DenMISELogLast,LQGmu1,URet,ReturnStepMax,TimestepsSoFar,Bound,IWLastEpisode,IWNorm1,MISE
0,18.60218,1e-10,15.058442000000001,,,0.13385534286499026,15.058442000000001,15.058442000000001,-503.26215,1,,0.11,,,-1.0,1.0,15.058442000000001,18.60218,18.60218,-1.0,16.687925283112616,0.9625284,20,45.175327,,1e-10,
1,17.909032999999997,1.9999981,16.432243,1.9999981,,5.379789113998413,15.745342,16.432243,-249.3625,2,,0.11,,0.99999905,-1.0,1.0,16.432243,10.876511,3.8439879999999995,-1.0,18.144616846529182,0.9725072,40,65.72896,1.9999981,1.9999981,16.432228
2,17.503569,2.1213937,16.591773999999997,1.5001044,,5.5891430377960205,16.027487,16.591773999999997,-159.18544,3,,0.11,,1.0000346,-1.0,1.4142135,16.591773999999997,14.1328,20.76316,-1.0,18.300389096166423,0.9749138,60,51.709053000000004,1.5001044,3.0001037,16.512583
3,17.215887,2.3094732999999996,16.632465,1.3334598999999998,,5.907764196395874,16.178729999999998,16.632465,-114.701035,4,,0.11,,1.0000312,-1.0,1.7320508000000001,16.632465,15.202696,18.464476,-1.0,18.348871629641422,0.9778233000000001,80,45.36096,1.3333327,4.000125,16.552681
4,16.992743,2.5000665,16.5498,1.2501347,,6.190472364425659,16.252945,16.632465,-89.00102,5,,0.11,,1.0000265,-1.0,1.9999997999999999,16.632465,14.87142,13.575821,-1.0,18.262353108788,0.9821515,100,41.500717,1.25,5.0001326,16.552013
5,16.810420999999998,2.683343,16.454857,1.2001374,,6.487506151199341,16.286596,16.632465,-71.35528599999999,6,,0.11,,1.0000228999999998,-1.0,2.236068,16.632465,15.171523,16.691053,-1.0,18.153056837450432,0.9821515,120,38.847404,1.2,6.0001373,16.532610000000002
6,16.656271,2.8577976,16.457027,1.1668061,,6.955662965774536,16.310944,16.632465,-58.43328,7,,0.11,,1.0000209,-1.0,2.4494898,16.632465,15.708638,18.944597,-1.0,18.160828109887266,0.9821515,140,36.890564000000005,1.1666747,7.000146000000001,16.520039999999998
7,16.52274,3.0237727000000003,16.58791,1.1429989999999999,,7.478837251663207,16.345566,16.632465,-49.37385,8,,0.11,,1.0000188,-1.0,2.6457512000000003,16.632465,15.482403,13.908569,-1.0,18.296611666168737,0.9821515,160,35.3892,1.1428573,8.000150999999999,16.529754999999998
8,16.404957,3.1820334999999997,16.596622,1.1251433000000002,,8.116325616836548,16.37346,16.632465,-41.661514000000004,9,,0.11,,1.0000167,-1.0,2.8284272999999995,16.632465,15.974564,19.919369,-1.0,18.315921989485414,0.9821515,180,34.179504,1.1249995000000002,9.000150999999999,16.538113
9,16.299595,3.3333837999999996,16.63338,1.1112568,,8.579275608062744,16.399452,16.63338,-36.105488,10,,0.11,,1.0000153,-1.0,3.0000002,16.63338,15.75585,13.7934,-1.0,18.343495627495262,0.9821515,200,33.182083,1.1111106000000002,10.000153,16.548704
