,IWMean,LQGmu01,Bound,IWFirstEpisode,DenMISEMeanLog,ReturnAbsMax,SqrtESSClassic,IWLastEpisode,LQGmu1,IWMax,DenMISELogFirst,ReturnMin,TimestepsSoFar,URet,ReturnLastEpisode,IWNorm1,IWMin,LQGsigma,Iteration,ReturnMean,target_sum_log_mean,IWNorm2,TimeElapsed,DenMISELogLast,MISE,ReturnMax,ReturnStepMax
0,0.9650348,-0.01,44.648804,0.9650348,18.60218,15.058442000000001,1.0,0.9650348,-0.099,0.9650348,18.60218,,20,16.687925283112616,15.058442000000001,0.9650348,,0.11,1,15.058442000000001,18.566589999999998,0.9650348,0.6021058559417725,18.60218,14.531920000000001,15.058442000000001,0.9625284
1,1.468379e-09,-0.003,30.575322999999997,1.7814310000000002e-12,19.955425,15.791472,1.0329554,2.9349765e-09,-0.026,2.9349765e-09,18.584543,,40,17.485525404344575,15.791472,3.136758e-09,,0.11,2,15.424957000000001,-3.3946601999999997,3.0366827e-09,15.317718029022215,21.326307,2.3187214e-08,15.791472,0.99517673
2,1.006494,-0.003,45.2122,1.5951818e-11,18.412453,15.791472,1.0,3.0194821,-0.028,3.0194821,18.17908,,60,14.9850974207257,13.541317000000001,3.0194821,,0.11,3,14.797077,4.520044,3.0194821,16.190735816955563,16.137432,13.629254000000001,15.791472,0.99517673
3,1.1332223,-0.003,39.09332,6.5617334e-10,18.252419,15.791472,1.3455974,2.9994092,-0.034,2.9994092,17.891396,,80,15.411995985522942,13.91029,4.5328894,,0.11,4,14.57538,9.572148,3.3686817000000002,16.995787858963013,17.938982,15.622,15.791472,0.99517673
4,0.769879,-0.004,30.040274,1.9569711e-08,17.206503,15.791472,1.5969528999999998,1.1083219,-0.039,2.0128825,17.668253,,100,13.421225233355505,12.140788,3.8493948,,0.11,5,14.088460999999999,11.245169,2.4104624,17.98081660270691,13.031360000000001,10.263269000000001,15.791472,0.99517673
5,1.6340327,-0.004,44.97232,6.923972500000001e-08,16.879381,15.791472,1.3752109,6.8890785999999995,-0.041,6.8890785999999995,17.485931,,120,14.980164152183994,13.518901000000001,9.804196000000001,,0.11,6,13.993535000000001,12.465588,7.1292315,18.781982421875,15.480888,22.006426,15.791472,0.99517673
6,1.5186255,-0.004,41.022391999999996,4.0845225e-07,17.104229999999998,15.791472,1.5343962,2.3131664,-0.044,6.4093113,17.33178,,140,14.773549351192566,13.331073000000002,10.630379,,0.11,7,13.898897,13.674223000000001,6.9280534,19.928717851638797,18.16871,20.439087,15.791472,0.99517673
7,1.5650146,-0.005,40.572395,4.5066367e-06,16.624695000000003,15.791472,1.6139916,3.2041285,-0.048,6.859316000000001,17.19825,,160,14.679739247811911,13.220631,12.520116999999999,,0.11,8,13.814114000000002,13.917614000000002,7.757238,21.42884826660156,13.009211,21.004177,15.791472,0.99517673
8,0.8423339,-0.006,35.83183,0.0007332133,16.958748,15.791472,1.2896235,0.47325483,-0.06,5.761268599999999,17.080467000000002,,180,14.768291910798778,13.316666,7.581005,,0.11,9,13.758842000000001,13.919473000000002,5.8784637,22.4362268447876,19.330338,11.341778999999999,15.791472,0.99517673
9,1.1213413,-0.007,42.240986,0.010668248,16.51568,15.791472,1.252622,8.707357,-0.067,8.707357,16.975187,,200,17.3351611583358,15.655868,11.213413000000001,,0.11,10,13.9485445,12.922098,8.951953,23.936171054840088,12.787239999999999,17.027517,15.791472,0.99517673
10,0.00040838716000000003,-0.016,26.784857000000002,0.00075995526,16.415306,15.791472,1.1794162000000001,3.8834858e-19,-0.16,0.0037323,16.880943,,220,15.720745510638375,14.170865,0.004492259,,0.11,11,13.968755999999999,-42.33521,0.0038088837,25.187993049621586,15.50678,0.0063983914,15.791472,0.99517673
11,1.1982421,-0.015,52.05409,0.008274122,15.881186999999999,16.299875,1.0023044,14.345823000000001,-0.153,14.345823000000001,16.794,,240,18.046394194883497,16.299875,14.378905,,0.11,12,14.163014000000002,-31.47175,14.345846,26.16679215431213,10.962612,19.52929,16.299875,0.9999853000000001
12,0.9870912000000001,-0.014,42.316036,0.09568689,15.3707485,16.57327,1.2659568,2.831055,-0.144,9.730939999999999,16.714647,,260,18.326724987101862,16.57327,12.832186,,0.11,13,14.348419,-21.669315,10.1363535,27.477997303009033,9.416832000000001,16.13304,16.57327,0.9999853000000001
13,0.014446181,-0.001,29.263044,2.1449275e-18,15.412201000000001,16.57327,1.140298,2.6883926e-18,-0.005,0.1764499,16.647873,,280,18.263490008609708,16.512864999999998,0.20224653,,0.11,14,14.503022,-4.5576870000000005,0.17736287,28.797511100769047,16.138018,0.19472902,16.57327,0.9999853000000001
14,,0.028,8.5584,,14.679897,16.57327,3.8729835,,0.276,,16.578879999999998,,300,12.48969614122147,11.390869,1.5e-09,,0.11,15,14.295546,-428.43892999999997,3.8729833e-10,30.136899709701535,5.379176,,16.57327,0.9999853000000001
15,1.808777,0.027,48.964220000000005,,13.478012,16.57327,1.0,28.940432,0.268,28.940432,16.514341,,320,9.602872779084283,8.744956,28.940432,,0.11,16,13.948633,-388.0342,28.940432,31.59129619598389,-3.5821753,15.817675,16.57327,0.9999853000000001
16,1.8231682,0.026,39.410804999999996,,13.607757999999999,16.57327,1.4129783,14.848798,0.251,16.14506,16.453718,,340,9.615062635933064,8.754857000000001,30.993858000000003,,0.11,17,13.643119,-337.80573,21.935126999999998,33.26868939399719,15.620917000000002,15.952173000000002,16.57327,0.9999853000000001
