,TimeElapsed,ReturnMean,Iteration,IWNorm1,URet,DenMISELogFirst,MISE,ReturnStepMax,ReturnMax,LQGmu1,SqrtESSClassic,ReturnMin,TimestepsSoFar,target_sum_log_mean,ReturnLastEpisode,ReturnAbsMax,IWFirstEpisode,LQGsigma,IWNorm2,IWMean,IWMax,LQGmu01,IWMin,IWLastEpisode,DenMISEMeanLog,Bound,DenMISELogLast
18,9.554972648620604,16.488718,19,18.999498000000003,18.30809704154295,15.657742,16.567733999999998,0.98573774,16.635742,-1.0,4.242639,,380,-10.938947,16.593172,16.635742,,0.11,4.478226,0.9999735999999999,1.0574945,-1.0,,1.0555558999999999,16.32143,28.330986,17.907239999999998
19,10.292087316513063,16.494329999999998,20,19.999527,18.308523596245056,15.606448,16.569506,0.98573774,16.635742,-1.0,4.3588977,,400,-9.543845,16.600954,16.635742,,0.11,4.5882072,0.99997634,1.0544372,-1.0,,1.0526327,16.35088,28.019012,16.9118
20,10.78110408782959,16.499716,21,20.99956,18.32038752072073,15.557657999999998,16.571428,0.98573774,16.635742,-1.0,4.4721345999999995,,420,-8.281533,16.607426,16.635742,,0.11,4.695646,0.9999790000000001,1.0516855,-1.0,,1.0499998,16.377726000000003,27.731026,16.915928
21,11.231232404708862,16.502813,22,21.999589999999998,18.276726603036863,15.511138,16.571281,0.98573774,16.635742,-1.0,4.5825744,,440,-7.2919087,16.567888,16.635742,,0.11,4.8007054,0.99998134,1.0491971000000002,-1.0,,1.0476203000000002,16.244307,27.461933000000002,13.443659
22,11.631696224212645,16.502679999999998,23,22.999607,18.196485621731764,15.466686,16.568043,0.98573774,16.635742,-1.0,4.6904144,,460,-6.6254644,16.499748,16.635742,,0.11,4.903534,0.9999829,1.0469341,-1.0,,1.0454545,15.88546,27.208302000000003,7.9918356
23,12.202181100845337,16.50839,24,24.000023000000002,18.351543774899,15.424126999999999,16.571444,0.98573774,16.639694,-1.0,4.795831,,480,-5.610405,16.639694,16.639694,,0.11,5.004351,1.000001,1.0448914,-1.0,,1.0438714,15.960735999999999,26.980293,17.693047
24,12.765058279037476,16.506775,25,25.000014999999998,18.17470748577613,15.383304999999998,16.567131,0.98573774,16.639694,-1.0,4.898978700000001,,500,-4.638003,16.468035,16.639694,,0.11,5.1031075,1.0000006,1.0430176,-1.0,,1.0416657,16.068626000000002,26.756822999999997,18.658825
25,13.195716381072998,16.509521,26,26.000313000000002,18.28936112236352,15.344084,16.567762,0.9999771000000001,16.639694,-1.0,4.9999995,,520,-3.8087745,16.57818,16.639694,,0.11,5.200063,1.0000120000000001,1.0413141,-1.0,,1.0402858,16.099895,26.551579999999998,16.882433
26,13.817665576934814,16.51197,27,27.000303000000002,18.28527376198901,15.306344000000001,16.568062,0.9999771000000001,16.639694,-1.0,5.099019,,540,-2.909235,16.575645,16.639694,,0.11,5.2951956,1.0000111999999999,1.0397383,-1.0,,1.0384619000000002,16.260653,26.358,20.441048000000002
27,14.357627391815186,16.517483,28,28.000286,18.383082534288988,15.269976000000002,16.57169,0.9999771000000001,16.6663,-1.0,5.1961517,,560,-2.2271106,16.6663,16.6663,,0.11,5.388658,1.0000103,1.0382817,-1.0,,1.0370368,16.256815,26.193983,16.15387
28,15.060926675796509,16.517403,29,29.002228000000002,18.22030088699632,15.234884,16.570778,0.9999771000000001,16.6663,-1.0,5.2915015,,580,-1.4930125,16.515198,16.6663,,0.11,5.480907,1.0000768,1.0376344000000002,-1.0,,1.0376344000000002,16.352242,26.019683999999998,19.024782000000002
29,15.637640953063965,16.522081,30,30.002327,18.371446889965483,15.200982999999999,16.573832,0.9999771000000001,16.6663,-1.0,5.3851633,,600,-1.0777786,16.657751,16.6663,,0.11,5.571294,1.0000776,1.036497,-1.0,,1.0344824000000001,16.17148,25.858397,10.929914
30,16.331024885177612,16.524364000000002,31,31.000908000000003,18.3071606927043,15.168192999999999,16.573708,0.9999771000000001,16.6663,-1.0,5.477225,,620,-0.70133924,16.592848,16.6663,,0.11,5.6599665,1.0000293,1.0353371,-1.0,,1.0319245000000001,15.990460999999998,25.702217,10.560373
31,17.08669376373291,16.524445,32,32.000916,18.23230077785864,15.136445000000002,16.572203,0.9999771000000001,16.6663,-1.0,5.5677633,,640,-0.20819139999999997,16.526918,16.6663,,0.11,5.747535,1.0000286,1.0342536,-1.0,,1.0322582,15.960981,25.552273,15.047613
32,17.763202905654907,16.525213,33,33.00329,18.262246018290007,15.105673000000001,16.572695,0.9999771000000001,16.6663,-1.0,5.656852,,660,0.32666433,16.549839000000002,16.6663,,0.11,5.8342147,1.0000997,1.0335790999999999,-1.0,,1.0335790999999999,16.004847,25.411339,17.408936999999998
33,18.563738584518433,16.525927,34,34.003487,18.25457950850381,15.075820000000002,16.57209,0.9999771000000001,16.6663,-1.0,5.7445602,,680,0.8642695,16.549501,16.6663,,0.11,5.9192495,1.0001025,1.0327671999999999,-1.0,,1.030304,16.08043,25.275785,18.575052
34,19.23897647857666,16.526772,35,35.003662,18.262480185460134,15.046832,16.571686,0.9999771000000001,16.6663,-1.0,5.8309503,,700,1.3765323999999999,16.55551,16.6663,,0.11,6.0030804,1.0001046999999998,1.0319973,-1.0,,1.0294121999999999,16.1571,25.14643,18.764269
35,19.829537630081177,16.53012,36,36.003822,18.358266268698607,15.018661499999999,16.573921,0.9999771000000001,16.6663,-1.0,5.9160775999999995,,720,1.7406828,16.647272,16.6663,,0.11,6.0857589999999995,1.0001062,1.0312731,-1.0,,1.0285711,16.10988,25.02528,14.457519
36,20.416147232055664,16.533598,37,37.003975,18.37626134128336,14.991261999999999,16.576347,0.9999771000000001,16.6663,-1.0,5.9999970000000005,,740,2.0580213,16.658777,16.6663,,0.11,6.167332,1.0001074,1.0305909,-1.0,,1.0277768,16.038109,24.9095,13.4545555
37,21.308310031890873,16.533457000000002,38,38.004128,18.225258049310586,14.964594,16.575113,0.9999771000000001,16.6663,-1.0,6.0827599999999995,,760,2.4432461,16.528217,16.6663,,0.11,6.247843,1.0001086,1.0299463,-1.0,,1.0270274,16.054722,24.794885999999998,16.66964
38,22.183534860610962,16.533573,39,39.004276000000004,18.240875346718745,14.938619000000001,16.574203,0.9999771000000001,16.6663,-1.0,6.1644115,,780,2.8326051,16.538069,16.6663,,0.11,6.3273315000000006,1.0001096999999999,1.0293375,-1.0,,1.0263165,16.094389000000003,24.685098999999997,17.602
39,23.131917238235477,16.533096,40,40.0044,18.22358075565079,14.913301,16.572723,0.9999771000000001,16.6663,-1.0,6.2449956,,800,3.2674172,16.51448,16.6663,,0.11,6.405833,1.0001099,1.0287565,-1.0,,1.0256413,16.197012,24.578957,20.199541
40,23.8834924697876,16.528465,41,41.004513,18.043902658057853,14.888608999999999,16.567034,0.9999771000000001,16.6663,-1.0,6.3245525,,820,3.4011405,16.343235,16.6663,,0.11,6.4833856,1.00011,1.0282053,-1.0,,1.025,16.014767000000003,24.472557000000002,8.725143
41,24.757998943328857,16.528597,42,42.00463,18.2335360329244,14.864510999999998,16.566275,0.9999771000000001,16.6663,-1.0,6.403121499999999,,840,3.6688712,16.533981,16.6663,,0.11,6.5600243,1.0001103,1.0276798,-1.0,,1.024391,15.981589999999999,24.374794,14.621518
42,25.87483239173889,16.528297,43,43.00476,18.223742557457967,14.840981,16.565123,0.9999771000000001,16.6663,-1.0,6.4807377,,860,3.9728258000000003,16.515728,16.6663,,0.11,6.635782000000001,1.0001107,1.0271801999999999,-1.0,,1.02381,15.998645999999999,24.280125,16.715181
43,26.958399295806885,16.526295,44,44.00485,18.135243132150627,14.817991000000001,16.56225,0.9999771000000001,16.6663,-1.0,6.557434599999999,,880,4.252258,16.440170000000002,16.6663,,0.11,6.7106805,1.0001101000000001,1.0267042,-1.0,,1.0232556000000002,16.004234,24.187016,16.244642000000002
44,27.825486421585087,16.528295999999997,45,45.00495,18.328501319411327,14.795518,16.563517,0.9999771000000001,16.6663,-1.0,6.633247,,900,4.517676,16.616386,16.6663,,0.11,6.7847543,1.00011,1.026248,-1.0,,1.0227268,16.007988,24.101136999999998,16.173368
45,28.66362881660461,16.531113,46,46.005043,18.37162577909736,14.773539999999999,16.565647,0.9999771000000001,16.6663,-1.0,6.7082,,920,4.79571,16.657792999999998,16.6663,,0.11,6.8580309999999995,1.0001096999999999,1.0258116,-1.0,,1.0222216999999998,16.035748,24.019047,17.285059
46,29.10659956932068,16.534332,47,47.005140000000004,18.40419744035421,14.752032999999999,16.568224,0.9999771000000001,16.682535,-1.0,6.782325999999999,,940,4.838759,16.682535,16.682535,,0.11,6.9305334,1.0001093,1.0253949,-1.0,,1.0217392,15.839182000000001,23.947346,6.797244
47,30.10415816307068,16.532942000000002,48,48.005226,18.167963063411303,14.730979999999999,16.566113,0.9999771000000001,16.682535,-1.0,6.8556504,,960,5.0791817,16.46753,16.682535,,0.11,7.002286,1.0001088,1.024996,-1.0,,1.0212765,15.849982999999998,23.866310000000002,16.357845
48,31.139646291732788,16.535175,49,49.005318,18.35719865198236,14.710360999999999,16.567732,0.9999771000000001,16.682535,-1.0,6.928199,,980,5.3271646,16.642345000000002,16.682535,,0.11,7.0733128,1.0001084999999998,1.0246129000000002,-1.0,,1.0208403,15.877727499999999,23.791487,17.209524
49,32.061167478561394,16.535235999999998,50,50.0054,18.24648721824435,14.690157999999998,16.567158,0.9999771000000001,16.682535,-1.0,6.999996,,1000,5.611775,16.538252,16.682535,,0.11,7.143633,1.000108,1.0242475,-1.0,,1.020408,15.950915,23.716820000000002,19.537294
50,33.129311561584466,16.534585999999997,51,50.99904,18.209337189319832,14.670354999999999,16.563797,0.9999771000000001,16.682535,-1.0,7.071061599999999,,1020,5.696241400000001,16.50208,16.682535,,0.11,7.2123593999999995,0.99998116,1.0237378000000001,-1.0,,1.0137842,15.832385,23.641603,9.905897
51,35.208630800247185,16.535103,52,51.999077,18.270577377888014,14.650936999999999,16.563765,0.9999771000000001,16.682535,-1.0,7.1414227,,1040,5.825248,16.561462,16.682535,,0.11,7.281333,0.99998224,1.0232497,-1.0,,1.0196075,15.7660885,23.571835999999998,12.385161
52,36.44725561141968,16.53443,53,52.99896999999999,18.20279252717807,14.631888,16.562492000000002,0.9999771000000001,16.682535,-1.0,7.2110977,,1060,5.99031,16.49941,16.682535,,0.11,7.349639999999999,0.99998057,1.0227735999999998,-1.0,,1.0190941999999998,15.743226000000002,23.502851,14.55464
53,37.3527147769928,16.536488000000002,54,53.99898,18.361023775900613,14.613195999999999,16.564064000000002,0.9999771000000001,16.682535,-1.0,7.280105000000001,,1080,6.253895,16.6456,16.682535,,0.11,7.417335499999999,0.99998116,1.0223171999999998,-1.0,,1.0188679,15.825853,23.438637,20.205185
54,38.30851125717163,16.535795,55,54.998999999999995,18.203804450892704,14.594848,16.562855,0.9999771000000001,16.682535,-1.0,7.348464,,1100,6.391628,16.498428,16.682535,,0.11,7.4844213,0.9999818000000001,1.0218767,-1.0,,1.018519,15.789210999999998,23.373476,13.810828
55,39.034430027008064,16.538279,56,55.999027000000005,18.393569435009827,14.576829,16.5649,0.9999771000000001,16.682535,-1.0,7.416193499999999,,1120,6.547489,16.674835,16.682535,,0.11,7.550912400000001,0.99998266,1.0214499,-1.0,,1.018182,15.776933999999999,23.313322,15.101845999999998
56,39.94594264030457,16.538748000000002,57,56.99905,18.277752884525327,14.559129,16.564909,0.9999771000000001,16.682535,-1.0,7.483309700000001,,1140,6.701849,16.56503,16.682535,,0.11,7.616823700000001,0.9999833,1.0210447,-1.0,,1.0178568000000001,15.769060000000001,23.252806,15.328288
57,40.64567995071411,16.540589999999998,58,57.999069999999996,18.356897332217894,14.541738,16.566329999999997,0.9999771000000001,16.682535,-1.0,7.5498294999999995,,1160,6.845613,16.645617,16.682535,,0.11,7.6821694,0.99998397,1.0206515,-1.0,,1.0175443000000002,15.756189000000001,23.195301,15.022793
58,41.47543501853943,16.541645000000003,59,58.99909,18.319110266461387,14.524643,16.566963,0.9999771000000001,16.682535,-1.0,7.615769,,1180,7.0040183,16.602762,16.682535,,0.11,7.746964,0.99998456,1.020268,-1.0,,1.0172405999999998,15.763276999999999,23.13854,16.174454
59,41.99864506721497,16.54062,60,59.995909999999995,18.189974273638068,14.507836,16.56462,0.9999771000000001,16.682535,-1.0,7.6811419999999995,,1200,7.160441400000001,16.480232,16.682535,,0.11,7.810806299999999,0.9999319,1.0198108000000001,-1.0,,1.0137040000000002,15.773482999999999,23.080265,16.375782
60,42.38194799423218,16.541012,61,60.993313,18.271855839431623,14.491306,16.563910999999997,0.9999771000000001,16.682535,-1.0,7.7459636,,1220,7.311887,16.564507,16.682535,,0.11,7.874206,0.9998904000000001,1.0192798,-1.0,,1.0137213,15.783498999999999,23.025032,16.384613
61,42.77201843261719,16.540585999999998,62,61.993935,18.22346654961666,14.475045999999999,16.563269000000002,0.9999771000000001,16.682535,-1.0,7.8102465,,1240,7.414008,16.514572,16.682535,,0.11,7.9375134,0.9999021999999999,1.0187628,-1.0,,1.016394,15.748707000000001,22.97121,13.626657999999999
62,43.163060426712036,16.539573999999998,63,62.994544999999995,18.18972606565388,14.459045000000001,16.562035,0.9999771000000001,16.682535,-1.0,7.8740053,,1260,7.6169785999999995,16.476837,16.682535,,0.11,8.000318,0.9999134,1.0182636,-1.0,,1.0161295,15.819115,22.918089000000002,20.18466
63,43.581727027893066,16.539614,64,63.99511700000001,18.246265100891897,14.443297,16.561863,0.9999771000000001,16.682535,-1.0,7.937253,,1280,7.750103500000001,16.542034,16.682535,,0.11,8.062628,0.9999237,1.0177821,-1.0,,1.0158737,15.823825,22.86727,16.120749
64,44.297452211380005,16.540543,65,64.99566999999999,18.31554943388981,14.4277935,16.562597,0.9999771000000001,16.682535,-1.0,7.999999000000001,,1300,7.902806,16.599987,16.682535,,0.11,8.124459,0.9999333,1.0173143,-1.0,,1.0156237,15.852068,22.81855,17.659798000000002
65,45.105129718780525,16.540014000000003,66,65.9962,18.212994650696512,14.412526000000002,16.561857,0.9999771000000001,16.682535,-1.0,8.062257,,1320,7.994742,16.505722,16.682535,,0.11,8.1858225,0.9999424000000001,1.0168584999999999,-1.0,,1.0153846,15.8233185,22.7695,13.954787
66,46.011762380599976,16.54136,67,66.996735,18.344252284740623,14.397488000000001,16.563025,0.9999771000000001,16.682535,-1.0,8.124038,,1340,8.047212,16.63016,16.682535,,0.11,8.246729,0.99995124,1.0164202,-1.0,,1.0151511,15.758709,22.72346,11.494797
67,46.92910933494568,16.541838000000002,68,67.99725,18.28241502834469,14.382673,16.563309,0.9999771000000001,16.682535,-1.0,8.185352,,1360,8.086323,16.573868,16.682535,,0.11,8.307186999999999,0.9999596,1.0159938,-1.0,,1.0149256,15.68419,22.677597,10.691375
