,LQGsigma,SqrtESSClassic,target_sum_log_mean,LQGmu01,ReturnMean,TimeElapsed,Bound,ReturnLastEpisode,IWMax,IWMean,IWMin,LQGmu1,URet,Iteration,DenMISEMeanLog,ReturnStepMax,DenMISELogFirst,MISE,ReturnAbsMax,IWFirstEpisode,ReturnMax,ReturnMin,TimestepsSoFar,IWLastEpisode,DenMISELogLast,IWNorm1,IWNorm2
0,0.11,1.0,13.572354,-0.01,15.807039999999999,0.41498827934265137,64.21994000000001,15.807039999999999,1.0627427,1.0627427,,-0.098,17.497854397219367,1,13.511501,0.99233466,13.511501,16.798817,15.807039999999999,1.0627427,15.807039999999999,,20,1.0627427,13.511501,1.0627427,1.0627427
1,0.11,1.4103303,16.780722,-0.01,15.653151000000001,16.157102108001713,51.375824,15.499260000000001,1.2191716000000001,1.1348943,,-0.098,17.16876062923554,2,16.656948,0.99233466,13.542391,17.751701,15.807039999999999,1.0506169,15.807039999999999,,40,1.2191716000000001,19.771503,2.2697884999999998,1.6094021
2,0.11,1.7238823,15.996315,-0.01,15.551226999999999,17.244436979293823,44.94891,15.347377999999999,1.27547,1.1216198,,-0.097,16.998092264474444,3,15.886111999999999,0.99233466,13.559122,17.440582,15.807039999999999,1.0578566999999999,15.807039999999999,,60,1.0315329,14.2572,3.3648596,1.9519080000000002
3,0.11,1.9801307000000001,16.075573000000002,-0.01,15.626178,18.320785045623783,41.457832,15.851032,1.3862615,1.1170391000000002,,-0.096,17.555552988961338,4,15.9742,0.99233466,13.5734825,17.442703,15.851032,1.0701048,15.851032,,80,0.9806171,16.149649,4.4681562999999995,2.2564957000000003
4,0.11,2.206356,14.933653,-0.01,15.557251,19.312746524810787,39.35153,15.281548999999998,1.4977973,1.144997,,-0.095,16.903943112532726,5,14.810630999999999,0.99233466,13.587406,17.798752,15.851032,1.07653,15.851032,,100,1.1649804,10.065686999999999,5.724985,2.5947695
5,0.11,2.4062996,15.567696,-0.009,15.409595999999999,20.38105416297913,38.2574,14.671320000000001,1.5589903999999999,1.2035912,,-0.094,16.300683752284385,6,15.399849,0.99326193,13.600080499999999,18.495480999999998,15.851032,1.0741231000000002,15.851032,,120,1.4613717,18.22885,7.221547,3.0011005
6,0.11,2.5795279,15.210973000000001,-0.009,15.435896,21.21947956085205,36.771440000000005,15.593691,1.6658348000000003,1.1916733,,-0.093,17.262414143627414,7,15.059679000000001,0.99326193,13.610614000000002,18.33663,15.851032,1.0683643,15.851032,,140,0.98809516,12.849658,8.341713,3.2338138
7,0.11,2.7039492000000003,15.207101000000002,-0.009,15.467620000000002,22.36084008216858,35.459213,15.689693,1.8397552,1.160336,,-0.091,17.37046872279834,8,15.100376,0.99326193,13.619123000000002,17.872677,15.851032,1.0512412,15.851032,,160,0.8043866999999999,15.223293,9.282688,3.4330112999999995
8,0.11,2.7735896,14.890770999999999,-0.009,15.473064,23.554378032684326,34.484913,15.516623000000001,2.112567,1.1263237,,-0.088,17.163440106024208,9,14.842381,0.99326193,13.624801000000001,17.339949,15.851032,1.0026222,15.851032,,180,0.8801427,12.643065,10.136913,3.6547992
9,0.11,2.6320443,14.653935999999998,-0.009,15.494822000000001,24.69913744926453,33.03291,15.690634,2.4419281,0.9733179,,-0.085,17.39752804637037,10,14.905497,0.9982615,13.625063,14.965929999999998,15.851032,0.8895745,15.851032,,200,0.15313224,15.369694,9.733179,3.6979542000000003
10,0.11,2.3230577,14.705627,-0.008,15.502006,25.91055274009705,31.944618,15.573845,2.7787926,0.74727786,,-0.079,17.259153030342578,11,15.454984,0.9982615,13.614973,11.474572,15.851032,0.5969371,15.851032,,220,0.5516766,20.990889000000003,8.220057,3.5384643
11,0.11,1.062101,11.316979,-0.013,15.449736999999999,27.60376143455505,53.938538,14.874770999999999,6.597426400000001,0.58417815,,-0.129,16.483957972567943,12,15.397511499999998,0.9982615,13.580808,9.165865,15.851032,0.02865787,15.851032,,240,0.00027917227,15.020995999999998,7.010137599999999,6.600255000000001
12,0.11,1.5395352,12.727036,-0.012,15.512678,28.92024517059326,43.39127,16.267971,5.135249,0.7353935,,-0.124,18.002463468363313,13,15.457641,0.9982615,13.50315,11.690847999999999,16.267971,0.07366273599999999,16.267971,,260,3.4662604,16.667307,9.560116,6.2097416
13,0.11,2.6633080000000002,14.766929000000001,-0.011,15.556289000000001,30.109974145889282,32.596813,16.123232,2.9372973,0.90121037,,-0.111,17.846020779490726,14,15.4792,0.9982615,13.434692000000002,14.272264999999999,16.267971,0.4865549,16.267971,,280,1.9917592,16.080385,12.616945,4.737321400000001
14,0.11,2.7312195,13.948088,-0.011,15.61878,31.68806433677673,31.899241999999997,16.49367,2.902155,0.8653684000000001,,-0.113,18.229259770496235,15,14.782748000000002,0.9982615,13.399863,13.782426000000001,16.49367,0.40032724,16.49367,,300,1.48745,5.1488059999999995,12.980526,4.7526484
15,0.11,2.8375726,13.993882000000001,-0.011,15.656227,33.175397872924805,32.203829999999996,16.217934,2.7638495,0.9230709999999999,,-0.114,17.950917152960727,16,14.849188,0.9990155000000001,13.361664000000001,14.766035999999998,16.49367,0.34788959999999997,16.49367,,320,2.4333242999999998,15.994256,14.769135999999998,5.204848999999999
16,0.11,2.9287763,13.992541000000001,-0.012,15.667603,34.593092203140266,32.906143,15.8496065,2.7415382999999998,1.0012734,,-0.116,17.539971931756867,17,14.846012,0.9990155000000001,13.322548999999999,16.01137,16.49367,0.30752695,16.49367,,340,2.7415382999999998,14.890603,17.021648000000003,5.811864
17,0.11,3.0260286,14.071125,-0.012,15.658183,35.72430396080017,33.072464000000004,15.498056,2.7443216,1.0482775,,-0.117,17.17198222316965,18,14.961619,0.9990155000000001,13.2833185,16.720669,16.49367,0.2613574,16.49367,,360,2.2584142999999997,16.950993,18.868996,6.235564
18,0.11,3.1158428,13.943795999999999,-0.012,15.677345,37.03606820106506,33.451107,16.02226,2.721418,1.0997255,,-0.119,17.732639954377355,19,14.871251,0.9990155000000001,13.243667000000002,17.57065,16.49367,0.22043452,16.49367,,380,2.6211734,13.224843,20.894785,6.7059817
19,0.11,3.2045555,13.924372,-0.012,15.684926,38.007502794265754,33.791145,15.828952,2.7765265,1.1487215,,-0.12,17.518600813028428,20,14.891742,0.9990155000000001,13.203909,18.350313,16.49367,0.18427499,16.49367,,400,2.7299542000000003,15.213404999999998,22.974429999999998,7.1693033999999995
