,IWMin,IWNorm1,IWFirstEpisode,Iteration,IWMax,ReturnMean,LQGmu01,TimestepsSoFar,ReturnAbsMax,DenMISEMeanLog,target_sum_log_mean,SqrtESSClassic,IWMean,ReturnLastEpisode,IWNorm2,ReturnStepMax,ReturnMax,MISE,ReturnMin,LQGsigma,DenMISELogLast,TimeElapsed,DenMISELogFirst,LQGmu1,URet,IWLastEpisode,Bound
0,,1e-10,,1,,15.058442000000001,-0.097,20,15.058442000000001,18.60218,-398.22217,1.0,,15.058442000000001,1e-10,0.9625284,15.058442000000001,,,0.11,18.60218,0.4143667221069336,18.60218,-0.751,16.687925283112616,,30.116884000000002
1,,2.0847397,,2,2.0847397,16.01132,-0.102,40,16.964197,10.898064,-202.0479,1.0,1.0423698000000001,16.964197,2.0847397,0.99985987,16.964197,17.682968,,0.11,3.8870945,12.673254489898682,17.909032999999997,-0.77,18.74100649188138,2.0847397,51.611362
2,,3.9010205,,3,3.433066,16.415438,-0.079,60,17.223675,14.217185999999998,-106.13476999999999,1.1258967,1.3003402,17.223675,3.4648120000000002,0.9999794,17.223675,22.356161,,0.11,20.95225,13.181340217590332,17.503569,-0.662,19.006998965375665,3.433066,52.951640000000005
3,,4.519019999999999,,4,1.7771692,16.61036,-0.089,80,17.223675,15.358870499999998,-82.295265,1.7115251,1.1297549999999998,17.195122,2.640347,0.9999794,17.223675,19.369322,,0.11,18.739176,13.676642179489136,17.215887,-0.711,18.976640775880394,1.5355905,39.49602
4,,5.6351285,,5,1.5683492,16.716402,-0.088,100,17.223675,14.967851999999999,-62.83315,1.9839854,1.1270257,17.140575,2.8403075,0.9999794,17.223675,19.319010000000002,,0.11,13.340262,13.889351844787598,16.992743,-0.709,18.920745233874854,1.5683492,36.681713
5,,6.3807434999999995,,6,5.0143447,16.784435000000002,-0.121,120,17.223675,15.363225,-62.259243000000005,1.2524886999999998,1.0634573,17.1246,5.0944519999999995,0.9999794,17.223675,18.195663,,0.11,17.260359,14.06988263130188,16.810420999999998,-0.839,18.90501741817688,5.0143447,45.698784
6,,9.827631,,7,7.423354600000001,16.830044,-0.139,140,17.223675,15.652291,-54.860893000000004,1.2703232,1.4039472,17.103697,7.736324000000001,0.9999794,17.223675,24.017229999999998,,0.11,17.48685,14.297968864440918,16.656271,-0.884,18.88392879483841,7.423354600000001,51.134228
7,,10.227798,,8,3.815804,16.87169,-0.131,160,17.223675,15.325069000000001,-44.794956,1.8065863000000002,1.2784748,17.163227,5.661395,0.9999794,17.223675,21.894043,,0.11,12.943147999999999,14.628566026687622,16.52274,-0.867,18.943013283955786,3.3746622000000004,40.961690000000004
8,,11.254264,,9,5.050290599999999,16.896826,-0.145,180,17.223675,15.739262,-39.988632,1.7868224,1.2504737,17.097897,6.298479,0.9999794,17.223675,21.398832000000002,,0.11,18.913404,15.039529800415039,16.404957,-0.898,18.875512996841366,5.050290599999999,40.677383
9,,10.887595,,10,3.082303,16.930578,-0.139,200,17.234358,15.603109,-33.607098,2.1849027000000003,1.0887594999999999,17.234358,4.9831033,0.9999794,17.234358,18.650007000000002,,0.11,14.265064,15.512408256530762,16.299595,-0.886,19.01552234162261,1.1899033,34.425865
10,,13.124784,,11,2.236887,16.946106,-0.129,220,17.234358,15.682882000000001,-27.472227,2.6160214,1.1931622,17.101368,5.017078400000001,0.9999794,17.234358,20.443535,,0.11,16.451693,16.012768030166626,16.204285000000002,-0.861,18.880661829720765,2.0271883,33.61954
11,,13.134826,,12,2.3610558999999998,16.965975,-0.124,240,17.234358,15.978698999999999,-22.889269,2.8156607000000005,1.0945688,17.184545999999997,4.664918,0.9999794,17.234358,18.757761,,0.11,19.08944,16.553716659545902,16.117273,-0.847,18.966184915592038,0.70655453,30.999546000000002
12,,16.96756,,13,3.2643063,16.982826,-0.103,260,17.234358,15.611363,-17.224768,2.8813727000000005,1.3051968999999999,17.185024,5.888707,0.9999794,17.234358,22.379822,,0.11,11.137876,17.240490436553955,16.037231,-0.773,18.9649176479902,3.2643063,34.342422
13,,16.141926,,14,2.757828,16.995535,-0.101,280,17.234358,15.824976999999999,-14.602035500000001,2.9800484,1.1529948,17.160763,5.4166656,0.9999794,17.234358,19.77146,,0.11,18.351774,18.076155185699466,15.963123000000001,-0.769,18.939654780778845,0.33516318,31.337954999999997
14,,17.988160999999998,,15,2.5094939999999997,17.004755,-0.106,300,17.234358,15.951965,-12.977431,3.3093483,1.1992108,17.133846,5.4355597,0.9999794,17.234358,20.560589,,0.11,17.610844,18.603156328201294,15.894131,-0.788,18.9140501321242,2.2892716,30.976149
15,,18.959538000000002,,16,2.0779153999999997,17.010935,-0.112,320,17.234358,16.000694,-11.768603,3.5895147000000005,1.1849711,17.103624,5.2819223,0.99999917,17.234358,20.311687,,0.11,16.561163,19.0331552028656,15.829592000000002,-0.81,18.882239466479405,1.4549942,29.914299
16,,20.409916,,17,2.003437,17.020695,-0.122,340,17.234358,16.108963,-11.031844,3.5835507000000004,1.2005833000000001,17.176851,5.695444999999999,0.99999917,17.234358,20.57941,,0.11,17.67737,19.7698974609375,15.768968,-0.842,18.955874347358225,2.003437,30.198003999999997
17,,21.143166,,18,2.0545259,17.024898999999998,-0.126,360,17.234358,16.214163,-9.835751,3.6051788,1.1746203000000002,17.096378,5.8646650000000005,0.99999917,17.234358,20.127865,,0.11,17.826294,20.739211797714233,15.711808999999999,-0.853,18.876251181635574,1.7221038,29.688755
