,IWMax,IWMin,URet,IWNorm2,ReturnMin,LQGmu01,ReturnAbsMax,MISE,IWLastEpisode,ReturnLastEpisode,IWMean,IWNorm1,target_sum_log_mean,SqrtESSClassic,TimestepsSoFar,DenMISEMeanLog,DenMISELogLast,Bound,LQGsigma,ReturnStepMax,ReturnMean,TimeElapsed,IWFirstEpisode,Iteration,LQGmu1,ReturnMax,DenMISELogFirst
0,1.2002747,,16.687925283112616,1.2002747,,-0.011,15.058442000000001,18.074266,1.2002747,15.058442000000001,1.2002747,1.2002747,18.78473,1.0,20,18.60218,18.60218,19.587695999999998,0.11,0.9625284,15.058442000000001,0.2601323127746582,1.2002747,1,-0.111,15.058442000000001,18.60218
1,1.2289915,,17.662259126015382,1.3269671,,-0.012,15.953459,13.571116,1.2289915,15.953459,0.8647065,1.729413,19.570375,1.3032825000000001,40,19.81343,20.929247,14.801382,0.11,0.9978268,15.505951000000001,6.1151041984558105,0.50042146,2,-0.123,15.953459,18.697615
2,1.3109623,,17.863055696307942,2.1401594,,-0.011,16.136745,19.374624,1.1874366000000003,16.136745,1.2344149,3.7032447,20.591217,1.7303593000000002,60,20.38158,21.626473999999998,20.311888,0.11,0.9990846,15.716214,6.523639917373657,1.3109623,3,-0.111,16.136745,18.515463
3,1.2497222,,18.048527099053302,2.2627702000000003,,-0.012,16.311075,17.892477,1.2497222,16.311075,1.1263034,4.5052137000000005,20.096828,1.9910169999999998,80,19.982437,18.614407999999997,18.715837,0.11,0.9999735999999999,15.86493,6.9740850925445566,1.0433778,4,-0.115,16.311075,18.590329999999998
4,,,17.351762021187135,2.2360681e-10,,0.04,16.311075,,,15.672235500000001,,5e-10,-496.43164,2.2360678,100,18.715954,13.551105499999998,0.73312837,0.11,0.9999735999999999,15.826391000000001,7.499518871307372,,5,0.378,16.311075,18.598969
5,1.3346643e-25,,9.615826789377909,2.4494897999999997e-10,,0.04,16.311075,1.9491386e-25,1.3346643e-25,8.762377,2.2244405e-26,6e-10,-425.07272,2.4494896,120,13.611011499999998,-11.0021,0.66925156,0.11,0.9999735999999999,14.6490555,7.753043174743652,,6,0.378,16.311075,18.416647
6,0.013945329,,9.468360179529746,0.013945329,,0.11,16.311075,0.017174767,0.013945329,8.621049000000001,0.0019921898,0.013945329,-646.8087,1.0,140,14.083879000000001,17.845991,1.6564994,0.11,0.9999735999999999,13.787911,7.961980104446411,,7,0.802,16.311075,18.262495
7,1.698464e-07,,9.401243163913602,1.6994661999999998e-07,,0.026,16.311075,1.830319e-07,1.231278e-13,8.557191,2.1230816000000004e-08,1.7064653e-07,-215.57622,1.0041184,160,13.6982155,11.931299000000001,1.6326013000000001,0.11,0.9999735999999999,13.134070999999999,8.557010889053345,,8,0.252,16.311075,18.128963
8,12.479828999999999,,9.598393104562478,12.479828999999999,,0.028,16.311075,12.116292,12.479828999999999,8.737781,1.3866557,12.479901,-201.31453,1.0000058,180,13.768031,15.268826500000001,13.755607999999999,0.11,0.9999735999999999,12.645596000000001,9.07854175567627,,9,0.269,16.311075,18.01118
9,10.050112,,9.609307968615557,10.050322,,0.067,16.311075,8.656033,1.2722167e-15,8.750535000000001,1.0115023,10.115022999999999,-365.68427,1.0064377,200,13.58593,12.025359,10.284871,0.11,0.9999735999999999,12.256089999999999,9.472026109695436,,10,0.583,16.311075,17.905820000000002
