,IWMax,MISE,DenMISEMeanLog,Bound,Iteration,ReturnLastEpisode,IWFirstEpisode,ReturnMean,ReturnMin,TimestepsSoFar,ReturnMax,DenMISELogFirst,LQGmu1,IWMin,IWNorm1,SqrtESSClassic,IWMean,LQGsigma,target_sum_log_mean,URet,DenMISELogLast,ReturnStepMax,ReturnAbsMax,IWNorm2,LQGmu01,IWLastEpisode,TimeElapsed
0,0.21957535,3.4351482000000004,17.102016,50.368675,1,15.644507999999998,0.21957535,15.644507999999998,,20,15.644507999999998,17.102016,-0.077,,0.21957535,1.0,0.21957535,0.11,15.585957,17.332240856619553,17.102016,0.99262077,15.644507999999998,0.21957535,-0.008,0.21957535,0.11688899993896484
1,1.5188906,12.511028,12.795116,57.04617,2,14.951025,1.5188906,15.297767000000002,,40,15.644507999999998,16.607372,-0.104,,1.6031497,1.0538538,0.8015748,0.11,11.767177,16.581620409309036,8.98286,0.99262077,15.644507999999998,1.5212259,-0.01,0.08425905,6.635822057723999
2,2.1270335,18.093956,11.413052,52.120365,3,15.882831,1.2275483999999999,15.492787,,60,15.882831,16.766904999999998,-0.106,,3.4411417999999996,1.4003385,1.1470473,0.11,10.917328999999999,17.593354777080084,8.853589999999999,0.99544746,15.882831,2.4573642999999996,-0.011,2.1270335,7.183090925216675
3,1.9238334,19.188269000000002,12.60741,47.01895,4,15.734066,1.0741231000000002,15.553107999999998,,80,15.882831,16.822232999999997,-0.108,,4.8697844,1.7120848000000002,1.2174461,0.11,12.286605999999999,17.42879133183562,16.146162,0.9969742,15.882831,2.8443593999999996,-0.011,1.7972023000000001,7.715649127960205
4,1.9773996999999999,18.8186,14.093573000000001,43.406364,5,15.624512,0.9057245999999999,15.567389000000002,,100,15.882831,16.836948,-0.11,,5.977778400000001,1.9378943,1.1955556999999999,0.11,13.760083999999999,17.315730304575204,19.910683,0.99833316,15.882831,3.0846772000000002,-0.011,1.2614834,8.254008531570435
5,2.1386477999999998,19.145063,14.631879000000001,41.75461,6,15.892694,0.6681185000000001,15.621606,,120,15.892694,16.821112,-0.115,,7.276936500000001,2.1087592,1.2128228,0.11,14.207514999999999,17.596211946082303,17.195526,0.99855614,15.892694,3.4508145,-0.012,1.5647638000000001,8.572295427322388
6,2.2531738,13.667345000000001,14.739241,38.178143,7,15.1764,0.27299893,15.558005,,140,15.892694,16.77254,-0.123,,6.0540867,1.9451870999999998,0.86486953,0.11,13.321172,16.821391622656698,15.234356,0.99855614,15.892694,3.1123416,-0.012,0.042346842999999995,9.238935708999632
7,5.85816,22.828571,14.661106,50.662228000000006,8,16.274435,0.27189884,15.647557999999998,,160,16.274435,16.677267,-0.124,,11.383028999999999,1.7541105,1.4228786,0.11,13.581614499999999,18.005303941763014,14.268529999999998,0.99855614,16.274435,6.4893456,-0.012,5.85816,9.848403692245485
8,4.387588500000001,22.59831,15.21761,45.70746,9,16.212307,0.25593027,15.710308,,180,16.274435,16.592905,-0.125,,12.6581955,2.1127262000000004,1.4064661,0.11,14.272444,17.939443337345764,19.425749,0.99855614,16.274435,5.991403599999999,-0.013,3.1777205000000004,10.454481601715088
9,3.9205425000000003,22.033953,14.585431,42.851257000000004,10,15.951951000000001,0.22695455,15.734472,,200,16.274435,16.515585,-0.126,,13.731335000000001,2.3453228,1.3731334,0.11,13.6893215,17.642719643512613,8.615271,0.99855614,16.274435,5.8547735,-0.013,2.2777038,10.920225143432617
10,3.8315754,21.299297,14.703885000000001,40.82569,11,16.18267,0.18833396,15.775219,,220,16.274435,16.442717000000002,-0.128,,14.5807,2.500375,1.3255181,0.11,13.791806,17.912256158136362,15.612173,0.9987028,16.274435,5.831405,-0.013,1.6958449,11.394426584243774
11,3.9478676,20.974806,14.658707000000001,39.640390000000004,12,15.690732999999998,0.14460324,15.768178,,240,16.274435,16.372683,-0.13,,15.696239000000002,2.615686,1.3080200000000002,0.11,13.700420999999999,17.39479672236805,13.913972,0.9999473,16.274435,6.000812000000001,-0.013,1.8091073,12.069341659545898
12,4.004412,22.03425,14.451111,40.067757,13,16.369831,0.10952659,15.814459,,260,16.369831,16.304617,-0.132,,17.791897,2.723236,1.3686074,0.11,13.477754999999998,18.110581658270206,11.721053,0.9999473,16.369831,6.5333657,-0.013,2.949235,12.60379433631897
13,4.16306,19.955755,14.604970999999999,38.25955,14,15.718185,0.07633314,15.807582,,280,16.369831,16.2389,-0.134,,17.34606,2.6830225,1.2390043,0.11,13.428456,17.413898559637403,16.310318,0.9999473,16.369831,6.4651190000000005,-0.013,0.35126609999999997,13.483919143676758
14,4.434480000000001,19.124185999999998,14.490509,37.359047,15,16.095444,0.046658665,15.826773000000001,,300,16.369831,16.175344,-0.137,,17.790047,2.6931655,1.1860031,0.11,13.145512,17.820314149489164,12.708509,0.9999473,16.369831,6.605627,-0.014,1.3410313,14.087148427963257
15,4.772189,19.103385999999997,14.368398999999998,37.330383000000005,16,16.186453,0.023819441,15.849253,,320,16.369831,16.11391,-0.14,,18.921267999999998,2.6943276000000003,1.1825793,0.11,12.808775,17.899642241751444,12.404043,0.9999473,16.369831,7.0226307,-0.014,2.3818919999999997,14.561027765274048
16,5.1329727,16.811285,14.389873999999999,36.145664000000004,17,15.972033999999999,0.009091021,15.856476,,340,16.369831,16.054773,-0.145,,17.670465,2.5400088,1.0394392,0.11,12.399611,17.68217004880063,14.605564000000001,0.9999473,16.369831,6.9568520000000005,-0.015,0.60516596,15.341625213623047
