,ReturnStepMax,LQGmu1,ReturnAbsMax,DenMISEMeanLog,IWFirstEpisode,TimeElapsed,target_sum_log_mean,ReturnMean,IWNorm2,IWMin,URet,TimestepsSoFar,SqrtESSClassic,DenMISELogFirst,IWLastEpisode,ReturnMin,LQGmu01,IWMean,ReturnLastEpisode,IWNorm1,Bound,DenMISELogLast,MISE,ReturnMax,LQGsigma,Iteration,IWMax
0,0.99262077,-0.103,15.644507999999998,17.102016,0.9552683000000001,0.2829587459564209,17.056252999999998,15.644507999999998,0.9552683000000001,,17.332240856619553,20,1.0,17.102016,0.9552683000000001,,-0.01,0.9552683000000001,15.644507999999998,0.9552683000000001,16.517035,17.102016,14.944703,15.644507999999998,0.11,1,0.9552683000000001
1,0.9980244,-0.079,15.644507999999998,13.868483,0.27373332,5.836830377578735,12.616605999999999,15.565871,0.40519235,,17.16873953732278,40,1.4128653999999998,17.079397,0.2987489,,-0.008,0.28624109999999997,15.487233999999999,0.5724821999999999,5.5674767,10.657567,4.454609,15.644507999999998,0.11,2,0.2987489
2,0.9980244,-0.083,15.644507999999998,13.348161,0.5775602,6.251814603805543,12.610836,15.577728,0.9012161,,17.280815146568553,60,1.668527,16.802208,0.30536285,,-0.008,0.5012345,15.601442,1.5037034,8.746986,12.850955,7.8046393,15.644507999999998,0.11,3,0.6207803000000001
3,0.9980244,-0.086,15.644507999999998,14.084238000000001,0.8437903,6.620982885360718,13.901333,15.485054000000002,1.7918893,,16.85604027862875,80,1.9322974999999998,16.690594,1.1899962,,-0.009,0.8656158000000002,15.207032,3.4624631,14.184882,16.694435000000002,13.371170999999999,15.644507999999998,0.11,4,1.1899962
4,0.9980244,-0.089,15.644507999999998,15.2102,1.1291808,7.020943641662598,15.357767,15.410910000000001,2.6503400000000004,,16.761677211442294,100,2.2123315,16.658854,1.3479333,,-0.009,1.1726862,15.114329999999999,5.863430999999999,18.752247,19.827560000000002,18.041534,15.644507999999998,0.11,5,1.3479333
5,0.9980244,-0.095,15.644507999999998,15.593482,1.4554493,7.687702178955077,15.872195999999999,15.420331,3.2974010000000002,,17.134215915748364,120,2.4284375,16.680155,1.2834133,,-0.01,1.3345886,15.467439,8.007532000000001,21.255484,17.369974,20.608017,15.644507999999998,0.11,6,1.493793
6,0.9980244,-0.067,15.644507999999998,15.5587845,0.05482399,8.256854295730589,13.5477295,15.308062,3.1719625,,16.227557856936063,140,1.2072488000000001,16.74319,3.150752,,-0.007,0.5470497,14.634448999999998,3.8293477999999994,9.371243,15.072217000000002,8.068833,15.644507999999998,0.11,7,3.150752
7,0.9980244,-0.074,15.644507999999998,15.490195000000002,0.23445158,8.795059442520143,14.550004000000001,15.318285000000001,2.7788532000000004,,17.03728868069184,160,1.8140831999999998,16.61746,0.23475093,,-0.007,0.63013387,15.389842000000002,5.041071,10.304116,15.477549,9.437380000000001,15.644507999999998,0.11,8,2.5486944
8,0.9980244,-0.079,15.644507999999998,16.032948,0.5032989,9.338143825531006,15.706665,15.310885999999998,2.7644467,,16.89449309987038,180,2.6733189,16.528563000000002,1.0930648,,-0.008,0.8211386,15.251701,7.3902472999999995,13.047158999999999,20.738229999999998,12.459002,15.644507999999998,0.11,9,1.7075717000000001
9,0.9980244,-0.083,15.644507999999998,15.297304,0.8498114999999999,9.873051643371582,15.335351999999999,15.266541,3.499325,,16.4479554498291,200,3.070625,16.477617000000002,1.4779972,,-0.008,1.0745115,14.867424,10.745115,16.863472,8.846939,16.351416,15.644507999999998,0.11,10,1.4779972
10,0.9980244,-0.089,15.644507999999998,15.366985000000001,1.3814998,10.31875014305115,15.572219,15.28249,4.309548400000001,,17.111441728056782,220,3.24558,16.46387,1.2029538999999998,,-0.009,1.271544,15.441978,13.986984,19.971355,15.999153,19.486902,15.644507999999998,0.11,11,1.4926239
11,0.9980244,0.512,15.644507999999998,15.282407000000001,,11.039546251296997,-726.6858,15.247608,3.4641017999999997e-10,,16.498694614893875,240,3.4641013,16.495165,,,0.057,,14.863909,1.2e-09,0.45389324,14.108606,,15.644507999999998,0.11,12,
12,0.9980244,0.512,15.644507999999998,13.127161,,11.604068279266356,-676.5345,14.745513,3.6055514e-10,,9.565554055727313,260,3.6055512000000003,16.415123,4.6137737e-28,,0.057,3.5490567999999996e-29,8.720367999999999,1.3e-09,0.4360865,-11.77529,3.094908e-28,15.644507999999998,0.11,13,4.6137737e-28
13,0.9980244,0.571,15.644507999999998,13.099288,,11.79520297050476,-679.7542,14.300276,11.819609,,9.35014621892578,280,1.0,16.341015,11.819609,,0.065,0.8442578000000002,8.512197500000001,11.819609,8.758821000000001,13.700351000000001,7.1864886,15.644507999999998,0.11,14,11.819609
14,0.9980244,0.889,15.644507999999998,12.98555,,12.36587929725647,-831.66614,13.918038000000001,10.072445,,9.412010494639024,300,1.1906111000000001,16.272022,2.152634,,0.141,0.799491,8.566721000000001,11.992365,8.133859,11.747032,6.8132496,15.644507999999998,0.11,15,9.839731
15,0.9980244,0.911,15.644507999999998,12.8425045,,13.207374572753904,-789.84875,13.580264000000001,9.144217,,9.348130580154237,320,1.5991351999999999,16.207483,6.276431,,0.152,0.9139274,8.513653,14.622838,8.770177,11.026415,7.786937700000001,15.644507999999998,0.11,16,6.340212999999999
16,0.9980244,0.918,15.644507999999998,12.844664,,13.943557977676392,-745.6458,13.282788,8.144344,,9.364649713784717,340,1.9121433,16.146857999999998,4.064351,,0.156,0.91606784,8.523177,15.5731535,8.629147999999999,13.066353999999999,7.8068595,15.644507999999998,0.11,17,4.824949
