,DenMISEMeanLog,ReturnMax,IWMax,Bound,IWLastEpisode,LQGmu1,URet,DenMISELogLast,DenMISELogFirst,TimeElapsed,ReturnAbsMax,IWMean,LQGsigma,target_sum_log_mean,ReturnLastEpisode,Iteration,ReturnMean,IWFirstEpisode,LQGmu01,ReturnMin,TimestepsSoFar,IWNorm2,SqrtESSClassic,MISE,IWMin,IWNorm1,ReturnStepMax
0,18.60218,15.058442000000001,5.1730398e-09,1.5134305000000001,5.1730398e-09,-0.186,16.687925283112616,18.60218,18.60218,0.3738052845001221,15.058442000000001,5.1730398e-09,0.11,-0.47762513,15.058442000000001,1,15.058442000000001,5.1730398e-09,-0.019,,20,5.27304e-09,1.0,7.789791999999999e-08,,5.27304e-09,0.9625284
1,17.728142000000002,16.510082,2.1340516,19.276243,2.1340516,-0.166,18.261998039584387,17.547253,17.909032999999997,14.508890151977539,16.510082,1.0670431999999999,0.11,12.974359,16.510082,2,15.784262,3.4810528e-05,-0.017,,40,2.1340516,1.0000163,17.616945,,2.1340863999999997,0.999936
2,18.476960000000002,16.599197,1.6811496,14.845654000000001,0.9053671,-0.123,18.353705061049236,20.059391,17.503586,15.406791925430298,16.599197,0.87316245,0.11,17.479599,16.599197,3,16.055906,1.6811496,-0.012,,60,1.9097226000000003,1.3716586000000002,13.629401999999999,,2.6194873,0.99995744
3,18.157170999999998,16.599197,3.1428683,16.452059,0.5667804,-0.111,18.24784556871251,17.341259,17.660835000000002,16.36098575592041,16.599197,0.98311293,0.11,16.565681,16.499582,4,16.166826,3.1428683,-0.011,,80,3.2010267000000003,1.228497,15.094073000000002,,3.9324517,0.99995744
4,17.161901,16.599197,1.2932621000000002,6.3712893,5.7992895e-09,-0.199,17.31369186322621,13.306795000000001,18.017511,17.289798498153687,16.599197,0.29712388,0.11,7.353897999999999,15.639477,5,16.061356,1.121837e-11,-0.02,,100,1.3029023000000002,1.1402385,4.9081903,,1.4856194,0.99995744
5,16.655296,16.599197,2.2048025,18.10604,7.448496e-05,-0.118,18.28674665707283,14.765858999999999,17.83519,17.903911590576172,16.599197,1.0895447,0.11,14.727698,16.530357000000002,6,16.139523999999998,1.8327504000000001,-0.012,,120,3.4170214999999997,1.9131479999999998,17.234029999999997,,6.537268,0.99995744
6,16.928476,16.599197,2.3118916,12.264341,0.48210870000000006,-0.104,17.833003180805648,18.537557999999997,17.947594,18.526698112487797,16.599197,0.7273851,0.11,13.721673000000001,16.114258,7,16.135914,2.3118916,-0.01,,140,3.035823,1.6772043999999997,11.269661,,5.091696,0.99995744
7,16.42216,16.599197,4.1565385,26.105553,0.3305591,-0.131,17.216460514188732,13.1641445,18.099443,19.20034503936768,16.599197,1.5500498,0.11,15.603532999999999,15.534832000000002,8,16.060779999999998,0.32033387,-0.013,,160,6.4136233,1.9334466000000001,25.242698999999998,,12.400398,0.99995744
8,16.747149,16.599197,2.9100397,21.269173000000002,1.9176275,-0.128,17.535485508606822,18.986519,18.020922,19.941608428955078,16.599197,1.273874,0.11,16.02127,15.829329000000001,9,16.035063,0.506076,-0.013,,180,4.913894,2.333153,20.55414,,11.464867,0.99995744
9,16.431646,16.64622,2.519006,20.248938,1.6235117000000001,-0.13,18.403898872045954,13.393556,17.970268,21.049678087234497,16.64622,1.208201,0.11,15.818781,16.64622,10,16.09618,0.44568807,-0.013,,200,4.7367268,2.5507087999999998,19.593039,,12.08201,0.99995744
10,16.482935,16.64622,3.8784862,21.415491,0.03309753,-0.159,17.54240579269758,16.839453,17.918561999999998,22.062906503677368,16.64622,1.2464298,0.11,14.343628,15.836863500000002,11,16.072603,0.00035525975,-0.016,,220,6.498083,2.1099647999999998,20.622583,,13.710728,0.99995744
11,16.496626000000003,16.64622,3.2216763,21.854614,3.1549826000000003,-0.155,18.213320682378328,16.50338,17.831583,22.93672180175781,16.64622,1.2817598999999997,0.11,15.031363500000001,16.461428,12,16.105005,0.0015176704999999998,-0.016,,240,6.3913145,2.4065657000000003,21.15943,,15.381119,0.99999404
12,16.044815,16.64622,2.7507281000000003,20.680485,2.1286994999999997,-0.155,18.335545015370506,10.42458,17.751667,23.872561931610107,16.64622,1.2139586000000002,0.11,14.714288,16.581575,13,16.141665,0.0015219753,-0.016,,260,5.982725,2.6378383999999997,20.046251,,15.781462,0.99999404
13,16.088176999999998,16.64622,2.5179107000000003,20.654238,2.5179107000000003,-0.156,18.329066367559452,16.495708,17.677675,24.46900486946106,16.64622,1.2144754,0.11,14.859518,16.574495000000002,14,16.17258,0.0013431372,-0.016,,280,5.9981694,2.8346407000000005,20.064037,,17.002654999999997,0.99999404
14,16.201214,16.64622,2.4692428,20.650042000000003,2.4692428,-0.16,18.09130690325613,17.618216,17.60878,25.17949247360229,16.64622,1.2168113,0.11,14.783892999999999,16.357784,15,16.184929,0.00037376123,-0.016,,300,6.1328654,2.976124,20.087898000000003,,18.252169,0.99999404
15,16.183186,16.64622,2.2598794,20.236573999999997,1.9865822,-0.16,18.113217746743995,15.740319,17.544266,26.24023675918579,16.64622,1.1949252000000001,0.11,14.887920000000001,16.367575,16,16.196344,0.0004010519,-0.016,,320,6.049291,3.1605031,19.707226000000002,,19.118803,0.99999404
16,16.261045000000003,16.64622,2.3230395,20.154093,2.1674637999999997,-0.163,18.350956824452766,17.347881,17.483665,27.231837034225464,16.64622,1.1901559,0.11,14.872860000000001,16.596892999999998,17,16.219905999999998,0.00017152981,-0.016,,340,6.1481900000000005,3.2908301,19.645708,,20.232649,0.99999404
