,IWLastEpisode,Bound,LQGmu01,LQGmu1,LQGsigma,DenMISELogFirst,DenMISELogLast,IWMin,ReturnLastEpisode,URet,IWNorm2,DenMISEMeanLog,target_sum_log_mean,ReturnMax,ReturnMean,IWFirstEpisode,IWMax,TimeElapsed,TimestepsSoFar,IWNorm1,Iteration,ReturnMin,IWMean,ReturnAbsMax,SqrtESSClassic,MISE,ReturnStepMax
0,,1.5886673,0.587,1.0,0.11,13.511501,13.511501,,15.807039999999999,17.497854397219367,1e-10,13.511501,-1081.2155,15.807039999999999,15.807039999999999,,,0.4409043788909912,20,1e-10,1,,,15.807039999999999,1.0,,0.99233466
1,1.7086695e-19,1.1233575,0.587,1.0,0.11,12.818355,-9.903487,,8.608342,9.444017119258,1.4142136e-10,1.4574337,-567.1662,15.807039999999999,12.207691,,1.7086695e-19,13.687505722045898,40,2e-10,2,,8.5433475e-20,15.807039999999999,1.4142135,7.3544059999999995e-19,0.99233466
2,1.5,5.8483944,0.587,1.0,0.11,12.4128895,13.889163,,8.519454,9.357533310929476,1.5,5.331033000000001,-373.34592000000004,15.807039999999999,10.978278999999999,,1.5,13.99328351020813,60,1.5,3,,0.5,15.807039999999999,1.0,4.259727,0.99233466
3,1.333334,6.801234200000001,0.587,1.0,0.11,12.125207000000001,15.842417999999999,,8.514177,9.349345311296524,1.885618,7.844484,-275.9769,15.807039999999999,10.362252999999999,,1.333334,14.295864582061768,80,2.6666665000000003,4,,0.6666666,15.807039999999999,1.4142135,5.677877,0.99233466
4,1.25,7.298050999999999,0.587,1.0,0.11,11.902063,9.997811,,8.4897,9.320908297065099,2.1650636000000003,8.211707,-218.73734,15.807039999999999,9.987743,,1.25,14.43069553375244,100,3.75,5,,0.75,15.807039999999999,1.7320508000000001,6.380833,0.99233466
5,1.2,7.602832,0.587,1.0,0.11,11.719742,18.250675,,8.519156,9.360986810277963,2.4,9.844505999999999,-179.20893999999998,15.807039999999999,9.742977999999999,,1.2,14.619223833084106,120,4.8,6,,0.8,15.807039999999999,2.0,6.8084983999999995,0.99233466
6,1.166667,7.8023050000000005,0.587,1.0,0.11,11.565591,12.730482,,8.508499,9.342529711258434,2.6087463,10.228843,-151.767,15.807039999999999,9.566625,,1.166667,14.83998441696167,140,5.833334,7,,0.83333343,15.807039999999999,2.236068,7.091831699999999,0.99233466
7,1.1428573,7.946799,0.587,1.0,0.11,11.43206,14.974279999999998,,8.5366,9.374537785161252,2.7994173,10.801525999999999,-130.90764,15.807039999999999,9.437872,,1.1428573,15.09787130355835,160,6.857144,8,,0.857143,15.807039999999999,2.4494898,7.2982283,0.99233466
8,1.1249995000000002,8.050647,0.587,1.0,0.11,11.314277,12.651157000000001,,8.513926,9.347410026813852,2.9764692999999998,10.991367,-114.94358999999999,15.807039999999999,9.33521,,1.1250006000000001,15.288638353347778,180,7.8749975999999995,9,,0.87499976,15.807039999999999,2.6457512000000003,7.4501867,0.99233466
9,1.1111106000000002,8.140854,0.587,1.0,0.11,11.208917,14.138475,,8.611085000000001,9.457765322130069,3.1426957000000004,11.293700999999999,-102.02486,15.807039999999999,9.262797,,1.1111116,15.464912176132202,200,8.888885499999999,10,,0.88888854,15.807039999999999,2.828427,7.579175,0.99233466
