,LQGsigma,IWMean,Iteration,ReturnAbsMax,IWLastEpisode,TimeElapsed,ReturnStepMax,ReturnLastEpisode,target_sum_log_mean,DenMISELogLast,IWMin,IWFirstEpisode,SqrtESSClassic,ReturnMax,DenMISEMeanLog,IWNorm2,ReturnMean,URet,TimestepsSoFar,MISE,DenMISELogFirst,IWMax,LQGmu1,LQGmu01,IWNorm1,Bound,ReturnMin
0,0.11,1.0627427,1,15.807039999999999,1.0627427,0.2058851718902588,0.99233466,15.807039999999999,13.572354,13.511501,,1.0627427,1.0,15.807039999999999,13.511501,1.0627427,15.807039999999999,17.497854397219367,20,16.798817,13.511501,1.0627427,-0.098,-0.01,1.0627427,64.21994000000001,
1,0.11,1.1348943,2,15.807039999999999,1.2191716000000001,9.08161735534668,0.99233466,15.499260000000001,16.780722,19.771503,,1.0506169,1.4103303,15.807039999999999,16.656948,1.6094021,15.653151000000001,17.16876062923554,40,17.751701,13.542391,1.2191716000000001,-0.098,-0.01,2.2697884999999998,51.375824,
2,0.11,1.1216198,3,15.807039999999999,1.0315329,9.405395030975342,0.99233466,15.347377999999999,15.996315,14.2572,,1.0578566999999999,1.7238823,15.807039999999999,15.886111999999999,1.9519080000000002,15.551226999999999,16.998092264474444,60,17.440582,13.559122,1.27547,-0.097,-0.01,3.3648596,44.94891,
3,0.11,1.1170391000000002,4,15.851032,0.9806171,9.958560705184935,0.99233466,15.851032,16.075573000000002,16.149649,,1.0701048,1.9801307000000001,15.851032,15.9742,2.2564957000000003,15.626178,17.555552988961338,80,17.442703,13.5734825,1.3862615,-0.096,-0.01,4.4681562999999995,41.457832,
4,0.11,1.144997,5,15.851032,1.1649804,10.368814706802366,0.99233466,15.281548999999998,14.933653,10.065686999999999,,1.07653,2.206356,15.851032,14.810630999999999,2.5947695,15.557251,16.903943112532726,100,17.798752,13.587406,1.4977973,-0.095,-0.01,5.724985,39.35153,
5,0.11,1.2035912,6,15.851032,1.4613717,10.714462280273438,0.99326193,14.671320000000001,15.567696,18.22885,,1.0741231000000002,2.4062996,15.851032,15.399849,3.0011005,15.409595999999999,16.300683752284385,120,18.495480999999998,13.600080499999999,1.5589903999999999,-0.094,-0.009,7.221547,38.2574,
6,0.11,1.1916733,7,15.851032,0.98809516,11.201098442077637,0.99326193,15.593691,15.210973000000001,12.849658,,1.0683643,2.5795279,15.851032,15.059679000000001,3.2338138,15.435896,17.262414143627414,140,18.33663,13.610614000000002,1.6658348000000003,-0.093,-0.009,8.341713,36.771440000000005,
7,0.11,1.160336,8,15.851032,0.8043866999999999,11.714937448501587,0.99326193,15.689693,15.207101000000002,15.223293,,1.0512412,2.7039492000000003,15.851032,15.100376,3.4330112999999995,15.467620000000002,17.37046872279834,160,17.872677,13.619123000000002,1.8397552,-0.091,-0.009,9.282688,35.459213,
8,0.11,1.1263237,9,15.851032,0.8801427,12.291072368621824,0.99326193,15.516623000000001,14.890770999999999,12.643065,,1.0026222,2.7735896,15.851032,14.842381,3.6547992,15.473064,17.163440106024208,180,17.339949,13.624801000000001,2.112567,-0.088,-0.009,10.136913,34.484913,
9,0.11,0.9733179,10,15.851032,0.15313224,12.766884565353394,0.9982615,15.690634,14.653935999999998,15.369694,,0.8895745,2.6320443,15.851032,14.905497,3.6979542000000003,15.494822000000001,17.39752804637037,200,14.965929999999998,13.625063,2.4419281,-0.085,-0.009,9.733179,33.03291,
10,0.11,0.74727786,11,15.851032,0.5516766,13.311265707015991,0.9982615,15.573845,14.705627,20.990889000000003,,0.5969371,2.3230577,15.851032,15.454984,3.5384643,15.502006,17.259153030342578,220,11.474572,13.614973,2.7787926,-0.079,-0.008,8.220057,31.944618,
11,0.11,0.58417815,12,15.851032,0.00027917227,13.88181757926941,0.9982615,14.874770999999999,11.316979,15.020995999999998,,0.02865787,1.062101,15.851032,15.397511499999998,6.600255000000001,15.449736999999999,16.483957972567943,240,9.165865,13.580808,6.597426400000001,-0.129,-0.013,7.010137599999999,53.938538,
