,DenMISELogFirst,IWNorm1,IWLastEpisode,ReturnStepMax,TimeElapsed,ReturnLastEpisode,IWMean,DenMISELogLast,IWMax,TimestepsSoFar,IWNorm2,MISE,URet,IWMin,Bound,LQGsigma,SqrtESSClassic,DenMISEMeanLog,ReturnMax,IWFirstEpisode,ReturnMean,Iteration,target_sum_log_mean,ReturnMin,LQGmu01,LQGmu1,ReturnAbsMax
0,17.102016,0.99336547,0.99336547,0.99262077,0.2096562385559082,15.644507999999998,0.99336547,17.102016,0.99336547,20,0.99336547,15.540714000000001,17.332240856619553,,62.47424,0.11,1.0,17.102016,15.644507999999998,0.99336547,15.644507999999998,1,17.09536,,-0.01,-0.098,15.644507999999998
1,17.098694000000002,1.9902987,0.98574126,0.9970642,5.152369737625122,15.391531,0.9951494000000001,10.424294999999999,1.0045575,40,1.4074167,15.443937,17.064454941188142,,48.63243,0.11,1.4141503999999998,13.761495000000002,15.644507999999998,1.0045575,15.518020000000002,2,13.756588,,-0.01,-0.099,15.644507999999998
2,17.100212,3.8884065000000003,2.563205,0.9970642,5.5333991050720215,15.896431,1.2961354999999999,10.5539,2.563205,60,2.7343577999999997,20.446856,17.604950384442393,,53.982338,0.11,1.4220548000000002,12.691215,15.896431,0.78221285,15.644157,3,12.719536,,-0.011,-0.109,15.896431
3,17.044226000000002,6.0334373,2.4674916000000002,0.99740416,5.8150506019592285,15.750853,1.5083593000000002,16.200870000000002,3.0953999,80,3.974383,23.848688,17.44781527365483,,55.262875,0.11,1.5180813999999998,13.606770499999998,15.896431,0.3218745,15.670831,4,13.355147,,-0.012,-0.12,15.896431
4,16.898478,4.863857299999999,1.1282141,0.99942493,6.386653184890747,15.794926,0.97277147,19.534204000000003,2.0996141,100,2.8245826000000003,15.388954,17.500519156388258,,43.083504,0.11,1.7219738000000002,14.84725,15.896431,0.09460349400000001,15.69565,5,13.923226999999999,,-0.013,-0.129,15.896431
5,16.7349,2.8886586e-07,2.8689738000000003e-07,0.9997046999999999,6.683551788330077,16.138628,4.8044317e-08,16.652437,2.8689738000000003e-07,120,2.87001e-07,7.753133699999999e-07,17.861954192220015,,48.103320000000004,0.11,1.0064977,15.136657999999999,16.138628,9.720277e-18,15.769480999999999,6,-13.149231,,-0.023,-0.228,16.138628
6,16.58075,6.376030999999999,6.3760242,0.9997046999999999,6.8991432189941415,16.33145,0.91086155,7.100917,6.3760242,140,6.3760242,14.875689499999998,18.07499477928013,,63.869987,0.11,1.0000011,13.856567000000002,16.33145,2.1488866000000003e-15,15.849762,7,-6.3650293,,-0.022,-0.218,16.33145
7,16.447218,8.052541999999999,1.2875999,0.99978995,7.397347927093506,16.898874,1.0065677,14.045092000000002,6.7649064,160,6.886353999999999,16.530037,18.667757692696078,,59.884655,0.11,1.1693476,13.844235000000001,16.898874,3.5746837e-14,15.9809,8,-2.1010572999999995,,-0.022,-0.213,16.898874
8,16.329435,9.352547999999999,1.6476021,0.9999909,7.79022741317749,16.830498000000002,1.0391719000000001,19.714333,7.0660005,180,7.28361,17.102812,18.59737974390764,,56.584503000000005,0.11,1.2840539,14.476445000000002,16.898874,6.265935000000001e-13,16.0753,9,1.822488,,-0.021,-0.207,16.898874
9,16.224075,10.258495,1.5652188999999999,0.9999909,8.200112581253054,16.708927,1.0258496,8.8671665,7.3949003,200,7.63138,16.879382999999997,18.461751632087463,,54.593019999999996,0.11,1.3442516000000002,13.902313000000001,16.898874,1.3741389999999999e-11,16.138662,10,3.9130998,,-0.02,-0.201,16.898874
