,ReturnLastEpisode,IWMin,ReturnStepMax,MISE,SqrtESSClassic,ReturnMean,ReturnMax,IWLastEpisode,DenMISELogLast,LQGmu1,TimeElapsed,URet,IWNorm1,DenMISEMeanLog,IWFirstEpisode,IWNorm2,LQGmu01,Iteration,IWMax,TimestepsSoFar,Bound,ReturnMin,DenMISELogFirst,LQGsigma,IWMean,target_sum_log_mean,ReturnAbsMax
0,15.807039999999999,,0.99233466,18.183247,1.0,15.807039999999999,15.807039999999999,1.1503258,13.511501,-0.09,0.7814290523529053,17.497854397219367,1.1503258,13.511501,1.1503258,1.1503258,-0.009,1,1.1503258,20,49.797325,,13.511501,0.11,1.1503258,13.6515465,15.807039999999999
1,15.324542000000001,,0.99233466,29.901669000000002,1.2622843000000001,15.565791,15.807039999999999,2.91425,19.406029999999998,-0.086,20.068901777267453,16.976274135923074,3.8722907999999996,16.495003,0.9580409,3.0676854,-0.009,2,2.91425,40,54.946804,,13.583974,0.11,1.9361453999999998,17.008377,15.807039999999999
2,15.0324,,0.99233466,27.318647,1.4140655,15.387994,15.807039999999999,1.1973181999999998,13.886934,-0.078,20.869175910949707,16.651802533807928,5.351399400000001,15.785459,0.6175934000000001,3.7844071,-0.008,3,3.5364876000000005,60,49.67552,,13.569888,0.11,1.7837998,16.10589,15.807039999999999
3,15.494373000000001,,0.99233466,18.594723000000002,1.5144358,15.414589000000001,15.807039999999999,0.99787176,15.922077999999999,-0.07,21.75533509254456,17.166203044510073,4.8453355,15.929307000000001,0.27666065,3.1994328,-0.007,4,2.9662411,80,39.469879999999996,,13.469403,0.11,1.2113339,15.753546,15.807039999999999
4,14.474294,,0.99233466,20.654068,1.557701,15.226529999999999,15.807039999999999,3.9456358,8.628242,-0.064,22.72777390480041,16.004908299161308,6.9526615000000005,14.487604999999999,0.13316178,4.4634123,-0.006,5,3.9456358,100,40.949413,,13.313138,0.11,1.3905323,14.152965,15.807039999999999
5,13.657106,,0.99233466,22.604548,1.7409965,14.964959,15.807039999999999,4.4767766,17.501389,-0.062,24.19925045967102,15.185405418357568,9.479139,15.023379,0.10382138,5.444662999999999,-0.006,6,4.4767766,120,40.76316,,13.1571,0.11,1.5798565,14.768826500000001,15.807039999999999
6,14.650174,,0.99233466,11.3689165,1.7036041000000002,14.919989999999999,15.807039999999999,1.3268052,11.963376,-0.05,25.34442639350891,16.221619967373755,5.6094465,14.637526000000001,0.008320913000000001,3.2926936,-0.005,7,2.8427696,140,29.926090000000002,,13.020104,0.11,0.8013494999999999,13.061602,15.807039999999999
7,14.41964,,0.99233466,19.405834,2.638563,14.857447,15.807039999999999,1.3896475000000001,14.148942000000002,-0.068,26.85170674324036,15.966495814201592,10.529192,14.548438,0.38484704,3.9905023999999996,-0.007,8,1.9393642,160,31.387386,,12.887761,0.11,1.316149,14.716802,15.807039999999999
8,14.719695999999999,,0.99233466,13.512056,2.1857138,14.842141,15.807039999999999,0.59033436,13.796376,-0.052,28.09881401062012,16.285199657648672,8.4807205,14.494214999999999,0.015648935,3.8800692999999997,-0.005,9,2.4907463,180,27.976019,,12.816963000000001,0.11,0.9423023000000001,13.5164995,15.807039999999999
9,14.832516,,0.99233466,16.729399,2.5289468999999998,14.841179,15.807039999999999,0.14833412,17.129223,-0.058,29.080358505249023,16.463948708108973,11.545891000000001,14.749046,0.07645627,4.565493599999999,-0.006,10,2.410778,200,29.230286,,12.713339999999999,0.11,1.1545889999999999,14.353956,15.807039999999999
10,14.757568,,0.99233466,16.760246,2.6275027,14.833578,15.807039999999999,0.54281396,20.570724,-0.08,30.262553691864014,16.368576442325068,12.184126,15.288227,1.8378052,4.637151,-0.008,11,2.383187,220,28.792233000000003,,12.625646000000001,0.11,1.1076478,14.937892999999999,15.807039999999999
11,14.779518,,0.99233466,3.426667e-12,3.464067,14.829072,15.807039999999999,1.2801548e-18,16.27364,0.016,31.69558334350586,16.38492840853714,1.2027952e-09,15.376285000000001,1.2858628999999999e-16,3.4722053e-10,0.002,12,1.5320501e-12,240,9.12629,,12.693133,0.11,2.3293574e-13,-18.571188,15.807039999999999
12,10.321455,,0.99233466,8.231137,1.0,14.482332000000001,15.807039999999999,10.367219,11.593813,0.019,33.06204128265381,11.295265086547413,10.367219,15.011439000000001,2.5792957e-17,10.367219,0.002,13,10.367219,260,39.84522,,12.613091,0.11,0.7974784,-17.850126,15.807039999999999
13,9.172842999999999,,0.99233466,17.415415,1.1736028,14.103083999999999,15.807039999999999,21.779078,14.095163000000001,0.021,34.33786535263061,10.072636642540902,26.045893,14.919061,4.5649355999999995e-18,22.193106,0.002,14,21.779078,280,44.353046,,12.538983,0.11,1.8604209999999999,-17.153856,15.807039999999999
14,10.023981,,0.99233466,17.177309,1.2970593000000001,13.831144,15.807039999999999,5.3438873,4.4999585,0.024,35.866402626037605,10.970041781924778,27.382607,14.240351,3.9942168000000006e-19,21.1113,0.002,15,20.354166,300,41.550964,,12.46999,0.11,1.825507,-17.911587,15.807039999999999
15,9.248483,,0.99233466,13.108463,1.2012902,13.544726999999998,15.807039999999999,1.9789598999999998,14.733304,0.031,37.54312539100647,10.154678012010015,22.655228,14.289938000000001,3.4366394e-21,18.85908,0.003,16,18.667526000000002,320,39.425232,,12.405452,0.11,1.4159517,-20.18509,15.807039999999999
