,LQGmu1,IWMin,LQGmu01,Bound,MISE,DenMISELogLast,SqrtESSClassic,LQGsigma,ReturnAbsMax,DenMISEMeanLog,IWLastEpisode,IWFirstEpisode,ReturnMax,ReturnStepMax,DenMISELogFirst,target_sum_log_mean,URet,Iteration,TimeElapsed,ReturnMean,IWNorm2,IWMean,ReturnLastEpisode,TimestepsSoFar,ReturnMin,IWMax,IWNorm1
0,-0.103,,-0.01,46.23372,14.944703,17.102016,1.0,0.11,15.644507999999998,17.102016,0.9552683000000001,0.9552683000000001,15.644507999999998,0.99262077,17.102016,17.056252999999998,17.332240856619553,1,0.18062520027160645,15.644507999999998,0.9552683000000001,0.9552683000000001,15.644507999999998,20,,0.9552683000000001,0.9552683000000001
1,-0.079,,-0.008,26.90568,4.760025,10.657567,1.4128739,0.11,15.644507999999998,13.868483,0.31918909999999995,0.29254314,15.644507999999998,0.9980244,17.079397,12.682924,17.16873953732278,2,6.436561107635497,15.565871,0.43297017,0.30586612,15.487233999999999,40,,0.31918909999999995,0.61173224
2,-0.084,,-0.008,27.127846,8.359311,12.822189,1.6670996999999999,0.11,15.644507999999998,13.344269,0.32441694,0.6204465,15.644507999999998,0.9980244,16.810446,12.67419,17.291212017077687,3,6.93346381187439,15.580878,0.9659734000000001,0.5367913000000001,15.610891,60,,0.66551054,1.610374
3,-0.087,,-0.009,29.988609999999998,13.908120000000002,16.71977,1.9457753,0.11,15.644507999999998,14.095139000000001,1.1782048,0.89766884,15.644507999999998,0.9980244,16.710749,13.957815,16.877992608240426,4,7.480753898620605,15.492429999999999,1.8492421,0.8995523999999999,15.227082999999999,80,,1.1782048,3.5982095999999997
4,-0.091,,-0.009,32.712875,18.640919,19.844832999999998,2.2235017000000004,0.11,15.644507999999998,15.228073,1.3022646999999998,1.1990643,15.644507999999998,0.9980244,16.690071,15.412537,16.790358727656802,5,8.055668115615845,15.422061,2.7208986,1.2099845,15.140585,100,,1.3433391000000001,6.049923000000001
5,-0.091,,-0.009,31.014225,18.195303,17.3917,2.440846,0.11,15.644507999999998,15.617161,1.2497604,1.1585653,15.644507999999998,0.9980244,16.72271,15.778488000000001,17.1714466251363,6,8.321622610092161,15.435298000000001,2.8996296000000004,1.1795915000000001,15.501485999999998,120,,1.2695551,7.077549
6,-0.092,,-0.009,28.7308,16.514393,14.74332,2.5612288,0.11,15.644507999999998,15.513957000000001,0.40585703,1.1885287,15.644507999999998,0.9980244,16.74511,15.529457999999998,16.08541654593459,7,8.815124750137327,15.302629000000001,2.9342961,1.0736291,14.506619,140,,1.2493671999999998,7.515403699999999
7,-0.097,,-0.01,30.130779999999998,18.084106,15.822265,2.6283557,0.11,15.831469,15.559969,1.651313,1.380749,15.831469,0.9980244,16.768402,15.503403,17.52543349218929,8,9.432338476181028,15.368734,3.547082,1.1653742,15.831469,160,,1.651313,9.322992999999999
8,-0.102,,-0.01,32.444396999999995,20.33791,20.021992,2.6153693,0.11,15.831469,16.070744,2.1069896,1.3223411,15.831469,0.9980244,16.809836999999998,15.956719,17.48874087680749,9,10.024539709091188,15.416131,4.482499,1.302599,15.795307999999999,180,,2.6094284,11.723391000000001
9,-0.106,,-0.011,33.834183,21.259382000000002,8.726367,2.5179672,0.11,15.831469,15.360864999999999,1.7842898,1.1167963,15.831469,0.9980244,16.841562,15.055921,17.146461401539227,10,10.639996528625488,15.424435999999998,5.397349,1.3590348,15.499176,200,,3.6930327000000003,13.590347
10,-0.122,,-0.012,33.7893,15.209991,15.84339,1.7115002000000001,0.11,15.899242000000001,15.430335000000001,0.84095204,0.27571797,15.899242000000001,0.9980244,16.852123000000002,13.509195000000002,17.607814898222156,11,11.180930376052856,15.4676,6.198268,0.9643941999999999,15.899242000000001,220,,5.7479987,10.608336
11,-0.138,,-0.014,25.412025,6.1583276,12.943942,1.6515521,0.11,15.899242000000001,15.213524,1.8994373,0.018569538,15.899242000000001,0.99978334,16.78987,10.649049,17.25002697783635,12,11.76109504699707,15.474865,2.8486922000000003,0.39206362,15.554779000000002,240,,2.0757763,4.704763400000001
12,-0.141,,-0.014,44.25139,18.42792,10.780289999999999,1.271187,0.11,16.413227,14.826819,11.415585,0.010623058999999999,16.413227,0.9997905999999999,16.711372,10.222538,18.15750429813525,13,12.259429693222046,15.547047000000001,11.594286,1.1337311,16.413227,260,,11.415585,14.738504
13,-0.145,,-0.015,36.495358,11.885772,15.61421,1.3338888999999998,0.11,16.413227,14.876714000000002,0.5744127,0.004786485,16.413227,0.9997905999999999,16.63808,9.786525,17.56261263909366,14,13.013203144073485,15.569104999999999,7.6836142999999995,0.73207766,15.85585,280,,7.5473704,10.249087
14,-0.157,,-0.016,33.879898,9.183025,11.792273,1.3291743999999999,0.11,16.413227,14.647964000000002,1.9744319,0.00017795569,16.413227,0.9997905999999999,16.569430999999998,7.001386599999999,17.939994258566646,15,13.57608127593994,15.611699,6.3459234,0.5623226,16.208029,300,,6.026074400000001,8.434839
15,-0.372,,-0.039,8.206614,1.0163465e-20,11.84522,4.0,0.11,16.413227,14.4429245,5.0964274e-23,,16.413227,0.9997905999999999,16.504904,-103.394485,18.10453394924688,16,14.236944675445555,15.659381,4e-10,6.1923153e-22,16.374605,320,,9.856739e-21,1.6e-09
16,-0.369,,-0.039,53.485209999999995,19.84171,5.8117849999999995,1.0,0.11,16.82175,13.878151999999998,20.051958,,16.82175,0.99997556,16.444279,-94.87377,18.58912395136536,17,14.601746797561646,15.727754999999998,20.051958,1.1795269,16.82175,340,,20.051958,20.051958
