,LQGmu01,ReturnMin,MISE,IWNorm2,IWLastEpisode,URet,IWMin,Iteration,SqrtESSClassic,target_sum_log_mean,ReturnLastEpisode,Bound,IWMean,DenMISEMeanLog,ReturnAbsMax,IWMax,ReturnMean,DenMISELogFirst,LQGsigma,LQGmu1,ReturnStepMax,ReturnMax,DenMISELogLast,TimestepsSoFar,IWFirstEpisode,TimeElapsed,IWNorm1
0,-0.01,,17.032495,1.1310928,1.1310928,16.687925283112616,,1,1.0,18.725365,15.058442000000001,18.545925,1.1310928,18.60218,15.058442000000001,1.1310928,15.058442000000001,18.60218,0.11,-0.103,0.9625284,15.058442000000001,18.60218,20,1.1310928,0.2360215187072754,1.1310928
1,-0.011,,18.128693,1.6599807,1.1668061,17.534228213023294,,2,1.4141888999999999,20.116241,15.836035,19.25413,1.173763,19.956045,15.836035,1.1807199,15.447239000000001,18.665668,0.11,-0.108,0.99600995,15.836035,21.246422,40,1.1807199,9.016842603683473,2.347526
2,-0.011,,13.602473000000002,1.5753385,0.52280724,17.65274569661473,,3,1.6657476000000002,20.314964,15.941574,14.564317,0.8747055,20.498295000000002,15.941574,1.0681717,15.612017999999999,18.724163,0.11,-0.112,0.99769735,15.941574,21.47019,60,1.0331376,9.474872827529909,2.6241164
3,-0.01,,14.528235999999998,1.9179328999999998,0.61004263,18.0118222748823,,4,1.921909,19.82489,16.27559,15.379348,0.9215230999999999,19.946455,16.27559,1.3439413,15.77791,18.732414000000002,0.11,-0.1,0.9999735000000001,16.27559,18.39282,80,0.8617958,9.853514194488524,3.6860923999999997
4,-0.009,,9.591986,1.6384451,0.7836786,17.06201306235146,,5,1.8623573,18.02153,15.409723999999999,10.470312,0.610274,18.73232,16.27559,1.3233402,15.704272,18.704384,0.11,-0.09,0.9999735000000001,16.27559,13.944776000000001,100,0.33008152,10.316251039505003,3.0513701
5,-0.009,,10.869442999999999,1.8949856,0.36943132,17.239099526659324,,6,2.1947746,18.071396,15.563101000000001,11.614739,0.6931776999999999,18.554645999999998,16.27559,1.3076383999999999,15.680745000000002,18.58599,0.11,-0.093,0.9999735000000001,16.27559,18.014685,120,0.54304177,10.975019931793213,4.159066
6,-0.01,,14.298239,2.5254214,1.2647575,17.065018293510658,,7,2.5384517000000004,18.411062,15.399235000000001,14.942631,0.9158086,18.544613000000002,16.27559,1.2647575,15.640529,18.518482000000002,0.11,-0.096,0.9999735000000001,16.27559,18.76106,140,0.7989196,11.519854307174684,6.4106603
7,-0.01,,16.828226,3.0630932,1.1339365,16.946335935716398,,8,2.8214099999999998,18.023951999999998,15.283114999999999,17.407992999999998,1.0802802,17.949360000000002,16.27559,1.1635103,15.595851999999999,18.493026999999998,0.11,-0.1,0.9999735000000001,16.27559,13.8607,160,1.1226652,12.332505702972412,8.642241499999999
8,0.001,,2.2984497999999998e-14,3.0000433e-10,4.767721699999999e-19,16.999222668760165,,9,3.0,-25.923134,15.33709,0.5452528,1.4418051e-15,18.172625,16.27559,1.2971709999999999e-14,15.567101500000001,18.506563,0.11,0.011,0.9999735000000001,16.27559,19.887978,180,9.884011999999999e-26,12.969017267227173,9.0001295e-10
9,0.001,,14.919322,11.556965,11.556965,14.215718340956135,,10,1.0,-22.874779999999998,12.909378,16.55508,1.1556965,16.056479,16.27559,11.556965,15.301328,18.401203,0.11,0.01,0.9999735000000001,16.27559,-2.0405786,200,1.961386e-25,13.347270727157593,11.556965
10,0.001,,13.585958999999999,9.390759,5.448509,10.22922944380151,,11,1.3946738,-18.506014,9.306712,14.758821,1.1906406,15.982132,16.27559,7.648536999999999,14.756363,18.305892999999998,0.11,0.009,0.9999735000000001,16.27559,15.423648000000002,220,6.4158960000000005e-25,13.855301856994627,13.097046
11,0.001,,13.770351999999999,8.890558,4.0334067000000005,11.032289715018814,,12,1.6569033,-14.463122,10.019363,14.757589999999999,1.2275662,16.049503,16.27559,7.0155168,14.361613,18.218882,0.11,0.007,0.9999735000000001,16.27559,16.817501,240,3.5007812999999994e-24,14.405190467834473,14.730795
12,0.001,,15.387410999999998,9.596036,6.151894599999999,11.625962166056006,,13,1.8853234,-11.804079,10.529928,16.25504,1.3916639,15.565721,16.27559,6.151894599999999,14.066869,18.13884,0.11,0.006,0.9999735000000001,16.27559,9.703116,260,1.2454173999999999e-23,14.844270706176758,18.09163
13,0.0,,16.114786,9.872409,5.0165358,11.19547709106143,,14,2.0967192999999997,-9.070521000000001,10.169008,16.894938,1.4785479,15.606416000000001,16.27559,5.5832157,13.78845,18.064732,0.11,0.005,0.9999735000000001,16.27559,15.921413000000001,280,4.5574596e-23,15.497812509536743,20.69967
14,0.0,,15.796926500000001,9.918136,2.6364136,10.393333890559905,,15,2.2056649,-6.332232,9.47265,16.538544,1.4584056,15.738033999999999,16.27559,5.783886,13.5007305,17.995739,0.11,0.003,0.9999735000000001,16.27559,17.269636,300,3.264609e-22,15.905017614364624,21.876082999999998
15,-0.0,,14.562626999999999,9.955177,1.8873861,10.704865667213024,,16,2.1256738,-3.4169910000000003,9.727285,15.332151000000001,1.3225912,15.743129000000001,16.27559,6.698428,13.26489,17.9312,0.11,-0.001,0.9999735000000001,16.27559,15.509115,320,1.2440611999999999e-20,16.144264936447144,21.161459
16,0.001,,8.927788,5.5376954000000005,0.8881046999999999,12.514122068490375,,17,2.6959193,-5.9000926,11.3134365,9.534541,0.87818706,15.772813000000001,16.27559,2.6394374,13.150098000000002,17.870575,0.11,0.008,0.9999735000000001,16.27559,16.05363,340,2.3633677000000006e-24,16.382977962493893,14.929179999999999
17,0.001,,11.31049,6.5586839999999995,2.1216931,11.191232663051634,,18,2.9903904999999997,-3.4574290000000003,10.170672999999999,11.857494,1.0896125,15.866588,16.27559,2.3837714,12.984575,17.813417,0.11,0.006,0.9999735000000001,16.27559,17.603157,360,2.9476285999999995e-23,16.82971978187561,19.613026
18,0.0,,13.162273,7.863713000000001,3.0114875,10.496709997822693,,19,3.034665,-1.3796283999999999,9.54248,13.701298000000001,1.2559861,15.943028,16.27559,3.2698118999999997,12.803412,17.75935,0.11,0.003,0.9999735000000001,16.27559,17.264001999999998,380,3.3539942e-22,17.796701431274414,23.863735000000002
19,-0.0,,14.643598,10.149341,2.011313,13.076873230485345,,20,2.636648,1.0129280999999999,11.8482,15.26399,1.338012,15.961405,16.27559,6.644537,12.755651,17.708054999999998,0.11,-0.002,0.9999735000000001,16.27559,16.107359,400,3.0897412e-20,18.609452962875366,26.760239000000002
20,-0.001,,14.76634,12.690657,8.680287,11.923541719621172,,21,2.1940017000000003,2.9449866,10.810412,15.5119,1.3258725,15.934953,16.27559,8.680287,12.66302,17.659266,0.11,-0.007,0.9999735000000001,16.27559,15.155218,420,3.807256e-18,19.56518292427063,27.843322999999998
21,0.001,,3.6406133,3.108257,0.5948333,10.788028706717462,,22,2.5845237,-3.7602432,9.815216,4.273518599999999,0.36515293,15.88403,16.27559,1.9400616000000002,12.533575,17.612745,0.11,0.015,0.9999735000000001,16.27559,14.615262,440,4.4195077e-27,20.417893171310425,8.033364
22,0.001,,8.044775,5.9946456,3.3638787000000003,10.32562016501478,,23,3.0958883999999998,-1.3934399,9.402849,8.573139999999999,0.80690235,15.414182,16.27559,3.3638787000000003,12.397457000000001,17.568295000000003,0.11,0.01,0.9999735000000001,16.27559,5.6998215,460,3.3703545e-25,21.13133454322815,18.558754
23,0.001,,10.304753,6.540639,2.071319,11.257744663229523,,24,3.7081913999999996,0.64744234,10.226962,10.745873,1.0105809000000001,15.474779999999999,16.27559,2.076406,12.307019,17.525734,0.11,0.007,0.9999735000000001,16.27559,17.072342000000003,480,9.833326e-24,22.024340867996216,24.25394
24,0.0,,12.30481,7.729272,1.7381381,10.448227030531804,,25,3.8168604,2.644568,9.520553999999999,12.733371,1.1800620000000002,15.576023000000001,16.27559,2.5927095000000002,12.195561,17.484913,0.11,0.003,0.9999735000000001,16.27559,18.010328,500,6.8253467e-22,22.824474573135376,29.501553
25,-0.002,,4.23926,5.3181595999999995,0.026236542,11.585918440381302,,26,1.8268633,4.6654615,10.502531,5.134652,0.37367502,15.607591000000001,16.27559,3.7441913999999996,12.130444,17.445692,0.11,-0.016,0.9999735000000001,16.27559,16.2425,520,4.301818e-15,23.58112072944641,9.71555
26,-0.001,,9.728303,11.48125,9.188009,13.347548579029,,27,1.971812,5.376939,12.05819,10.557874,0.83847654,15.669838,16.27559,9.188009,12.1277685,17.407951,0.11,-0.013,0.9999735000000001,16.27559,17.915146,540,6.134954e-16,24.45301485061645,22.638866
27,0.001,,8.054267999999999,6.5029106,0.0070916363,13.178788305490981,,28,3.476672,1.5016794,11.92864,8.524763,0.80744594,15.594257999999998,16.27559,3.4821873,12.120656,17.371584,0.11,0.011,0.9999735000000001,16.27559,13.77399,560,3.1352187e-25,25.355446577072144,22.608486
28,0.001,,10.317708,7.2497869999999995,2.0492034,10.254258259568749,,29,4.085227,3.27179,9.331251,10.718116,1.0212767,15.643533999999999,16.27559,2.0510802,12.024469,17.336493,0.11,0.007,0.9999735000000001,16.27559,17.223963,580,1.0270937e-23,26.43818283081055,29.617023
29,0.0,,12.23789,8.242594,2.2612267000000004,11.76323113221197,,30,4.249526,4.864616000000001,10.634474,12.622817999999999,1.1675705,15.473742999999999,16.27559,2.6903255,11.978137,17.302591,0.11,0.002,0.9999735000000001,16.27559,10.541671000000001,600,1.4047666e-21,27.45704698562622,35.027115
30,0.018,,,5.5677646e-10,,12.0803620884445,,31,5.5677642999999994,-243.12149,10.935586,0.29379088,,15.281575,16.27559,,11.944507000000002,17.269802,0.11,0.176,0.9999735000000001,16.27559,9.368701,620,,28.445953845977783,3.1e-09
31,0.018,,10.860125,39.06167,39.06167,9.770611242721252,,32,1.0,-232.5699,8.896804,12.495883000000001,1.2206771,14.541851999999999,16.27559,39.06167,11.849266,17.238052,0.11,0.174,0.9999735000000001,16.27559,-7.4053473,640,,29.3402099609375,39.06167
32,0.017,,10.94404,32.980026,8.838188,9.751397949619633,,33,1.2314088,-213.51175,8.87839,12.272404,1.2306635000000001,14.540334,16.27559,31.773708000000003,11.759238,17.207281,0.11,0.169,0.9999735000000001,16.27559,14.678651,660,,30.040066719055176,40.611897
33,0.019,,6.081777,16.142534,7.565840700000001,9.762633234363443,,34,1.4421235000000001,-237.46712999999997,8.887299,7.216048,0.68469197,14.587496,16.27559,14.176634,11.67477,17.177426999999998,0.11,0.185,0.9999735000000001,16.27559,16.2173,680,,30.90270733833313,23.279528
34,0.019,,9.271977,23.458370000000002,20.771616,9.732829468807315,,35,1.5593823999999998,-233.28612,8.862805,10.320955,1.0451591,14.603191,16.27559,20.771616,11.594428,17.148441000000002,0.11,0.186,0.9999735000000001,16.27559,15.528756,700,,31.771252632141113,36.58057
35,0.018,,9.551524,17.636677,8.832028999999999,9.75651036318173,,36,2.1953242000000004,-212.45074,8.883450999999999,10.296635,1.0755062,14.548542000000001,16.27559,9.003666,11.519123,17.12027,0.11,0.179,0.9999735000000001,16.27559,12.746153999999999,720,,32.72385311126709,38.718224
36,0.017,,10.686472,20.251179999999998,12.404043,9.789264221519607,,37,2.1950790000000002,-193.79193,8.914511,11.431664999999999,1.2014308999999999,14.486434,16.27559,12.404043,11.448729,17.09287,0.11,0.172,0.9999735000000001,16.27559,12.265811,740,,33.564937114715576,44.452940000000005
37,-0.004,,0.052996325999999996,0.15493494,,9.767527539560756,,38,1.0841931999999999,-89.35644,8.893671000000001,1.5617296,0.004420510999999999,14.494124,16.27559,0.15456158,11.38149,17.066202,0.11,-0.041,0.9999735000000001,16.27559,14.690766,760,1.0571378999999998e-07,34.58107566833496,0.16797942
38,-0.004,,6.717973700000001,20.005997,20.002834,14.303212383437176,,39,1.0191633,-84.40682,12.867249000000001,8.322975,0.5228045,13.926245000000002,16.27559,20.002834,11.419586,17.040226,0.11,-0.039,0.9999735000000001,16.27559,-6.6705426999999995,780,3.3415283e-08,35.351417779922485,20.389376000000002
39,-0.004,,13.038263,28.084429999999998,20.75536,14.293061842878704,,40,1.4452124,-78.74523,12.873814999999999,14.170110000000001,1.0146992,13.993459,16.27559,20.75536,11.455942,17.01491,0.11,-0.036,0.9999735000000001,16.27559,17.178282,800,8.259511999999999e-09,36.019366264343255,40.587967
