,LQGmu01,ReturnMin,LQGmu1,TimeElapsed,IWNorm2,IWLastEpisode,Bound,DenMISELogFirst,ReturnAbsMax,DenMISEMeanLog,Iteration,LQGsigma,ReturnMax,DenMISELogLast,URet,IWFirstEpisode,IWNorm1,ReturnMean,target_sum_log_mean,MISE,TimestepsSoFar,IWMean,IWMax,ReturnLastEpisode,SqrtESSClassic,IWMin,ReturnStepMax
0,-0.01,,-0.099,1.4057304859161377,1.0494462,1.0494462,48.20272,13.511501,15.807039999999999,13.511501,1,0.11,15.807039999999999,13.511501,17.497854397219367,1.0494462,1.0494462,15.807039999999999,13.559764000000001,16.588638,20,1.0494462,1.0494462,15.807039999999999,1.0,,0.99233466
1,-0.01,,-0.096,27.6868736743927,2.0497172,1.7166076000000001,45.00464,13.535924,15.807039999999999,16.663748000000002,2,0.11,15.807039999999999,19.79157,17.175772607953206,1.1200888999999998,2.8366966000000002,15.656339000000001,16.990627,22.161194000000002,40,1.4183483000000001,1.7166076000000001,15.505637,1.3839453000000002,,0.99233466
2,-0.009,,-0.091,29.305968046188354,2.7718275,1.0619148999999999,42.748337,13.575173000000001,15.807039999999999,15.901454000000001,3,0.11,15.807039999999999,14.123415,16.946699625444662,1.1001438000000001,4.4739947,15.537845,16.232653,23.162086,60,1.4913316,2.311936,15.300857,1.6140957,,0.99233466
3,-0.008,,-0.082,31.077995777130127,3.4672959999999997,0.7566573,41.310947,13.599901000000001,15.807039999999999,16.044413,4,0.11,15.807039999999999,16.149538,17.45057208914187,0.7940333,5.446053,15.592077,16.111572,21.183457999999998,80,1.3615133,3.2189400000000004,15.754773000000002,1.5706917,,0.99233466
4,-0.006,,-0.062,32.96982979774475,1.7304018,1.1940069,28.989620000000002,13.557835,15.807039999999999,14.643407,5,0.11,15.807039999999999,8.830982,16.50059695428852,0.065947145,2.5958886000000003,15.457517000000001,12.899405,7.915887400000001,100,0.51917773,1.2490218000000002,14.919270000000001,1.5001652,,0.99233466
5,-0.005,,-0.053,34.48320341110229,6.989817599999999,6.975498,46.388107,13.388617000000002,15.807039999999999,15.106064000000002,6,0.11,15.807039999999999,17.86342,15.062905519413805,0.011064716,7.6214786,15.139026000000001,12.535159,17.394170000000003,120,1.2702464,6.975498,13.546574,1.0903687,,0.99233466
6,-0.005,,-0.049,36.7051010131836,5.031667700000001,4.109143700000001,36.419140000000006,13.236308,15.807039999999999,14.526316,7,0.11,15.807039999999999,11.096445,15.816311598974664,0.004248834,7.309406299999999,15.017357999999998,11.728259,14.65656,140,1.0442009,4.109143700000001,14.287357,1.4526806,,0.99233466
7,-0.004,,-0.038,39.00735521316528,1.445263,0.7903690999999999,23.298235000000002,13.103384,15.807039999999999,14.461767000000002,8,0.11,15.807039999999999,14.093562,15.81938011852036,0.0001898834,2.3976402,14.925898000000002,9.6556635,4.241722,160,0.29970503,1.1157529,14.285667000000002,1.6589646,,0.99233466
8,-0.007,,-0.074,41.26276206970215,5.2756042,0.0010828618,33.490665,12.985624000000001,15.807039999999999,13.886660999999998,9,0.11,15.807039999999999,9.943508999999999,14.745185420085294,0.6821229,10.248673,14.75095,12.932262,17.217010000000002,180,1.1387415,3.9404879,13.3513775,1.9426539,,0.99233466
9,-0.004,,-0.039,43.26882696151733,6.159267400000001,4.105116700000001e-06,34.202315999999996,12.9533205,15.807039999999999,14.084985999999999,10,0.11,15.807039999999999,15.817109,16.861226909437484,0.0002554086,8.712558999999999,14.794710999999998,9.324508,11.853021,200,0.8712559000000001,5.929560700000001,15.188552,1.4145447,,0.9929538
10,0.014,,0.141,44.81305980682373,3.3166248e-10,,9.532003999999999,12.858036,15.807039999999999,14.498547,11,0.11,15.807039999999999,18.856333,15.698744889124134,,1.1e-09,14.737145000000002,-177.49237,,220,,,14.161489999999999,3.3166248999999994,,0.9929538
11,0.019,,0.184,46.228781461715705,1.0282968e-09,8.7334184e-10,15.679351,12.771025,15.807039999999999,12.237744000000001,12,0.11,15.807039999999999,-11.673960000000001,9.92432042208457,,2.073342e-09,14.262584,-231.64182999999997,6.5809247e-10,240,7.2778485e-11,8.7334184e-10,9.042404,2.0162876,,0.9929538
12,0.008,,0.075,48.01745581626892,3.6246978e-10,,8.76955,12.690982,15.807039999999999,12.483941999999999,13,0.11,15.807039999999999,16.398829,9.744980191858225,,1.3066974e-09,13.84806,-76.28405,4.6585089999999995e-12,260,5.1518474e-13,6.697401700000001e-12,8.8737755,3.6049830000000003,,0.9929538
13,0.008,,0.077,50.224695920944214,23.519844,23.519844,46.77556,12.616874000000001,15.807039999999999,12.378328,14,0.11,15.807039999999999,11.96877,9.912232544254431,,23.519844,13.503538,-70.745186,15.161477,280,1.6799889,23.519844,9.024749,1.0,,0.9929538
14,0.008,,0.078,52.30508852005005,18.842659,7.656178,38.930397,12.547881,15.807039999999999,11.84613,15,0.11,15.807039999999999,4.3754387,9.944677248909326,,24.873282999999997,13.207076,-66.75161999999999,14.981273000000002,300,1.6582188999999998,17.217106,9.056612,1.3200517,,0.9929538
15,0.008,,0.08,54.61410927772522,17.225557000000002,4.591637,35.765803999999996,12.483342,15.807039999999999,12.043008,16,0.11,15.807039999999999,14.787407,9.938426423510206,,25.4643,12.947213,-62.81352,14.380173000000001,320,1.5915188,15.812327,9.049275999999999,1.478286,,0.9929538
