,IWLastEpisode,DenMISELogLast,IWMax,LQGmu1,URet,IWMean,SqrtESSClassic,IWFirstEpisode,MISE,ReturnStepMax,ReturnAbsMax,ReturnLastEpisode,Bound,TimeElapsed,IWNorm1,DenMISEMeanLog,IWMin,LQGsigma,ReturnMean,DenMISELogFirst,LQGmu01,IWNorm2,TimestepsSoFar,ReturnMin,target_sum_log_mean,ReturnMax,Iteration
17,14.267752,15.629676000000002,14.267752,-0.011,13.252253364653123,0.7927373000000001,1.0001065999999998,1.630221e-16,9.498539,0.99995655,16.801416,11.981689,59.897415,58.6525456905365,14.269272,12.346805999999999,,0.11,13.272104999999998,17.035985999999998,-0.001,14.267752,360,,-10.482642,16.801416,18
18,19.080257,15.615677,19.080257,-0.021,12.734067311450438,1.1722738000000001,1.1521033999999999,3.6997765e-13,13.587463,0.99995655,16.801416,11.515396,57.337223,60.96344470977783,22.273201,12.498356,,0.11,13.179647000000001,16.981918,-0.002,19.332639999999998,380,,-9.465231,16.801416,19
19,0.19333985,14.398710000000001,6.005564700000001,-0.049,15.3671168300277,1.051028,2.0394056000000003,7.216407500000001e-06,15.085235999999998,0.99995655,16.801416,13.874228,39.800404,63.151251792907715,21.020560999999997,12.587204,,0.11,13.214376000000001,16.930626,-0.005,10.3072,400,,-16.505121,16.801416,20
20,0.00013474716999999997,14.677295999999998,6.0891647,-0.102,15.939657280771225,1.1176177999999999,2.2140627,6.0891647,17.476763000000002,0.99995655,16.801416,14.37543,40.242264,65.74121427536011,23.469975,12.684935000000001,,0.11,13.269665,16.881836,-0.01,10.60041,420,,-54.89784,16.801416,21
21,4.6323275e-05,14.646562,3.2864873,-0.135,16.861554070835368,0.17383772,1.1547912,0.39561009999999996,2.75618,0.99995655,16.801416,15.218183499999999,46.404114,69.44951033592224,3.8244297999999994,12.7755,,0.11,13.358232999999998,17.089928,-0.014,3.3117932999999997,440,,-89.242065,16.801416,22
22,0.075599805,6.166761,7.149913000000001,-0.077,17.778534573366485,1.1193206,2.2779734,0.16509578,17.163628,0.99995655,16.801416,16.05884,39.290420000000005,73.10618352890016,25.744375,12.452753,,0.11,13.475651000000001,17.063297,-0.008,11.301438000000001,460,,-29.060982,16.801416,23
23,0.0003510077,16.216236,3.8855906000000004,-0.043,17.620097637983907,0.6738774000000001,2.3130937,3.9620807e-07,9.623059,0.99995655,16.801416,15.915791,31.413895,76.8798966407776,16.173057999999997,12.611125,,0.11,13.577323999999999,17.027891,-0.004,6.991959599999999,480,,-10.477844000000001,16.801416,24
24,1.910794e-06,16.567035999999998,4.248166,-0.001,15.10448149001853,0.22508253,1.2910882,2.879736e-20,2.7358727000000003,0.99995655,16.801416,13.650595000000001,41.776,79.97741174697877,5.6270633000000005,12.755571,,0.11,13.580254,16.987068,-9.738e-05,4.358388,500,,-8.7536,16.801416,25
25,3.9965949999999997,13.730946,3.9965949999999997,0.006,12.25854848108138,0.19426712,1.2371258,6.169218599999999e-23,2.188006,0.99995655,16.801416,11.102446,42.931038,83.21165108680725,5.0509453,12.763502,,0.11,13.484955,16.947847,0.001,4.0828066,520,,-9.777888,16.801416,26
26,11.558202,18.07475,11.558202,0.006,10.675508561194187,0.5933978,1.3254237,5.0931232999999996e-23,6.0176663,0.99995655,16.801416,9.707364,44.046444,86.87356781959534,16.021739999999998,12.930651,,0.11,13.345042999999999,16.910109,0.001,12.088014,540,,-8.734414,16.801416,27
27,1.254185e-06,14.3812895,7.4786944,-0.033,10.541494822298011,0.4814709,1.7010374,1.3229757e-09,6.5442443,0.99995655,16.801416,9.601157,36.17572,91.02847409248352,13.481186,12.965736999999999,,0.11,13.211333999999999,16.873739999999998,-0.003,7.925273,560,,-6.032333,16.801416,28
28,1.7803991000000001,16.78033,12.965601,-0.016,14.636653916382727,1.0852685,1.8443171000000003,7.758093000000001e-15,13.367455,0.99995655,16.801416,13.197638000000001,40.696945,95.66800451278688,31.472786,13.078803,,0.11,13.210861999999999,16.838648000000003,-0.002,17.064737,580,,-3.4531437999999994,16.801416,29
29,8.843761,8.303803,9.979046,-0.018,14.440051816440835,1.159473,2.118345,4.9284314000000005e-14,14.643692999999999,0.99995655,16.801416,13.017792,38.43786,99.78565526008606,34.784187,12.918369,,0.11,13.204426000000002,16.804747,-0.002,16.420454,600,,-2.9753592,16.801416,30
30,3.6829772000000003,8.4343195,8.91003,-0.028,14.196362493581542,0.98093,2.2244625,6.727223e-11,12.850289,0.99995655,16.801416,12.801752,35.509357,104.12569117546082,30.408828999999997,12.775313,,0.11,13.191435999999998,16.771957,-0.003,13.670192000000002,620,,-3.3470774,16.801416,31
31,8.299083999999999,13.167487,8.299083999999999,-0.029,13.967174892871444,1.0388584,2.4099379,1.4284514e-10,13.517793,0.99995655,16.801416,12.61989,34.432957,108.18502473831177,33.24347,12.784822,,0.11,13.173573999999999,16.74021,-0.003,13.794326000000002,640,,-2.9323072,16.801416,32
32,0.00053726335,15.638782500000001,9.724260000000001,0.007,13.31370313004951,0.57868505,1.6282485,1.4507676999999998e-23,5.7391915000000004,0.99995655,16.801416,12.011762,36.69531,111.63147449493408,19.096607000000002,12.87047,,0.11,13.138369,16.709436,0.001,11.7283125,660,,-6.164582299999999,16.801416,33
33,2.1729069,16.544135999999998,16.812756,0.021,10.994016308908401,0.7423158000000001,1.4233898,9.250644999999998e-30,6.86154,0.99995655,16.801416,9.985006,42.272957,115.30425834655762,25.238739000000002,12.96497,,0.11,13.045622999999999,16.679585,0.002,17.731432,680,,-11.760914999999999,16.801416,34
34,15.045926000000001,15.756632000000002,15.045926000000001,0.024,10.109889455560344,1.1172298999999999,1.7836802999999999,8.05794e-31,10.286331,0.99995655,16.801416,9.205316,38.5449,119.70166730880736,39.103046,13.034773,,0.11,12.9359,16.650597,0.002,21.922676,700,,-12.148596000000001,16.801416,35
35,1.2709522999999999e-05,12.330765,14.559304999999998,0.051,10.22326272516315,0.53289634,1.2859528,,4.8432508,0.99995655,16.801416,9.319087,44.039284,124.1615629196167,19.184269,13.014510000000001,,0.11,12.835433,16.622425,0.005,14.91833,720,,-31.843319,16.801416,36
36,0.006868381,12.34273,1.1924456,0.061,10.10323501593798,0.033923313,1.0519565,,0.30811778,0.99995655,16.801416,9.203825,48.222879999999996,125.92020058631896,1.2551626,12.982242,,0.11,12.737282,16.595026,0.006,1.1931696000000003,740,,-41.251144000000004,16.801416,37
37,,13.537162,,0.173,9.9577489940484,,6.164414,,,0.99995655,16.801416,9.066523,8.176649000000001,128.9296269416809,3.8e-09,12.971758,,0.11,12.640683000000001,16.568360000000002,0.017,6.164414e-10,760,,-215.99655,16.801416,38
38,83.34899999999999,7.3862896,83.34899999999999,0.167,9.789584406751985,2.1371539,1.0,,19.048579999999998,0.99995655,16.801416,8.91306,69.452835,131.3486313819885,83.34899999999999,12.803231,,0.11,12.545103,16.542382999999997,0.017,83.34899999999999,780,,-199.44754,16.801416,39
39,0.4902681,17.251993,10.887561,0.145,9.775746042925958,0.2844457,1.0439721,,2.5351226000000002,0.99995655,16.801416,8.9000635,50.816340000000004,136.5202660560608,11.377829,12.918347,,0.11,12.453977,16.517065,0.015,10.898594000000001,800,,-155.58614,16.801416,40
